日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603100,川仪股份,10.6,10.7,10.51,10.59,10.57,0.03,0.2838,1.1302,2922924,31017612.0,4187000000.0,2741426547.6
2019-04-25,'603100,川仪股份,10.57,11.24,10.42,11.18,11.18,-0.61,-5.4562,1.9217,4969900,53704008.0,4175150000.0,2733667793.22
2019-04-24,'603100,川仪股份,11.18,11.26,10.95,10.97,10.93,0.25,2.2873,1.3688,3540021,39287158.0,4416100000.0,2891429132.28
2019-04-23,'603100,川仪股份,10.93,11.38,10.92,11.18,11.16,-0.23,-2.0609,1.9095,4938461,55308756.0,4317350000.0,2826772845.78
2019-04-22,'603100,川仪股份,11.16,11.6,11.08,11.55,11.75,-0.59,-5.0213,2.8974,7493455,84794277.0,4408200000.0,2886256629.36
2019-04-19,'603100,川仪股份,11.75,11.79,11.43,11.71,11.79,-0.04,-0.3393,2.0065,5189353,60293579.0,4641250000.0,3038845465.5
2019-04-18,'603100,川仪股份,11.79,11.98,11.34,11.34,11.38,0.41,3.6028,3.2578,8425506,98393664.0,4657050000.0,3049190471.34
2019-04-17,'603100,川仪股份,11.38,11.46,11.26,11.35,11.26,0.12,1.0657,1.8421,4764233,54162476.0,4495100000.0,2943154161.48
2019-04-16,'603100,川仪股份,11.26,11.27,10.78,10.91,11.0,0.26,2.3636,1.311,3390497,37416050.0,4447700000.0,2912119143.96
2019-04-15,'603100,川仪股份,11.0,11.33,11.0,11.25,11.04,-0.04,-0.3623,1.3259,3429192,38368049.0,4345000000.0,2844876606.0
2019-04-12,'603100,川仪股份,11.04,11.09,10.8,10.8,10.89,0.15,1.3774,1.0887,2815598,30814547.0,4360800000.0,2855221611.84
2019-04-11,'603100,川仪股份,10.89,11.34,10.89,11.23,11.25,-0.36,-3.2,1.4872,3846400,42836754.0,4301550000.0,2816427839.94
2019-04-10,'603100,川仪股份,11.25,11.38,11.12,11.38,11.38,-0.13,-1.1424,1.2345,3192701,35924170.0,4443750000.0,2909532892.5
2019-04-09,'603100,川仪股份,11.38,11.42,11.1,11.28,11.28,0.1,0.8865,1.7496,4524889,51005550.0,4495100000.0,2943154161.48
2019-04-08,'603100,川仪股份,11.28,11.57,11.13,11.19,11.17,0.11,0.9848,2.3089,5971442,67602750.0,4455600000.0,2917291646.88
2019-04-04,'603100,川仪股份,11.17,11.33,11.05,11.28,11.25,-0.08,-0.7111,1.5649,4047210,45299020.0,4412150000.0,2888842880.82
2019-04-03,'603100,川仪股份,11.25,11.31,11.0,11.12,11.2,0.05,0.4464,1.5176,3924967,43975595.0,4443750000.0,2909532892.5
2019-04-02,'603100,川仪股份,11.2,11.31,11.08,11.2,11.14,0.06,0.5386,1.8343,4744010,53044490.0,4424000000.0,2896601635.2
2019-04-01,'603100,川仪股份,11.14,11.23,10.78,10.8,10.74,0.4,3.7244,1.973,5102676,56544899.0,4400300000.0,2881084126.44
2019-03-29,'603100,川仪股份,10.74,10.79,10.3,10.42,10.42,0.32,3.071,1.3696,3542143,37498815.0,4242300000.0,2777634068.04
2019-03-28,'603100,川仪股份,10.42,10.66,10.4,10.48,10.53,-0.11,-1.0446,1.0066,2603300,27423270.0,4115900000.0,2694874021.32
2019-03-27,'603100,川仪股份,10.53,10.79,10.4,10.78,10.68,-0.15,-1.4045,1.3501,3491642,36849610.0,4159350000.0,2723322787.38
2019-03-26,'603100,川仪股份,10.68,11.07,10.61,10.92,10.92,-0.24,-2.1978,1.6971,4389041,47704645.0,4218600000.0,2762116559.28
2019-03-25,'603100,川仪股份,10.92,11.15,10.75,10.76,10.99,-0.07,-0.6369,1.5144,3916596,43003954.0,4313400000.0,2824186594.32
2019-03-22,'603100,川仪股份,10.99,11.01,10.69,11.01,10.98,0.01,0.0911,1.3543,3502606,38136090.0,4341050000.0,2842290354.54
2019-03-21,'603100,川仪股份,10.98,11.03,10.8,10.83,10.89,0.09,0.8264,1.7301,4474500,48958016.0,4337100000.0,2839704103.08
