日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000155,川能动力,4.81,4.9,4.71,4.82,4.82,-0.01,-0.2075,1.0566,13419260,64352878.06,6108700000.0,6108700000.0
2019-04-25,'000155,川能动力,4.82,5.07,4.82,5.04,5.05,-0.23,-4.5545,1.769,22466299,110685232.92,6121400000.0,6121400000.0
2019-04-24,'000155,川能动力,5.05,5.11,4.82,5.1,5.11,-0.06,-1.1742,2.2824,28986658,143395143.23,6413500000.0,6413500000.0
2019-04-23,'000155,川能动力,5.11,5.27,4.93,5.13,5.19,-0.08,-1.5414,2.121,26937245,137258863.75,6489700000.0,6489700000.0
2019-04-22,'000155,川能动力,5.19,5.46,5.14,5.45,5.03,0.16,3.1809,3.1645,40188889,212542012.79,6591300000.0,6591300000.0
2019-04-19,'000155,川能动力,5.03,5.11,4.86,5.03,5.01,0.02,0.3992,1.4769,18756600,92790986.0,6388100000.0,6388100000.0
2019-04-18,'000155,川能动力,5.01,5.17,5.0,5.17,5.15,-0.14,-2.7184,0.8633,10964143,55472898.46,6362700000.0,6362700000.0
2019-04-17,'000155,川能动力,5.15,5.25,5.05,5.11,5.11,0.04,0.7828,1.2353,15688801,80836625.17,6540500000.0,6540500000.0
2019-04-16,'000155,川能动力,5.11,5.14,4.92,5.13,5.1,0.01,0.1961,1.0838,13764462,69154763.12,6489700000.0,6489700000.0
2019-04-15,'000155,川能动力,5.1,5.33,5.08,5.22,4.97,0.13,2.6157,1.2355,15690299,81209834.86,6477000000.0,6477000000.0
2019-04-12,'000155,川能动力,4.97,5.04,4.92,4.97,4.99,-0.02,-0.4008,0.6016,7640820,38045302.8,6311900000.0,6311900000.0
2019-04-11,'000155,川能动力,4.99,5.21,4.99,5.16,5.16,-0.17,-3.2946,0.8747,11108803,56511458.08,6337300000.0,6337300000.0
2019-04-10,'000155,川能动力,5.16,5.21,5.01,5.05,5.12,0.04,0.7813,1.017,12915527,66033282.3,6553200000.0,6553200000.0
2019-04-09,'000155,川能动力,5.12,5.18,5.07,5.12,5.14,-0.02,-0.3891,0.8447,10727902,55061640.23,6502400000.0,6502400000.0
2019-04-08,'000155,川能动力,5.14,5.31,5.09,5.22,5.2,-0.06,-1.1538,1.2822,16284501,84316648.23,6527800000.0,6527800000.0
2019-04-04,'000155,川能动力,5.2,5.32,5.07,5.3,5.3,-0.1,-1.8868,2.0775,26384863,136744195.86,6604000000.0,6604000000.0
2019-04-03,'000155,川能动力,5.3,5.46,5.0,5.04,5.08,0.22,4.3307,2.3012,29225364,150916452.13,6731000000.0,6731000000.0
2019-04-02,'000155,川能动力,5.08,5.09,4.87,4.93,4.87,0.21,4.3121,1.5041,19101980,95941907.3,6451600000.0,6451600000.0
2019-04-01,'000155,川能动力,4.87,4.92,4.74,4.77,4.79,0.08,1.6701,1.1092,14086892,68598235.47,6184900000.0,6184900000.0
2019-03-29,'000155,川能动力,4.79,4.81,4.57,4.7,4.7,0.09,1.9149,0.7779,9879021,46601385.06,6083300000.0,6083300000.0
2019-03-28,'000155,川能动力,4.7,4.8,4.63,4.71,4.71,-0.01,-0.2123,0.8033,10201519,48091681.86,5969000000.0,5969000000.0
2019-03-27,'000155,川能动力,4.71,4.8,4.58,4.78,4.71,0.0,0.0,1.0739,13638976,63659457.4,5981700000.0,5981700000.0
2019-03-26,'000155,川能动力,4.71,5.02,4.69,4.96,4.95,-0.24,-4.8485,1.5343,19485033,93619442.3,5981700000.0,5981700000.0
2019-03-25,'000155,川能动力,4.95,5.13,4.94,5.08,5.18,-0.23,-4.4402,1.4383,18266523,91924497.89,6286500000.0,6286500000.0
2019-03-22,'000155,川能动力,5.18,5.38,5.06,5.18,5.12,0.06,1.1719,3.1712,40274796,209120557.5,6578600000.0,6578600000.0
2019-03-21,'000155,川能动力,5.12,5.17,4.67,4.7,4.7,0.42,8.9362,4.2351,53785752,270698860.56,6502400000.0,6502400000.0
2019-03-20,'000155,川能动力,4.7,4.78,4.62,4.71,4.73,-0.03,-0.6342,1.1492,14594619,68624004.11,5969000000.0,5969000000.0
2019-03-19,'000155,川能动力,4.73,4.79,4.65,4.71,4.68,0.05,1.0684,1.3677,17369204,81748225.6,6007100000.0,6007100000.0
2019-03-18,'000155,川能动力,4.68,4.78,4.51,4.59,4.56,0.12,2.6316,1.3124,16667652,77663580.32,5943600000.0,5943600000.0
2019-03-15,'000155,川能动力,4.56,4.66,4.33,4.33,4.34,0.22,5.0691,1.6954,21531574,97340704.66,5791200000.0,5791200000.0
2019-03-14,'000155,川能动力,4.34,4.57,4.29,4.41,4.51,-0.17,-3.7694,1.3401,17019892,75034120.82,5511800000.0,5511800000.0
2019-03-13,'000155,川能动力,4.51,4.68,4.5,4.64,4.62,-0.11,-2.381,1.194,15164401,69145306.12,5727700000.0,5727700000.0
2019-03-12,'000155,川能动力,4.62,4.74,4.5,4.67,4.66,-0.04,-0.8584,1.6588,21067337,97770861.11,5867400000.0,5867400000.0
2019-03-11,'000155,川能动力,4.66,4.77,4.45,4.47,4.46,0.2,4.4843,1.752,22250875,101780177.12,5918200000.0,5918200000.0
2019-03-08,'000155,川能动力,4.46,4.68,4.38,4.51,4.63,-0.17,-3.6717,1.9626,24924848,113186907.5,5664200000.0,5664200000.0
2019-03-07,'000155,川能动力,4.63,4.74,4.32,4.37,4.37,0.26,5.9497,2.3918,30375380,138949920.04,5880100000.0,5880100000.0
2019-03-06,'000155,川能动力,4.37,4.41,4.17,4.2,4.17,0.2,4.7962,2.336,29666871,128480097.19,5549900000.0,5549900000.0
2019-03-05,'000155,川能动力,4.17,4.18,4.03,4.09,4.08,0.09,2.2059,1.2475,15842924,65265605.02,5295900000.0,5295900000.0
2019-03-04,'000155,川能动力,4.08,4.14,4.0,4.0,4.01,0.07,1.7456,1.5942,20246239,82644910.59,5181600000.0,5181600000.0
2019-03-01,'000155,川能动力,4.01,4.04,3.97,4.03,4.0,0.01,0.25,0.874,11099567,44513828.39,5092700000.0,5092700000.0
2019-02-28,'000155,川能动力,4.0,4.09,3.96,3.98,3.98,0.02,0.5025,1.2128,15402856,61910238.02,5080000000.0,5080000000.0
2019-02-27,'000155,川能动力,3.98,4.04,3.93,3.97,4.0,-0.02,-0.5,1.3186,16746353,66708288.54,5054600000.0,5054600000.0
2019-02-26,'000155,川能动力,4.0,4.12,3.97,4.06,4.06,-0.06,-1.4778,1.6268,20660520,83568034.54,5080000000.0,5080000000.0
2019-02-25,'000155,川能动力,4.06,4.08,3.92,4.01,3.93,0.13,3.3079,1.8312,23256814,93375499.47,5156200000.0,5156200000.0
2019-02-22,'000155,川能动力,3.93,3.95,3.81,3.9,3.89,0.04,1.0283,0.7343,9325857,36276460.99,4991100000.0,4991100000.0
2019-02-21,'000155,川能动力,3.89,3.98,3.88,3.93,3.96,-0.07,-1.7677,0.7357,9343100,36653162.0,4940300000.0,4940300000.0
2019-02-20,'000155,川能动力,3.96,4.05,3.87,3.87,3.87,0.09,2.3256,0.9317,11833043,46920323.51,5029200000.0,5029200000.0
2019-02-19,'000155,川能动力,3.87,4.0,3.84,3.87,3.9,-0.03,-0.7692,0.9546,12123322,47363494.92,4914900000.0,4914900000.0
2019-02-18,'000155,川能动力,3.9,3.93,3.74,3.74,3.74,0.16,4.2781,0.9271,11774766,45251933.48,4953000000.0,4953000000.0
2019-02-15,'000155,川能动力,3.74,3.83,3.7,3.73,3.74,0.0,0.0,0.5652,7177537,26992962.1,4749800000.0,4749800000.0
2019-02-14,'000155,川能动力,3.74,3.78,3.69,3.7,3.71,0.03,0.8086,0.437,5550101,20744059.71,4749800000.0,4749800000.0
2019-02-13,'000155,川能动力,3.71,3.76,3.61,3.64,3.64,0.07,1.9231,0.6034,7663536,28289730.55,4711700000.0,4711700000.0
2019-02-12,'000155,川能动力,3.64,3.68,3.56,3.59,3.58,0.06,1.676,0.3421,4344993,15728754.45,4622800000.0,4622800000.0
2019-02-11,'000155,川能动力,3.58,3.59,3.5,3.5,3.49,0.09,2.5788,0.3296,4186400,14884262.0,4546600000.0,4546600000.0
2019-02-01,'000155,川能动力,3.49,3.51,3.43,3.44,3.42,0.07,2.0468,0.3111,3950910,13761237.9,4432300000.0,4432300000.0
2019-01-31,'000155,川能动力,3.42,3.56,3.38,3.5,3.5,-0.08,-2.2857,0.3567,4530353,15658406.8,4343400000.0,4343400000.0
2019-01-30,'000155,川能动力,3.5,3.6,3.48,3.49,3.49,0.01,0.2865,0.405,5143700,18194700.0,4445000000.0,4445000000.0
2019-01-29,'000155,川能动力,3.49,3.59,3.45,3.56,3.55,-0.06,-1.6901,0.4585,5822569,20387910.05,4432300000.0,4432300000.0
2019-01-28,'000155,川能动力,3.55,3.69,3.55,3.66,3.66,-0.11,-3.0055,0.3061,3887725,14138489.5,4508500000.0,4508500000.0
2019-01-25,'000155,川能动力,3.66,3.74,3.64,3.71,3.69,-0.03,-0.813,0.3065,3892259,14323792.53,4648200000.0,4648200000.0
2019-01-24,'000155,川能动力,3.69,3.82,3.68,3.72,3.67,0.02,0.545,0.4317,5482706,20391022.3,4686300000.0,4686300000.0
2019-01-23,'000155,川能动力,3.67,3.68,3.62,3.65,3.66,0.01,0.2732,0.3319,4215493,15427060.66,4660900000.0,4660900000.0
2019-01-22,'000155,川能动力,3.66,3.77,3.66,3.7,3.7,-0.04,-1.0811,0.4281,5436793,20154511.17,4648200000.0,4648200000.0
2019-01-21,'000155,川能动力,3.7,3.72,3.65,3.65,3.68,0.02,0.5435,0.301,3823060,14069512.2,4699000000.0,4699000000.0
2019-01-18,'000155,川能动力,3.68,3.76,3.61,3.61,3.63,0.05,1.3774,0.3882,4929758,18093267.96,4673600000.0,4673600000.0
2019-01-17,'000155,川能动力,3.63,3.69,3.62,3.66,3.68,-0.05,-1.3587,0.2091,2655100,9694138.98,4610100000.0,4610100000.0
2019-01-16,'000155,川能动力,3.68,3.74,3.66,3.71,3.7,-0.02,-0.5405,0.2899,3681500,13600580.99,4673600000.0,4673600000.0
2019-01-15,'000155,川能动力,3.7,3.72,3.65,3.67,3.66,0.04,1.0929,0.3679,4672322,17218865.96,4699000000.0,4699000000.0
2019-01-14,'000155,川能动力,3.66,3.73,3.64,3.7,3.71,-0.05,-1.3477,0.2718,3451600,12730272.49,4648200000.0,4648200000.0
2019-01-11,'000155,川能动力,3.71,3.74,3.65,3.68,3.68,0.03,0.8152,0.2676,3398900,12582977.0,4711700000.0,4711700000.0
2019-01-10,'000155,川能动力,3.68,3.75,3.65,3.65,3.66,0.02,0.5464,0.2809,3567000,13167401.99,4673600000.0,4673600000.0
2019-01-09,'000155,川能动力,3.66,3.75,3.65,3.67,3.68,-0.02,-0.5435,0.3035,3854702,14272583.44,4648200000.0,4648200000.0
2019-01-08,'000155,川能动力,3.68,3.79,3.66,3.79,3.76,-0.08,-2.1277,0.3926,4985525,18426966.75,4673600000.0,4673600000.0
2019-01-07,'000155,川能动力,3.76,3.79,3.7,3.72,3.68,0.08,2.1739,0.4046,5138302,19276201.51,4775200000.0,4775200000.0
2019-01-04,'000155,川能动力,3.68,3.7,3.55,3.57,3.58,0.1,2.7933,0.3811,4840600,17654910.0,4673600000.0,4673600000.0
2019-01-03,'000155,川能动力,3.58,3.62,3.56,3.58,3.57,0.01,0.2801,0.2725,3461100,12427914.0,4546600000.0,4546600000.0
2019-01-02,'000155,川能动力,3.57,3.64,3.53,3.6,3.6,-0.03,-0.8333,0.2567,3260501,11670765.58,4533900000.0,4533900000.0
2018-12-28,'000155,川能动力,3.6,3.71,3.41,3.45,3.41,0.19,5.5718,0.6038,7668353,27332128.69,4572000000.0,4572000000.0
2018-12-27,'000155,川能动力,3.41,3.67,3.4,3.63,3.56,-0.15,-4.2135,0.3891,4941534,17483820.08,4330700000.0,4330700000.0
2018-12-26,'000155,川能动力,3.56,3.61,3.54,3.59,3.56,0.0,0.0,0.1519,1929600,6879954.0,4521200000.0,4521200000.0
2018-12-25,'000155,川能动力,3.56,3.59,3.46,3.59,3.64,-0.08,-2.1978,0.4467,5672600,19986861.0,4521200000.0,4521200000.0
2018-12-24,'000155,川能动力,3.64,3.66,3.57,3.63,3.63,0.01,0.2755,0.172,2183900,7932782.0,4622800000.0,4622800000.0
2018-12-21,'000155,川能动力,3.63,3.67,3.57,3.67,3.68,-0.05,-1.3587,0.3269,4151994,14999348.2,4610100000.0,4610100000.0
2018-12-20,'000155,川能动力,3.68,3.69,3.61,3.63,3.66,0.02,0.5464,0.2322,2948400,10802152.0,4673600000.0,4673600000.0
2018-12-19,'000155,川能动力,3.66,3.76,3.63,3.74,3.76,-0.1,-2.6596,0.3296,4186401,15468855.64,4648200000.0,4648200000.0
2018-12-18,'000155,川能动力,3.76,3.79,3.67,3.75,3.78,-0.02,-0.5291,0.3646,4630301,17252529.7,4775200000.0,4775200000.0
