ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'300528,ÐÒ¸£À¶º£,8.76,9.37,8.6,9.32,9.31,-0.55,-5.9076,8.8206,14625716,131333172.82,3264046553.04,1452526557.84
2019-04-25,'300528,ÐÒ¸£À¶º£,9.31,9.99,9.3,9.84,9.87,-0.56,-5.6738,7.0635,11712320,112588544.8,3468980982.74,1543724001.54
2019-04-24,'300528,ÐÒ¸£À¶º£,9.87,10.4,9.75,10.4,10.48,-0.61,-5.8206,9.7743,16207125,161942602.95,3677641492.98,1636579580.58
2019-04-23,'300528,ÐÒ¸£À¶º£,10.48,11.18,10.18,10.44,10.5,-0.02,-0.1905,13.1915,21873226,232519881.94,3904932405.92,1737725836.32
2019-04-22,'300528,ÐÒ¸£À¶º£,10.5,10.98,10.44,10.49,10.93,-0.43,-3.9341,13.0025,21559983,230450143.04,3912384567.0,1741042107.0
2019-04-19,'300528,ÐÒ¸£À¶º£,10.93,10.93,9.48,9.93,9.94,0.99,9.9598,20.7621,34426406,351386530.85,4072606030.22,1812341926.62
2019-04-18,'300528,ÐÒ¸£À¶º£,9.94,9.94,8.94,9.02,9.04,0.9,9.9558,10.6612,17677670,169350015.57,3703724056.76,1648186527.96
2019-04-17,'300528,ÐÒ¸£À¶º£,9.04,9.06,8.95,9.04,9.03,0.01,0.1107,3.094,5130197,46226397.74,3368376808.16,1498954347.36
2019-04-16,'300528,ÐÒ¸£À¶º£,9.03,9.03,8.8,8.84,8.88,0.15,1.6892,1.9124,3170980,28286990.2,3364650727.62,1497296212.02
2019-04-15,'300528,ÐÒ¸£À¶º£,8.88,9.18,8.86,9.08,8.98,-0.1,-1.1136,2.4425,4049960,36708842.4,3308759519.52,1472424181.92
2019-04-12,'300528,ÐÒ¸£À¶º£,8.98,9.08,8.89,9.02,9.04,-0.06,-0.6637,2.2599,3747256,33624802.36,3346020324.92,1489005535.32
2019-04-11,'300528,ÐÒ¸£À¶º£,9.04,9.27,9.03,9.19,9.24,-0.2,-2.1645,2.6596,4409960,40329918.6,3368376808.16,1498954347.36
2019-04-10,'300528,ÐÒ¸£À¶º£,9.24,9.29,9.1,9.27,9.39,-0.15,-1.5974,3.5669,5914364,54521596.68,3442898418.96,1532117054.16
2019-04-09,'300528,ÐÒ¸£À¶º£,9.39,9.39,9.0,9.09,9.06,0.33,3.6424,5.2076,8634972,79876366.88,3498789627.06,1556989084.26
2019-04-08,'300528,ÐÒ¸£À¶º£,9.06,9.35,8.98,9.32,9.28,-0.22,-2.3707,3.3654,5580296,50979692.32,3375828969.24,1502270618.04
2019-04-04,'300528,ÐÒ¸£À¶º£,9.28,9.4,9.19,9.33,9.31,-0.03,-0.3222,2.7595,4575571,42454458.73,3457802741.12,1538749595.52
2019-04-03,'300528,ÐÒ¸£À¶º£,9.31,9.34,9.05,9.05,9.12,0.19,2.0833,3.6099,5985652,55212667.92,3468980982.74,1543724001.54
2019-04-02,'300528,ÐÒ¸£À¶º£,9.12,9.17,9.04,9.15,9.15,-0.03,-0.3279,3.5042,5810507,52899483.83,3398185452.48,1512219430.08
2019-04-01,'300528,ÐÒ¸£À¶º£,9.15,9.15,8.8,8.84,8.82,0.33,3.7415,4.6901,7776788,70179251.84,3409363694.1,1517193836.1
2019-03-29,'300528,ÐÒ¸£À¶º£,8.82,8.83,8.56,8.65,8.65,0.17,1.9653,2.6862,4454154,38869780.94,3286403036.28,1462475369.88
2019-03-28,'300528,ÐÒ¸£À¶º£,8.65,8.85,8.65,8.75,8.76,-0.11,-1.2557,2.2054,3656838,31976536.4,3223059667.1,1434287069.1
2019-03-27,'300528,ÐÒ¸£À¶º£,8.76,8.86,8.65,8.78,8.78,-0.02,-0.2278,2.0506,3400217,29695272.67,3264046553.04,1452526557.84
2019-03-26,'300528,ÐÒ¸£À¶º£,8.78,9.06,8.75,9.03,9.01,-0.23,-2.5527,2.8786,4773164,42434191.03,3271498714.12,1455842828.52
2019-03-25,'300528,ÐÒ¸£À¶º£,9.01,9.14,8.99,9.1,9.24,-0.23,-2.4892,3.7447,6209159,56237602.31,3357198566.54,1493979941.34
2019-03-22,'300528,ÐÒ¸£À¶º£,9.24,9.4,9.09,9.34,9.38,-0.14,-1.4925,4.6526,7714629,71042768.07,3442898418.96,1532117054.16
2019-03-21,'300528,ÐÒ¸£À¶º£,9.38,9.8,9.23,9.27,9.26,0.12,1.2959,7.9582,13195846,124979678.32,3495063546.52,1555330948.92
