日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300436,广生堂,28.6,29.49,28.0,29.16,29.51,-0.91,-3.0837,1.4778,2068913,59381499.35,4038646612.0,4004000000.0
2019-04-25,'300436,广生堂,29.51,31.96,29.5,30.58,30.59,-1.08,-3.5306,2.6071,3649901,112208514.85,4167149004.2,4131400000.0
2019-04-24,'300436,广生堂,30.59,31.78,29.23,29.23,29.2,1.39,4.7603,2.6427,3699817,113339414.82,4319657337.8,4282600000.0
2019-04-23,'300436,广生堂,29.2,29.9,28.21,28.66,28.73,0.47,1.6359,1.7319,2424631,71022033.2,4123373464.0,4088000000.0
2019-04-22,'300436,广生堂,28.73,30.3,28.6,30.0,28.77,-0.04,-0.139,2.012,2816800,82897734.64,4057004096.6,4022200000.0
2019-04-19,'300436,广生堂,28.77,28.77,27.58,28.3,28.81,-0.04,-0.1388,1.4048,1966700,55390358.68,4062652553.4,4027800000.0
2019-04-18,'300436,广生堂,28.81,29.08,28.2,28.55,28.49,0.32,1.1232,0.9324,1305420,37436361.63,4068301010.2,4033400000.0
2019-04-17,'300436,广生堂,28.49,28.63,28.12,28.23,28.29,0.2,0.707,0.6803,952400,27026926.0,4023113355.8,3988600000.0
2019-04-16,'300436,广生堂,28.29,28.3,27.25,27.7,27.61,0.68,2.4629,0.7225,1011500,28123352.0,3994871071.8,3960600000.0
2019-04-15,'300436,广生堂,27.61,28.39,27.6,28.3,27.95,-0.34,-1.2165,0.7541,1055697,29594432.85,3898847306.2,3865400000.0
2019-04-12,'300436,广生堂,27.95,28.25,27.6,28.04,27.86,0.09,0.323,0.7013,981802,27470499.29,3946859189.0,3913000000.0
2019-04-11,'300436,广生堂,27.86,29.2,27.76,28.97,28.97,-1.11,-3.8315,1.173,1642206,46511511.81,3934150161.2,3900400000.0
2019-04-10,'300436,广生堂,28.97,29.48,28.43,28.88,28.89,0.08,0.2769,0.9564,1339008,38872994.52,4090894837.4,4055800000.0
2019-04-09,'300436,广生堂,28.89,28.97,28.41,28.67,28.7,0.19,0.662,0.6669,933622,26840331.28,4079597923.8,4044600000.0
2019-04-08,'300436,广生堂,28.7,29.58,28.3,29.12,29.11,-0.41,-1.4085,1.1561,1618575,46687181.24,4052767754.0,4018000000.0
2019-04-04,'300436,广生堂,29.11,29.76,28.88,29.43,29.4,-0.29,-0.9864,1.2629,1768100,51608171.22,4110664436.2,4075400000.0
2019-04-03,'300436,广生堂,29.4,30.33,27.59,27.8,27.76,1.64,5.9078,2.3225,3251523,95138760.47,4151615748.0,4116000000.0
2019-04-02,'300436,广生堂,27.76,28.17,27.7,28.0,27.82,-0.06,-0.2157,0.9646,1350500,37654245.0,3920029019.2,3886400000.0
2019-04-01,'300436,广生堂,27.82,27.89,27.08,27.25,27.08,0.74,2.7326,1.0771,1507954,41676260.92,3928501704.4,3894800000.0
2019-03-29,'300436,广生堂,27.08,27.13,26.53,26.8,26.21,0.87,3.3193,0.8135,1138886,30643391.54,3824005253.6,3791200000.0
2019-03-28,'300436,广生堂,26.21,26.78,26.2,26.4,26.68,-0.47,-1.7616,0.5508,771135,20418748.4,3701151318.2,3669400000.0
2019-03-27,'300436,广生堂,26.68,27.13,26.33,26.89,26.8,-0.12,-0.4478,0.6222,871148,23195107.72,3767520685.6,3735200000.0
2019-03-26,'300436,广生堂,26.8,28.38,26.8,27.73,27.65,-0.85,-3.0741,1.0541,1475690,40611792.2,3784466056.0,3752000000.0
2019-03-25,'300436,广生堂,27.65,28.07,26.81,26.81,27.32,0.33,1.2079,1.1915,1668045,45875148.2,3904495763.0,3871000000.0
2019-03-22,'300436,广生堂,27.32,27.39,26.9,27.38,27.32,0.0,0.0,0.6595,923300,25006158.02,3857895994.4,3824800000.0
2019-03-21,'300436,广生堂,27.32,27.46,27.02,27.12,27.28,0.04,0.1466,0.7617,1066416,29083925.32,3857895994.4,3824800000.0
2019-03-20,'300436,广生堂,27.28,27.46,26.7,27.4,27.34,-0.06,-0.2195,0.8091,1132800,30636626.0,3852247537.6,3819200000.0
2019-03-19,'300436,广生堂,27.34,27.6,27.13,27.6,27.63,-0.29,-1.0496,0.7464,1044896,28546810.28,3860720222.8,3827600000.0
2019-03-18,'300436,广生堂,27.63,27.65,26.51,26.92,26.88,0.75,2.7902,1.1044,1546129,42275768.95,3901671534.6,3868200000.0
2019-03-15,'300436,广生堂,26.88,27.04,26.51,26.51,26.75,0.13,0.486,0.7658,1072092,28779971.96,3795762969.6,3763200000.0
2019-03-14,'300436,广生堂,26.75,27.6,26.35,27.06,27.74,-0.99,-3.5689,1.0874,1522425,40977616.54,3777405485.0,3745000000.0
2019-03-13,'300436,广生堂,27.74,28.5,27.45,28.04,28.16,-0.42,-1.4915,1.2046,1686435,47044590.55,3917204790.8,3883600000.0
2019-03-12,'300436,广生堂,28.16,28.37,27.45,27.45,27.36,0.8,2.924,1.655,2317000,64860340.0,3976513587.2,3942400000.0
2019-03-11,'300436,广生堂,27.36,27.36,26.61,26.66,26.53,0.83,3.1285,1.0161,1422607,38456985.13,3863544451.2,3830400000.0
2019-03-08,'300436,广生堂,26.53,27.45,26.48,27.25,27.68,-1.15,-4.1546,1.2805,1792653,48355194.16,3746338972.6,3714200000.0
2019-03-07,'300436,广生堂,27.68,28.06,27.31,27.6,27.67,0.01,0.0361,1.3974,1956380,54172863.06,3908732105.6,3875200000.0
2019-03-06,'300436,广生堂,27.67,27.89,27.12,27.13,27.04,0.63,2.3299,1.5821,2214912,61023209.42,3907319991.4,3873800000.0
2019-03-05,'300436,广生堂,27.04,27.08,26.61,26.7,27.01,0.03,0.1111,1.079,1510632,40632916.24,3818356796.8,3785600000.0
2019-03-04,'300436,广生堂,27.01,28.37,26.57,28.37,25.86,1.15,4.447,2.439,3414571,93183249.63,3814120454.2,3781400000.0
2019-03-01,'300436,广生堂,25.86,26.19,25.59,26.1,26.1,-0.24,-0.9195,0.7578,1060885,27325176.07,3651727321.2,3620400000.0
2019-02-28,'300436,广生堂,26.1,26.58,25.68,25.68,25.66,0.44,1.7147,1.0536,1475065,38539871.92,3685618062.0,3654000000.0
2019-02-27,'300436,广生堂,25.66,25.95,25.46,25.6,25.83,-0.17,-0.6581,0.9985,1397865,35934740.15,3623485037.2,3592400000.0
2019-02-26,'300436,广生堂,25.83,26.43,25.53,25.78,25.78,0.05,0.1939,1.7576,2460707,64032870.49,3647490978.6,3616200000.0
2019-02-25,'300436,广生堂,25.78,25.84,24.96,24.96,24.94,0.84,3.3681,1.4749,2064902,52752137.88,3640430407.6,3609200000.0
2019-02-22,'300436,广生堂,24.94,24.96,24.31,24.42,24.43,0.51,2.0876,0.7084,991708,24509583.22,3521812814.8,3491600000.0
2019-02-21,'300436,广生堂,24.43,24.88,24.33,24.55,24.63,-0.2,-0.812,0.9448,1322700,32506239.0,3449794990.6,3420200000.0
