»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'300455,øµÕÿ∫ÏÕ‚,8.17,8.5,8.0,8.39,8.37,-0.2,-2.3895,1.0143,5169042,42725148.47,4163432000.0,4163432000.0
2019-04-25,'300455,øµÕÿ∫ÏÕ‚,8.37,8.78,8.34,8.78,8.61,-0.24,-2.7875,0.8441,4301723,36907546.08,4265352000.0,4265352000.0
2019-04-24,'300455,øµÕÿ∫ÏÕ‚,8.61,8.63,8.39,8.49,8.48,0.13,1.533,0.6655,3391418,29013271.7,4387656000.0,4387656000.0
2019-04-23,'300455,øµÕÿ∫ÏÕ‚,8.48,8.78,8.41,8.7,8.74,-0.26,-2.9748,0.8865,4517580,38756187.7,4321408000.0,4321408000.0
2019-04-22,'300455,øµÕÿ∫ÏÕ‚,8.74,8.92,8.63,8.89,8.83,-0.09,-1.0193,0.7566,3855534,33843723.38,4453904000.0,4453904000.0
2019-04-19,'300455,øµÕÿ∫ÏÕ‚,8.83,8.86,8.6,8.67,8.68,0.15,1.7281,0.7312,3726426,32562128.84,4499768000.0,4499768000.0
2019-04-18,'300455,øµÕÿ∫ÏÕ‚,8.68,8.95,8.65,8.86,8.91,-0.23,-2.5814,1.017,5182860,45549515.5,4423328000.0,4423328000.0
2019-04-17,'300455,øµÕÿ∫ÏÕ‚,8.91,8.97,8.78,8.78,8.88,0.03,0.3378,1.1395,5806866,51645942.06,4540536000.0,4540536000.0
2019-04-16,'300455,øµÕÿ∫ÏÕ‚,8.88,8.92,8.55,8.62,8.75,0.13,1.4857,1.2877,6562127,57330055.09,4525248000.0,4525248000.0
2019-04-15,'300455,øµÕÿ∫ÏÕ‚,8.75,9.14,8.73,9.09,8.92,-0.17,-1.9058,1.8752,9556172,85177462.54,4459000000.0,4459000000.0
