日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300061,康旗股份,7.51,7.95,7.22,7.95,8.0,-0.49,-6.125,2.2699,9343850,69906151.08,5145922301.11,3091399802.9
2019-04-25,'300061,康旗股份,8.0,8.33,8.0,8.2,8.19,-0.19,-2.3199,1.5413,6344501,51821072.02,5481674888.0,3293102320.0
2019-04-24,'300061,康旗股份,8.19,8.22,7.97,8.13,8.1,0.09,1.1111,1.1367,4679169,38034797.02,5611864666.59,3371313500.1
2019-04-23,'300061,康旗股份,8.1,8.35,8.1,8.17,8.38,-0.28,-3.3413,2.1152,8706989,71642262.62,5550195824.1,3334266099.0
2019-04-22,'300061,康旗股份,8.38,8.52,8.19,8.19,9.1,-0.72,-7.9121,6.262,25776611,213203965.56,5742054445.18,3449524680.2
2019-04-19,'300061,康旗股份,9.1,9.11,8.87,8.87,8.96,0.14,1.5625,1.1439,4708884,42495517.45,6235405185.1,3745903889.0
2019-04-18,'300061,康旗股份,8.96,9.2,8.9,9.15,9.13,-0.17,-1.862,1.5031,6187180,55964814.3,6139475874.56,3688274598.4
2019-04-17,'300061,康旗股份,9.13,9.27,9.1,9.15,9.22,-0.09,-0.9761,1.4341,5903263,54197054.27,6255961465.93,3758253022.7
2019-04-16,'300061,康旗股份,9.22,9.22,8.61,8.93,9.0,0.22,2.4444,2.035,8376897,74554493.62,6317630308.42,3795300423.8
2019-04-15,'300061,康旗股份,9.0,9.39,8.97,9.25,9.19,-0.19,-2.0675,1.826,7516646,69473777.34,6166884249.0,3704740110.0
2019-04-12,'300061,康旗股份,9.19,9.34,9.09,9.29,9.18,0.01,0.1089,1.4803,6093389,56111907.2,6297074027.59,3782951290.1
2019-04-11,'300061,康旗股份,9.18,9.53,9.11,9.26,9.35,-0.17,-1.8182,2.3652,9736166,90362698.24,6290221933.98,3778834912.2
2019-04-10,'300061,康旗股份,9.35,9.59,9.26,9.59,9.7,-0.35,-3.6082,3.5885,14771511,138360296.45,6406707525.35,3848813336.5
2019-04-09,'300061,康旗股份,9.7,10.12,9.55,10.1,10.42,-0.72,-6.9098,4.8056,19781603,192612895.61,6646530801.7,3992886563.0
2019-04-08,'300061,康旗股份,10.42,10.75,10.18,10.26,9.97,0.45,4.5135,9.6033,39530824,410305078.19,7139881541.62,4289265771.8
2019-04-04,'300061,康旗股份,9.97,9.97,9.25,9.25,9.06,0.91,10.0442,5.1874,21353150,210109602.35,6831537329.17,4104028766.3
2019-04-03,'300061,康旗股份,9.06,9.1,8.81,8.87,8.99,0.07,0.7786,2.6861,11057153,99022422.38,6207996810.66,3729438377.4
2019-04-02,'300061,康旗股份,8.99,9.35,8.82,9.35,9.18,-0.19,-2.0697,4.7653,19615814,176707722.24,6160032155.39,3700623732.1
2019-04-01,'300061,康旗股份,9.18,9.22,8.43,8.52,8.39,0.79,9.416,4.1724,17175275,152388944.91,6290221933.98,3778834912.2
2019-03-29,'300061,康旗股份,8.39,8.44,8.06,8.15,8.17,0.22,2.6928,2.2055,9078676,74622207.15,5748906538.79,3453641058.1
2019-03-28,'300061,康旗股份,8.17,8.61,8.03,8.52,8.47,-0.3,-3.5419,1.9837,8165785,67330033.89,5598160479.37,3363080744.3
2019-03-27,'300061,康旗股份,8.47,8.82,8.39,8.59,8.69,-0.22,-2.5316,1.397,5750610,49297609.07,5803723287.67,3486572081.3
