日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300107,建新股份,12.64,12.77,12.09,12.52,12.53,0.11,0.8779,2.1529,11788147,148451711.41,6936106742.08,6921001942.08
2019-04-25,'300107,建新股份,12.53,13.3,12.5,13.3,13.35,-0.82,-6.1423,3.4327,18795753,242363767.25,6875745053.66,6860771703.66
2019-04-24,'300107,建新股份,13.35,13.5,13.04,13.44,13.43,-0.08,-0.5957,2.441,13365880,177297995.17,7325714003.7,7309760753.7
2019-04-23,'300107,建新股份,13.43,13.47,13.12,13.38,13.25,0.18,1.3585,2.8706,15718008,209213907.6,7369613413.46,7353564563.46
2019-04-22,'300107,建新股份,13.25,13.61,13.16,13.6,13.6,-0.35,-2.5735,3.1799,17392005,232099590.45,7262727773.5,7246894023.5
2019-04-19,'300107,建新股份,13.6,13.75,13.2,13.3,13.52,0.08,0.5917,4.4118,24129439,326199275.12,7454573412.8,7438321412.8
2019-04-18,'300107,建新股份,13.52,13.57,13.06,13.19,13.32,0.2,1.5015,5.1422,28124512,376197636.72,7410722980.96,7394566580.96
2019-04-17,'300107,建新股份,13.32,13.61,13.0,13.2,13.1,0.22,1.6794,5.4345,29723268,395566450.04,7301096901.36,7285179501.36
2019-04-16,'300107,建新股份,13.1,13.16,12.69,12.74,12.88,0.22,1.7081,3.2448,17747215,230661374.94,7180508213.8,7164853713.8
2019-04-15,'300107,建新股份,12.88,13.55,12.86,13.48,13.24,-0.36,-2.719,4.2211,23086708,304856251.98,7059919526.24,7044527926.24
2019-04-12,'300107,建新股份,13.24,13.6,13.09,13.09,13.19,0.05,0.3791,3.8865,21256542,283509618.96,7257246469.52,7241424669.52
2019-04-11,'300107,建新股份,13.19,13.89,13.14,13.69,14.03,-0.84,-5.9872,7.6329,41746911,562427899.05,7229839949.62,7214077899.62
2019-04-10,'300107,建新股份,14.03,14.94,13.71,14.3,15.23,-1.2,-7.8792,13.3942,73257639,1031628965.87,7690269483.94,7673503633.94
2019-04-09,'300107,建新股份,15.23,15.98,14.3,15.0,14.81,0.42,2.8359,13.7197,75037759,1146154681.6,8348025961.54,8329826111.54
2019-04-08,'300107,建新股份,14.81,14.81,14.21,14.81,13.46,1.35,10.0297,3.9261,21473177,317917231.85,8117811194.38,8100113244.38
2019-04-04,'300107,建新股份,13.46,13.65,12.94,13.11,12.88,0.58,4.5031,9.1607,50103256,670979890.2,7377835157.08,7361750457.08
2019-04-03,'300107,建新股份,12.88,13.07,12.73,13.07,13.04,-0.16,-1.227,6.0987,33355920,429406519.01,7059919526.24,7044527926.24
2019-04-02,'300107,建新股份,13.04,13.3,12.71,13.05,12.75,0.29,2.2745,9.2368,50519143,656736769.32,7147620389.92,7132037589.92
2019-04-01,'300107,建新股份,12.75,12.84,12.15,12.25,12.17,0.58,4.7658,8.2493,45118192,568265219.9,6988662574.5,6973426324.5
2019-03-29,'300107,建新股份,12.17,12.28,11.56,12.0,12.15,0.02,0.1646,5.0849,27811212,332919838.41,6670746943.66,6656203793.66
2019-03-28,'300107,建新股份,12.15,12.48,12.0,12.18,11.96,0.19,1.5886,5.7656,31534332,387398674.79,6659784335.7,6645265085.7
2019-03-27,'300107,建新股份,11.96,12.0,11.5,11.63,11.54,0.42,3.6395,3.81,20838295,246037849.62,6555639560.08,6541347360.08
2019-03-26,'300107,建新股份,11.54,12.35,11.5,12.21,12.13,-0.59,-4.864,4.0306,22044551,260528345.67,6325424792.92,6311634492.92
2019-03-25,'300107,建新股份,12.13,12.49,12.0,12.1,12.42,-0.29,-2.3349,3.3663,18411608,225582316.43,6648821727.74,6634326377.74
2019-03-22,'300107,建新股份,12.42,12.86,12.36,12.56,12.17,0.25,2.0542,5.9532,32559959,408199383.99,6807779543.16,6792937643.16
2019-03-21,'300107,建新股份,12.17,12.27,12.1,12.23,12.17,0.0,0.0,3.1522,17240640,210150988.36,6670746943.66,6656203793.66
2019-03-20,'300107,建新股份,12.17,12.35,12.01,12.22,12.24,-0.07,-0.5719,2.7377,14973327,181996655.71,6670746943.66,6656203793.66
2019-03-19,'300107,建新股份,12.24,12.55,12.16,12.45,12.44,-0.2,-1.6077,3.5939,19656128,241885288.95,6709116071.52,6694489271.52
2019-03-18,'300107,建新股份,12.44,12.46,12.05,12.38,12.43,0.01,0.0805,4.5533,24903790,304890745.16,6818742151.12,6803876351.12
2019-03-15,'300107,建新股份,12.43,12.66,12.0,12.2,12.99,-0.56,-4.311,6.854,37486800,465767888.59,6813260847.14,6798406997.14
2019-03-14,'300107,建新股份,12.99,13.16,12.41,13.08,13.0,-0.01,-0.0769,4.929,26944362,344002149.28,7116451810.14,7100928760.14
2019-03-13,'300107,建新股份,13.0,13.43,12.33,12.53,12.5,0.5,4.0,7.6552,41846891,541290096.1,7121930218.0,7106395218.0
2019-03-12,'300107,建新股份,12.5,12.66,12.15,12.38,12.36,0.14,1.1327,6.3257,34579248,429007462.67,6848009825.0,6833072325.0
2019-03-11,'300107,建新股份,12.36,12.4,11.57,11.58,11.41,0.95,8.326,6.6748,36487416,441268493.68,6771312114.96,6756541914.96
