日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603015,弘讯科技,7.16,7.28,7.11,7.12,7.15,0.01,0.1399,0.4817,1936074,13903897.0,2915201160.0,2877611160.0
2019-04-25,'603015,弘讯科技,7.15,7.63,7.14,7.62,7.61,-0.46,-6.0447,0.9279,3729200,27659315.0,2911129650.0,2873592150.0
2019-04-24,'603015,弘讯科技,7.61,7.77,7.42,7.68,7.78,-0.17,-2.1851,1.2758,5127548,38776245.0,3098419110.0,3058466610.0
2019-04-23,'603015,弘讯科技,7.78,8.01,7.72,7.99,8.03,-0.25,-3.1133,0.9024,3626600,28321004.0,3167634780.0,3126789780.0
2019-04-22,'603015,弘讯科技,8.03,8.2,7.99,8.16,8.08,-0.05,-0.6188,1.0159,4083100,33019997.0,3269422530.0,3227265030.0
2019-04-19,'603015,弘讯科技,8.08,8.19,7.96,8.09,8.24,-0.16,-1.9417,1.607,6458652,52141738.0,3289780080.0,3247360080.0
2019-04-18,'603015,弘讯科技,8.24,8.79,8.15,8.16,8.0,0.24,3.0,3.3341,13399651,111982661.0,3354924240.0,3311664240.0
2019-04-17,'603015,弘讯科技,8.0,8.05,7.86,7.9,7.89,0.11,1.3942,1.0698,4299650,34187576.0,3257208000.0,3215208000.0
2019-04-16,'603015,弘讯科技,7.89,7.91,7.61,7.72,7.75,0.14,1.8065,0.739,2969903,23111339.0,3212421390.0,3170998890.0
2019-04-15,'603015,弘讯科技,7.75,7.97,7.7,7.77,7.68,0.07,0.9115,0.9257,3720272,29262162.0,3155420250.0,3114732750.0
2019-04-12,'603015,弘讯科技,7.68,7.8,7.62,7.7,7.76,-0.08,-1.0309,0.6975,2803452,21570823.0,3126919680.0,3086599680.0
2019-04-11,'603015,弘讯科技,7.76,8.05,7.74,8.03,7.99,-0.23,-2.8786,1.0132,4071948,32068888.0,3159491760.0,3118751760.0
2019-04-10,'603015,弘讯科技,7.99,8.05,7.9,7.98,8.04,-0.05,-0.6219,1.0875,4370601,34900730.0,3253136490.0,3211188990.0
2019-04-09,'603015,弘讯科技,8.04,8.05,7.85,7.94,7.93,0.11,1.3871,1.0737,4315400,34361690.0,3273494040.0,3231284040.0
2019-04-08,'603015,弘讯科技,7.93,8.17,7.85,8.06,8.01,-0.08,-0.9988,1.6937,6806992,54495740.0,3228707430.0,3187074930.0
2019-04-04,'603015,弘讯科技,8.01,8.07,7.91,8.05,8.05,-0.04,-0.4969,1.3516,5431900,43427531.0,3261279510.0,3219227010.0
2019-04-03,'603015,弘讯科技,8.05,8.06,7.84,7.91,7.9,0.15,1.8987,1.3958,5609629,44487555.0,3277565550.0,3235303050.0
2019-04-02,'603015,弘讯科技,7.9,7.99,7.84,7.95,7.94,-0.04,-0.5038,1.6009,6434001,50887976.0,3216492900.0,3175017900.0
2019-04-01,'603015,弘讯科技,7.94,8.0,7.77,7.77,7.72,0.22,2.8497,1.7301,6953300,55029924.0,3232778940.0,3191093940.0
2019-03-29,'603015,弘讯科技,7.72,7.72,7.41,7.51,7.52,0.2,2.6596,1.3108,5268002,39968551.0,3143205720.0,3102675720.0
