日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'200869,张 裕Ｂ,17.8,18.05,17.67,18.05,18.05,-0.25,-1.385,0.1564,362822,6462843.32,10469046431.4,3543369561.39
2019-04-25,'200869,张 裕Ｂ,18.05,18.35,18.0,18.22,18.36,-0.31,-1.6885,0.1533,355697,6464981.94,10621032650.4,3594811050.92
2019-04-24,'200869,张 裕Ｂ,18.36,18.42,18.16,18.33,18.4,-0.04,-0.2174,0.0777,180296,3291905.66,10786327975.6,3650757160.98
2019-04-23,'200869,张 裕Ｂ,18.4,18.49,18.2,18.43,18.43,-0.03,-0.1628,0.1619,375600,6907690.0,10784602525.6,3650173162.52
2019-04-22,'200869,张 裕Ｂ,18.43,18.88,18.37,18.39,18.15,0.28,1.5427,0.2506,581310,10792955.5,10793848269.7,3653302491.28
2019-04-19,'200869,张 裕Ｂ,18.15,18.31,18.05,18.28,18.28,-0.13,-0.7112,0.0596,138190,2510379.5,10631976425.9,3598515098.01
2019-04-18,'200869,张 裕Ｂ,18.28,18.4,17.98,18.0,18.01,0.27,1.4992,0.2382,552692,10097534.95,10685699118.6,3616698163.2
2019-04-17,'200869,张 裕Ｂ,18.01,18.05,17.75,17.8,17.73,0.28,1.5792,0.0874,202680,3638805.0,10561818088.8,3574769199.28
2019-04-16,'200869,张 裕Ｂ,17.73,17.88,17.38,17.5,17.54,0.19,1.0832,0.1281,297215,5220448.81,10403934068.9,3521331531.02
2019-04-15,'200869,张 裕Ｂ,17.54,17.9,17.54,17.77,17.66,-0.12,-0.6795,0.111,257613,4582576.62,10287753404.6,3482008844.65
2019-04-12,'200869,张 裕Ｂ,17.66,17.74,17.56,17.61,17.61,0.05,0.2839,0.0913,211933,3739982.45,10372663475.4,3510747637.84
2019-04-11,'200869,张 裕Ｂ,17.61,18.09,17.6,18.09,18.01,-0.4,-2.221,0.0806,187000,3320307.0,10331828328.6,3496926511.2
2019-04-10,'200869,张 裕Ｂ,18.01,18.17,17.69,17.9,17.9,0.11,0.6145,0.1974,458075,8208526.86,10569472116.9,3577359793.41
2019-04-09,'200869,张 裕Ｂ,17.9,17.96,17.7,17.91,17.93,-0.03,-0.1673,0.1659,384860,6873114.68,10501358518.9,3554305960.23
2019-04-08,'200869,张 裕Ｂ,17.93,18.47,17.93,18.39,18.28,-0.35,-1.9147,0.2409,558822,10116326.52,10522154057.2,3561344450.11
2019-04-04,'200869,张 裕Ｂ,18.28,18.49,18.15,18.22,18.34,-0.06,-0.3272,0.1827,423885,7757782.46,10704369238.6,3623017280.76
2019-04-03,'200869,张 裕Ｂ,18.34,18.35,17.91,17.91,17.89,0.45,2.5154,0.1686,391254,7124133.01,10761755325.0,3642440263.86
2019-04-02,'200869,张 裕Ｂ,17.89,18.1,17.76,18.1,18.0,-0.11,-0.6111,0.1189,275903,4939276.16,10492426100.4,3551282680.13
2019-04-01,'200869,张 裕Ｂ,18.0,18.16,17.5,17.6,17.55,0.45,2.5641,0.2308,535509,9586705.4,10561629312.0,3574705305.6
2019-03-29,'200869,张 裕Ｂ,17.55,17.55,17.1,17.1,17.14,0.41,2.3921,0.1321,306540,5331717.63,10319122088.0,3492625937.49
2019-03-28,'200869,张 裕Ｂ,17.14,17.27,17.1,17.25,17.2,-0.06,-0.3488,0.0547,127000,2181188.0,10067474612.9,3407452945.9
2019-03-27,'200869,张 裕Ｂ,17.2,17.32,17.0,17.05,17.04,0.16,0.939,0.0982,227900,3912884.2,10085385375.9,3413515050.32
2019-03-26,'200869,张 裕Ｂ,17.04,17.3,17.04,17.17,17.09,-0.05,-0.2926,0.1394,323300,5559490.0,9977201060.49,3376898820.47
2019-03-25,'200869,张 裕Ｂ,17.09,17.33,17.09,17.3,17.35,-0.26,-1.4986,0.1116,258900,4454209.9,10017722881.8,3390613898.44
2019-03-22,'200869,张 裕Ｂ,17.35,17.45,17.15,17.32,17.38,-0.03,-0.1726,0.0691,160211,2764582.76,10146699445.3,3434267504.55
2019-03-21,'200869,张 裕Ｂ,17.38,17.48,17.27,17.36,17.36,0.02,0.1152,0.0863,200295,3481653.4,10146493257.7,3434197717.99
2019-03-20,'200869,张 裕Ｂ,17.36,17.55,17.05,17.06,17.05,0.31,1.8182,0.1477,342629,5935451.92,10171944124.7,3442811857.61
2019-03-19,'200869,张 裕Ｂ,17.05,17.38,16.92,17.38,17.27,-0.22,-1.2739,0.0988,229200,3920780.9,9984692428.0,3379434360.24
2019-03-18,'200869,张 裕Ｂ,17.27,17.37,16.59,16.69,16.69,0.58,3.4751,0.2319,538129,9234215.34,10117552076.5,3424402241.28
2019-03-15,'200869,张 裕Ｂ,16.69,16.89,16.63,16.63,16.77,-0.08,-0.477,0.1456,337705,5664185.6,9789087666.95,3313229671.89
2019-03-14,'200869,张 裕Ｂ,16.77,16.94,16.71,16.8,16.9,-0.13,-0.7692,0.0631,146500,2461357.0,9813019134.49,3321329553.21
2019-03-13,'200869,张 裕Ｂ,16.9,17.18,16.62,17.18,17.02,-0.12,-0.7051,0.0418,96950,1642866.5,9904380381.17,3352251821.32
2019-03-12,'200869,张 裕Ｂ,17.02,17.22,16.93,16.95,16.94,0.08,0.4723,0.1481,343691,5882775.45,9976807329.97,3376765557.83
2019-03-11,'200869,张 裕Ｂ,16.94,16.94,16.57,16.57,16.66,0.28,1.6807,0.1063,246694,4144643.9,9940711755.37,3364548594.13
2019-03-08,'200869,张 裕Ｂ,16.66,16.92,16.66,16.9,17.07,-0.41,-2.4019,0.1573,365000,6129214.0,9781312997.17,3310598245.19
2019-03-07,'200869,张 裕Ｂ,17.07,17.32,16.94,17.32,17.36,-0.29,-1.6705,0.225,521977,8903293.86,10003542208.2,3385814285.84
2019-03-06,'200869,张 裕Ｂ,17.36,17.47,17.15,17.47,17.35,0.01,0.0576,0.2046,474651,8187203.94,10164804331.7,3440395312.27
2019-03-05,'200869,张 裕Ｂ,17.35,17.44,17.2,17.25,17.34,0.01,0.0577,0.1152,267200,4619529.0,10150980853.4,3435716596.54
2019-03-04,'200869,张 裕Ｂ,17.34,17.49,17.22,17.36,17.21,0.13,0.7554,0.1601,371470,6456386.8,10153688024.9,3436632869.98
2019-03-01,'200869,张 裕Ｂ,17.21,17.32,17.08,17.32,17.05,0.16,0.9384,0.0712,165281,2838025.2,10062346725.3,3405717353.16
2019-02-28,'200869,张 裕Ｂ,17.05,17.13,17.0,17.03,17.05,0.0,0.0,0.0587,136141,2318729.02,9961084362.37,3371443938.03
2019-02-27,'200869,张 裕Ｂ,17.05,17.35,17.01,17.25,17.14,-0.09,-0.5251,0.1515,351546,6055272.2,9954773295.32,3369307884.57
2019-02-26,'200869,张 裕Ｂ,17.14,17.49,17.11,17.39,17.41,-0.27,-1.5508,0.1689,391950,6753928.01,10022006551.9,3392063756.04
2019-02-25,'200869,张 裕Ｂ,17.41,17.5,16.87,16.87,16.75,0.66,3.9403,0.1699,394226,6822128.78,10207924198.6,3454989728.77
2019-02-22,'200869,张 裕Ｂ,16.75,16.83,16.5,16.55,16.58,0.17,1.0253,0.1151,266930,4438168.9,9824968005.84,3325373786.59
2019-02-21,'200869,张 裕Ｂ,16.58,16.8,16.26,16.34,16.44,0.14,0.8516,0.1005,233148,3864769.83,9733889307.42,3294547150.2
2019-02-20,'200869,张 裕Ｂ,16.44,16.47,16.34,16.4,16.41,0.03,0.1828,0.0897,208080,3411377.76,9699703298.44,3282976501.01
2019-02-19,'200869,张 裕Ｂ,16.41,16.56,16.34,16.5,16.5,-0.09,-0.5455,0.0809,187600,3084007.0,9695276297.74,3281478131.54
2019-02-18,'200869,张 裕Ｂ,16.5,16.61,16.02,16.1,16.02,0.48,2.9963,0.1112,257950,4220177.7,9750598589.16,3300202599.41
2019-02-15,'200869,张 裕Ｂ,16.02,16.35,16.02,16.2,16.2,-0.18,-1.1111,0.1068,247800,4014861.64,9462771981.37,3202784362.93
2019-02-14,'200869,张 裕Ｂ,16.2,16.29,16.0,16.02,16.0,0.2,1.25,0.1139,264287,4278964.87,9585418901.76,3244295628.29
