日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600662,强生控股,5.18,5.24,5.15,5.17,5.16,0.02,0.3876,0.781,8226835,42701170.0,5456416149.38,5456416149.38
2019-04-25,'600662,强生控股,5.16,5.52,5.12,5.52,5.51,-0.35,-6.3521,1.2917,13605954,72447707.0,5435348905.56,5435348905.56
2019-04-24,'600662,强生控股,5.51,5.6,5.37,5.57,5.56,-0.05,-0.8993,1.1516,12130020,66363985.0,5804025672.41,5804025672.41
2019-04-23,'600662,强生控股,5.56,5.67,5.51,5.57,5.54,0.02,0.361,1.318,13883757,77811632.0,5856693781.96,5856693781.96
2019-04-22,'600662,强生控股,5.54,5.75,5.5,5.73,5.74,-0.2,-3.4843,1.4875,15668783,87938215.0,5835626538.14,5835626538.14
2019-04-19,'600662,强生控股,5.74,5.79,5.65,5.74,5.75,-0.01,-0.1739,0.7015,7389005,42240859.0,6046298976.34,6046298976.34
2019-04-18,'600662,强生控股,5.75,5.87,5.73,5.79,5.8,-0.05,-0.8621,1.2425,13087872,75831148.0,6056832598.25,6056832598.25
2019-04-17,'600662,强生控股,5.8,5.84,5.62,5.66,5.69,0.11,1.9332,1.9237,20263612,116537541.0,6109500707.8,6109500707.8
2019-04-16,'600662,强生控股,5.69,5.69,5.47,5.6,5.68,0.01,0.1761,1.6417,17293304,96562750.0,5993630866.79,5993630866.79
2019-04-15,'600662,强生控股,5.68,5.92,5.67,5.88,5.76,-0.08,-1.3889,1.811,19075977,110732979.0,5983097244.88,5983097244.88
2019-04-12,'600662,强生控股,5.76,5.87,5.72,5.75,5.68,0.08,1.4085,1.2841,13526000,78298509.0,6067366220.16,6067366220.16
2019-04-11,'600662,强生控股,5.68,5.9,5.68,5.75,5.8,-0.12,-2.069,1.8107,19073689,110450259.0,5983097244.88,5983097244.88
2019-04-10,'600662,强生控股,5.8,5.86,5.69,5.75,5.75,0.05,0.8696,1.6778,17673655,102406839.0,6109500707.8,6109500707.8
2019-04-09,'600662,强生控股,5.75,5.87,5.66,5.85,5.89,-0.14,-2.3769,2.0664,21766461,125778315.0,6056832598.25,6056832598.25
2019-04-08,'600662,强生控股,5.89,6.18,5.79,5.9,5.9,-0.01,-0.1695,3.6403,38345585,227954519.0,6204303304.99,6204303304.99
2019-04-04,'600662,强生控股,5.9,5.98,5.71,5.9,5.84,0.06,1.0274,3.795,39974807,233695490.0,6214836926.9,6214836926.9
2019-04-03,'600662,强生控股,5.84,6.0,5.42,5.5,5.51,0.33,5.9891,4.4214,46572840,268930794.0,6151635195.44,6151635195.44
2019-04-02,'600662,强生控股,5.51,5.62,5.47,5.5,5.51,0.0,0.0,1.7728,18674088,103500837.0,5804025672.41,5804025672.41
2019-04-01,'600662,强生控股,5.51,5.54,5.36,5.37,5.38,0.13,2.4164,1.8851,19857332,108636661.0,5804025672.41,5804025672.41
2019-03-29,'600662,强生控股,5.38,5.44,5.16,5.23,5.24,0.14,2.6718,1.4449,15220279,80856070.0,5667088587.58,5667088587.58
2019-03-28,'600662,强生控股,5.24,5.4,5.17,5.36,5.39,-0.15,-2.7829,1.2276,12931401,68523559.0,5519617880.84,5519617880.84
2019-03-27,'600662,强生控股,5.39,5.41,5.26,5.36,5.35,0.04,0.7477,1.2166,12815144,68483953.0,5677622209.49,5677622209.49
2019-03-26,'600662,强生控股,5.35,5.65,5.3,5.6,5.6,-0.25,-4.4643,2.372,24985581,136104699.0,5635487721.85,5635487721.85
2019-03-25,'600662,强生控股,5.6,5.81,5.6,5.68,5.8,-0.2,-3.4483,2.4656,25971586,147549264.0,5898828269.6,5898828269.6
2019-03-22,'600662,强生控股,5.8,5.88,5.6,5.63,5.67,0.13,2.2928,3.5824,37735178,216922989.0,6109500707.8,6109500707.8
2019-03-21,'600662,强生控股,5.67,5.79,5.53,5.6,5.65,0.02,0.354,3.5037,36907095,209714383.0,5972563622.97,5972563622.97
2019-03-20,'600662,强生控股,5.65,5.77,5.51,5.66,5.84,-0.19,-3.2534,4.2797,45081206,254060035.0,5951496379.15,5951496379.15
2019-03-19,'600662,强生控股,5.84,6.06,5.43,5.51,5.62,0.22,3.9146,6.6989,70564107,405645140.0,6151635195.44,6151635195.44
2019-03-18,'600662,强生控股,5.62,6.04,5.55,5.7,5.49,0.13,2.3679,8.6739,91367520,529409496.0,5919895513.42,5919895513.42
2019-03-15,'600662,强生控股,5.49,5.49,5.1,5.13,4.99,0.5,10.02,2.9687,31270867,169451105.0,5782958428.59,5782958428.59
2019-03-14,'600662,强生控股,4.99,5.27,4.93,5.11,5.17,-0.18,-3.4816,2.1257,22391199,113179102.0,5256277333.09,5256277333.09
2019-03-13,'600662,强生控股,5.17,5.46,5.08,5.17,5.13,0.04,0.7797,3.3399,35181714,184929601.0,5445882527.47,5445882527.47
2019-03-12,'600662,强生控股,5.13,5.21,5.05,5.12,5.1,0.03,0.5882,1.842,19403111,99729502.0,5403748039.83,5403748039.83
2019-03-11,'600662,强生控股,5.1,5.12,4.86,4.86,4.86,0.24,4.9383,1.922,20245645,101487657.0,5372147174.1,5372147174.1
2019-03-08,'600662,强生控股,4.86,5.21,4.85,5.2,5.29,-0.43,-8.1285,2.8728,30261011,153168486.0,5119340248.26,5119340248.26
2019-03-07,'600662,强生控股,5.29,5.45,5.1,5.13,5.11,0.18,3.5225,2.6929,28366015,150418347.0,5572285990.39,5572285990.39
2019-03-06,'600662,强生控股,5.11,5.18,4.99,5.12,5.09,0.02,0.3929,2.4338,25636903,130254056.0,5382680796.01,5382680796.01
2019-03-05,'600662,强生控股,5.09,5.16,4.83,4.84,4.88,0.21,4.3033,2.452,25828787,129276893.0,5361613552.19,5361613552.19
2019-03-04,'600662,强生控股,4.88,4.98,4.83,4.85,4.83,0.05,1.0352,2.1627,22780551,111397080.0,5140407492.08,5140407492.08
2019-03-01,'600662,强生控股,4.83,4.9,4.74,4.86,4.86,-0.03,-0.6173,1.2604,13277051,64020605.0,5087739382.53,5087739382.53
2019-02-28,'600662,强生控股,4.86,4.92,4.79,4.81,4.81,0.05,1.0395,1.26,13272256,64243941.0,5119340248.26,5119340248.26
2019-02-27,'600662,强生控股,4.81,4.92,4.76,4.76,4.75,0.06,1.2632,1.7259,18179850,87907571.0,5066672138.71,5066672138.71
2019-02-26,'600662,强生控股,4.75,4.94,4.73,4.94,4.82,-0.07,-1.4523,2.0888,22002482,106341359.0,5003470407.25,5003470407.25
2019-02-25,'600662,强生控股,4.82,4.82,4.61,4.65,4.6,0.22,4.7826,2.2238,23424811,111247158.0,5077205760.62,5077205760.62
