日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300634,彩讯股份,26.28,26.96,26.15,26.63,26.48,-0.2,-0.7553,0.9417,1987028,52643858.16,10512262800.0,5545342800.0
2019-04-25,'300634,彩讯股份,26.48,28.34,26.31,28.2,28.38,-1.9,-6.6949,1.438,3034337,82848865.53,10592264800.0,5587544800.0
2019-04-24,'300634,彩讯股份,28.38,28.39,27.6,27.88,27.7,0.68,2.4549,1.0035,2117558,59408334.8,11352283800.0,5988463800.0
2019-04-23,'300634,彩讯股份,27.7,28.55,27.62,28.01,28.2,-0.5,-1.773,1.1491,2424642,68167035.1,11080277000.0,5844977000.0
2019-04-22,'300634,彩讯股份,28.2,29.78,28.09,29.71,29.56,-1.36,-4.6008,1.6367,3453667,99553957.13,11280282000.0,5950482000.0
2019-04-19,'300634,彩讯股份,29.56,30.15,29.42,30.03,30.14,-0.58,-1.9244,1.4225,3001524,89094091.65,11824295600.0,6237455600.0
2019-04-18,'300634,彩讯股份,30.14,30.55,29.39,30.09,30.06,0.08,0.2661,2.2875,4826749,145260606.01,12056301400.0,6359841400.0
2019-04-17,'300634,彩讯股份,30.06,31.2,29.99,30.7,30.43,-0.37,-1.2159,2.2511,4750038,144043045.59,12024300600.0,6342960600.0
2019-04-16,'300634,彩讯股份,30.43,30.55,29.03,29.08,29.67,0.76,2.5615,2.728,5756370,172701183.65,12172304300.0,6421034300.0
2019-04-15,'300634,彩讯股份,29.67,31.26,29.54,30.38,30.02,-0.35,-1.1659,3.7583,7930337,240522922.03,11868296700.0,6260666700.0
2019-04-12,'300634,彩讯股份,30.02,30.1,28.0,28.04,28.41,1.61,5.667,3.8746,8175775,239930053.05,12008300200.0,6334520200.0
2019-04-11,'300634,彩讯股份,28.41,29.36,27.18,27.9,28.01,0.4,1.4281,2.0071,4235145,119796937.39,11364284100.0,5994794100.0
2019-04-10,'300634,彩讯股份,28.01,28.12,27.35,27.5,27.58,0.43,1.5591,1.1317,2388057,66525600.66,11204280100.0,5910390100.0
2019-04-09,'300634,彩讯股份,27.58,28.0,27.2,27.7,27.42,0.16,0.5835,1.0162,2144344,59395855.55,11032275800.0,5819655800.0
2019-04-08,'300634,彩讯股份,27.42,28.85,27.08,28.55,28.51,-1.09,-3.8232,1.3705,2891831,80456081.81,10968274200.0,5785894200.0
