日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002330,得利斯,8.3,8.81,7.93,8.7,8.8,-0.5,-5.6818,7.0631,35456729,296029018.2,4166600000.0,4166600000.0
2019-04-25,'002330,得利斯,8.8,8.81,7.62,7.72,8.01,0.79,9.8627,9.6203,48294152,405432740.05,4417600000.0,4417600000.0
2019-04-24,'002330,得利斯,8.01,8.41,7.3,7.47,7.65,0.36,4.7059,8.233,41329817,323715069.35,4021020000.0,4021020000.0
2019-04-23,'002330,得利斯,7.65,7.65,6.6,6.8,6.95,0.7,10.0719,8.3879,42107500,309588738.46,3840300000.0,3840300000.0
2019-04-22,'002330,得利斯,6.95,7.06,6.51,6.51,6.51,0.44,6.7588,3.8948,19551726,133645892.72,3488900000.0,3488900000.0
2019-04-19,'002330,得利斯,6.51,6.63,6.4,6.51,6.6,-0.09,-1.3636,1.4758,7408654,48178959.41,3268020000.0,3268020000.0
2019-04-18,'002330,得利斯,6.6,6.72,6.39,6.47,6.45,0.15,2.3256,2.4816,12457573,82338230.75,3313200000.0,3313200000.0
2019-04-17,'002330,得利斯,6.45,6.76,6.36,6.46,6.64,-0.19,-2.8614,3.1932,16029994,104758704.96,3237900000.0,3237900000.0
2019-04-16,'002330,得利斯,6.64,6.79,6.01,6.19,6.17,0.47,7.6175,3.8269,19210853,125650451.95,3333280000.0,3333280000.0
2019-04-15,'002330,得利斯,6.17,6.31,6.11,6.24,6.24,-0.07,-1.1218,1.2095,6071570,37664460.8,3097340000.0,3097340000.0
2019-04-12,'002330,得利斯,6.24,6.48,6.08,6.13,6.13,0.11,1.7945,1.5901,7982455,49788914.38,3132480000.0,3132480000.0
2019-04-11,'002330,得利斯,6.13,6.28,6.1,6.1,6.12,0.01,0.1634,1.0923,5483483,33759176.18,3077260000.0,3077260000.0
2019-04-10,'002330,得利斯,6.12,6.23,6.1,6.18,6.28,-0.16,-2.5478,1.2119,6083545,37359657.13,3072240000.0,3072240000.0
2019-04-09,'002330,得利斯,6.28,6.45,6.2,6.34,6.56,-0.28,-4.2683,2.0512,10297254,64707896.81,3152560000.0,3152560000.0
2019-04-08,'002330,得利斯,6.56,6.66,6.11,6.13,6.13,0.43,7.0147,3.5203,17672100,112459346.71,3293120000.0,3293120000.0
2019-04-04,'002330,得利斯,6.13,6.22,6.02,6.15,6.08,0.05,0.8224,1.2292,6170793,37700058.86,3077260000.0,3077260000.0
2019-04-03,'002330,得利斯,6.08,6.09,5.93,5.93,5.98,0.1,1.6722,0.8223,4127902,24821538.01,3052160000.0,3052160000.0
2019-04-02,'002330,得利斯,5.98,6.15,5.95,6.09,6.04,-0.06,-0.9934,0.9712,4875516,29208449.44,3001960000.0,3001960000.0
2019-04-01,'002330,得利斯,6.04,6.09,5.87,5.94,5.87,0.17,2.8961,1.0029,5034602,30248122.91,3032080000.0,3032080000.0
2019-03-29,'002330,得利斯,5.87,5.95,5.68,5.68,5.73,0.14,2.4433,0.9434,4735675,27673571.0,2946740000.0,2946740000.0
2019-03-28,'002330,得利斯,5.73,5.84,5.64,5.75,5.78,-0.05,-0.8651,0.7023,3525300,20250484.0,2876460000.0,2876460000.0
2019-03-27,'002330,得利斯,5.78,5.99,5.71,5.9,5.97,-0.19,-3.1826,1.3273,6663213,38794718.82,2901560000.0,2901560000.0
2019-03-26,'002330,得利斯,5.97,6.25,5.95,6.07,6.07,-0.1,-1.6474,1.114,5592100,34100935.98,2996940000.0,2996940000.0
2019-03-25,'002330,得利斯,6.07,6.51,6.06,6.12,6.12,-0.05,-0.817,1.7834,8952639,55663028.75,3047140000.0,3047140000.0
2019-03-22,'002330,得利斯,6.12,6.18,6.02,6.09,6.11,0.01,0.1637,0.941,4723600,28923081.74,3072240000.0,3072240000.0
2019-03-21,'002330,得利斯,6.11,6.11,5.9,5.9,5.92,0.19,3.2095,1.1977,6012340,36307175.19,3067220000.0,3067220000.0
2019-03-20,'002330,得利斯,5.92,6.09,5.8,6.09,6.09,-0.17,-2.7915,1.1472,5758800,34204157.06,2971840000.0,2971840000.0
2019-03-19,'002330,得利斯,6.09,6.12,5.98,6.09,6.09,0.0,0.0,0.7526,3778024,22876608.98,3057180000.0,3057180000.0
2019-03-18,'002330,得利斯,6.09,6.14,5.91,6.02,5.99,0.1,1.6694,0.6713,3369835,20353097.35,3057180000.0,3057180000.0
2019-03-15,'002330,得利斯,5.99,6.18,5.85,5.85,5.97,0.02,0.335,0.8896,4465839,27066443.32,3006980000.0,3006980000.0
2019-03-14,'002330,得利斯,5.97,6.1,5.76,6.0,6.21,-0.24,-3.8647,1.6199,8131812,48364477.57,2996940000.0,2996940000.0
2019-03-13,'002330,得利斯,6.21,6.63,6.2,6.5,6.71,-0.5,-7.4516,2.7531,13820551,88655898.75,3117420000.0,3117420000.0
2019-03-12,'002330,得利斯,6.71,6.73,6.04,6.16,6.18,0.53,8.5761,3.3296,16714750,106376587.16,3368420000.0,3368420000.0
2019-03-11,'002330,得利斯,6.18,6.4,5.9,6.3,6.07,0.11,1.8122,2.3637,11865842,72967922.85,3102360000.0,3102360000.0
2019-03-08,'002330,得利斯,6.07,6.46,5.72,5.81,5.98,0.09,1.505,3.2765,16448217,101160835.28,3047140000.0,3047140000.0
2019-03-07,'002330,得利斯,5.98,6.07,5.87,5.9,5.97,0.01,0.1675,2.6101,13102852,78203598.98,3001960000.0,3001960000.0
2019-03-06,'002330,得利斯,5.97,6.15,5.71,6.03,5.81,0.16,2.7539,3.9381,19769078,117599141.33,2996940000.0,2996940000.0
2019-03-05,'002330,得利斯,5.81,5.81,5.22,5.22,5.28,0.53,10.0379,2.9042,14579009,81459368.78,2916620000.0,2916620000.0
2019-03-04,'002330,得利斯,5.28,5.38,5.18,5.23,5.23,0.05,0.956,1.9379,9728498,51449209.56,2650560000.0,2650560000.0
2019-03-01,'002330,得利斯,5.23,5.31,5.14,5.22,5.24,-0.01,-0.1908,1.083,5436501,28421363.18,2625460000.0,2625460000.0
2019-02-28,'002330,得利斯,5.24,5.34,5.2,5.21,5.31,-0.07,-1.3183,1.4579,7318426,38513076.84,2630480000.0,2630480000.0
2019-02-27,'002330,得利斯,5.31,5.31,5.05,5.15,5.22,0.09,1.7241,3.3152,16642511,86204179.57,2665620000.0,2665620000.0
2019-02-26,'002330,得利斯,5.22,5.36,5.15,5.3,5.38,-0.16,-2.974,3.7376,18762614,98539046.07,2620440000.0,2620440000.0
2019-02-25,'002330,得利斯,5.38,5.46,4.95,5.08,5.05,0.33,6.5347,4.7993,24092692,124148846.26,2700760000.0,2700760000.0
2019-02-22,'002330,得利斯,5.05,5.28,4.8,4.85,4.93,0.12,2.4341,3.173,15928315,80244977.59,2535100000.0,2535100000.0
2019-02-21,'002330,得利斯,4.93,5.33,4.72,4.8,4.88,0.05,1.0246,3.7622,18886299,94023940.1,2474860000.0,2474860000.0
2019-02-20,'002330,得利斯,4.88,4.95,4.7,4.83,4.85,0.03,0.6186,2.4383,12240451,59367969.45,2449760000.0,2449760000.0
2019-02-19,'002330,得利斯,4.85,5.04,4.83,4.88,4.99,-0.14,-2.8056,3.206,16094246,78885153.66,2434700000.0,2434700000.0
