日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002177,御银股份,6.03,6.18,5.79,5.79,5.86,0.17,2.901,7.8889,60049494,362442693.67,4589983502.82,4589983502.82
2019-04-25,'002177,御银股份,5.86,6.23,5.77,6.2,6.24,-0.38,-6.0897,6.0896,46353151,279502526.81,4460580982.84,4460580982.84
2019-04-24,'002177,御银股份,6.24,6.24,6.01,6.15,6.05,0.19,3.1405,5.6896,43308645,266515745.47,4749833674.56,4749833674.56
2019-04-23,'002177,御银股份,6.05,6.24,6.0,6.13,6.11,-0.06,-0.982,6.1193,46579767,285753937.93,4605207328.7,4605207328.7
2019-04-22,'002177,御银股份,6.11,6.52,6.08,6.51,6.53,-0.42,-6.4319,10.6481,81052433,508840645.66,4650878806.34,4650878806.34
2019-04-19,'002177,御银股份,6.53,6.7,6.45,6.62,6.7,-0.17,-2.5373,8.2224,62588083,409272175.62,4970579149.82,4970579149.82
2019-04-18,'002177,御银股份,6.7,6.99,6.41,6.53,6.6,0.1,1.5152,14.6912,111828289,751456223.4,5099981669.8,5099981669.8
2019-04-17,'002177,御银股份,6.6,6.78,6.55,6.66,6.74,-0.14,-2.0772,9.2821,70654340,468875873.68,5023862540.4,5023862540.4
2019-04-16,'002177,御银股份,6.74,6.76,6.26,6.34,6.43,0.31,4.8212,10.2047,77677084,506932103.51,5130429321.56,5130429321.56
2019-04-15,'002177,御银股份,6.43,6.7,6.42,6.61,6.5,-0.07,-1.0769,8.383,63810502,419794922.05,4894460020.42,4894460020.42
2019-04-12,'002177,御银股份,6.5,6.76,6.4,6.6,6.69,-0.19,-2.8401,10.4998,79923430,525140236.77,4947743411.0,4947743411.0
2019-04-11,'002177,御银股份,6.69,7.07,6.6,6.87,6.99,-0.3,-4.2918,16.3434,124404311,848151308.76,5092369756.86,5092369756.86
2019-04-10,'002177,御银股份,6.99,7.47,6.99,7.35,7.77,-0.78,-10.0386,24.1323,183693034,1321130727.57,5320727145.06,5320727145.06
2019-04-09,'002177,御银股份,7.77,8.29,7.57,7.57,7.93,-0.16,-2.0177,26.5037,201743567,1601184239.74,5914456354.38,5914456354.38
2019-04-08,'002177,御银股份,7.93,8.58,7.38,7.95,8.17,-0.24,-2.9376,35.966,273770117,2154643506.64,6036246961.42,6036246961.42
2019-04-04,'002177,御银股份,8.17,8.17,7.2,7.44,7.43,0.74,9.9596,35.7282,271960214,2106028288.76,6218932871.98,6218932871.98
2019-04-03,'002177,御银股份,7.43,7.43,7.15,7.43,6.75,0.68,10.0741,37.7135,287071558,2123335895.3,5655651314.42,5655651314.42
2019-04-02,'002177,御银股份,6.75,6.75,6.75,6.75,6.14,0.61,9.9349,0.7414,5643413,38093037.75,5138041234.5,5138041234.5
2019-04-01,'002177,御银股份,6.14,6.14,6.14,6.14,5.58,0.56,10.0358,1.2392,9432585,57916071.9,4673714545.16,4673714545.16
2019-03-29,'002177,御银股份,5.58,5.58,5.01,5.22,5.07,0.51,10.0592,20.1482,153365969,820504043.65,4247447420.52,4247447420.52
2019-03-28,'002177,御银股份,5.07,5.07,4.46,4.5,4.61,0.46,9.9783,18.6006,141586005,710265621.12,3859239860.58,3859239860.58
2019-03-27,'002177,御银股份,4.61,4.64,4.4,4.6,4.71,-0.1,-2.1231,9.0591,68957056,311018517.69,3509091865.34,3509091865.34
2019-03-26,'002177,御银股份,4.71,5.01,4.53,4.55,4.55,0.16,3.5165,12.3632,94107334,458197610.28,3585210994.74,3585210994.74
2019-03-25,'002177,御银股份,4.55,4.75,4.45,4.5,4.63,-0.08,-1.7279,3.7128,28261202,130044737.18,3463420387.7,3463420387.7
2019-03-22,'002177,御银股份,4.63,4.68,4.5,4.64,4.71,-0.08,-1.6985,4.7461,36127212,165935646.44,3524315691.22,3524315691.22
2019-03-21,'002177,御银股份,4.71,4.91,4.41,4.46,4.46,0.25,5.6054,8.8189,67128778,314253912.57,3585210994.74,3585210994.74
2019-03-20,'002177,御银股份,4.46,4.6,4.35,4.57,4.56,-0.1,-2.193,3.7643,28653642,127757502.15,3394913171.24,3394913171.24
2019-03-19,'002177,御银股份,4.56,4.68,4.5,4.56,4.64,-0.08,-1.7241,4.1539,31619273,144623140.74,3471032300.64,3471032300.64
2019-03-18,'002177,御银股份,4.64,4.7,4.47,4.61,4.78,-0.14,-2.9289,8.662,65934220,300317218.23,3531927604.16,3531927604.16
2019-03-15,'002177,御银股份,4.78,5.01,4.35,4.6,4.55,0.23,5.0549,12.4568,94820349,457933669.87,3638494385.32,3638494385.32
2019-03-14,'002177,御银股份,4.55,4.85,4.25,4.55,4.6,-0.05,-1.087,7.2943,55523714,250710045.51,3463420387.7,3463420387.7
2019-03-13,'002177,御银股份,4.6,4.88,4.4,4.51,4.49,0.11,2.4499,8.8796,67590433,315417528.83,3501479952.4,3501479952.4
2019-03-12,'002177,御银股份,4.49,4.62,4.35,4.36,4.37,0.12,2.746,6.3529,48357905,217254780.92,3417748910.06,3417748910.06
2019-03-11,'002177,御银股份,4.37,4.38,4.18,4.35,4.15,0.22,5.3012,4.3494,33107301,142232435.76,3326405954.78,3326405954.78
2019-03-08,'002177,御银股份,4.15,4.48,4.13,4.36,4.58,-0.43,-9.3886,6.7328,51249694,220892676.86,3158943870.1,3158943870.1
2019-03-07,'002177,御银股份,4.58,4.75,4.3,4.38,4.44,0.14,3.1532,7.8218,59538517,270103691.78,3486256126.52,3486256126.52
2019-03-06,'002177,御银股份,4.44,4.54,4.26,4.31,4.3,0.14,3.2558,7.5282,57303836,252691637.27,3379689345.36,3379689345.36
2019-03-05,'002177,御银股份,4.3,4.3,4.06,4.11,4.17,0.13,3.1175,5.8161,44271752,186398871.78,3273122564.2,3273122564.2
2019-03-04,'002177,御银股份,4.17,4.35,4.09,4.19,4.08,0.09,2.2059,6.8317,52001956,218404090.8,3174167695.98,3174167695.98
2019-03-01,'002177,御银股份,4.08,4.15,3.96,4.0,3.98,0.1,2.5126,5.9022,44926867,182461899.08,3105660479.52,3105660479.52
2019-02-28,'002177,御银股份,3.98,4.14,3.95,4.06,4.31,-0.33,-7.6566,8.3524,63578061,256965925.64,3029541350.12,3029541350.12
