日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300640,德艺文创,12.83,12.94,12.6,12.7,12.74,0.09,0.7064,2.5278,1732625,22119342.86,1886856780.0,879419520.0
2019-04-25,'300640,德艺文创,12.74,13.33,12.56,13.15,13.15,-0.41,-3.1179,3.7638,2579860,33630002.8,1873620840.0,873250560.0
2019-04-24,'300640,德艺文创,13.15,13.18,12.94,13.18,13.12,0.03,0.2287,2.5343,1737100,22701720.8,1933917900.0,901353600.0
2019-04-23,'300640,德艺文创,13.12,13.44,12.95,13.1,13.19,-0.07,-0.5307,3.969,2720487,35835091.86,1929505920.0,899297280.0
2019-04-22,'300640,德艺文创,13.19,13.57,13.16,13.48,13.28,-0.09,-0.6777,3.8969,2671107,35689833.91,1939800540.0,904095360.0
2019-04-19,'300640,德艺文创,13.28,13.47,13.01,13.01,13.22,0.06,0.4539,3.9217,2688109,35517156.55,1953036480.0,910264320.0
2019-04-18,'300640,德艺文创,13.22,13.45,12.86,13.05,13.14,0.08,0.6088,5.7553,3944880,51854240.9,1944212520.0,906151680.0
2019-04-17,'300640,德艺文创,13.14,13.34,12.7,12.73,12.8,0.34,2.6563,6.6144,4533808,58964799.13,1932447240.0,900668160.0
2019-04-16,'300640,德艺文创,12.8,13.39,12.53,13.18,12.32,0.48,3.8961,7.9803,5470051,69914335.67,1882444800.0,877363200.0
2019-04-15,'300640,德艺文创,12.32,12.9,12.26,12.63,12.45,-0.13,-1.0442,5.3233,3648785,45828890.28,1811853120.0,844462080.0
2019-04-12,'300640,德艺文创,12.45,12.52,12.18,12.18,12.17,0.28,2.3007,3.411,2338054,28901719.2,1830971700.0,853372800.0
2019-04-11,'300640,德艺文创,12.17,12.48,12.07,12.29,12.29,-0.12,-0.9764,2.8985,1986771,24442064.66,1789793220.0,834180480.0
2019-04-10,'300640,德艺文创,12.29,12.42,11.95,12.1,12.1,0.19,1.5702,2.5424,1742663,21302280.4,1807441140.0,842405760.0
2019-04-09,'300640,德艺文创,12.1,12.15,11.9,11.95,11.96,0.14,1.1706,2.4143,1654862,19889571.6,1779498600.0,829382400.0
2019-04-08,'300640,德艺文创,11.96,12.34,11.83,12.26,12.12,-0.16,-1.3201,2.676,1834240,22125238.6,1758909360.0,819786240.0
2019-04-04,'300640,德艺文创,12.12,12.49,12.1,12.29,12.3,-0.18,-1.4634,2.6715,1831171,22392738.76,1782439920.0,830753280.0
2019-04-03,'300640,德艺文创,12.3,12.33,12.15,12.2,12.25,0.05,0.4082,2.8182,1931740,23622055.97,1808911800.0,843091200.0
2019-04-02,'300640,德艺文创,12.25,12.8,12.13,12.42,12.38,-0.13,-1.0501,3.335,2285920,28086486.6,1801558500.0,839664000.0
2019-04-01,'300640,德艺文创,12.38,12.44,12.05,12.22,12.13,0.25,2.061,4.5849,3142691,38509238.28,1820677080.0,848574720.0
2019-03-29,'300640,德艺文创,12.13,12.34,11.51,11.51,11.55,0.58,5.0216,4.8067,3294726,39439669.4,1783910580.0,831438720.0
2019-03-28,'300640,德艺文创,11.55,11.99,11.51,11.86,11.86,-0.31,-2.6138,2.0193,1384140,16328129.0,1698612300.0,791683200.0
2019-03-27,'300640,德艺文创,11.86,11.86,11.48,11.54,11.53,0.33,2.8621,2.5306,1734593,20263116.79,1744202760.0,812931840.0
2019-03-26,'300640,德艺文创,11.53,11.93,11.33,11.66,11.65,-0.12,-1.03,3.369,2309229,27107861.45,1695670980.0,790312320.0
2019-03-25,'300640,德艺文创,11.65,11.89,11.6,11.6,11.9,-0.25,-2.1008,2.3948,1641479,19269910.09,1713318900.0,798537600.0
2019-03-22,'300640,德艺文创,11.9,11.94,11.67,11.79,11.79,0.11,0.933,4.8542,3327245,39376430.5,1750085400.0,815673600.0
2019-03-21,'300640,德艺文创,11.79,11.89,11.73,11.8,11.75,0.04,0.3404,4.7758,3273500,38679047.6,1733908140.0,808133760.0
2019-03-20,'300640,德艺文创,11.75,11.82,11.55,11.73,11.62,0.13,1.1188,4.5676,3130800,36585942.31,1728025500.0,805392000.0
2019-03-19,'300640,德艺文创,11.62,11.76,11.48,11.6,11.6,0.02,0.1724,3.7323,2558274,29732039.7,1708906920.0,796481280.0
2019-03-18,'300640,德艺文创,11.6,11.6,11.38,11.43,11.44,0.16,1.3986,2.0649,1415380,16286189.4,1705965600.0,795110400.0
