日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002028,思源电气,12.19,12.38,12.09,12.2,12.31,-0.12,-0.9748,1.2711,9662757,118260937.83,9266951147.58,9266951147.58
2019-04-25,'002028,思源电气,12.31,13.1,12.29,12.86,12.9,-0.59,-4.5736,1.695,12885856,162365073.99,9358176261.42,9358176261.42
2019-04-24,'002028,思源电气,12.9,12.92,12.56,12.81,12.81,0.09,0.7026,1.3418,10200688,130271943.85,9806699737.8,9806699737.8
2019-04-23,'002028,思源电气,12.81,13.25,12.74,13.14,13.2,-0.39,-2.9545,1.7805,13535667,174638307.99,9738280902.42,9738280902.42
2019-04-22,'002028,思源电气,13.2,13.43,13.07,13.27,13.26,-0.06,-0.4525,3.0137,22910419,303559842.81,10034762522.4,10034762522.4
2019-04-19,'002028,思源电气,13.26,13.3,12.74,12.76,12.8,0.46,3.5938,2.8907,21975590,287366482.18,10080375079.3,10080375079.3
2019-04-18,'002028,思源电气,12.8,13.03,12.77,12.98,13.04,-0.24,-1.8405,1.3041,9914129,127599353.8,9730678809.6,9730678809.6
2019-04-17,'002028,思源电气,13.04,13.21,12.83,12.95,13.05,-0.01,-0.0766,2.0446,15543190,202393211.81,9913129037.28,9913129037.28
2019-04-16,'002028,思源电气,13.05,13.06,12.34,12.62,12.62,0.43,3.4073,1.8327,13932373,177117082.27,9920731130.1,9920731130.1
2019-04-15,'002028,思源电气,12.62,13.1,12.58,12.77,12.61,0.01,0.0793,1.79,13608111,175457388.59,9593841138.84,9593841138.84
2019-04-12,'002028,思源电气,12.61,12.99,12.55,12.85,12.94,-0.33,-2.5502,1.6927,12867803,163869352.42,9586239046.02,9586239046.02
2019-04-11,'002028,思源电气,12.94,13.26,12.83,13.15,13.1,-0.16,-1.2214,2.066,15706081,204880965.41,9837108109.08,9837108109.08
2019-04-10,'002028,思源电气,13.1,13.3,12.92,13.23,13.32,-0.22,-1.6517,2.5411,19317888,252828010.23,9958741594.2,9958741594.2
2019-04-09,'002028,思源电气,13.32,13.35,12.65,12.8,12.87,0.45,3.4965,3.2439,24660406,322145291.9,10125987636.2,10125987636.2
2019-04-08,'002028,思源电气,12.87,13.34,12.63,13.33,13.01,-0.14,-1.0761,3.1519,23960970,312069498.65,9783893459.34,9783893459.34
2019-04-04,'002028,思源电气,13.01,13.17,12.82,12.85,12.85,0.16,1.2451,3.6688,27890816,362005383.85,9890322758.82,9890322758.82
2019-04-03,'002028,思源电气,12.85,12.86,12.6,12.73,12.8,0.05,0.3906,2.5504,19388351,246802296.49,9768689273.7,9768689273.7
2019-04-02,'002028,思源电气,12.8,12.94,12.71,12.85,12.82,-0.02,-0.156,2.6759,20342557,260994884.3,9730678809.6,9730678809.6
2019-04-01,'002028,思源电气,12.82,12.83,12.4,12.45,12.43,0.39,3.1376,2.7355,20795581,264022638.8,9745882995.24,9745882995.24
2019-03-29,'002028,思源电气,12.43,12.44,11.78,12.12,12.08,0.35,2.8974,2.5998,19763648,240061704.45,9449401375.26,9449401375.26
2019-03-28,'002028,思源电气,12.08,12.47,12.07,12.26,12.36,-0.28,-2.2654,2.164,16451106,201083025.98,9183328126.56,9183328126.56
2019-03-27,'002028,思源电气,12.36,12.67,12.15,12.61,12.46,-0.1,-0.8026,1.9929,15149923,187473943.52,9396186725.52,9396186725.52
2019-03-26,'002028,思源电气,12.46,13.2,12.44,13.06,13.07,-0.61,-4.6672,3.115,23680409,302811653.56,9472207653.72,9472207653.72
2019-03-25,'002028,思源电气,13.07,13.36,12.95,13.0,13.43,-0.36,-2.6806,3.3448,25427169,335316598.69,9935935315.74,9935935315.74
2019-03-22,'002028,思源电气,13.43,13.5,12.73,12.98,12.86,0.57,4.4323,4.6572,35404241,465076065.87,10209610657.3,10209610657.3
2019-03-21,'002028,思源电气,12.86,13.09,12.7,12.81,12.79,0.07,0.5473,3.1123,23660349,305572657.2,9776291366.52,9776291366.52
2019-03-20,'002028,思源电气,12.79,12.97,12.6,12.93,12.98,-0.19,-1.4638,2.4539,18654520,238300095.16,9723076716.78,9723076716.78
2019-03-19,'002028,思源电气,12.98,13.12,12.73,12.82,12.93,0.05,0.3867,2.7379,20813804,268863658.25,9867516480.36,9867516480.36
2019-03-18,'002028,思源电气,12.93,12.96,12.35,12.8,12.71,0.22,1.7309,3.2721,24874750,316507448.42,9829506016.26,9829506016.26
2019-03-15,'002028,思源电气,12.71,12.87,12.59,12.7,12.65,0.06,0.4743,3.2915,25022654,318971269.61,9662259974.22,9662259974.22
2019-03-14,'002028,思源电气,12.65,13.55,12.4,13.49,13.4,-0.75,-5.597,4.7485,36098841,464971965.82,9616647417.3,9616647417.3
2019-03-13,'002028,思源电气,13.4,14.15,13.22,14.03,14.42,-1.02,-7.0735,6.4004,48656282,668888854.9,10186804378.8,10186804378.8
2019-03-12,'002028,思源电气,14.42,15.18,13.95,14.9,14.3,0.12,0.8392,10.3811,78918444,1148787803.51,10962217846.4,10962217846.4
2019-03-11,'002028,思源电气,14.3,14.3,13.68,14.3,13.0,1.3,10.0,6.8646,52185064,738793753.41,10870992732.6,10870992732.6
2019-03-08,'002028,思源电气,13.0,13.36,12.26,12.5,12.75,0.25,1.9608,5.969,45376771,590517412.27,9882720666.0,9882720666.0
2019-03-07,'002028,思源电气,12.75,13.37,12.61,12.88,12.88,-0.13,-1.0093,4.4194,33596391,434379545.59,9692668345.5,9692668345.5
2019-03-06,'002028,思源电气,12.88,13.15,12.34,12.64,12.25,0.63,5.1429,5.679,43172037,550365787.75,9791495552.16,9791495552.16
2019-03-05,'002028,思源电气,12.25,12.25,11.84,12.0,12.06,0.19,1.5755,3.5895,27287800,328189421.82,9312563704.5,9312563704.5
2019-03-04,'002028,思源电气,12.06,12.25,11.56,11.65,11.59,0.47,4.0552,4.115,31282688,373443216.52,9168123940.92,9168123940.92
2019-03-01,'002028,思源电气,11.59,11.82,11.39,11.8,11.68,-0.09,-0.7705,1.7457,13271031,153315060.79,8810825578.38,8810825578.38
2019-02-28,'002028,思源电气,11.68,11.95,11.51,11.51,11.5,0.18,1.5652,1.9387,14738550,172676818.04,8879244413.76,8879244413.76
2019-02-27,'002028,思源电气,11.5,11.87,11.41,11.7,11.68,-0.18,-1.5411,2.2465,17078239,199653313.71,8742406743.0,8742406743.0
2019-02-26,'002028,思源电气,11.68,11.98,11.58,11.8,11.84,-0.16,-1.3514,3.0043,22839050,268496776.89,8879244413.76,8879244413.76
2019-02-25,'002028,思源电气,11.84,11.84,11.34,11.38,11.29,0.55,4.8716,3.0061,22852889,265426887.7,9000877898.88,9000877898.88
2019-02-22,'002028,思源电气,11.29,11.33,11.02,11.06,11.09,0.2,1.8034,1.5313,11641090,130297944.52,8582762793.78,8582762793.78
2019-02-21,'002028,思源电气,11.09,11.37,11.04,11.24,11.25,-0.16,-1.4222,1.5281,11616738,130374141.38,8430720937.38,8430720937.38
2019-02-20,'002028,思源电气,11.25,11.36,11.06,11.25,11.23,0.02,0.1781,1.1918,9060304,101510637.39,8552354422.5,8552354422.5
2019-02-19,'002028,思源电气,11.23,11.44,11.12,11.43,11.43,-0.2,-1.7498,1.7314,13162180,148271189.1,8537150236.86,8537150236.86
2019-02-18,'002028,思源电气,11.43,11.44,11.04,11.16,11.13,0.3,2.6954,1.9596,14897274,168244918.75,8689192093.26,8689192093.26
2019-02-15,'002028,思源电气,11.13,11.38,10.95,10.97,10.95,0.18,1.6438,2.1166,16090310,179814303.39,8461129308.66,8461129308.66
2019-02-14,'002028,思源电气,10.95,11.19,10.86,10.99,10.92,0.03,0.2747,1.4952,11366518,125069543.3,8324291637.9,8324291637.9
2019-02-13,'002028,思源电气,10.92,11.04,10.58,10.65,10.67,0.25,2.343,1.9618,14913422,162152136.69,8301485359.44,8301485359.44
2019-02-12,'002028,思源电气,10.67,10.72,10.52,10.55,10.55,0.12,1.1374,0.7741,5885065,62642360.0,8111433038.94,8111433038.94
2019-02-11,'002028,思源电气,10.55,10.57,10.27,10.3,10.26,0.29,2.8265,0.8089,6149185,64273719.4,8020207925.1,8020207925.1
2019-02-01,'002028,思源电气,10.26,10.3,9.99,10.1,9.98,0.28,2.8056,0.6064,4610028,47018587.47,7799747233.32,7799747233.32
2019-01-31,'002028,思源电气,9.98,10.14,9.91,10.1,10.03,-0.05,-0.4985,0.6161,4683519,46982288.94,7586888634.36,7586888634.36
2019-01-30,'002028,思源电气,10.03,10.19,10.0,10.08,10.08,-0.05,-0.496,0.548,4165700,42065968.34,7624899098.46,7624899098.46
2019-01-29,'002028,思源电气,10.08,10.47,10.0,10.4,10.48,-0.4,-3.8168,1.0798,8208567,83252883.94,7662909562.56,7662909562.56
2019-01-28,'002028,思源电气,10.48,10.73,10.48,10.63,10.59,-0.11,-1.0387,0.6702,5094814,53934467.56,7966993275.36,7966993275.36
2019-01-25,'002028,思源电气,10.59,10.89,10.55,10.77,10.81,-0.22,-2.0352,0.9993,7596396,81150809.62,8050616296.38,8050616296.38
2019-01-24,'002028,思源电气,10.81,10.87,10.48,10.5,10.52,0.29,2.7567,1.0542,8014211,85944494.24,8217862338.42,8217862338.42
2019-01-23,'002028,思源电气,10.52,10.71,10.39,10.65,10.63,-0.11,-1.0348,0.8778,6673079,70178779.62,7997401646.64,7997401646.64
