ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'300460,»ÝÂ×¾§Ìå,8.98,9.2,8.93,9.01,9.02,-0.04,-0.4435,0.9849,1657360,15030738.2,1511102316.0,1511102316.0
2019-04-25,'300460,»ÝÂ×¾§Ìå,9.02,9.66,9.0,9.48,9.56,-0.54,-5.6485,1.316,2214440,20689745.0,1517833284.0,1517833284.0
2019-04-24,'300460,»ÝÂ×¾§Ìå,9.56,9.6,9.28,9.57,9.62,-0.06,-0.6237,1.5989,2690494,25475782.38,1608701352.0,1608701352.0
2019-04-23,'300460,»ÝÂ×¾§Ìå,9.62,10.02,9.59,10.01,10.05,-0.43,-4.2786,1.361,2290148,22386763.1,1618797804.0,1618797804.0
2019-04-22,'300460,»ÝÂ×¾§Ìå,10.05,10.19,9.9,10.04,10.12,-0.07,-0.6917,1.1759,1978688,19863278.48,1691155710.0,1691155710.0
2019-04-19,'300460,»ÝÂ×¾§Ìå,10.12,10.12,9.86,10.05,10.04,0.08,0.7968,1.2377,2082700,20859918.0,1702934904.0,1702934904.0
2019-04-18,'300460,»ÝÂ×¾§Ìå,10.04,10.21,9.9,10.16,10.13,-0.09,-0.8885,1.0211,1718223,17316702.58,1689472968.0,1689472968.0
2019-04-17,'300460,»ÝÂ×¾§Ìå,10.13,10.28,10.02,10.24,10.14,-0.01,-0.0986,0.8627,1451740,14715658.55,1704617646.0,1704617646.0
2019-04-16,'300460,»ÝÂ×¾§Ìå,10.14,10.17,9.69,9.76,9.78,0.36,3.681,1.3645,2296056,22864081.68,1706300388.0,1706300388.0
2019-04-15,'300460,»ÝÂ×¾§Ìå,9.78,10.19,9.7,10.01,9.94,-0.16,-1.6097,1.215,2044536,20539781.76,1645721676.0,1645721676.0
2019-04-12,'300460,»ÝÂ×¾§Ìå,9.94,10.12,9.92,10.05,10.0,-0.06,-0.6,1.0652,1792428,17947469.54,1672645548.0,1672645548.0
2019-04-11,'300460,»ÝÂ×¾§Ìå,10.0,10.35,10.0,10.2,10.16,-0.16,-1.5748,1.7281,2907869,29502263.84,1682742000.0,1682742000.0
2019-04-10,'300460,»ÝÂ×¾§Ìå,10.16,10.45,10.12,10.45,10.47,-0.31,-2.9608,1.9975,3361205,34251452.19,1709665872.0,1709665872.0
2019-04-09,'300460,»ÝÂ×¾§Ìå,10.47,11.37,10.19,10.39,10.39,0.08,0.77,2.9159,4906741,51716004.35,1761830874.0,1761830874.0
2019-04-08,'300460,»ÝÂ×¾§Ìå,10.39,10.54,10.1,10.46,10.43,-0.04,-0.3835,1.2701,2137308,22149748.22,1748368938.0,1748368938.0
2019-04-04,'300460,»ÝÂ×¾§Ìå,10.43,10.69,10.3,10.69,10.49,-0.06,-0.572,1.0944,1841640,19287107.24,1755099906.0,1755099906.0
2019-04-03,'300460,»ÝÂ×¾§Ìå,10.49,10.56,10.2,10.42,10.28,0.21,2.0428,1.6023,2696278,28121328.6,1765196358.0,1765196358.0
2019-04-02,'300460,»ÝÂ×¾§Ìå,10.28,10.49,10.19,10.49,10.31,-0.03,-0.291,1.4795,2489620,25751075.81,1729858776.0,1729858776.0
2019-04-01,'300460,»ÝÂ×¾§Ìå,10.31,10.35,9.91,9.91,9.9,0.41,4.1414,1.4764,2484411,25325366.19,1734907002.0,1734907002.0
2019-03-29,'300460,»ÝÂ×¾§Ìå,9.9,9.91,9.4,9.59,9.63,0.27,2.8037,1.2604,2120946,20559207.58,1665914580.0,1665914580.0
2019-03-28,'300460,»ÝÂ×¾§Ìå,9.63,9.99,9.6,9.78,9.73,-0.1,-1.0277,1.0125,1703799,16712236.16,1620480546.0,1620480546.0
2019-03-27,'300460,»ÝÂ×¾§Ìå,9.73,9.8,9.55,9.8,9.72,0.01,0.1029,0.9817,1651999,15999219.32,1637307966.0,1637307966.0
2019-03-26,'300460,»ÝÂ×¾§Ìå,9.72,10.12,9.67,10.06,10.03,-0.31,-3.0907,1.403,2360900,23411374.0,1635625224.0,1635625224.0
