日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601838,成都银行,9.13,9.22,9.08,9.15,9.15,-0.02,-0.2186,1.1086,20692146,189536136.0,32979854679.4,17040897284.8
2019-04-25,'601838,成都银行,9.15,9.44,9.15,9.32,9.28,-0.13,-1.4009,1.6707,31183360,290209282.0,33052099706.1,17078226742.2
2019-04-24,'601838,成都银行,9.28,9.33,9.13,9.28,9.23,0.05,0.5417,0.8783,16393000,151606390.0,33521692379.5,17320868215.0
2019-04-23,'601838,成都银行,9.23,9.34,9.16,9.22,9.24,-0.01,-0.1082,1.1333,21152080,195722928.0,33341079812.8,17227544571.6
2019-04-22,'601838,成都银行,9.24,9.67,9.2,9.61,9.59,-0.35,-3.6496,1.9586,36557250,344328656.0,33377202326.2,17246209300.3
2019-04-19,'601838,成都银行,9.59,9.67,9.44,9.55,9.54,0.05,0.5241,1.3403,25016558,239041711.0,34641490293.1,17899474804.1
2019-04-18,'601838,成都银行,9.54,9.7,9.5,9.58,9.59,-0.05,-0.5214,1.456,27175329,260712863.0,34460877726.4,17806151160.7
2019-04-17,'601838,成都银行,9.59,9.85,9.53,9.56,9.62,-0.03,-0.3119,2.8169,52576294,508642278.0,34641490293.1,17899474804.1
2019-04-16,'601838,成都银行,9.62,9.66,9.17,9.23,9.27,0.35,3.7756,3.7765,70487588,669606438.0,34749857833.1,17955468990.2
2019-04-15,'601838,成都银行,9.27,9.44,9.19,9.38,9.17,0.1,1.0905,2.4048,44884694,419074853.0,33485569866.2,17302203486.4
2019-04-12,'601838,成都银行,9.17,9.2,9.1,9.13,9.17,0.0,0.0,0.9477,17689216,162021729.0,33124344732.8,17115556199.6
2019-04-11,'601838,成都银行,9.17,9.29,9.11,9.19,9.17,0.0,0.0,1.2649,23609380,217192305.0,33124344732.8,17115556199.6
2019-04-10,'601838,成都银行,9.17,9.22,9.1,9.19,9.2,-0.03,-0.3261,0.9779,18251888,166945280.0,33124344732.8,17115556199.6
2019-04-09,'601838,成都银行,9.2,9.31,9.11,9.24,9.3,-0.1,-1.0753,1.2487,23307362,214644265.0,33232712272.8,17171550385.6
2019-04-08,'601838,成都银行,9.3,9.54,9.2,9.32,9.28,0.02,0.2155,2.5492,47579781,446340192.0,33593937406.2,17358197672.4
2019-04-04,'601838,成都银行,9.28,9.36,9.13,9.16,9.13,0.15,1.6429,3.1272,58368756,540935042.0,33521692379.5,17320868215.0
2019-04-03,'601838,成都银行,9.13,9.14,8.95,9.0,9.09,0.04,0.44,1.5147,28271540,256007963.0,32979854679.4,17040897284.8
2019-04-02,'601838,成都银行,9.09,9.26,9.06,9.14,9.13,-0.04,-0.4381,1.6312,30446343,278117953.0,32835364626.1,16966238370.1
2019-04-01,'601838,成都银行,9.13,9.18,8.97,8.97,8.95,0.18,2.0112,2.1228,39622087,360834121.0,32979854679.4,17040897284.8
2019-03-29,'601838,成都银行,8.95,8.98,8.67,8.71,8.66,0.29,3.3487,1.8819,35125473,311796561.0,32329649439.3,16704932168.6
2019-03-28,'601838,成都银行,8.66,8.74,8.63,8.7,8.74,-0.08,-0.9153,0.7326,13674263,118597349.0,31282096552.4,16163655036.9
2019-03-27,'601838,成都银行,8.74,8.8,8.68,8.73,8.69,0.05,0.5754,0.7117,13284358,116018627.0,31571076659.2,16312972866.3
2019-03-26,'601838,成都银行,8.69,8.86,8.65,8.85,8.81,-0.12,-1.3621,1.0791,20141172,176160597.0,31390464092.5,16219649222.9
2019-03-25,'601838,成都银行,8.81,8.92,8.8,8.86,9.04,-0.23,-2.5442,1.3716,25599856,226903275.0,31823934252.5,16443625967.1
