日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603533,掌阅科技,21.52,23.9,21.52,23.11,23.45,-1.93,-8.2303,3.7059,6046210,137917160.0,8629520000.0,3511021033.2
2019-04-25,'603533,掌阅科技,23.45,24.48,23.01,24.48,24.82,-1.37,-5.5197,4.3888,7160441,170675326.0,9403450000.0,3825903495.75
2019-04-24,'603533,掌阅科技,24.82,25.2,22.93,23.3,23.5,1.32,5.617,7.3813,12042708,292038936.0,9952820000.0,4049421098.7
2019-04-23,'603533,掌阅科技,23.5,24.45,23.2,24.0,23.99,-0.49,-2.0425,6.5055,10613884,252900776.0,9423500000.0,3834061072.5
2019-04-22,'603533,掌阅科技,23.99,23.99,22.06,22.22,21.81,2.18,9.9954,5.4306,8860169,204808466.0,9619990000.0,3914005324.65
2019-04-19,'603533,掌阅科技,21.81,21.88,21.51,21.8,21.67,0.14,0.6461,0.9754,1591400,34606937.0,8745810000.0,3558334978.35
2019-04-18,'603533,掌阅科技,21.67,22.28,21.57,22.13,22.13,-0.46,-2.0786,1.21,1974200,43161871.0,8689670000.0,3535493763.45
2019-04-17,'603533,掌阅科技,22.13,22.36,22.01,22.36,22.19,-0.06,-0.2704,1.3171,2148800,47677401.0,8874130000.0,3610543469.55
2019-04-16,'603533,掌阅科技,22.19,22.3,21.39,21.55,21.91,0.28,1.278,1.7286,2820200,61541262.0,8898190000.0,3620332561.65
2019-04-15,'603533,掌阅科技,21.91,23.5,21.88,23.44,23.04,-1.13,-4.9045,2.6374,4303000,97818407.0,8785910000.0,3574650131.85
2019-04-12,'603533,掌阅科技,23.04,23.35,22.02,22.15,22.19,0.85,3.8306,2.3092,3767459,85862169.0,9239040000.0,3759011366.4
2019-04-11,'603533,掌阅科技,22.19,22.89,22.18,22.74,22.74,-0.55,-2.4186,1.3454,2195101,49366688.0,8898190000.0,3620332561.65
2019-04-10,'603533,掌阅科技,22.74,23.16,22.3,23.08,23.08,-0.34,-1.4731,1.7123,2793600,63180156.0,9118740000.0,3710065905.9
2019-04-09,'603533,掌阅科技,23.08,23.49,22.77,22.88,22.97,0.11,0.4789,1.6162,2636900,60901654.0,9255080000.0,3765537427.8
2019-04-08,'603533,掌阅科技,22.97,23.7,22.7,23.59,23.98,-1.01,-4.2118,3.2704,5335700,123553367.0,9210970000.0,3747590758.95
