日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000778,新兴铸管,5.01,5.04,4.98,5.0,4.99,0.02,0.4008,0.7659,30033296,150383773.2,19994309681.8,19646041716.1
2019-04-25,'000778,新兴铸管,4.99,5.16,4.98,5.15,5.16,-0.17,-3.2946,0.7981,31296514,158553977.64,19914492078.2,19567614403.9
2019-04-24,'000778,新兴铸管,5.16,5.18,5.07,5.13,5.1,0.06,1.1765,0.6747,26459091,135715092.22,20592941708.2,20234246557.9
2019-04-23,'000778,新兴铸管,5.1,5.23,5.09,5.22,5.22,-0.12,-2.2989,1.2052,47259379,242434746.04,20353488897.6,19998964621.2
2019-04-22,'000778,新兴铸管,5.22,5.34,5.2,5.32,5.31,-0.09,-1.6949,1.2303,48243010,254248665.21,20832394518.7,20469528494.6
2019-04-19,'000778,新兴铸管,5.31,5.32,5.21,5.26,5.27,0.04,0.759,0.9219,36152453,190072233.09,21191573734.6,20822451399.7
2019-04-18,'000778,新兴铸管,5.27,5.35,5.26,5.34,5.34,-0.07,-1.3109,0.7525,29510215,156095655.9,21031938527.5,20665596775.2
2019-04-17,'000778,新兴铸管,5.34,5.4,5.31,5.37,5.37,-0.03,-0.5587,0.7874,30878275,165089473.73,21311300139.8,20940092368.1
2019-04-16,'000778,新兴铸管,5.37,5.38,5.24,5.28,5.3,0.07,1.3208,0.7553,29618677,157548315.6,21431026545.1,21057733336.4
2019-04-15,'000778,新兴铸管,5.3,5.42,5.3,5.36,5.3,0.0,0.0,1.177,46153870,247494112.75,21151664932.8,20783237743.6
2019-04-12,'000778,新兴铸管,5.3,5.33,5.21,5.25,5.25,0.05,0.9524,0.8657,33948824,178874799.5,21151664932.8,20783237743.6
2019-04-11,'000778,新兴铸管,5.25,5.39,5.24,5.39,5.38,-0.13,-2.4164,1.0325,40486164,214908481.26,20952120924.0,20587169463.0
2019-04-10,'000778,新兴铸管,5.38,5.42,5.3,5.37,5.39,-0.01,-0.1855,0.9816,38493087,206051929.7,21470935346.9,21096946992.6
2019-04-09,'000778,新兴铸管,5.39,5.48,5.33,5.48,5.49,-0.1,-1.8215,1.2902,50592099,273173347.77,21510844148.6,21136160648.7
2019-04-08,'000778,新兴铸管,5.49,5.64,5.36,5.47,5.44,0.05,0.9191,2.2069,86540624,475200763.76,21909932166.2,21528297209.9
2019-04-04,'000778,新兴铸管,5.44,5.51,5.41,5.49,5.47,-0.03,-0.5484,1.4831,58157160,316968617.07,21710388157.4,21332228929.3
2019-04-03,'000778,新兴铸管,5.47,5.54,5.28,5.31,5.31,0.16,3.0132,2.2239,87209178,476019515.49,21830114562.7,21449869897.6
2019-04-02,'000778,新兴铸管,5.31,5.37,5.29,5.31,5.26,0.05,0.9506,2.1371,83803418,447228501.36,21191573734.6,20822451399.7
2019-04-01,'000778,新兴铸管,5.26,5.28,5.14,5.15,5.12,0.14,2.7344,1.8019,70659242,369883644.63,20992029725.8,20626383119.1
2019-03-29,'000778,新兴铸管,5.12,5.12,4.97,4.99,4.98,0.14,2.8112,1.124,44076826,223271997.14,20433306501.1,20077391933.4
2019-03-28,'000778,新兴铸管,4.98,5.07,4.97,5.02,5.02,-0.04,-0.7968,0.8339,32700259,164118595.05,19874583276.5,19528400747.8
2019-03-27,'000778,新兴铸管,5.02,5.05,4.96,5.03,4.99,0.03,0.6012,0.7158,28070706,140658520.92,20034218483.5,19685255372.2
2019-03-26,'000778,新兴铸管,4.99,5.17,4.95,5.14,5.12,-0.13,-2.5391,1.2365,48489631,245083758.16,19914492078.2,19567614403.9
2019-03-25,'000778,新兴铸管,5.12,5.23,5.11,5.17,5.24,-0.12,-2.2901,1.2595,49390617,255692528.68,20433306501.1,20077391933.4
2019-03-22,'000778,新兴铸管,5.24,5.26,5.08,5.16,5.17,0.07,1.354,1.6284,63855239,331354390.12,20912212122.2,20547955806.9
2019-03-21,'000778,新兴铸管,5.17,5.24,5.15,5.18,5.17,0.0,0.0,1.2564,49269687,255547419.33,20632850509.9,20273460214.0
2019-03-20,'000778,新兴铸管,5.17,5.26,5.1,5.2,5.22,-0.05,-0.9579,1.7324,67931929,351684337.11,20632850509.9,20273460214.0
2019-03-19,'000778,新兴铸管,5.22,5.31,5.04,5.12,5.1,0.12,2.3529,2.808,110111452,570270664.84,20832394518.7,20469528494.6
2019-03-18,'000778,新兴铸管,5.1,5.11,5.01,5.02,4.99,0.11,2.2044,1.5833,62086179,314403151.64,20353488897.6,19998964621.2
2019-03-15,'000778,新兴铸管,4.99,5.03,4.89,4.9,4.89,0.1,2.045,1.2505,49037062,243853728.56,19914492078.2,19567614403.9
2019-03-14,'000778,新兴铸管,4.89,4.99,4.85,4.91,4.92,-0.03,-0.6098,1.0887,42690506,209679070.09,19515404060.6,19175477842.7
2019-03-13,'000778,新兴铸管,4.92,5.03,4.9,5.02,5.01,-0.09,-1.7964,1.2825,50290500,249673958.8,19635130465.9,19293118811.0
2019-03-12,'000778,新兴铸管,5.01,5.07,4.94,4.99,4.96,0.05,1.0081,1.4653,57459864,287727368.45,19994309681.8,19646041716.1
2019-03-11,'000778,新兴铸管,4.96,4.97,4.85,4.85,4.86,0.1,2.0576,1.3422,52634418,259087647.74,19794765673.0,19449973435.5
2019-03-08,'000778,新兴铸管,4.86,5.15,4.85,5.06,5.1,-0.24,-4.7059,2.4859,97482755,488204097.75,19395677655.4,19057836874.3
2019-03-07,'000778,新兴铸管,5.1,5.14,5.04,5.08,5.08,0.02,0.3937,1.7875,70094971,356652938.72,20353488897.6,19998964621.2
2019-03-06,'000778,新兴铸管,5.08,5.11,4.98,5.0,5.0,0.08,1.6,2.0716,81234836,410143244.76,20273671294.1,19920537309.0
2019-03-05,'000778,新兴铸管,5.0,5.01,4.92,4.96,4.97,0.03,0.6036,1.2343,48400955,240069006.24,19954400880.0,19606828060.0
2019-03-04,'000778,新兴铸管,4.97,5.06,4.93,4.95,4.93,0.04,0.8114,1.859,72897197,363619939.24,19834674474.7,19489187091.6
2019-03-01,'000778,新兴铸管,4.93,4.95,4.84,4.93,4.92,0.01,0.2033,0.9577,37554536,183817058.47,19675039267.7,19332332467.2
2019-02-28,'000778,新兴铸管,4.92,5.02,4.88,5.01,5.01,-0.09,-1.7964,1.5643,61342245,303403065.84,19635130465.9,19293118811.0
2019-02-27,'000778,新兴铸管,5.01,5.05,4.86,4.88,4.9,0.11,2.2449,1.9309,75718004,375591099.62,19994309681.8,19646041716.1
2019-02-26,'000778,新兴铸管,4.9,5.07,4.79,4.85,4.85,0.05,1.0309,2.3085,90523275,446288598.66,19555312862.4,19214691498.8
2019-02-25,'000778,新兴铸管,4.85,4.86,4.62,4.64,4.61,0.24,5.2061,1.9214,75346744,358096993.33,19355768853.6,19018623218.2
2019-02-22,'000778,新兴铸管,4.61,4.61,4.54,4.57,4.56,0.05,1.0965,0.5884,23072461,105527048.17,18397957611.4,18077495471.3
2019-02-21,'000778,新兴铸管,4.56,4.62,4.54,4.58,4.58,-0.02,-0.4367,0.7733,30323902,139156201.42,18198413602.6,17881427190.7
2019-02-20,'000778,新兴铸管,4.58,4.61,4.55,4.56,4.57,0.01,0.2188,0.4377,17162023,78599777.38,18278231206.1,17959854503.0
