日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002001,新 和 成,19.11,20.31,19.01,20.18,19.89,-0.78,-3.9216,1.4259,30637358,592358967.64,41060936553.0,41060936553.0
2019-04-25,'002001,新 和 成,19.89,20.29,19.61,20.09,19.98,-0.09,-0.4505,1.1925,25621850,511803621.09,42736893147.0,42736893147.0
2019-04-24,'002001,新 和 成,19.98,20.41,19.62,20.4,20.31,-0.33,-1.6248,1.2077,25950230,515892273.09,42930272754.0,42930272754.0
2019-04-23,'002001,新 和 成,20.31,20.78,20.22,20.39,20.2,0.11,0.5446,0.9358,20107107,411417786.32,43639331313.0,43639331313.0
2019-04-22,'002001,新 和 成,20.2,21.04,20.1,20.8,21.04,-0.84,-3.9924,1.2409,26662867,545787528.89,43402978460.0,43402978460.0
2019-04-19,'002001,新 和 成,21.04,21.2,20.3,21.05,20.96,0.08,0.3817,1.1678,25092285,521644386.19,45207854792.0,45207854792.0
2019-04-18,'002001,新 和 成,20.96,21.64,20.8,21.35,21.22,-0.26,-1.2253,1.2671,27224881,576080574.83,45035961808.0,45035961808.0
2019-04-17,'002001,新 和 成,21.22,22.23,21.13,21.99,21.76,-0.54,-2.4816,1.5257,32782572,708619997.81,45594614006.0,45594614006.0
2019-04-16,'002001,新 和 成,21.76,21.97,21.03,21.25,21.4,0.36,1.6822,1.5499,33301346,717412316.44,46754891648.0,46754891648.0
2019-04-15,'002001,新 和 成,21.4,22.39,21.39,22.0,21.31,0.09,0.4223,1.7449,37491834,824576873.04,45981373220.0,45981373220.0
2019-04-12,'002001,新 和 成,21.31,21.98,20.8,21.68,21.47,-0.16,-0.7452,1.3013,27961359,594495069.73,45787993613.0,45787993613.0
2019-04-11,'002001,新 和 成,21.47,22.68,21.28,21.95,21.44,0.03,0.1399,2.6746,57468731,1260541959.7,46131779581.0,46131779581.0
2019-04-10,'002001,新 和 成,21.44,21.87,20.42,20.49,20.51,0.93,4.5344,1.9866,42685618,904286760.07,46067319712.0,46067319712.0
2019-04-09,'002001,新 和 成,20.51,21.15,20.38,21.08,21.22,-0.71,-3.3459,1.4136,30373174,626569566.89,44069063773.0,44069063773.0
2019-04-08,'002001,新 和 成,21.22,22.29,20.8,21.66,20.26,0.96,4.7384,3.7966,81575871,1765817655.47,45594614006.0,45594614006.0
2019-04-04,'002001,新 和 成,20.26,21.09,19.64,19.64,19.46,0.8,4.111,2.5507,54806701,1122095171.57,43531898198.0,43531898198.0
2019-04-03,'002001,新 和 成,19.46,19.55,18.92,19.04,19.11,0.35,1.8315,1.3668,29368011,568287780.07,41812968358.0,41812968358.0
2019-04-02,'002001,新 和 成,19.11,19.41,19.01,19.4,19.17,-0.06,-0.313,1.1936,25645416,492200606.04,41060936553.0,41060936553.0
2019-04-01,'002001,新 和 成,19.17,19.45,18.59,18.59,18.48,0.69,3.7338,1.537,33023938,631511649.9,41189856291.0,41189856291.0
2019-03-29,'002001,新 和 成,18.48,18.6,17.95,18.12,18.11,0.37,2.0431,1.1409,24513014,449448039.19,39707279304.0,39707279304.0
2019-03-28,'002001,新 和 成,18.11,18.32,17.65,17.75,17.89,0.22,1.2297,1.0792,23188612,419719612.56,38912274253.0,38912274253.0
2019-03-27,'002001,新 和 成,17.89,17.95,17.45,17.54,17.5,0.39,2.2286,1.1094,23837631,423966906.67,38439568547.0,38439568547.0
2019-03-26,'002001,新 和 成,17.5,18.1,17.17,18.05,17.89,-0.39,-2.18,1.3304,28586538,500817442.07,37601590250.0,37601590250.0
2019-03-25,'002001,新 和 成,17.89,18.28,17.87,18.03,18.32,-0.43,-2.3472,1.1692,25121983,452799304.87,38439568547.0,38439568547.0
2019-03-22,'002001,新 和 成,18.32,18.75,18.03,18.65,18.75,-0.43,-2.2933,1.4159,30422493,557020263.32,39363493336.0,39363493336.0
2019-03-21,'002001,新 和 成,18.75,18.94,18.65,18.7,18.73,0.02,0.1068,0.9834,21129847,396712183.71,40287418125.0,40287418125.0
2019-03-20,'002001,新 和 成,18.73,18.85,18.5,18.67,18.82,-0.09,-0.4782,1.2167,26143634,487664765.32,40244444879.0,40244444879.0
