日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603040,新坐标,29.46,29.97,29.32,29.32,29.81,-0.35,-1.1741,1.4726,467718,13820461.0,2342278871.4,935686012.56
2019-04-25,'603040,新坐标,29.81,30.92,29.8,30.92,30.78,-0.97,-3.1514,2.0295,644589,19454946.0,2370106352.9,946802445.16
2019-04-24,'603040,新坐标,30.78,30.87,29.7,29.7,29.7,1.08,3.6364,2.7133,861787,26301221.0,2447228230.2,977610844.08
2019-04-23,'603040,新坐标,29.7,30.49,29.0,30.32,30.13,-0.43,-1.4271,1.8925,601074,18028210.0,2361360573.0,943308709.2
2019-04-22,'603040,新坐标,30.13,31.47,30.01,31.31,31.25,-1.12,-3.584,2.2228,705987,21593297.0,2395548621.7,956966040.68
2019-04-19,'603040,新坐标,31.25,31.31,30.81,31.01,31.05,0.2,0.6441,1.3248,420771,13104499.0,2484596562.5,992538625.0
2019-04-18,'603040,新坐标,31.05,31.47,30.98,31.2,31.3,-0.25,-0.7987,1.3476,428000,13311434.0,2468695144.5,986186377.8
2019-04-17,'603040,新坐标,31.3,31.5,31.0,31.5,31.32,-0.02,-0.0639,1.8863,599098,18697652.0,2488571917.0,994126686.8
2019-04-16,'603040,新坐标,31.32,31.58,30.8,31.58,31.62,-0.3,-0.9488,2.6706,848216,26341315.0,2490162058.8,994761911.52
2019-04-15,'603040,新坐标,31.62,32.19,31.48,31.79,31.57,0.05,0.1584,2.0129,639320,20368615.0,2514014185.8,1004290282.32
2019-04-12,'603040,新坐标,31.57,31.81,31.1,31.38,31.38,0.19,0.6055,1.6137,512539,16168288.0,2510038831.3,1002702220.52
2019-04-11,'603040,新坐标,31.38,32.35,31.25,32.19,32.19,-0.81,-2.5163,1.9963,634057,20103754.0,2494932484.2,996667585.68
2019-04-10,'603040,新坐标,32.19,32.4,31.0,31.0,31.79,0.4,1.2583,3.7465,1189924,37983163.0,2559333227.1,1022394186.84
2019-04-09,'603040,新坐标,31.79,32.24,31.4,31.55,31.56,0.23,0.7288,2.814,893748,28459165.0,2527530391.1,1009689692.44
2019-04-08,'603040,新坐标,31.56,32.6,31.42,32.22,32.21,-0.65,-2.018,4.3158,1370737,43661801.0,2509243760.4,1002384608.16
2019-04-04,'603040,新坐标,32.21,33.47,31.85,33.47,32.59,-0.38,-1.166,6.0865,1933144,62584486.0,2560923368.9,1023029411.56
2019-04-03,'603040,新坐标,32.59,33.58,31.95,31.96,30.63,1.96,6.399,9.8516,3128977,102053840.0,2591136063.1,1035098681.24
2019-04-02,'603040,新坐标,30.63,30.8,30.35,30.78,30.55,0.08,0.2619,2.9171,926510,28290613.0,2435302166.7,972846658.68
2019-04-01,'603040,新坐标,30.55,30.85,29.66,29.66,29.64,0.91,3.0702,3.7991,1206633,36674426.0,2428941599.5,970305759.8
2019-03-29,'603040,新坐标,29.64,29.8,28.55,29.11,29.17,0.47,1.6112,2.3351,741660,21698990.0,2356590147.6,941403035.04
2019-03-28,'603040,新坐标,29.17,29.95,29.1,29.1,29.02,0.15,0.5169,2.3217,737407,21816716.0,2319221815.3,926475254.12
2019-03-27,'603040,新坐标,29.02,29.08,28.4,28.78,28.65,0.37,1.2914,1.5707,498879,14387987.0,2307295751.8,921711068.72
2019-03-26,'603040,新坐标,28.65,30.19,28.65,29.74,29.74,-1.09,-3.6651,2.1923,696310,20363376.0,2277878128.5,909959411.4
2019-03-25,'603040,新坐标,29.74,30.26,29.6,29.8,30.23,-0.49,-1.6209,1.9593,622289,18590416.0,2364540856.6,944579158.64
2019-03-22,'603040,新坐标,30.23,30.39,29.69,30.2,30.32,-0.09,-0.2968,2.1605,686200,20617114.0,2403499330.7,960142164.28
2019-03-21,'603040,新坐标,30.32,30.7,30.15,30.49,30.47,-0.15,-0.4923,2.9616,940630,28568585.0,2410654968.8,963000675.52
