日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000997,新 大 陆,19.54,19.99,18.55,18.55,18.65,0.89,4.7721,4.1235,41676461,814942725.37,20402196970.2,19749213158.2
2019-04-25,'000997,新 大 陆,18.65,19.45,18.65,19.17,19.33,-0.68,-3.5178,2.0906,21087758,401400731.43,19472925972.0,18812421302.0
2019-04-24,'000997,新 大 陆,19.33,19.34,18.54,18.79,18.94,0.39,2.0591,2.9114,29367585,558300091.43,20182930779.6,19498343365.6
2019-04-23,'000997,新 大 陆,18.94,19.06,18.16,18.24,18.22,0.72,3.9517,2.567,25893445,484603252.01,19775722140.0,19104946888.0
2019-04-22,'000997,新 大 陆,18.22,18.77,18.11,18.77,18.26,-0.04,-0.2191,1.7392,17543880,324604458.38,19023952343.7,18378676467.7
2019-04-19,'000997,新 大 陆,18.26,18.39,18.03,18.24,18.21,0.05,0.2746,0.7399,7463935,135841552.75,19065717332.4,18419024824.4
2019-04-18,'000997,新 大 陆,18.21,18.6,18.12,18.12,18.22,-0.01,-0.0549,1.0213,10301978,189151293.84,19013511096.6,18368589378.6
2019-04-17,'000997,新 大 陆,18.22,18.45,18.05,18.16,18.19,0.03,0.1649,1.0309,10399172,189641061.59,19023952343.7,18378676467.7
2019-04-16,'000997,新 大 陆,18.19,18.21,17.44,17.84,17.89,0.3,1.6769,0.9645,9728571,173564072.42,18992628602.2,18348415200.2
2019-04-15,'000997,新 大 陆,17.89,18.54,17.87,18.06,17.87,0.02,0.1119,0.9727,9811358,178676179.56,18679391187.1,18045802525.1
2019-04-12,'000997,新 大 陆,17.87,18.2,17.65,18.0,18.0,-0.13,-0.7222,0.7395,7459481,133639440.7,18658508692.8,18025628346.8
2019-04-11,'000997,新 大 陆,18.0,18.55,17.98,18.51,18.56,-0.56,-3.0172,0.9608,9691805,176055601.01,18794244906.0,18156760506.0
2019-04-10,'000997,新 大 陆,18.56,18.75,18.1,18.34,18.34,0.22,1.1996,1.506,15190652,280590783.54,19378954747.5,18721637499.5
2019-04-09,'000997,新 大 陆,18.34,18.49,18.05,18.1,18.19,0.15,0.8246,1.113,11226664,205853583.67,19149247309.8,18499721537.8
2019-04-08,'000997,新 大 陆,18.19,19.16,18.0,18.95,18.85,-0.66,-3.5013,2.0875,21057007,388042167.88,18992628602.2,18348415200.2
2019-04-04,'000997,新 大 陆,18.85,19.1,18.2,18.65,18.45,0.4,2.168,2.6592,26823958,503498991.35,19681750915.5,19014163085.5
2019-04-03,'000997,新 大 陆,18.45,18.58,18.08,18.2,18.47,-0.02,-0.1083,1.3954,14075999,258403443.93,19264101028.7,18610679518.7
2019-04-02,'000997,新 大 陆,18.47,19.19,18.28,18.44,18.34,0.13,0.7088,2.3145,23347012,434565121.11,19284983523.0,18630853697.0
2019-04-01,'000997,新 大 陆,18.34,18.42,17.76,17.76,17.7,0.64,3.6158,1.7281,17431453,317149216.32,19149247309.8,18499721537.8
2019-03-29,'000997,新 大 陆,17.7,17.75,16.98,17.15,17.12,0.58,3.3879,1.2269,12376199,216075218.39,18481007490.9,17854147830.9
2019-03-28,'000997,新 大 陆,17.12,17.69,17.12,17.4,17.42,-0.3,-1.7222,1.138,11479591,199671448.92,17875415155.0,17269096659.0
2019-03-27,'000997,新 大 陆,17.42,17.8,16.94,17.72,17.63,-0.21,-1.1912,1.3785,13905220,240704161.56,18188652570.1,17571709334.1
2019-03-26,'000997,新 大 陆,17.63,18.23,17.54,17.76,17.72,-0.09,-0.5079,1.5517,15652118,279363542.6,18407918760.7,17783538206.7
2019-03-25,'000997,新 大 陆,17.72,18.04,17.65,17.71,18.04,-0.32,-1.7738,0.91,9179378,163580357.31,18501889985.2,17874322009.2
2019-03-22,'000997,新 大 陆,18.04,18.25,17.69,18.2,18.18,-0.14,-0.7701,1.1411,11509948,206540114.15,18836009894.7,18197108862.7
2019-03-21,'000997,新 大 陆,18.18,18.32,17.88,17.88,17.94,0.24,1.3378,1.3438,13555495,245916945.59,18982187355.1,18338328111.1
2019-03-20,'000997,新 大 陆,17.94,18.29,17.61,18.28,18.3,-0.36,-1.9672,1.1548,11648476,208683602.56,18731597423.0,18096237971.0
2019-03-19,'000997,新 大 陆,18.3,18.7,18.06,18.1,18.08,0.22,1.2168,1.4726,14854275,272973013.37,19107482321.1,18459373181.1
2019-03-18,'000997,新 大 陆,18.08,18.09,17.59,17.86,17.86,0.22,1.2318,1.1883,11986941,214380741.18,18877774883.4,18237457219.4
2019-03-15,'000997,新 大 陆,17.86,18.25,17.66,17.96,17.85,0.01,0.056,1.0994,11089314,198971724.18,18648067445.6,18015541257.6
2019-03-14,'000997,新 大 陆,17.85,18.48,17.56,18.11,18.14,-0.29,-1.5987,1.8757,18920501,338330184.0,18637626198.5,18005454168.5
2019-03-13,'000997,新 大 陆,18.14,19.43,18.03,19.04,19.15,-1.01,-5.2742,2.5259,25478867,477658651.87,18940422366.4,18297979754.4
2019-03-12,'000997,新 大 陆,19.15,19.91,18.82,19.14,19.11,0.04,0.2093,3.3013,33300543,642793228.02,19994988330.5,19316775760.5
2019-03-11,'000997,新 大 陆,19.11,19.18,18.25,18.25,18.4,0.71,3.8587,2.818,28425010,536863988.97,19953223341.9,19276427403.9
2019-03-08,'000997,新 大 陆,18.4,19.48,17.7,17.96,18.39,0.01,0.0544,3.8357,38691544,726633937.29,19211894792.8,18560244072.8
2019-03-07,'000997,新 大 陆,18.39,18.76,17.65,17.81,17.84,0.55,3.083,2.8525,28773361,522246153.96,19201453545.6,18550156983.6
2019-03-06,'000997,新 大 陆,17.84,18.15,17.52,18.0,17.96,-0.12,-0.6682,1.8465,18625480,330561486.55,18627184951.3,17995367079.3
2019-03-05,'000997,新 大 陆,17.96,17.97,17.3,17.3,17.54,0.42,2.3945,1.7002,17150393,303126590.04,18752479917.3,18116412149.3
2019-03-04,'000997,新 大 陆,17.54,18.13,17.45,17.76,17.59,-0.05,-0.2843,2.0581,20760163,369630419.56,18313947536.2,17692754404.2
2019-03-01,'000997,新 大 陆,17.59,17.65,17.11,17.4,17.27,0.32,1.8529,1.3018,13131708,228916332.85,18366153772.0,17743189850.0
2019-02-28,'000997,新 大 陆,17.27,17.6,17.18,17.32,17.36,-0.09,-0.5184,0.9461,9543614,165717106.05,18032033862.6,17420402996.6
2019-02-27,'000997,新 大 陆,17.36,17.69,17.19,17.43,17.43,-0.07,-0.4016,1.7017,17165084,299382405.81,18126005087.1,17511186799.1
2019-02-26,'000997,新 大 陆,17.43,17.82,17.11,17.7,17.76,-0.33,-1.8581,2.4791,25007078,437760027.47,18199093817.3,17581796423.3
2019-02-25,'000997,新 大 陆,17.76,18.08,16.98,17.25,16.8,0.96,5.7143,3.0417,30681437,536415002.16,18543654973.9,17914670365.9
2019-02-22,'000997,新 大 陆,16.8,16.86,15.92,16.03,16.05,0.75,4.6729,1.6902,17049136,279458720.41,17541295245.6,16946309805.6
