日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600777,新潮能源,2.61,2.73,2.59,2.6,2.88,-0.27,-9.375,7.485,244617816,642739308.0,17749294103.2,8529782428.53
2019-04-25,'600777,新潮能源,2.88,3.02,2.85,3.01,3.04,-0.16,-5.2632,3.7506,122573310,360042365.0,19585427976.0,9412173714.24
2019-04-24,'600777,新潮能源,3.04,3.09,2.93,2.99,3.02,0.02,0.6623,4.6483,151911092,456283125.0,20673507308.0,9935072253.92
2019-04-23,'600777,新潮能源,3.02,3.17,2.99,3.12,3.08,-0.06,-1.9481,5.7527,188003886,576987552.0,20537497391.5,9869709936.46
2019-04-22,'600777,新潮能源,3.08,3.2,2.92,2.98,3.01,0.07,2.3256,7.9004,258193988,792181207.0,20945527141.0,10065796888.8
2019-04-19,'600777,新潮能源,3.01,3.09,2.81,2.82,2.87,0.14,4.878,6.8725,224602813,658350380.0,20469492433.2,9837028777.73
2019-04-18,'600777,新潮能源,2.87,2.95,2.71,2.76,2.79,0.08,2.8674,5.225,170760417,480440743.0,19517423017.8,9379492555.51
2019-04-17,'600777,新潮能源,2.79,2.83,2.66,2.67,2.66,0.13,4.8872,5.0184,164007102,450747712.0,18973383351.8,9118043285.67
2019-04-16,'600777,新潮能源,2.66,2.66,2.57,2.61,2.63,0.03,1.1407,1.7519,57254861,149683335.0,18089318894.5,8693188222.18
2019-04-15,'600777,新潮能源,2.63,2.7,2.61,2.67,2.64,-0.01,-0.3788,1.8207,59503448,158355531.0,17885304019.8,8595144745.99
2019-04-12,'600777,新潮能源,2.64,2.67,2.61,2.66,2.66,-0.02,-0.7519,1.3894,45407485,119944653.0,17953308978.0,8627825904.72
2019-04-11,'600777,新潮能源,2.66,2.72,2.66,2.7,2.7,-0.04,-1.4815,1.8655,60965628,163716035.0,18089318894.5,8693188222.18
2019-04-10,'600777,新潮能源,2.7,2.72,2.65,2.7,2.72,-0.02,-0.7353,2.1717,70972748,190367174.0,18361338727.5,8823912857.1
2019-04-09,'600777,新潮能源,2.72,2.76,2.69,2.75,2.73,-0.01,-0.3663,2.1123,69033782,187632227.0,18497348644.0,8889275174.56
2019-04-08,'600777,新潮能源,2.73,2.79,2.69,2.76,2.72,0.01,0.3676,3.2856,107377234,294569659.0,18565353602.2,8921956333.29
