日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600782,新钢股份,5.9,6.1,5.85,6.05,6.12,-0.22,-3.5948,2.1957,70014669,414904596.0,18813463906.4,18813463906.4
2019-04-25,'600782,新钢股份,6.12,6.35,6.09,6.35,6.39,-0.27,-4.2254,1.7924,57154711,354592164.0,19514982899.5,19514982899.5
2019-04-24,'600782,新钢股份,6.39,6.43,6.26,6.39,6.42,-0.03,-0.4673,1.5144,48290171,306270515.0,20375938027.4,20375938027.4
2019-04-23,'600782,新钢股份,6.42,6.48,6.34,6.4,6.76,-0.34,-5.0296,2.7473,87604642,561045788.0,20471599708.3,20471599708.3
2019-04-22,'600782,新钢股份,6.76,6.92,6.62,6.92,6.89,-0.13,-1.8868,1.9265,61429475,415185476.0,21555765425.0,21555765425.0
2019-04-19,'600782,新钢股份,6.89,6.93,6.66,6.71,6.7,0.19,2.8358,2.0305,64747546,440097880.0,21970299375.4,21970299375.4
2019-04-18,'600782,新钢股份,6.7,6.8,6.55,6.58,6.59,0.11,1.6692,1.5545,49568175,331767617.0,21364442063.2,21364442063.2
2019-04-17,'600782,新钢股份,6.59,6.67,6.56,6.62,6.65,-0.06,-0.9023,1.3969,44544766,294343455.0,21013682566.6,21013682566.6
2019-04-16,'600782,新钢股份,6.65,6.65,6.34,6.43,6.45,0.2,3.1008,1.8464,58877775,383138158.0,21205005928.4,21205005928.4
2019-04-15,'600782,新钢股份,6.45,6.63,6.44,6.56,6.48,-0.03,-0.463,1.7414,55529648,363367781.0,20567261389.2,20567261389.2
2019-04-12,'600782,新钢股份,6.48,6.57,6.42,6.56,6.67,-0.19,-2.8486,2.744,87499666,567637614.0,20662923070.1,20662923070.1
2019-04-11,'600782,新钢股份,6.67,6.91,6.62,6.9,6.89,-0.22,-3.193,2.2772,72612307,489018195.0,21268780382.3,21268780382.3
2019-04-10,'600782,新钢股份,6.89,6.97,6.81,6.9,7.02,-0.13,-1.8519,1.9802,63144415,434633540.0,21970299375.4,21970299375.4
2019-04-09,'600782,新钢股份,7.02,7.18,6.94,7.18,7.26,-0.24,-3.3058,3.3469,106724625,751076001.0,22384833325.9,22384833325.9
2019-04-08,'600782,新钢股份,7.26,7.28,6.7,6.7,6.63,0.63,9.5023,5.9633,190153850,1324578272.0,23150126773.0,23150126773.0
2019-04-04,'600782,新钢股份,6.63,6.71,6.49,6.51,6.47,0.16,2.473,2.9632,94487896,624245118.0,21141231474.5,21141231474.5
2019-04-03,'600782,新钢股份,6.47,6.55,6.29,6.32,6.33,0.14,2.2117,2.7622,88079778,568609064.0,20631035843.1,20631035843.1
2019-04-02,'600782,新钢股份,6.33,6.36,6.26,6.33,6.29,0.04,0.6359,2.4326,77569469,488813657.0,20184614665.7,20184614665.7
2019-04-01,'600782,新钢股份,6.29,6.33,6.15,6.16,6.08,0.21,3.4539,3.0034,95771552,598860441.0,20057065757.8,20057065757.8
2019-03-29,'600782,新钢股份,6.08,6.1,5.9,5.93,5.9,0.18,3.0508,2.2207,70813466,427384145.0,19387433991.7,19387433991.7
2019-03-28,'600782,新钢股份,5.9,6.04,5.88,6.03,6.09,-0.19,-3.1199,1.6341,52106804,310250402.0,18813463906.4,18813463906.4
2019-03-27,'600782,新钢股份,6.09,6.1,5.97,6.03,6.0,0.09,1.5,1.5605,49760445,299561975.0,19419321218.6,19419321218.6
2019-03-26,'600782,新钢股份,6.0,6.2,5.96,6.19,6.16,-0.16,-2.5974,1.7096,54514802,330331427.0,19132336176.0,19132336176.0
2019-03-25,'600782,新钢股份,6.16,6.23,6.16,6.21,6.3,-0.14,-2.2222,1.3356,42588083,263881407.0,19642531807.4,19642531807.4
2019-03-22,'600782,新钢股份,6.3,6.32,6.15,6.28,6.28,0.02,0.3185,1.6574,52848593,329301340.0,20088952984.8,20088952984.8
2019-03-21,'600782,新钢股份,6.28,6.35,6.25,6.33,6.32,-0.04,-0.6329,1.5771,50289409,316980342.0,20025178530.9,20025178530.9
2019-03-20,'600782,新钢股份,6.32,6.37,6.2,6.31,6.32,0.0,0.0,1.8398,58666424,369301893.0,20152727438.7,20152727438.7
2019-03-19,'600782,新钢股份,6.32,6.41,6.27,6.39,6.43,-0.11,-1.7107,2.2501,71749555,453704086.0,20152727438.7,20152727438.7
2019-03-18,'600782,新钢股份,6.43,6.53,6.15,6.16,6.12,0.31,5.0654,3.7738,120335156,759202117.0,20503486935.3,20503486935.3
2019-03-15,'600782,新钢股份,6.12,6.15,6.03,6.07,6.06,0.06,0.9901,2.0098,64086471,390609514.0,19514982899.5,19514982899.5
2019-03-14,'600782,新钢股份,6.06,6.18,5.98,5.99,6.01,0.05,0.8319,2.0772,66235925,403287558.0,19323659537.8,19323659537.8
2019-03-13,'600782,新钢股份,6.01,6.09,5.95,6.06,6.05,-0.04,-0.6612,1.5298,48779726,293344652.0,19164223403.0,19164223403.0
2019-03-12,'600782,新钢股份,6.05,6.1,5.98,6.03,5.98,0.07,1.1706,1.9377,61788958,373613867.0,19291772310.8,19291772310.8
2019-03-11,'600782,新钢股份,5.98,5.99,5.86,5.86,5.88,0.1,1.7007,1.7171,54754451,324413518.0,19068561722.1,19068561722.1
2019-03-08,'600782,新钢股份,5.88,6.15,5.85,6.15,6.25,-0.37,-5.92,3.3225,105946844,638064568.0,18749689452.5,18749689452.5
2019-03-07,'600782,新钢股份,6.25,6.35,6.2,6.25,6.28,-0.03,-0.4777,2.9652,94553485,590513425.0,19929516850.0,19929516850.0
2019-03-06,'600782,新钢股份,6.28,6.35,6.15,6.19,6.14,0.14,2.2801,3.9323,125389318,784147650.0,20025178530.9,20025178530.9
2019-03-05,'600782,新钢股份,6.14,6.18,6.09,6.16,6.19,-0.05,-0.8078,2.5041,79849471,488344399.0,19578757353.4,19578757353.4
2019-03-04,'600782,新钢股份,6.19,6.32,6.14,6.17,6.11,0.08,1.3093,4.0418,128880268,800112846.0,19738193488.2,19738193488.2
2019-03-01,'600782,新钢股份,6.11,6.14,5.99,6.05,6.02,0.09,1.495,3.1044,98991484,600389419.0,19483095672.6,19483095672.6
2019-02-28,'600782,新钢股份,6.02,6.04,5.9,5.91,5.92,0.1,1.6892,2.1447,68388394,408323780.0,19196110629.9,19196110629.9
2019-02-27,'600782,新钢股份,5.92,6.08,5.86,5.95,6.01,-0.09,-1.4975,3.4361,109566510,654778406.0,18877238360.3,18877238360.3
2019-02-26,'600782,新钢股份,6.01,6.22,5.83,5.9,5.88,0.13,2.2109,5.6269,179424743,1080371470.0,19164223403.0,19164223403.0
2019-02-25,'600782,新钢股份,5.88,5.95,5.65,5.78,5.65,0.23,4.0708,4.2963,136996497,793421493.0,18749689452.5,18749689452.5
2019-02-22,'600782,新钢股份,5.65,5.66,5.55,5.6,5.55,0.1,1.8018,1.7641,56251171,314811319.0,18016283232.4,18016283232.4
2019-02-21,'600782,新钢股份,5.55,5.68,5.53,5.63,5.64,-0.09,-1.5957,2.0755,66181390,370959075.0,17697410962.8,17697410962.8
2019-02-20,'600782,新钢股份,5.64,5.7,5.58,5.59,5.62,0.02,0.3559,1.6426,52378098,295424004.0,17984396005.4,17984396005.4
2019-02-19,'600782,新钢股份,5.62,5.71,5.58,5.64,5.64,-0.02,-0.3546,1.9904,63468663,357982123.0,17920621551.5,17920621551.5
2019-02-18,'600782,新钢股份,5.64,5.65,5.54,5.54,5.52,0.12,2.1739,2.0087,64052844,358666840.0,17984396005.4,17984396005.4
2019-02-15,'600782,新钢股份,5.52,5.58,5.51,5.57,5.6,-0.08,-1.4286,1.8028,57485236,318895987.0,17601749281.9,17601749281.9
2019-02-14,'600782,新钢股份,5.6,5.69,5.59,5.62,5.64,-0.04,-0.7092,1.9116,60954984,342989101.0,17856847097.6,17856847097.6
2019-02-13,'600782,新钢股份,5.64,5.73,5.51,5.56,5.56,0.08,1.4388,2.8864,92037966,514907047.0,17984396005.4,17984396005.4
2019-02-12,'600782,新钢股份,5.56,5.6,5.51,5.56,5.6,-0.04,-0.7143,2.2487,71705095,397713512.0,17729298189.8,17729298189.8
2019-02-11,'600782,新钢股份,5.6,5.62,5.5,5.52,5.5,0.1,1.8182,2.7761,88523134,492000487.0,17856847097.6,17856847097.6
2019-02-01,'600782,新钢股份,5.5,5.53,5.42,5.47,5.43,0.07,1.2891,1.7727,56525323,309038772.0,17537974828.0,17537974828.0
2019-01-31,'600782,新钢股份,5.43,5.54,5.37,5.52,5.51,-0.08,-1.4519,2.2775,72622876,395470808.0,17314764239.3,17314764239.3
2019-01-30,'600782,新钢股份,5.51,5.64,5.47,5.58,5.63,-0.12,-2.1314,2.8258,90106624,500029074.0,17569862055.0,17569862055.0
2019-01-29,'600782,新钢股份,5.63,5.68,5.34,5.44,5.24,0.39,7.4427,4.2302,134889054,742371945.0,17952508778.5,17952508778.5
2019-01-28,'600782,新钢股份,5.24,5.33,5.2,5.32,5.27,-0.03,-0.5693,0.7859,25061668,132055740.0,16708906927.0,16708906927.0
2019-01-25,'600782,新钢股份,5.27,5.33,5.26,5.26,5.23,0.04,0.7648,1.0702,34127050,180659812.0,16804568607.9,16804568607.9
2019-01-24,'600782,新钢股份,5.23,5.26,5.17,5.24,5.25,-0.02,-0.381,0.9176,29261004,152572181.0,16677019700.1,16677019700.1
2019-01-23,'600782,新钢股份,5.25,5.28,5.21,5.24,5.26,-0.01,-0.1901,0.6902,22009364,115293548.0,16740794154.0,16740794154.0
2019-01-22,'600782,新钢股份,5.26,5.38,5.23,5.36,5.37,-0.11,-2.0484,1.0258,32710251,173157094.0,16772681381.0,16772681381.0
2019-01-21,'600782,新钢股份,5.37,5.4,5.32,5.4,5.39,-0.02,-0.3711,1.5768,50281180,269203793.0,17123440877.5,17123440877.5
2019-01-18,'600782,新钢股份,5.39,5.46,5.18,5.2,5.18,0.21,4.0541,2.8563,91077910,486156487.0,17187215331.4,17187215331.4
2019-01-17,'600782,新钢股份,5.18,5.24,5.15,5.16,5.13,0.05,0.9747,1.2495,39843634,207084079.0,16517583565.3,16517583565.3
2019-01-16,'600782,新钢股份,5.13,5.17,5.11,5.17,5.16,-0.03,-0.5814,0.7007,22342103,114704717.0,16358147430.5,16358147430.5
2019-01-15,'600782,新钢股份,5.16,5.16,5.1,5.14,5.17,-0.01,-0.1934,0.9539,30417326,156049859.0,16453809111.4,16453809111.4
2019-01-14,'600782,新钢股份,5.17,5.21,5.05,5.07,5.06,0.11,2.1739,1.5353,48954979,252443141.0,16485696338.3,16485696338.3
2019-01-11,'600782,新钢股份,5.06,5.08,5.02,5.06,5.05,0.01,0.198,0.79,25189703,127266507.0,16134936841.8,16134936841.8
2019-01-10,'600782,新钢股份,5.05,5.12,5.04,5.11,5.12,-0.07,-1.3672,1.0105,32222178,163652847.0,16103049614.8,16103049614.8
2019-01-09,'600782,新钢股份,5.12,5.25,5.02,5.02,5.01,0.11,2.1956,1.4917,47567714,244442125.0,16326260203.5,16326260203.5
2019-01-08,'600782,新钢股份,5.01,5.07,5.01,5.07,5.09,-0.08,-1.5717,0.875,27902624,140327759.0,15975500707.0,15975500707.0
2019-01-07,'600782,新钢股份,5.09,5.11,5.03,5.07,5.06,0.03,0.5929,1.0643,33937321,171958847.0,16230598522.6,16230598522.6
2019-01-04,'600782,新钢股份,5.06,5.07,4.88,4.94,4.99,0.07,1.4028,0.8055,25684684,128312676.0,16134936841.8,16134936841.8
