日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300593,新雷能,20.97,21.17,20.3,20.61,20.62,0.35,1.6974,3.1359,2211100,46123628.0,2473872840.0,1478564545.14
2019-04-25,'300593,新雷能,20.62,21.63,20.28,21.6,21.49,-0.87,-4.0484,3.633,2561600,53732414.0,2432582640.0,1453886548.44
2019-04-24,'300593,新雷能,21.49,21.63,20.68,20.68,20.65,0.84,4.0678,4.909,3461298,73388660.06,2535218280.0,1515228997.38
2019-04-23,'300593,新雷能,20.65,21.35,20.35,21.35,21.29,-0.64,-3.0061,3.8899,2742694,56854340.74,2436121800.0,1456001805.3
2019-04-22,'300593,新雷能,21.29,21.88,21.15,21.21,21.24,0.05,0.2354,4.8036,3386981,72720229.13,2511623880.0,1501127284.98
2019-04-19,'300593,新雷能,21.24,21.6,20.46,20.92,20.93,0.31,1.4811,5.8272,4108692,86703923.51,2505725280.0,1497601856.88
2019-04-18,'300593,新雷能,20.93,21.33,20.66,21.18,21.46,-0.53,-2.4697,4.7262,3332368,69962307.82,2469153960.0,1475744202.66
2019-04-17,'300593,新雷能,21.46,22.16,20.0,20.38,20.15,1.31,6.5012,8.8881,6266869,133454553.98,2531679120.0,1513113740.52
2019-04-16,'300593,新雷能,20.15,20.26,19.05,19.11,19.17,0.98,5.1122,4.9619,3498578,69276147.5,2377135800.0,1420747524.3
2019-04-15,'300593,新雷能,19.17,19.77,19.0,19.35,19.1,0.07,0.3665,3.2639,2301309,44711203.95,2261523240.0,1351649133.54
2019-04-12,'300593,新雷能,19.1,19.48,18.88,19.28,19.5,-0.4,-2.0513,3.3384,2353827,45026511.88,2253265200.0,1346713534.2
2019-04-11,'300593,新雷能,19.5,20.32,19.45,19.88,19.87,-0.37,-1.8621,4.3778,3086719,61465080.41,2300454000.0,1374916959.0
2019-04-10,'300593,新雷能,19.87,20.48,19.5,19.66,19.98,-0.11,-0.5506,6.8534,4832234,96894974.59,2344103640.0,1401005126.94
2019-04-09,'300593,新雷能,19.98,20.11,18.83,19.23,19.23,0.75,3.9002,8.1368,5737159,113160759.02,2357080560.0,1408761068.76
2019-04-08,'300593,新雷能,19.23,20.06,19.02,20.0,19.84,-0.61,-3.0746,5.4959,3875109,75195530.45,2268601560.0,1355879647.26
2019-04-04,'300593,新雷能,19.84,20.29,19.65,20.29,20.17,-0.33,-1.6361,5.1136,3605508,71740802.44,2340564480.0,1398889870.08
2019-04-03,'300593,新雷能,20.17,20.48,19.81,20.45,20.02,0.15,0.7493,5.1707,3645799,73200379.81,2379495240.0,1422157695.54
2019-04-02,'300593,新雷能,20.02,20.83,19.99,20.75,20.32,-0.3,-1.4764,5.9493,4194800,85584678.0,2361799440.0,1411581411.24
2019-04-01,'300593,新雷能,20.32,20.9,20.12,20.8,20.0,0.32,1.6,8.7001,6134340,125479546.44,2397191040.0,1432733979.84
2019-03-29,'300593,新雷能,20.0,20.1,18.6,18.6,18.42,1.58,8.5776,8.8721,6255617,121391542.23,2359440000.0,1410171240.0
2019-03-28,'300593,新雷能,18.42,20.1,18.42,19.6,19.59,-1.17,-5.9724,7.213,5085800,98164621.56,2173044240.0,1298767712.04
2019-03-27,'300593,新雷能,19.59,20.48,19.41,19.79,20.02,-0.43,-2.1479,7.2939,5142857,102087445.08,2311071480.0,1381262729.58
2019-03-26,'300593,新雷能,20.02,21.36,19.53,20.4,19.62,0.4,2.0387,12.4806,8799870,181177143.03,2361799440.0,1411581411.24
2019-03-25,'300593,新雷能,19.62,21.77,19.5,21.36,20.4,-0.78,-3.8235,9.9252,6998091,145996252.17,2314610640.0,1383377986.44
2019-03-22,'300593,新雷能,20.4,21.7,20.38,20.75,20.34,0.06,0.295,8.6926,6129041,128981228.9,2406628800.0,1438374664.8
2019-03-21,'300593,新雷能,20.34,20.67,19.36,19.36,19.59,0.75,3.8285,8.4566,5962633,119413403.2,2399550480.0,1434144151.08
2019-03-20,'300593,新雷能,19.59,20.69,19.36,19.89,21.51,-1.92,-8.9261,11.2899,7960349,156916525.34,2311071480.0,1381262729.58
2019-03-19,'300593,新雷能,21.51,21.96,21.25,21.25,21.06,0.45,2.1368,3.8928,2744748,59344615.43,2537577720.0,1516639168.62
2019-03-18,'300593,新雷能,21.06,21.46,20.75,20.85,21.05,0.01,0.0475,3.9281,2769618,58338733.91,2484490320.0,1484910315.72
2019-03-15,'300593,新雷能,21.05,21.15,20.01,20.01,19.4,1.65,8.5052,5.8035,4091954,84888529.1,2483310600.0,1484205230.1
2019-03-14,'300593,新雷能,19.4,20.66,19.09,20.4,20.3,-0.9,-4.4335,5.5982,3947185,78335858.88,2288656800.0,1367866102.8
2019-03-13,'300593,新雷能,20.3,22.53,20.28,21.8,21.6,-1.3,-6.0185,6.9541,4903268,105639920.25,2394831600.0,1431323808.6
2019-03-12,'300593,新雷能,21.6,21.78,21.05,21.49,21.46,0.14,0.6524,4.0782,2875474,61764147.61,2548195200.0,1522984939.2
