日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300324,旋极信息,7.19,7.39,7.03,7.1,7.18,0.01,0.1393,1.5543,24446276,176824939.23,12300670658.0,11308235677.0
2019-04-25,'300324,旋极信息,7.18,7.63,7.18,7.63,7.67,-0.49,-6.3885,1.8882,29697087,219796387.21,12283562632.1,11292507950.1
2019-04-24,'300324,旋极信息,7.67,7.68,7.33,7.43,7.44,0.23,3.0914,1.9214,30218782,227505201.51,13121855903.6,12063166570.6
2019-04-23,'300324,旋极信息,7.44,7.61,7.34,7.56,7.55,-0.11,-1.457,1.6036,25221664,187865400.6,12728371306.8,11701428850.8
2019-04-22,'300324,旋极信息,7.55,7.79,7.54,7.79,7.75,-0.2,-2.5806,1.4453,22731868,173658396.06,12916559592.2,11874433847.2
2019-04-19,'300324,旋极信息,7.75,7.77,7.5,7.76,7.73,0.02,0.2587,1.8037,28367348,216942711.31,13258720111.2,12188988386.2
2019-04-18,'300324,旋极信息,7.73,7.87,7.7,7.8,7.77,-0.04,-0.5148,1.6984,26712461,207798784.6,13224504059.4,12157532932.4
2019-04-17,'300324,旋极信息,7.77,7.94,7.73,7.79,7.81,-0.04,-0.5122,1.9118,30067643,234798702.1,13292936163.1,12220443840.1
2019-04-16,'300324,旋极信息,7.81,7.89,7.39,7.6,7.65,0.16,2.0915,2.3529,37006320,283529457.44,13361368267.0,12283354748.0
2019-04-15,'300324,旋极信息,7.65,7.96,7.61,7.7,7.58,0.07,0.9235,2.5121,39509604,307311124.35,13087639851.8,12031711116.8
2019-04-12,'300324,旋极信息,7.58,7.75,7.32,7.51,7.92,-0.34,-4.2929,3.4205,53795981,408149522.91,13160865869.0,11921617028.1
2019-04-11,'300324,旋极信息,7.92,8.32,7.88,8.32,8.32,-0.4,-4.8077,2.8327,44551417,361226661.88,13751194945.0,12456359744.4
2019-04-10,'300324,旋极信息,8.32,8.41,8.14,8.25,8.42,-0.1,-1.1876,2.9696,46705511,386407387.03,14445699740.2,13085468822.4
2019-04-09,'300324,旋极信息,8.42,8.58,8.3,8.48,8.51,-0.09,-1.0576,2.5409,39962863,337439520.64,14619325939.0,13242746091.9
2019-04-08,'300324,旋极信息,8.51,9.09,8.31,9.03,8.88,-0.37,-4.1667,4.8814,76773867,664081315.58,14775589517.9,13384295634.5
2019-04-04,'300324,旋极信息,8.88,9.19,8.52,8.64,8.58,0.3,3.4965,6.2734,98667094,870727458.5,15418006453.4,13966221531.6
2019-04-03,'300324,旋极信息,8.58,8.72,8.45,8.54,8.61,-0.03,-0.3484,3.1085,48888991,418516454.5,14897127857.0,13494389723.1
2019-04-02,'300324,旋极信息,8.61,8.78,8.48,8.48,8.46,0.15,1.773,4.7286,74370622,642202186.63,14949215716.7,13541572904.0
2019-04-01,'300324,旋极信息,8.46,8.53,8.22,8.25,8.18,0.28,3.423,4.0483,63669931,536526013.22,14688776418.5,13305656999.7
2019-03-29,'300324,旋极信息,8.18,8.25,7.76,8.05,8.08,0.1,1.2376,3.5639,56051481,451870725.36,14202623061.8,12865280645.1
2019-03-28,'300324,旋极信息,8.08,8.47,8.05,8.19,8.29,-0.21,-2.5332,3.0216,47523332,392820068.89,14028996863.0,12708003375.6
2019-03-27,'300324,旋极信息,8.29,8.68,8.07,8.56,8.55,-0.26,-3.0409,4.0924,64363851,534626172.95,14393611880.5,13038285641.5
2019-03-26,'300324,旋极信息,8.55,8.98,8.41,8.5,8.35,0.2,2.3952,7.5183,118245768,1020748523.43,14845039997.4,13447206542.2
2019-03-25,'300324,旋极信息,8.35,8.76,7.72,7.82,8.03,0.32,3.9851,5.4852,86270496,712009171.64,14497787599.8,13132652003.2
2019-03-22,'300324,旋极信息,8.03,8.16,7.85,8.09,8.11,-0.08,-0.9864,2.5942,40800520,326863322.08,13942183763.6,12629364740.9
2019-03-21,'300324,旋极信息,8.11,8.24,8.02,8.04,8.04,0.07,0.8706,3.3891,53303038,434282347.11,14081084722.7,12755186556.5
2019-03-20,'300324,旋极信息,8.04,8.26,7.82,8.16,8.15,-0.11,-1.3497,2.8965,45555851,365054053.27,13959546383.5,12645092467.8
2019-03-19,'300324,旋极信息,8.15,8.34,7.95,8.03,8.05,0.1,1.2422,3.4755,54661762,445634685.17,14150535202.2,12818097464.2
2019-03-18,'300324,旋极信息,8.05,8.1,7.58,7.9,7.82,0.23,2.9412,3.6598,57559628,451461380.91,13976909003.4,12660820194.8
2019-03-15,'300324,旋极信息,7.82,8.13,7.71,7.95,7.9,-0.08,-1.0127,3.5901,56463376,447958590.31,13577568746.2,12299082474.9
2019-03-14,'300324,旋极信息,7.9,8.57,7.82,8.36,8.69,-0.79,-9.0909,5.9483,93552916,754949767.04,13716469705.2,12424904290.5
2019-03-13,'300324,旋极信息,8.69,9.5,8.58,9.5,9.53,-0.84,-8.8143,8.6899,136672898,1239991926.19,15088116675.7,13667394719.5
2019-03-12,'300324,旋极信息,9.53,9.53,8.55,8.64,8.66,0.87,10.0462,9.0193,141852354,1271734321.16,16546576745.6,14988523783.4
2019-03-11,'300324,旋极信息,8.66,8.71,8.08,8.28,8.2,0.46,5.6098,7.7091,121246911,1017369398.78,15036028816.1,13620211538.7
2019-03-08,'300324,旋极信息,8.2,8.67,7.8,7.96,8.21,-0.01,-0.1218,8.3947,132028813,1087426733.51,14237348301.6,12896736099.0
2019-03-07,'300324,旋极信息,8.21,8.38,7.88,8.0,8.13,0.08,0.984,6.713,105579451,857060713.46,14254710921.5,12912463826.0
