日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002520,日发精机,8.02,8.16,7.5,7.5,7.96,0.06,0.7538,0.5062,2770578,22251675.15,6065961798.78,4389186169.42
2019-04-25,'002520,日发精机,7.96,8.33,7.9,8.33,8.32,-0.36,-4.3269,0.6253,3422091,27856854.07,6020580538.44,4356349365.16
2019-04-24,'002520,日发精机,8.32,8.36,8.19,8.27,8.27,0.05,0.6046,0.4879,2670064,22093164.6,6292868100.48,4553370190.72
2019-04-23,'002520,日发精机,8.27,8.56,8.24,8.5,8.54,-0.27,-3.1616,0.7701,4214806,35125812.67,6255050383.53,4526006187.17
2019-04-22,'002520,日发精机,8.54,8.73,8.49,8.54,8.49,0.05,0.5889,0.7174,3926332,33774646.12,6459266055.06,4673771806.34
2019-04-19,'002520,日发精机,8.49,8.54,8.41,8.44,8.47,0.02,0.2361,0.5345,2925412,24799032.0,6421448338.11,4646407802.79
2019-04-18,'002520,日发精机,8.47,8.65,8.42,8.56,8.56,-0.09,-1.0514,0.5167,2827621,24140502.24,6406321251.33,4635462201.37
2019-04-17,'002520,日发精机,8.56,8.68,8.52,8.54,8.53,0.03,0.3517,0.5461,2988885,25685907.65,6474393141.84,4684717407.76
2019-04-16,'002520,日发精机,8.53,8.57,8.35,8.42,8.42,0.11,1.3064,0.6306,3450877,29159581.0,6451702511.67,4668299005.63
2019-04-15,'002520,日发精机,8.42,8.8,8.36,8.69,8.63,-0.21,-2.4334,0.7011,3837050,33078633.84,6368503534.38,4608098197.82
2019-04-12,'002520,日发精机,8.63,8.72,8.53,8.69,8.67,-0.04,-0.4614,0.6053,3312657,28551489.27,6527337945.57,4723027012.73
2019-04-11,'002520,日发精机,8.67,8.98,8.66,8.85,8.9,-0.23,-2.5843,0.8353,4571250,40293771.0,6557592119.13,4744918215.57
2019-04-10,'002520,日发精机,8.9,8.96,8.71,8.79,8.82,0.08,0.907,0.9311,5095671,45129785.26,6731553617.1,4870792631.9
2019-04-09,'002520,日发精机,8.82,8.85,8.67,8.71,8.75,0.07,0.8,0.8068,4415412,38719489.11,6671045269.98,4827010226.22
2019-04-08,'002520,日发精机,8.75,9.01,8.65,8.97,8.88,-0.13,-1.464,1.0685,5847799,51760823.28,6618100466.25,4788700621.25
2019-04-04,'002520,日发精机,8.88,9.08,8.81,9.0,8.95,-0.07,-0.7821,0.9361,5122918,45623905.53,6716426530.32,4859847030.48
