日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300418,昆仑万维,14.94,15.14,14.62,14.7,14.77,0.17,1.151,1.5439,10485747,156711000.74,17210076467.0,10146992242.1
2019-04-25,'300418,昆仑万维,14.77,15.53,14.76,15.53,15.54,-0.77,-4.955,1.8393,12492200,189216501.13,17014245610.3,10031531152.4
2019-04-24,'300418,昆仑万维,15.54,15.57,14.92,15.15,15.08,0.46,3.0504,1.9305,13111513,200373501.24,17901244196.6,10554501970.7
2019-04-23,'300418,昆仑万维,15.08,15.3,14.91,15.1,15.25,-0.17,-1.1148,1.5513,10536162,159096516.46,17371348937.3,10242077845.5
2019-04-22,'300418,昆仑万维,15.25,15.77,15.16,15.7,15.6,-0.35,-2.2436,1.8133,12315665,189936953.1,17567179794.0,10357538935.2
2019-04-19,'300418,昆仑万维,15.6,15.6,15.16,15.4,15.39,0.21,1.3645,1.8861,12810024,197503033.69,17970360969.6,10595252943.6
2019-04-18,'300418,昆仑万维,15.39,15.79,15.35,15.79,15.8,-0.41,-2.5949,2.104,14289790,221960298.7,17728452264.2,10452624538.6
2019-04-17,'300418,昆仑万维,15.8,16.03,15.61,15.7,15.91,-0.11,-0.6914,2.371,16103599,254383873.91,18200750212.8,10731089519.8
2019-04-16,'300418,昆仑万维,15.91,15.91,15.1,15.5,15.7,0.21,1.3376,3.3228,22567773,348659356.86,18327464296.6,10805799636.7
2019-04-15,'300418,昆仑万维,15.7,16.8,15.7,16.66,16.33,-0.63,-3.8579,4.1892,28452566,459764343.44,18085555591.2,10663171231.7
2019-04-12,'300418,昆仑万维,16.33,16.75,15.65,15.67,15.75,0.58,3.6825,4.4423,30171534,493551135.88,18811281707.3,11091056446.7
2019-04-11,'300418,昆仑万维,15.75,16.44,15.7,16.44,16.18,-0.43,-2.6576,3.1461,21367856,342163049.13,18143152902.0,10697130375.8
2019-04-10,'300418,昆仑万维,16.18,16.43,15.43,15.69,15.57,0.61,3.9178,4.8759,33116050,531254720.53,18638489774.9,10989179014.6
2019-04-09,'300418,昆仑万维,15.57,15.77,15.3,15.3,15.3,0.27,1.7647,2.2678,15402393,239997029.81,17935802583.1,10574877457.2
2019-04-08,'300418,昆仑万维,15.3,15.98,15.1,15.83,15.68,-0.38,-2.4235,2.8915,19638675,303826686.53,17624777104.8,10391498079.3
2019-04-04,'300418,昆仑万维,15.68,16.05,15.6,16.0,15.85,-0.17,-1.0726,2.4127,16386675,257991066.3,18062516666.9,10649587574.1
2019-04-03,'300418,昆仑万维,15.85,15.98,15.41,15.59,15.57,0.28,1.7983,2.9298,19898696,314381998.21,18258347523.6,10765048663.9
2019-04-02,'300418,昆仑万维,15.57,15.86,15.41,15.49,15.45,0.12,0.7767,3.0318,20591552,322309773.22,17935802583.1,10574877457.2
