日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600422,昆药集团,12.13,12.41,11.97,12.18,12.42,-0.29,-2.3349,3.6911,28004454,341370076.0,9247814862.96,9202945992.96
2019-04-25,'600422,昆药集团,12.42,13.58,12.2,13.21,13.45,-1.03,-7.658,6.5884,49985934,641774567.0,9468908540.64,9422966960.64
2019-04-24,'600422,昆药集团,13.45,13.72,12.91,13.21,13.2,0.25,1.8939,5.3288,40429481,541138492.0,10254172292.4,10204420742.4
2019-04-23,'600422,昆药集团,13.2,13.35,12.72,13.14,13.08,0.12,0.9174,5.4559,41393235,545921170.0,10063574294.4,10014747494.4
2019-04-22,'600422,昆药集团,13.08,13.78,12.97,13.73,13.78,-0.7,-5.0798,6.2394,47337739,626480715.0,9972087255.36,9923704335.36
2019-04-19,'600422,昆药集团,13.78,14.12,13.46,13.75,14.0,-0.22,-1.5714,6.1623,46752662,645121159.0,10505761649.8,10454789429.8
2019-04-18,'600422,昆药集团,14.0,15.1,13.9,14.63,15.28,-1.28,-8.377,11.3082,85794701,1252693137.0,10673487888.0,10621701888.0
2019-04-17,'600422,昆药集团,15.28,15.3,13.8,14.09,14.35,0.93,6.4808,13.178,99980240,1450627627.0,11649349637.8,11592828917.8
2019-04-16,'600422,昆药集团,14.35,14.77,13.48,14.2,14.21,0.14,0.9852,10.3789,78743979,1112740303.0,10940325085.2,10887244435.2
2019-04-15,'600422,昆药集团,14.21,14.83,13.81,13.9,13.91,0.3,2.1567,10.6493,80795808,1157920660.0,10833590206.3,10781027416.3
2019-04-12,'600422,昆药集团,13.91,15.44,13.77,15.1,15.3,-1.39,-9.085,13.6405,103489532,1486415334.0,10604872608.7,10553419518.7
2019-04-11,'600422,昆药集团,15.3,15.5,14.0,14.3,14.33,0.97,6.769,14.3571,108926674,1614748123.0,11664597477.6,11608002777.6
2019-04-10,'600422,昆药集团,14.33,15.3,13.21,13.45,13.95,0.38,2.724,16.6637,126426621,1820120473.0,10925077245.4,10872070575.4
2019-04-09,'600422,昆药集团,13.95,14.53,13.09,13.44,13.21,0.74,5.6018,17.037,129258250,1794337645.0,10635368288.4,10583767238.4
2019-04-08,'600422,昆药集团,13.21,13.21,12.55,13.0,12.01,1.2,9.9917,13.176,99965371,1296141723.0,10071198214.3,10022334424.3
2019-04-04,'600422,昆药集团,12.01,12.01,11.75,11.99,10.92,1.09,9.9817,6.0988,46271108,554669895.0,9156327823.92,9111902833.92
2019-04-03,'600422,昆药集团,10.92,11.14,10.63,11.0,11.23,-0.31,-2.7605,5.9484,45130213,492366430.0,8325320552.64,8284927472.64
2019-04-02,'600422,昆药集团,11.23,11.55,10.52,10.71,10.69,0.54,5.0514,9.936,75384089,830757594.0,8561662070.16,8520122300.16
2019-04-01,'600422,昆药集团,10.69,10.85,10.22,10.53,10.51,0.18,1.7127,7.9612,60401120,639543463.0,8149970394.48,8110428084.48
2019-03-29,'600422,昆药集团,10.51,10.83,10.13,10.15,11.25,-0.74,-6.5778,11.6786,88604672,910686297.0,8012739835.92,7973863345.92
2019-03-28,'600422,昆药集团,11.25,11.71,11.25,11.58,12.5,-1.25,-10.0,6.9902,53034485,603828929.0,8576909910.0,8535296160.0
2019-03-27,'600422,昆药集团,12.5,12.91,11.0,11.54,11.97,0.53,4.4277,13.5962,103153061,1245560420.0,9529899900.0,9483662400.0
2019-03-26,'600422,昆药集团,11.97,13.5,11.75,12.8,12.48,-0.51,-4.0865,12.791,97044691,1219847209.0,9125832144.24,9081555114.24
2019-03-25,'600422,昆药集团,12.48,12.96,11.21,11.45,11.78,0.7,5.9423,13.6762,103760456,1274546533.0,9514652060.16,9468488540.16
2019-03-22,'600422,昆药集团,11.78,11.78,10.44,10.68,10.71,1.07,9.9907,11.0417,83772449,940098716.0,8980977665.76,8937403445.76
2019-03-21,'600422,昆药集团,10.71,11.17,10.21,10.25,10.15,0.56,5.5172,11.1262,84413465,923231665.0,8165218234.32,8125601944.32
2019-03-20,'600422,昆药集团,10.15,10.29,9.62,10.03,9.9,0.25,2.5253,3.7067,28122643,279104818.0,7738278718.8,7700733868.8
2019-03-19,'600422,昆药集团,9.9,9.93,9.3,9.45,9.52,0.38,3.9916,3.4797,26400063,254354307.0,7547680720.8,7511060620.8
2019-03-18,'600422,昆药集团,9.52,9.58,9.09,9.12,9.05,0.47,5.1934,3.6244,27498402,257870235.0,7257971763.84,7222757283.84
2019-03-15,'600422,昆药集团,9.05,9.54,9.0,9.39,9.21,-0.16,-1.7372,3.347,25393378,235055786.0,6899647527.6,6866171577.6
2019-03-14,'600422,昆药集团,9.21,10.49,9.0,9.95,10.0,-0.79,-7.9,5.4412,41281726,397070697.0,7021630246.32,6987562456.32
2019-03-13,'600422,昆药集团,10.0,10.79,9.6,10.05,9.9,0.1,1.0101,6.0277,45731970,472556198.0,7623919920.0,7586929920.0
2019-03-12,'600422,昆药集团,9.9,10.03,9.3,9.3,9.21,0.69,7.4919,7.2836,55259973,533255381.0,7547680720.8,7511060620.8
2019-03-11,'600422,昆药集团,9.21,9.3,8.74,8.9,8.94,0.27,3.0201,4.542,34459791,312714888.0,7021630246.32,6987562456.32
2019-03-08,'600422,昆药集团,8.94,9.76,8.93,9.25,9.9,-0.96,-9.697,8.7345,66268308,619549847.0,6815784408.48,6782715348.48
2019-03-07,'600422,昆药集团,9.9,9.9,9.18,9.18,9.0,0.9,10.0,12.1157,91920737,896065567.0,7547680720.8,7511060620.8
2019-03-06,'600422,昆药集团,9.0,9.0,8.1,8.53,8.18,0.82,10.0244,8.4237,63910197,554100301.0,6861527928.0,6828236928.0
2019-03-05,'600422,昆药集团,8.18,8.18,7.38,7.38,7.44,0.74,9.9462,3.5804,27164517,215261409.0,6236366494.56,6206108674.56
2019-03-04,'600422,昆药集团,7.44,7.6,7.31,7.34,7.29,0.15,2.0576,2.0912,15865771,118733266.0,5672196420.48,5644675860.48
2019-03-01,'600422,昆药集团,7.29,7.37,7.2,7.33,7.29,0.0,0.0,0.7958,6037451,43889689.0,5557837621.68,5530871911.68
2019-02-28,'600422,昆药集团,7.29,7.38,7.2,7.23,7.22,0.07,0.9695,0.8667,6575508,48041603.0,5557837621.68,5530871911.68
2019-02-27,'600422,昆药集团,7.22,7.38,7.15,7.19,7.18,0.04,0.5571,1.4528,11022273,80007417.0,5504470182.24,5477763402.24
2019-02-26,'600422,昆药集团,7.18,7.41,7.08,7.17,7.18,0.0,0.0,1.8714,14198295,102752453.0,5473974502.56,5447415682.56
2019-02-25,'600422,昆药集团,7.18,7.23,6.86,6.94,6.9,0.28,4.058,2.0166,15299641,108179263.0,5473974502.56,5447415682.56
2019-02-22,'600422,昆药集团,6.9,6.95,6.71,6.74,6.77,0.13,1.9202,0.9334,7081764,48269282.0,5260504744.8,5234981644.8
2019-02-21,'600422,昆药集团,6.77,6.91,6.75,6.81,6.79,-0.02,-0.2946,1.1118,8435065,57648883.0,5161393785.84,5136351555.84
2019-02-20,'600422,昆药集团,6.79,6.83,6.66,6.75,6.76,0.03,0.4438,0.7986,6058812,40837582.0,5176641625.68,5151525415.68
2019-02-19,'600422,昆药集团,6.76,6.9,6.69,6.8,6.8,-0.04,-0.5882,0.9216,6992466,47453069.0,5153769865.92,5128764625.92
2019-02-18,'600422,昆药集团,6.8,6.82,6.62,6.62,6.61,0.19,2.8744,0.958,7267908,49060804.0,5184265545.6,5159112345.6
2019-02-15,'600422,昆药集团,6.61,6.71,6.58,6.64,6.65,-0.04,-0.6015,0.6666,5057471,33516561.0,5039411067.12,5014960677.12
2019-02-14,'600422,昆药集团,6.65,6.69,6.6,6.68,6.67,-0.02,-0.2999,0.6491,4924735,32698518.0,5069906746.8,5045308396.8
2019-02-13,'600422,昆药集团,6.67,6.69,6.5,6.58,6.56,0.11,1.6768,1.177,8930117,59116668.0,5085154586.64,5060482256.64
2019-02-12,'600422,昆药集团,6.56,6.62,6.41,6.43,6.45,0.11,1.7054,1.0043,7619349,49799793.0,5001291467.52,4977026027.52
2019-02-11,'600422,昆药集团,6.45,6.47,6.28,6.3,6.3,0.15,2.381,0.4895,3713796,23694223.0,4917428348.4,4893569798.4
2019-02-01,'600422,昆药集团,6.3,6.32,6.19,6.26,6.17,0.13,2.107,0.4255,3228448,20248296.0,4803069549.6,4779765849.6
2019-01-31,'600422,昆药集团,6.17,6.27,6.11,6.16,6.14,0.03,0.4886,0.4752,3605499,22355794.0,4703958590.64,4681135760.64
