ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'002860,ÐÇË§¶û,20.3,21.36,20.04,21.1,21.08,-0.78,-3.7002,2.9692,1585941,32562760.82,2368563806.0,1084286011.2
2019-04-25,'002860,ÐÇË§¶û,21.08,22.16,21.07,22.03,22.19,-1.11,-5.0023,3.2164,1718000,37143655.16,2459572661.6,1125948232.32
2019-04-24,'002860,ÐÇË§¶û,22.19,22.28,21.83,22.13,21.91,0.28,1.278,2.1178,1131180,24959471.17,2589085263.8,1185236777.76
2019-04-23,'002860,ÐÇË§¶û,21.91,22.28,21.8,22.28,22.15,-0.24,-1.0835,3.1139,1663213,36517127.95,2556415418.2,1170281108.64
2019-04-22,'002860,ÐÇË§¶û,22.15,22.64,22.15,22.53,22.55,-0.4,-1.7738,3.2528,1737401,38772881.68,2584418143.0,1183100253.6
2019-04-19,'002860,ÐÇË§¶û,22.55,22.85,22.08,22.74,22.75,-0.2,-0.8791,3.8983,2082200,46687618.5,2631089351.0,1204465495.2
2019-04-18,'002860,ÐÇË§¶û,22.75,23.06,22.54,22.83,22.71,0.04,0.1761,4.2472,2268546,51716503.21,2654424955.0,1215148116.0
2019-04-17,'002860,ÐÇË§¶û,22.71,23.06,22.59,23.02,22.99,-0.28,-1.2179,5.2176,2786873,63499803.27,2649757834.2,1213011591.84
2019-04-16,'002860,ÐÇË§¶û,22.99,23.2,21.8,22.06,22.2,0.79,3.5586,7.0881,3785996,85386891.4,2682427679.8,1227967260.96
2019-04-15,'002860,ÐÇË§¶û,22.2,22.59,22.2,22.28,22.11,0.09,0.4071,4.5394,2424611,54447781.56,2590252044.0,1185770908.8
2019-04-12,'002860,ÐÇË§¶û,22.11,22.3,21.9,22.15,22.13,-0.02,-0.0904,2.6835,1433355,31614563.99,2579751022.2,1180963729.44
2019-04-11,'002860,ÐÇË§¶û,22.13,22.58,22.03,22.41,22.47,-0.34,-1.5131,3.294,1759432,39104679.02,2582084582.6,1182031991.52
2019-04-10,'002860,ÐÇË§¶û,22.47,22.7,22.2,22.5,22.53,-0.06,-0.2663,3.5339,1887565,42388644.1,2621755109.4,1200192446.88
2019-04-09,'002860,ÐÇË§¶û,22.53,22.75,22.19,22.75,22.69,-0.16,-0.7052,3.7215,1987785,44741929.7,2628755790.6,1203397233.12
2019-04-08,'002860,ÐÇË§¶û,22.69,23.48,22.3,23.3,23.25,-0.56,-2.4086,6.5351,3490620,79513455.72,2647424273.8,1211943329.76
2019-04-04,'002860,ÐÇË§¶û,23.25,23.48,22.65,22.9,22.91,0.34,1.4841,7.1016,3793170,87494410.97,2712763965.0,1241854668.0
2019-04-03,'002860,ÐÇË§¶û,22.91,23.0,22.29,22.4,22.54,0.37,1.6415,6.5543,3500863,79669989.12,2673093438.2,1223694212.64
2019-04-02,'002860,ÐÇË§¶û,22.54,22.85,22.2,22.7,22.69,-0.15,-0.6611,6.1325,3275549,73802482.19,2629922570.8,1203931364.16
2019-04-01,'002860,ÐÇË§¶û,22.69,22.71,21.65,21.7,21.55,1.14,5.29,7.2457,3870148,86148714.7,2647424273.8,1211943329.76
2019-03-29,'002860,ÐÇË§¶û,21.55,21.66,20.68,21.1,21.13,0.42,1.9877,4.3214,2308189,49118725.07,2514411331.0,1151052391.2
2019-03-28,'002860,ÐÇË§¶û,21.13,21.67,21.0,21.0,21.06,0.07,0.3324,3.5707,1907211,40703576.24,2465406562.6,1128618887.52
2019-03-27,'002860,ÐÇË§¶û,21.06,21.42,20.75,21.19,21.18,-0.12,-0.5666,3.0372,1622278,34094833.9,2457239101.2,1124879970.24
2019-03-26,'002860,ÐÇË§¶û,21.18,22.49,21.07,22.27,22.27,-1.09,-4.8945,6.0264,3218903,69732493.56,2471240463.6,1131289542.72
2019-03-25,'002860,ÐÇË§¶û,22.27,22.69,21.86,22.0,22.75,-0.48,-2.1099,7.238,3866039,86232127.54,2598419505.4,1189509826.08
2019-03-22,'002860,ÐÇË§¶û,22.75,23.73,21.1,21.7,21.6,1.15,5.3241,12.3347,6588342,147503545.77,2654424955.0,1215148116.0
2019-03-21,'002860,ÐÇË§¶û,21.6,22.27,21.6,21.97,21.85,-0.25,-1.1442,4.8823,2607810,56847114.2,2520245232.0,1153723046.4
2019-03-20,'002860,ÐÇË§¶û,21.85,21.85,21.4,21.56,21.63,0.22,1.0171,4.3288,2312150,50068316.0,2549414737.0,1167076322.4
2019-03-19,'002860,ÐÇË§¶û,21.63,21.79,21.43,21.6,21.69,-0.06,-0.2766,3.2734,1748414,37743405.38,2523745572.6,1155325439.52
2019-03-18,'002860,ÐÇË§¶û,21.69,21.72,21.1,21.29,21.17,0.52,2.4563,3.3396,1783807,38161168.13,2530746253.8,1158530225.76
