日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300256,星星科技,3.68,3.83,3.68,3.82,3.82,-0.14,-3.6649,2.2951,21985850,82489038.39,3558450137.28,3525205937.28
2019-04-25,'300256,星星科技,3.82,4.07,3.8,4.04,4.1,-0.28,-6.8293,2.7951,26775680,105731948.93,3693825957.72,3659317032.72
2019-04-24,'300256,星星科技,4.1,4.15,3.83,4.06,4.07,0.03,0.7371,3.5878,34368395,137585767.38,3964577598.6,3927539223.6
2019-04-23,'300256,星星科技,4.07,4.23,4.06,4.17,4.19,-0.12,-2.864,2.0991,20108456,83047375.28,3935568494.22,3898801131.72
2019-04-22,'300256,星星科技,4.19,4.32,4.05,4.07,4.45,-0.26,-5.8427,4.5922,43989995,184367244.14,4051604911.74,4013753499.24
2019-04-19,'300256,星星科技,4.45,4.46,4.33,4.42,4.44,0.01,0.2252,2.0581,19714953,86703267.14,4303017149.7,4262816962.2
2019-04-18,'300256,星星科技,4.44,4.53,4.36,4.41,4.44,0.0,0.0,1.9503,18682712,83112623.49,4293347448.24,4253237598.24
2019-04-17,'300256,星星科技,4.44,4.52,4.35,4.4,4.4,0.04,0.9091,2.5593,24516052,109381560.9,4293347448.24,4253237598.24
2019-04-16,'300256,星星科技,4.4,4.43,4.12,4.25,4.29,0.11,2.5641,2.7866,26693841,113657490.44,4254668642.4,4214920142.4
2019-04-15,'300256,星星科技,4.29,4.54,4.28,4.48,4.4,-0.11,-2.5,1.9354,18539600,81925144.5,4148301926.34,4109547138.84
2019-04-12,'300256,星星科技,4.4,4.46,4.32,4.42,4.39,0.01,0.2278,1.6214,15531843,68049653.98,4254668642.4,4214920142.4
2019-04-11,'300256,星星科技,4.39,4.61,4.37,4.5,4.53,-0.14,-3.0905,2.7808,26638100,118825575.0,4244998940.94,4205340778.44
2019-04-10,'300256,星星科技,4.53,4.65,4.48,4.64,4.73,-0.2,-4.2283,3.9076,37431967,170457956.39,4380374761.38,4339451873.88
2019-04-09,'300256,星星科技,4.73,4.76,4.39,4.49,4.54,0.19,4.185,5.4458,52167320,242354673.08,4573768790.58,4531039153.08
2019-04-08,'300256,星星科技,4.54,4.77,4.42,4.64,4.68,-0.14,-2.9915,6.839,65513353,300769581.11,4390044462.84,4349031237.84
2019-04-04,'300256,星星科技,4.68,5.08,4.67,4.88,4.62,0.06,1.2987,13.1753,126210691,608712233.36,4525420283.28,4483142333.28
2019-04-03,'300256,星星科技,4.62,4.62,4.17,4.17,4.2,0.42,10.0,3.6923,35369999,158277261.15,4467402074.52,4425666149.52
2019-04-02,'300256,星星科技,4.2,4.26,4.16,4.22,4.21,-0.01,-0.2375,3.473,33268953,140089904.95,4061274613.2,4023332863.2
2019-04-01,'300256,星星科技,4.21,4.22,4.07,4.08,4.07,0.14,3.4398,3.2721,31345050,130601138.0,4070944314.66,4032912227.16
2019-03-29,'300256,星星科技,4.07,4.08,3.91,4.02,4.01,0.06,1.4963,2.7175,26032303,104290157.3,3935568494.22,3898801131.72
2019-03-28,'300256,星星科技,4.01,4.15,4.0,4.05,4.01,0.0,0.0,2.4409,23382044,95262415.04,3877550285.46,3841324947.96
2019-03-27,'300256,星星科技,4.01,4.11,3.9,4.11,4.05,-0.04,-0.9877,2.2131,21200000,84579314.75,3877550285.46,3841324947.96
2019-03-26,'300256,星星科技,4.05,4.31,4.03,4.25,4.25,-0.2,-4.7059,3.2663,31288820,129881617.77,3916229091.3,3879642403.8
2019-03-25,'300256,星星科技,4.25,4.36,4.21,4.29,4.38,-0.13,-2.968,3.5842,34334417,147294179.43,4109623120.5,4071229683.0
2019-03-22,'300256,星星科技,4.38,4.43,4.23,4.23,4.25,0.13,3.0588,5.1051,48903223,213581349.32,4235329239.48,4195761414.48
2019-03-21,'300256,星星科技,4.25,4.32,4.1,4.14,4.14,0.11,2.657,4.1096,39367351,166206630.74,4109623120.5,4071229683.0
2019-03-20,'300256,星星科技,4.14,4.2,4.04,4.19,4.14,0.0,0.0,2.6822,25693321,106033225.63,4003256404.44,3965856679.44
2019-03-19,'300256,星星科技,4.14,4.24,4.12,4.2,4.2,-0.06,-1.4286,2.7057,25919237,107795496.1,4003256404.44,3965856679.44
2019-03-18,'300256,星星科技,4.2,4.25,4.08,4.19,4.2,0.0,0.0,2.9807,28552767,118290213.72,4061274613.2,4023332863.2
2019-03-15,'300256,星星科技,4.2,4.25,4.13,4.19,4.18,0.02,0.4785,2.9821,28566182,119831226.6,4061274613.2,4023332863.2
2019-03-14,'300256,星星科技,4.18,4.44,4.09,4.39,4.45,-0.27,-6.0674,4.8571,46528231,196163824.21,4041935210.28,4004174135.28
2019-03-13,'300256,星星科技,4.45,4.65,4.26,4.36,4.34,0.11,2.5346,8.8836,85099587,379877637.5,4303017149.7,4262816962.2
2019-03-12,'300256,星星科技,4.34,4.36,4.18,4.28,4.19,0.15,3.58,5.8124,55679174,238350751.65,4196650433.64,4157443958.64
2019-03-11,'300256,星星科技,4.19,4.21,4.05,4.11,4.04,0.15,3.7129,5.0589,48461427,200622644.69,4051604911.74,4013753499.24
2019-03-08,'300256,星星科技,4.04,4.41,4.02,4.26,4.41,-0.37,-8.39,6.8051,65188786,275313584.3,3906559389.84,3870063039.84
2019-03-07,'300256,星星科技,4.41,4.53,4.19,4.23,4.28,0.13,3.0374,7.9902,76540723,336426235.22,4264338343.86,4224499506.36
2019-03-06,'300256,星星科技,4.28,4.38,4.08,4.23,4.23,0.05,1.182,7.9827,76468955,321444573.2,4138632224.88,4099967774.88
2019-03-05,'300256,星星科技,4.23,4.25,3.93,3.98,4.03,0.2,4.9628,7.9477,76133558,314888518.4,4090283717.58,4052070955.08
2019-03-04,'300256,星星科技,4.03,4.12,3.98,4.08,4.02,0.01,0.2488,7.2049,69017956,278842116.87,3896889688.38,3860483675.88
2019-03-01,'300256,星星科技,4.02,4.02,3.81,3.93,3.93,0.09,2.2901,4.9018,46956370,185014811.31,3887219986.92,3850904311.92
2019-02-28,'300256,星星科技,3.93,3.98,3.81,3.81,3.88,0.05,1.2887,3.2889,31506007,123566424.52,3800192673.78,3764690036.28
2019-02-27,'300256,星星科技,3.88,4.06,3.8,3.95,3.91,-0.03,-0.7673,4.6741,44775151,177080367.79,3751844166.48,3716793216.48
2019-02-26,'300256,星星科技,3.91,4.08,3.87,4.06,4.08,-0.17,-4.1667,7.0593,67623190,266973340.65,3780853270.86,3745531308.36
