»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'002829,–«Õ¯”Ó¥Ô,21.88,22.14,21.6,21.89,21.9,-0.02,-0.0913,1.3097,808900,17710776.0,3512917144.0,1351364287.68
2019-04-25,'002829,–«Õ¯”Ó¥Ô,21.9,22.58,21.72,22.27,22.19,-0.29,-1.3069,2.1131,1305100,28900960.0,3516128220.0,1352599538.4
2019-04-24,'002829,–«Õ¯”Ó¥Ô,22.19,22.76,21.53,22.65,22.49,-0.3,-1.3339,2.3184,1431900,31646507.45,3562688822.0,1370510673.84
2019-04-23,'002829,–«Õ¯”Ó¥Ô,22.49,23.38,22.01,23.08,23.18,-0.69,-2.9767,2.6225,1619700,36566328.0,3610854962.0,1389039434.64
2019-04-22,'002829,–«Õ¯”Ó¥Ô,23.18,23.78,23.16,23.44,23.44,-0.26,-1.1092,1.5702,969800,22714469.0,3721637084.0,1431655584.48
2019-04-19,'002829,–«Õ¯”Ó¥Ô,23.44,23.65,23.03,23.03,23.24,0.2,0.8606,1.3987,863900,20180330.0,3763381072.0,1447713843.84
2019-04-18,'002829,–«Õ¯”Ó¥Ô,23.24,23.9,23.01,23.9,23.77,-0.53,-2.2297,1.7933,1107600,26019873.0,3731270312.0,1435361336.64
2019-04-17,'002829,–«Õ¯”Ó¥Ô,23.77,23.98,23.49,23.5,23.65,0.12,0.5074,2.2721,1403300,33337838.0,3816363826.0,1468095480.72
2019-04-16,'002829,–«Õ¯”Ó¥Ô,23.65,23.8,22.88,23.08,23.57,0.08,0.3394,2.7077,1672369,38970132.25,3797097370.0,1460683976.4
2019-04-15,'002829,–«Õ¯”Ó¥Ô,23.57,24.1,23.15,23.24,22.98,0.59,2.5674,3.4411,2125300,50766941.0,3784253066.0,1455742973.52
2019-04-12,'002829,–«Õ¯”Ó¥Ô,22.98,23.85,22.98,23.3,23.3,-0.32,-1.3734,2.4983,1543000,36143355.0,3689526324.0,1419303077.28
2019-04-11,'002829,–«Õ¯”Ó¥Ô,23.3,24.04,23.29,24.04,24.04,-0.74,-3.0782,2.5558,1578500,37413785.0,3740903540.0,1439067088.8
2019-04-10,'002829,–«Õ¯”Ó¥Ô,24.04,24.14,23.66,24.0,24.14,-0.1,-0.4143,2.1556,1331354,31844107.04,3859713352.0,1484771365.44
2019-04-09,'002829,–«Õ¯”Ó¥Ô,24.14,24.25,23.63,24.0,24.16,-0.02,-0.0828,2.3858,1473500,35424552.16,3875768732.0,1490947619.04
2019-04-08,'002829,–«Õ¯”Ó¥Ô,24.16,24.66,23.41,24.2,24.12,0.04,0.1658,2.7182,1678800,40238833.0,3878979808.0,1492182869.76
2019-04-04,'002829,–«Õ¯”Ó¥Ô,24.12,24.42,23.33,23.6,23.6,0.52,2.2034,4.3279,2673010,64158618.7,3872557656.0,1489712368.32
2019-04-03,'002829,–«Õ¯”Ó¥Ô,23.6,23.88,23.2,23.67,23.67,-0.07,-0.2957,4.0213,2483668,58439761.72,3789069680.0,1457595849.6
2019-04-02,'002829,–«Õ¯”Ó¥Ô,23.67,25.49,23.32,23.72,23.92,-0.25,-1.0452,7.7351,4777368,116255015.0,3800308446.0,1461919227.12
2019-04-01,'002829,–«Õ¯”Ó¥Ô,23.92,24.2,23.02,23.02,23.02,0.9,3.9096,5.1355,3171818,74896407.86,3840446896.0,1477359861.12
2019-03-29,'002829,–«Õ¯”Ó¥Ô,23.02,23.36,22.56,22.66,22.67,0.35,1.5439,3.7165,2295418,52542064.92,3695948476.0,1421773578.72
2019-03-28,'002829,–«Õ¯”Ó¥Ô,22.67,23.0,22.43,22.69,22.49,0.18,0.8004,3.7181,2296400,52248539.64,3639754646.0,1400156691.12
2019-03-27,'002829,–«Õ¯”Ó¥Ô,22.49,22.55,21.8,22.18,22.1,0.39,1.7647,2.691,1662000,36966918.0,3610854962.0,1389039434.64
2019-03-26,'002829,–«Õ¯”Ó¥Ô,22.1,23.35,22.0,23.18,23.18,-1.08,-4.6592,5.3026,3275000,74160733.0,3548238980.0,1364952045.6
2019-03-25,'002829,–«Õ¯”Ó¥Ô,23.18,23.68,21.19,21.33,21.53,1.65,7.6637,7.6403,4718872,107087082.08,3721637084.0,1431655584.48
2019-03-22,'002829,–«Õ¯”Ó¥Ô,21.53,21.64,21.2,21.5,21.47,0.06,0.2795,2.566,1584799,34070645.7,3456723314.0,1329747400.08
2019-03-21,'002829,–«Õ¯”Ó¥Ô,21.47,21.66,21.28,21.65,21.41,0.06,0.2802,2.112,1304400,28019280.92,3447090086.0,1326041647.92
2019-03-20,'002829,–«Õ¯”Ó¥Ô,21.41,21.78,21.2,21.43,21.55,-0.14,-0.6497,3.0897,1908264,40925780.2,3437456858.0,1322335895.76
2019-03-19,'002829,–«Õ¯”Ó¥Ô,21.55,21.6,20.88,21.07,21.09,0.46,2.1811,3.0269,1869472,39689868.04,3459934390.0,1330982650.8
2019-03-18,'002829,–«Õ¯”Ó¥Ô,21.09,21.2,20.4,20.85,20.84,0.25,1.1996,2.5182,1555300,32429092.92,3386079642.0,1302571884.24
2019-03-15,'002829,–«Õ¯”Ó¥Ô,20.84,21.05,20.35,20.35,20.3,0.54,2.6601,3.4378,2123268,44242612.4,3345941192.0,1287131250.24
2019-03-14,'002829,–«Õ¯”Ó¥Ô,20.3,21.28,20.07,20.5,20.91,-0.61,-2.9173,3.5918,2218396,45329291.4,3259242140.0,1253779480.8
2019-03-13,'002829,–«Õ¯”Ó¥Ô,20.91,21.65,20.65,21.21,21.33,-0.42,-1.9691,4.3688,2698310,57176818.0,3357179958.0,1291454627.76
2019-03-12,'002829,–«Õ¯”Ó¥Ô,21.33,21.77,20.78,21.37,21.06,0.27,1.2821,6.5209,4027464,85380482.8,3424612554.0,1317394892.88
2019-03-11,'002829,–«Õ¯”Ó¥Ô,21.06,21.43,20.38,21.0,20.04,1.02,5.0898,4.9705,3069892,64226762.94,3381263028.0,1300719008.16
2019-03-08,'002829,–«Õ¯”Ó¥Ô,20.04,22.0,19.8,20.6,20.88,-0.84,-4.023,8.4122,5195602,108980857.4,3217498152.0,1237721221.44
2019-03-07,'002829,–«Õ¯”Ó¥Ô,20.88,21.2,19.93,20.07,20.16,0.72,3.5714,6.2696,3872290,80292947.3,3352363344.0,1289601751.68
2019-03-06,'002829,–«Õ¯”Ó¥Ô,20.16,20.46,19.8,20.18,20.13,0.03,0.149,4.4755,2764202,55449640.18,3236764608.0,1245132725.76
2019-03-05,'002829,–«Õ¯”Ó¥Ô,20.13,20.2,19.2,19.3,19.48,0.65,3.3368,5.369,3316034,65741287.43,3231947994.0,1243279849.68
2019-03-04,'002829,–«Õ¯”Ó¥Ô,19.48,19.71,19.01,19.01,19.01,0.47,2.4724,4.9375,3049554,59262455.31,3127588024.0,1203134201.28
2019-03-01,'002829,–«Õ¯”Ó¥Ô,19.01,19.41,18.75,19.2,19.2,-0.19,-0.9896,2.6028,1607579,30512441.0,3052127738.0,1174105809.36
2019-02-28,'002829,–«Õ¯”Ó¥Ô,19.2,19.7,18.8,18.85,18.99,0.21,1.1058,3.0452,1880799,36037143.01,3082632960.0,1185840691.2
2019-02-27,'002829,–«Õ¯”Ó¥Ô,18.99,19.79,18.83,18.83,18.93,0.06,0.317,3.5365,2184210,42032552.1,3048916662.0,1172870558.64
2019-02-26,'002829,–«Õ¯”Ó¥Ô,18.93,19.37,18.68,19.27,19.27,-0.34,-1.7644,3.6204,2236047,42543879.42,3039283434.0,1169164806.48
2019-02-25,'002829,–«Õ¯”Ó¥Ô,19.27,19.28,18.22,18.22,18.16,1.11,6.1123,4.5696,2822275,53130888.11,3093871726.0,1190164068.72
2019-02-22,'002829,–«Õ¯”Ó¥Ô,18.16,18.25,17.6,17.85,17.83,0.33,1.8508,2.807,1733672,31208665.68,2915657008.0,1121607653.76
2019-02-21,'002829,–«Õ¯”Ó¥Ô,17.83,18.08,17.65,17.68,17.67,0.16,0.9055,2.8457,1757547,31459779.6,2862674254.0,1101226016.88
2019-02-20,'002829,–«Õ¯”Ó¥Ô,17.67,17.85,17.5,17.79,17.87,-0.2,-1.1192,1.9519,1205515,21255695.15,2836985646.0,1091344011.12
2019-02-19,'002829,–«Õ¯”Ó¥Ô,17.87,17.92,17.39,17.5,17.36,0.51,2.9378,3.7612,2323000,41022428.0,2869096406.0,1103696518.32
