日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603657,春光科技,29.32,29.52,28.96,29.4,29.32,0.0,0.0,4.434,1064157,31137296.0,2814720000.0,703680000.0
2019-04-25,'603657,春光科技,29.32,30.65,29.29,30.65,30.6,-1.28,-4.183,5.5751,1338015,40188607.0,2814720000.0,703680000.0
2019-04-24,'603657,春光科技,30.6,30.69,30.21,30.55,30.41,0.19,0.6248,4.0424,970185,29554524.0,2937600000.0,734400000.0
2019-04-23,'603657,春光科技,30.41,31.78,30.01,31.78,31.68,-1.27,-4.0088,7.108,1705930,52357750.0,2919360000.0,729840000.0
2019-04-22,'603657,春光科技,31.68,32.0,31.66,31.89,31.78,-0.1,-0.3147,5.0822,1219724,38805474.0,3041280000.0,760320000.0
2019-04-19,'603657,春光科技,31.78,32.2,31.62,32.2,32.31,-0.53,-1.6404,8.1821,1963693,62500627.0,3050880000.0,762720000.0
2019-04-18,'603657,春光科技,32.31,32.68,32.3,32.58,32.63,-0.32,-0.9807,5.6377,1353043,43931913.0,3101760000.0,775440000.0
2019-04-17,'603657,春光科技,32.63,33.0,32.62,33.0,32.77,-0.14,-0.4272,6.7331,1615943,52952691.0,3132480000.0,783120000.0
2019-04-16,'603657,春光科技,32.77,32.8,31.88,32.23,32.25,0.52,1.6124,6.2974,1511381,48990026.0,3145920000.0,786480000.0
2019-04-15,'603657,春光科技,32.25,32.83,32.24,32.69,32.36,-0.11,-0.3399,5.2046,1249100,40699747.0,3096000000.0,774000000.0
2019-04-12,'603657,春光科技,32.36,32.55,32.12,32.29,32.19,0.17,0.5281,3.8097,914316,29490221.0,3106560000.0,776640000.0
2019-04-11,'603657,春光科技,32.19,32.88,32.1,32.88,32.74,-0.55,-1.6799,6.2823,1507750,48828802.0,3090240000.0,772560000.0
2019-04-10,'603657,春光科技,32.74,32.89,32.55,32.65,32.95,-0.21,-0.6373,6.4115,1538767,50279032.0,3143040000.0,785760000.0
2019-04-09,'603657,春光科技,32.95,33.2,32.52,33.02,32.92,0.03,0.0911,5.8573,1405747,46237969.0,3163200000.0,790800000.0
2019-04-08,'603657,春光科技,32.92,34.2,32.51,33.95,33.62,-0.7,-2.0821,9.6708,2320992,77336740.0,3160320000.0,790080000.0
2019-04-04,'603657,春光科技,33.62,34.15,33.42,33.74,33.74,-0.12,-0.3557,9.1795,2203075,74276555.0,3227520000.0,806880000.0
2019-04-03,'603657,春光科技,33.74,33.85,33.48,33.7,34.07,-0.33,-0.9686,9.9938,2398507,80782507.0,3239040000.0,809760000.0
2019-04-02,'603657,春光科技,34.07,34.48,33.16,33.6,33.48,0.59,1.7622,19.37,4648798,157075827.0,3270720000.0,817680000.0
2019-04-01,'603657,春光科技,33.48,33.61,32.68,32.76,32.67,0.81,2.4793,12.5083,3001982,99890096.0,3214080000.0,803520000.0
2019-03-29,'603657,春光科技,32.67,32.76,31.6,32.0,32.02,0.65,2.03,8.8167,2116000,68162496.0,3136320000.0,784080000.0
2019-03-28,'603657,春光科技,32.02,32.93,32.01,32.8,32.86,-0.84,-2.5563,7.9005,1896120,61642125.0,3073920000.0,768480000.0
2019-03-27,'603657,春光科技,32.86,32.89,32.01,32.55,32.31,0.55,1.7023,8.4927,2038243,66196013.0,3154560000.0,788640000.0
2019-03-26,'603657,春光科技,32.31,33.07,32.25,32.78,32.67,-0.36,-1.1019,7.7223,1853355,60444855.0,3101760000.0,775440000.0
2019-03-25,'603657,春光科技,32.67,33.19,32.4,32.51,33.37,-0.7,-2.0977,8.5425,2050203,67299654.0,3136320000.0,784080000.0
2019-03-22,'603657,春光科技,33.37,34.0,32.84,33.92,33.86,-0.49,-1.4471,13.133,3151923,104907894.0,3203520000.0,800880000.0
2019-03-21,'603657,春光科技,33.86,34.31,33.71,34.31,34.34,-0.48,-1.3978,16.576,3978243,135045710.0,3250560000.0,812640000.0
2019-03-20,'603657,春光科技,34.34,34.87,33.53,34.52,36.46,-2.12,-5.8146,26.8012,6432292,220260592.0,3296640000.0,824160000.0
2019-03-19,'603657,春光科技,36.46,36.5,35.0,35.55,35.83,0.63,1.7583,19.9423,4786141,171045149.0,3500160000.0,875040000.0
2019-03-18,'603657,春光科技,35.83,36.27,33.62,33.85,33.48,2.35,7.0191,17.69,4245603,149634681.0,3439680000.0,859920000.0
2019-03-15,'603657,春光科技,33.48,33.72,32.83,32.86,32.83,0.65,1.9799,9.21,2210400,73727487.0,3214080000.0,803520000.0
2019-03-14,'603657,春光科技,32.83,34.46,32.33,34.26,34.24,-1.41,-4.118,14.0195,3364691,111584368.0,3151680000.0,787920000.0
2019-03-13,'603657,春光科技,34.24,36.29,34.18,35.57,35.55,-1.31,-3.685,17.5603,4214472,148904287.0,3287040000.0,821760000.0
2019-03-12,'603657,春光科技,35.55,36.56,34.96,36.07,35.33,0.22,0.6227,21.4385,5145238,183936172.0,3412800000.0,853200000.0
2019-03-11,'603657,春光科技,35.33,35.45,33.82,34.0,34.01,1.32,3.8812,17.1376,4113032,142417565.0,3391680000.0,847920000.0
2019-03-08,'603657,春光科技,34.01,36.6,34.0,34.95,35.04,-1.03,-2.9395,29.8276,7158635,250632455.0,3264960000.0,816240000.0
2019-03-07,'603657,春光科技,35.04,35.04,32.67,33.17,33.3,1.74,5.2252,28.3101,6794433,231663071.0,3363840000.0,840960000.0
2019-03-06,'603657,春光科技,33.3,33.45,32.03,32.3,32.27,1.03,3.1918,22.1716,5321186,174741875.0,3196800000.0,799200000.0
2019-03-05,'603657,春光科技,32.27,32.29,31.7,31.7,31.98,0.29,0.9068,14.2453,3418862,109409435.0,3097920000.0,774480000.0
2019-03-04,'603657,春光科技,31.98,32.45,31.6,31.76,31.76,0.22,0.6927,17.8002,4272051,136719028.0,3070080000.0,767520000.0
2019-03-01,'603657,春光科技,31.76,32.18,31.38,32.05,32.07,-0.31,-0.9666,13.1342,3152218,99844703.0,3048960000.0,762240000.0
2019-02-28,'603657,春光科技,32.07,32.98,30.88,30.99,30.88,1.19,3.8536,22.4131,5379142,172078604.0,3078720000.0,769680000.0
2019-02-27,'603657,春光科技,30.88,31.4,30.51,31.0,31.07,-0.19,-0.6115,13.9275,3342589,103801165.0,2964480000.0,741120000.0
2019-02-26,'603657,春光科技,31.07,32.0,30.82,31.3,31.16,-0.09,-0.2888,21.1517,5076419,159095441.0,2982720000.0,745680000.0
2019-02-25,'603657,春光科技,31.16,31.31,30.0,30.21,29.94,1.22,4.0748,18.5183,4444387,136451966.0,2991360000.0,747840000.0
2019-02-22,'603657,春光科技,29.94,29.94,29.2,29.5,29.69,0.25,0.842,10.6845,2564274,75818855.0,2874240000.0,718560000.0
2019-02-21,'603657,春光科技,29.69,30.39,29.57,30.05,29.92,-0.23,-0.7687,11.3222,2717317,81579686.0,2850240000.0,712560000.0
2019-02-20,'603657,春光科技,29.92,30.3,29.5,30.3,30.04,-0.12,-0.3995,8.6166,2067987,61800488.0,2872320000.0,718080000.0
2019-02-19,'603657,春光科技,30.04,30.49,29.64,30.49,30.41,-0.37,-1.2167,13.0061,3121471,93848555.0,2883840000.0,720960000.0
2019-02-18,'603657,春光科技,30.41,30.45,29.6,29.7,29.63,0.78,2.6325,12.6454,3034893,91236344.0,2919360000.0,729840000.0
2019-02-15,'603657,春光科技,29.63,29.95,29.4,29.68,29.59,0.04,0.1352,8.5978,2063482,61089951.0,2844480000.0,711120000.0
2019-02-14,'603657,春光科技,29.59,29.76,29.36,29.56,29.57,0.02,0.0676,8.5164,2043933,60405528.0,2840640000.0,710160000.0
2019-02-13,'603657,春光科技,29.57,29.76,29.01,29.18,29.43,0.14,0.4757,12.141,2913846,85716262.0,2838720000.0,709680000.0
2019-02-12,'603657,春光科技,29.43,29.47,28.51,28.7,28.65,0.78,2.7225,10.651,2556248,74268416.0,2825280000.0,706320000.0
2019-02-11,'603657,春光科技,28.65,28.8,28.03,28.21,27.93,0.72,2.5779,7.5082,1801966,51401465.0,2750400000.0,687600000.0
2019-02-01,'603657,春光科技,27.93,28.08,27.4,27.4,27.18,0.75,2.7594,5.672,1361291,37801811.0,2681280000.0,670320000.0
2019-01-31,'603657,春光科技,27.18,28.68,27.01,28.37,28.37,-1.19,-4.1946,9.8347,2360332,65432132.0,2609280000.0,652320000.0
2019-01-30,'603657,春光科技,28.37,29.23,28.22,28.66,28.59,-0.22,-0.7695,5.837,1400890,40144505.0,2723520000.0,680880000.0
2019-01-29,'603657,春光科技,28.59,30.0,27.34,29.73,30.03,-1.44,-4.7952,11.7864,2828745,81266931.0,2744640000.0,686160000.0
2019-01-28,'603657,春光科技,30.03,30.96,29.81,30.55,30.24,-0.21,-0.6944,8.6787,2082879,63280133.0,2882880000.0,720720000.0
2019-01-25,'603657,春光科技,30.24,31.31,30.15,31.29,31.36,-1.12,-3.5714,14.0002,3360053,103121006.0,2903040000.0,725760000.0
2019-01-24,'603657,春光科技,31.36,32.1,31.26,32.1,32.26,-0.9,-2.7898,18.0495,4331891,136663932.0,3010560000.0,752640000.0
2019-01-23,'603657,春光科技,32.26,32.29,31.0,31.27,31.18,1.08,3.4638,24.0963,5783103,183164583.0,3096960000.0,774240000.0
2019-01-22,'603657,春光科技,31.18,31.8,30.11,30.12,30.37,0.81,2.6671,22.8774,5490580,170494469.0,2993280000.0,748320000.0
2019-01-21,'603657,春光科技,30.37,30.48,29.81,30.16,30.16,0.21,0.6963,12.6709,3041023,91888225.0,2915520000.0,728880000.0
2019-01-18,'603657,春光科技,30.16,30.8,29.13,29.3,29.29,0.87,2.9703,18.3616,4406776,132547709.0,2895360000.0,723840000.0
2019-01-17,'603657,春光科技,29.29,29.42,28.9,29.42,29.51,-0.22,-0.7455,8.6838,2084120,60593550.0,2811840000.0,702960000.0
2019-01-16,'603657,春光科技,29.51,29.9,29.22,29.5,29.22,0.29,0.9925,10.0608,2414588,71401674.0,2832960000.0,708240000.0
2019-01-15,'603657,春光科技,29.22,29.3,28.75,28.75,28.95,0.27,0.9326,8.0387,1929278,56048534.0,2805120000.0,701280000.0
2019-01-14,'603657,春光科技,28.95,30.5,28.88,30.36,30.23,-1.28,-4.2342,15.2639,3663344,108215036.0,2779200000.0,694800000.0
2019-01-11,'603657,春光科技,30.23,30.48,28.59,28.59,28.81,1.42,4.9288,20.2048,4849161,143917650.0,2902080000.0,725520000.0
2019-01-10,'603657,春光科技,28.81,29.07,28.52,28.95,29.4,-0.59,-2.0068,11.431,2743449,78942437.0,2765760000.0,691440000.0
2019-01-09,'603657,春光科技,29.4,30.27,29.09,29.09,28.58,0.82,2.8691,17.2078,4129880,122353170.0,2822400000.0,705600000.0
2019-01-08,'603657,春光科技,28.58,28.92,28.58,28.92,29.05,-0.47,-1.6179,6.2952,1510837,43399320.0,2743680000.0,685920000.0
2019-01-07,'603657,春光科技,29.05,29.49,28.55,28.8,28.48,0.57,2.0014,9.0691,2176594,62966287.0,2788800000.0,697200000.0
2019-01-04,'603657,春光科技,28.48,28.56,27.33,27.59,28.03,0.45,1.6054,7.9561,1909469,53711539.0,2734080000.0,683520000.0
2019-01-03,'603657,春光科技,28.03,29.45,28.01,29.04,29.04,-1.01,-3.478,9.9693,2392625,68502031.0,2690880000.0,672720000.0
2019-01-02,'603657,春光科技,29.04,29.34,28.74,28.96,28.84,0.2,0.6935,6.7637,1623296,47099606.0,2787840000.0,696960000.0
2018-12-28,'603657,春光科技,28.84,30.2,28.69,30.05,29.86,-1.02,-3.4159,11.1889,2685341,78902864.0,2768640000.0,692160000.0
2018-12-27,'603657,春光科技,29.86,32.49,29.75,32.0,31.22,-1.36,-4.3562,14.6776,3522624,109891773.0,2866560000.0,716640000.0
2018-12-26,'603657,春光科技,31.22,31.6,30.71,31.18,31.21,0.01,0.032,11.6823,2803743,87354888.0,2997120000.0,749280000.0
2018-12-25,'603657,春光科技,31.21,31.3,29.43,30.8,31.2,0.01,0.0321,15.0394,3609461,109952290.0,2996160000.0,749040000.0
2018-12-24,'603657,春光科技,31.2,31.27,30.6,30.68,30.74,0.46,1.4964,12.9642,3111417,96749466.0,2995200000.0,748800000.0
2018-12-21,'603657,春光科技,30.74,30.75,29.81,30.01,30.29,0.45,1.4856,10.1327,2431842,73562029.0,2951040000.0,737760000.0
2018-12-20,'603657,春光科技,30.29,30.53,29.28,29.4,29.45,0.84,2.8523,10.1012,2424295,72631480.0,2907840000.0,726960000.0
2018-12-19,'603657,春光科技,29.45,30.75,29.29,30.48,30.52,-1.07,-3.5059,8.7704,2104900,63168666.0,2827200000.0,706800000.0
2018-12-18,'603657,春光科技,30.52,31.11,30.41,31.06,31.39,-0.87,-2.7716,11.9449,2866770,87951116.0,2929920000.0,732480000.0
2018-12-17,'603657,春光科技,31.39,31.46,29.88,30.04,30.11,1.28,4.2511,19.1192,4588599,142268903.0,3013440000.0,753360000.0
2018-12-14,'603657,春光科技,30.11,30.9,29.35,29.85,29.94,0.17,0.5678,12.0915,2901967,87356339.0,2890560000.0,722640000.0
2018-12-13,'603657,春光科技,29.94,30.25,29.45,30.03,29.95,-0.01,-0.0334,8.7742,2105796,63023721.0,2874240000.0,718560000.0
2018-12-12,'603657,春光科技,29.95,30.35,29.65,29.65,29.6,0.35,1.1824,8.5992,2063800,62041935.0,2875200000.0,718800000.0
2018-12-11,'603657,春光科技,29.6,29.88,29.02,29.19,29.04,0.56,1.9284,6.9043,1657025,48707035.0,2841600000.0,710400000.0
2018-12-10,'603657,春光科技,29.04,29.67,28.86,29.67,29.86,-0.82,-2.7461,5.4242,1301804,38068513.0,2787840000.0,696960000.0
2018-12-07,'603657,春光科技,29.86,30.2,29.56,30.0,29.88,-0.02,-0.0669,4.9646,1191505,35564213.0,2866560000.0,716640000.0
2018-12-06,'603657,春光科技,29.88,30.66,29.81,30.23,30.27,-0.39,-1.2884,7.9356,1904550,57518961.0,2868480000.0,717120000.0
2018-12-05,'603657,春光科技,30.27,30.68,30.12,30.34,31.2,-0.93,-2.9808,8.6429,2074297,63025980.0,2905920000.0,726480000.0
2018-12-04,'603657,春光科技,31.2,31.25,30.33,30.8,30.87,0.33,1.069,11.7239,2813744,86663245.0,2995200000.0,748800000.0
2018-12-03,'603657,春光科技,30.87,31.17,30.28,30.49,29.81,1.06,3.5559,11.5013,2760313,84779484.0,2963520000.0,740880000.0
2018-11-30,'603657,春光科技,29.81,30.21,28.7,29.66,29.63,0.18,0.6075,10.9397,2625519,77676374.0,2861760000.0,715440000.0
2018-11-29,'603657,春光科技,29.63,31.63,29.52,31.4,31.4,-1.77,-5.6369,13.6095,3266275,100125517.0,2844480000.0,711120000.0
2018-11-28,'603657,春光科技,31.4,31.44,30.0,31.0,31.36,0.04,0.1276,12.2166,2931987,90272705.0,3014400000.0,753600000.0
2018-11-27,'603657,春光科技,31.36,31.55,30.89,31.21,31.19,0.17,0.545,9.2499,2219980,69426449.0,3010560000.0,752640000.0
2018-11-26,'603657,春光科技,31.19,32.48,30.8,32.28,32.46,-1.27,-3.9125,16.2457,3898968,122699184.0,2994240000.0,748560000.0
2018-11-23,'603657,春光科技,32.46,35.04,31.14,34.38,34.59,-2.13,-6.1578,17.4377,4185045,139755279.0,3116160000.0,779040000.0
2018-11-22,'603657,春光科技,34.59,35.69,34.56,35.39,35.05,-0.46,-1.3124,10.835,2600390,91003939.0,3320640000.0,830160000.0
2018-11-21,'603657,春光科技,35.05,35.18,34.25,34.5,34.78,0.27,0.7763,12.4503,2988080,103769115.0,3364800000.0,841200000.0
2018-11-20,'603657,春光科技,34.78,36.03,34.56,35.35,36.02,-1.24,-3.4425,16.1309,3871423,136712081.0,3338880000.0,834720000.0
2018-11-19,'603657,春光科技,36.02,36.29,34.84,35.4,35.7,0.32,0.8964,22.3442,5362610,191232093.0,3457920000.0,864480000.0
2018-11-16,'603657,春光科技,35.7,36.7,35.54,36.06,36.05,-0.35,-0.9709,33.3854,8012485,288655516.0,3427200000.0,856800000.0
2018-11-15,'603657,春光科技,36.05,36.2,34.21,35.15,34.56,1.49,4.3113,40.458,9709930,343346220.0,3460800000.0,865200000.0
2018-11-14,'603657,春光科技,34.56,34.89,32.9,32.92,33.3,1.26,3.7838,29.2727,7025457,239030905.0,3317760000.0,829440000.0
2018-11-13,'603657,春光科技,33.3,33.5,32.36,32.5,33.1,0.2,0.6042,21.1919,5086064,167584138.0,3196800000.0,799200000.0
2018-11-12,'603657,春光科技,33.1,33.12,31.7,31.7,31.66,1.44,4.5483,18.8703,4528876,148156901.0,3177600000.0,794400000.0
2018-11-09,'603657,春光科技,31.66,32.05,31.17,31.64,31.87,-0.21,-0.6589,8.7002,2088049,66073262.0,3039360000.0,759840000.0
2018-11-08,'603657,春光科技,31.87,32.95,31.8,32.91,32.47,-0.6,-1.8479,13.6486,3275660,105725029.0,3059520000.0,764880000.0
2018-11-07,'603657,春光科技,32.47,33.06,32.39,32.46,32.58,-0.11,-0.3376,14.208,3409921,111530096.0,3117120000.0,779280000.0
2018-11-06,'603657,春光科技,32.58,33.9,32.21,33.73,34.91,-2.33,-6.6743,25.6264,6150341,202127607.0,3127680000.0,781920000.0
2018-11-05,'603657,春光科技,34.91,36.5,34.6,36.0,34.5,0.41,1.1884,34.5673,8296145,293920445.0,3351360000.0,837840000.0
2018-11-02,'603657,春光科技,34.5,34.81,33.65,34.18,33.61,0.89,2.648,26.7509,6420223,219781230.0,3312000000.0,828000000.0
2018-11-01,'603657,春光科技,33.61,34.89,33.38,33.62,33.62,-0.01,-0.0297,26.4047,6337137,215974531.0,3226560000.0,806640000.0
2018-10-31,'603657,春光科技,33.62,34.18,32.53,32.85,32.57,1.05,3.2238,23.3117,5594809,187118726.0,3227520000.0,806880000.0
2018-10-30,'603657,春光科技,32.57,32.98,30.92,32.97,32.97,-0.4,-1.2132,20.5226,4925418,157887845.0,3126720000.0,781680000.0
2018-10-29,'603657,春光科技,32.97,33.67,32.06,32.48,33.64,-0.67,-1.9917,15.7664,3783946,124245523.0,3165120000.0,791280000.0
2018-10-26,'603657,春光科技,33.64,35.45,33.55,33.83,33.22,0.42,1.2643,24.8428,5962272,205195051.0,3229440000.0,807360000.0
2018-10-25,'603657,春光科技,33.22,33.3,31.82,33.08,34.5,-1.28,-3.7101,22.9057,5497368,179580610.0,3189120000.0,797280000.0
2018-10-24,'603657,春光科技,34.5,36.09,33.3,35.63,36.03,-1.53,-4.2465,30.5638,7335312,253063134.0,3312000000.0,828000000.0
2018-10-23,'603657,春光科技,36.03,37.39,35.81,36.65,37.49,-1.46,-3.8944,44.5088,10682105,391363806.0,3458880000.0,864720000.0
2018-10-22,'603657,春光科技,37.49,37.49,33.24,33.3,34.08,3.41,10.0059,49.8148,11955549,423722270.0,3599040000.0,899760000.0
2018-10-19,'603657,春光科技,34.08,35.78,32.69,32.69,36.32,-2.24,-6.1674,45.5044,10921055,368032390.0,3271680000.0,817920000.0
2018-10-18,'603657,春光科技,36.32,42.88,35.51,41.0,39.46,-3.14,-7.9574,68.528,16446718,645419668.0,3486720000.0,871680000.0
2018-10-17,'603657,春光科技,39.46,39.46,37.0,38.03,35.87,3.59,10.0084,37.7377,9057046,350320289.0,3788160000.0,947040000.0
2018-10-16,'603657,春光科技,35.87,35.87,32.61,33.0,32.61,3.26,9.9969,28.831,6919438,237609041.0,3443520000.0,860880000.0
2018-10-15,'603657,春光科技,32.61,34.64,32.0,32.15,31.49,1.12,3.5567,25.3046,6073110,202774462.0,3130560000.0,782640000.0
2018-10-12,'603657,春光科技,31.49,32.19,30.5,32.0,32.4,-0.91,-2.8086,15.8964,3815126,119941183.0,3023040000.0,755760000.0
2018-10-11,'603657,春光科技,32.4,34.72,32.4,33.97,36.0,-3.6,-10.0,17.0416,4089979,136486698.0,3110400000.0,777600000.0
2018-10-10,'603657,春光科技,36.0,36.28,35.1,35.1,35.06,0.94,2.6811,20.904,5016953,179137068.0,3456000000.0,864000000.0
2018-10-09,'603657,春光科技,35.06,35.79,34.52,34.66,34.56,0.5,1.4468,17.3197,4156721,145878671.0,3365760000.0,841440000.0
2018-10-08,'603657,春光科技,34.56,35.4,33.12,33.75,34.63,-0.07,-0.2021,16.9823,4075763,140799245.0,3317760000.0,829440000.0
2018-09-28,'603657,春光科技,34.63,35.3,34.36,34.36,34.25,0.38,1.1095,14.9866,3596782,125323486.0,3324480000.0,831120000.0
2018-09-27,'603657,春光科技,34.25,37.75,34.2,37.66,38.0,-3.75,-9.8684,24.3504,5844099,208904172.0,3288000000.0,822000000.0
2018-09-26,'603657,春光科技,38.0,38.0,36.55,37.32,37.57,0.43,1.1445,16.9021,4056504,151085855.0,3648000000.0,912000000.0
2018-09-25,'603657,春光科技,37.57,38.17,37.2,37.6,37.4,0.17,0.4545,12.9145,3099486,116705160.0,3606720000.0,901680000.0
2018-09-21,'603657,春光科技,37.4,38.1,36.97,37.8,37.86,-0.46,-1.215,15.904,3816949,142852718.0,3590400000.0,897600000.0
2018-09-20,'603657,春光科技,37.86,38.9,37.73,38.36,39.29,-1.43,-3.6396,23.6969,5687256,217779884.0,3634560000.0,908640000.0
2018-09-19,'603657,春光科技,39.29,41.62,36.84,37.7,37.84,1.45,3.8319,38.094,9142549,358746479.0,3771840000.0,942960000.0
2018-09-18,'603657,春光科技,37.84,38.18,36.44,37.1,37.2,0.64,1.7204,21.4313,5143500,192462473.0,3632640000.0,908160000.0
2018-09-17,'603657,春光科技,37.2,38.28,36.7,37.68,38.3,-1.1,-2.8721,17.8812,4291488,159694209.0,3571200000.0,892800000.0
2018-09-14,'603657,春光科技,38.3,41.5,37.61,41.44,41.72,-3.42,-8.1975,29.0584,6974018,274726372.0,3676800000.0,919200000.0
2018-09-13,'603657,春光科技,41.72,42.33,40.99,42.0,41.31,0.41,0.9925,19.7518,4740435,197246770.0,4005120000.0,1001280000.0
2018-09-12,'603657,春光科技,41.31,41.94,40.8,41.54,41.5,-0.19,-0.4578,18.1035,4344829,179646164.0,3965760000.0,991440000.0
2018-09-11,'603657,春光科技,41.5,42.54,40.5,42.0,43.71,-2.21,-5.0561,28.4541,6828974,284118152.0,3984000000.0,996000000.0
2018-09-10,'603657,春光科技,43.71,46.8,43.61,46.0,44.57,-0.86,-1.9295,23.8413,5721903,258800813.0,4196160000.0,1049040000.0
2018-09-07,'603657,春光科技,44.57,47.38,43.88,46.95,47.1,-2.53,-5.3715,28.477,6834479,313327695.0,4278720000.0,1069680000.0
2018-09-06,'603657,春光科技,47.1,48.98,44.7,45.4,46.09,1.01,2.1914,34.5705,8296930,384350844.0,4521600000.0,1130400000.0
2018-09-05,'603657,春光科技,46.09,46.9,44.01,45.44,45.85,0.24,0.5234,31.4325,7543802,346026794.0,4424640000.0,1106160000.0
2018-09-04,'603657,春光科技,45.85,46.93,45.2,45.78,45.4,0.45,0.9912,26.6612,6398696,295093234.0,4401600000.0,1100400000.0
2018-09-03,'603657,春光科技,45.4,46.98,43.38,46.98,47.42,-2.02,-4.2598,31.4189,7540540,339838616.0,4358400000.0,1089600000.0
2018-08-31,'603657,春光科技,47.42,48.46,46.52,47.5,47.74,-0.32,-0.6703,28.5609,6854605,325220000.0,4552320000.0,1138080000.0
2018-08-30,'603657,春光科技,47.74,48.97,47.04,48.77,48.42,-0.68,-1.4044,29.1434,6994407,335977694.0,4583040000.0,1145760000.0
2018-08-29,'603657,春光科技,48.42,49.48,48.1,49.0,51.3,-2.88,-5.614,42.4588,10190115,496076770.0,4648320000.0,1162080000.0
2018-08-28,'603657,春光科技,51.3,61.98,51.3,60.5,57.0,-5.7,-10.0,67.8449,16282777,910691422.0,4924800000.0,1231200000.0
2018-08-27,'603657,春光科技,57.0,57.0,51.41,52.44,51.82,5.18,9.9961,42.3688,10168510,547946756.0,5472000000.0,1368000000.0
2018-08-24,'603657,春光科技,51.82,51.9,48.0,49.8,50.35,1.47,2.9196,41.6658,9999799,498793828.0,4974720000.0,1243680000.0
