日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002447,晨鑫科技,3.64,3.74,3.55,3.6,3.6,0.04,1.1111,2.2011,31413844,114876516.48,5194982520.0,5194982520.0
2019-04-25,'002447,晨鑫科技,3.6,3.84,3.56,3.84,3.82,-0.22,-5.7592,2.719,38805822,143668282.16,5137894800.0,5137894800.0
2019-04-24,'002447,晨鑫科技,3.82,3.83,3.73,3.75,3.69,0.13,3.523,2.9364,41908237,158681183.92,5451877260.0,5451877260.0
2019-04-23,'002447,晨鑫科技,3.69,3.83,3.68,3.82,3.81,-0.12,-3.1496,2.7238,38873369,145324179.78,5266342170.0,5266342170.0
2019-04-22,'002447,晨鑫科技,3.81,3.95,3.81,3.95,3.93,-0.12,-3.0534,2.6995,38527119,148737019.79,5437605330.0,5437605330.0
2019-04-19,'002447,晨鑫科技,3.93,3.93,3.81,3.89,3.92,0.01,0.2551,2.9798,42527797,165121129.75,5608868490.0,5608868490.0
2019-04-18,'002447,晨鑫科技,3.92,4.03,3.89,4.02,4.02,-0.1,-2.4876,3.9393,56221991,221973891.24,5594596560.0,5594596560.0
2019-04-17,'002447,晨鑫科技,4.02,4.06,3.96,4.01,4.04,-0.02,-0.495,3.3396,47662449,191352185.52,5737315860.0,5737315860.0
2019-04-16,'002447,晨鑫科技,4.04,4.06,3.8,4.0,4.09,-0.05,-1.2225,4.9912,71234215,280172154.74,5765859720.0,5765859720.0
2019-04-15,'002447,晨鑫科技,4.09,4.36,4.09,4.32,4.27,-0.18,-4.2155,4.6273,66040600,278300993.5,5837219370.0,5837219370.0
2019-04-12,'002447,晨鑫科技,4.27,4.29,4.11,4.11,4.15,0.12,2.8916,4.5135,64416829,269699296.84,6094114110.0,6094114110.0
2019-04-11,'002447,晨鑫科技,4.15,4.23,4.11,4.11,4.14,0.01,0.2415,4.6589,66491608,276957682.72,5922850950.0,5922850950.0
2019-04-10,'002447,晨鑫科技,4.14,4.21,4.11,4.21,4.3,-0.16,-3.7209,7.0985,101309828,420435457.49,5908579020.0,5908579020.0
2019-04-09,'002447,晨鑫科技,4.3,4.41,4.23,4.32,4.32,-0.02,-0.463,6.4251,91698812,395875320.29,6136929900.0,6136929900.0
2019-04-08,'002447,晨鑫科技,4.32,4.48,4.27,4.48,4.52,-0.2,-4.4248,8.7867,125402709,546415781.11,6165473760.0,6165473760.0
2019-04-04,'002447,晨鑫科技,4.52,4.73,4.5,4.61,4.77,-0.25,-5.2411,12.4186,177238067,812903674.33,6450912360.0,6450912360.0
2019-04-03,'002447,晨鑫科技,4.77,5.38,4.61,5.2,5.05,-0.28,-5.5446,22.1796,316546036,1568704459.26,6807710610.0,6807710610.0
2019-04-02,'002447,晨鑫科技,5.05,5.05,4.91,5.03,4.59,0.46,10.0218,4.2377,60480574,304352124.72,7207324650.0,7207324650.0
2019-04-01,'002447,晨鑫科技,4.59,4.59,4.31,4.59,4.17,0.42,10.0719,6.2538,89254409,407529017.03,6550815870.0,6550815870.0
2019-03-29,'002447,晨鑫科技,4.17,4.3,3.83,3.9,3.98,0.19,4.7739,12.8643,183599004,735645579.09,5951394810.0,5951394810.0
2019-03-28,'002447,晨鑫科技,3.98,4.15,3.56,3.67,3.77,0.21,5.5703,14.6255,208734625,816164771.27,5680228140.0,5680228140.0
2019-03-27,'002447,晨鑫科技,3.77,3.78,3.56,3.58,3.87,-0.1,-2.584,10.3345,147493348,544030386.44,5380517610.0,5380517610.0
2019-03-26,'002447,晨鑫科技,3.87,3.87,3.49,3.53,3.52,0.35,9.9432,15.5841,222415059,847089317.67,5523236910.0,5523236910.0
2019-03-25,'002447,晨鑫科技,3.52,3.61,3.48,3.5,3.64,-0.12,-3.2967,2.7181,38792928,137851146.34,5023719360.0,5023719360.0
2019-03-22,'002447,晨鑫科技,3.64,3.7,3.56,3.63,3.72,-0.08,-2.1505,4.3682,62342359,225542811.63,5194982520.0,5194982520.0
2019-03-21,'002447,晨鑫科技,3.72,3.82,3.57,3.65,3.64,0.08,2.1978,6.3529,90668193,332683300.49,5309157960.0,5309157960.0
2019-03-20,'002447,晨鑫科技,3.64,3.75,3.53,3.6,3.6,0.04,1.1111,5.0548,72141800,262053342.24,5194982520.0,5194982520.0
2019-03-19,'002447,晨鑫科技,3.6,3.65,3.42,3.45,3.48,0.12,3.4483,4.3379,61909575,219691596.95,5137894800.0,5137894800.0
2019-03-18,'002447,晨鑫科技,3.48,3.5,3.37,3.48,3.42,0.06,1.7544,3.0333,43290487,148810616.3,4966631640.0,4966631640.0
2019-03-15,'002447,晨鑫科技,3.42,3.47,3.35,3.42,3.37,0.05,1.4837,3.2148,45881198,156875331.62,4881000060.0,4881000060.0
2019-03-14,'002447,晨鑫科技,3.37,3.63,3.28,3.58,3.64,-0.27,-7.4176,5.2302,74645711,255646452.41,4809640410.0,4809640410.0
2019-03-13,'002447,晨鑫科技,3.64,3.92,3.55,3.86,3.9,-0.26,-6.6667,6.3717,90936196,341788111.23,5194982520.0,5194982520.0
2019-03-12,'002447,晨鑫科技,3.9,3.99,3.75,3.78,3.84,0.06,1.5625,7.9456,113398944,440623645.68,5566052700.0,5566052700.0
2019-03-11,'002447,晨鑫科技,3.84,4.19,3.65,4.16,3.89,-0.05,-1.2853,12.4472,177646216,691402911.38,5480421120.0,5480421120.0
2019-03-08,'002447,晨鑫科技,3.89,3.89,3.35,3.4,3.54,0.35,9.887,7.8396,111885667,411232066.58,5551780770.0,5551780770.0
2019-03-07,'002447,晨鑫科技,3.54,3.63,3.38,3.44,3.41,0.13,3.8123,7.3021,104214680,364993727.49,5052263220.0,5052263220.0
2019-03-06,'002447,晨鑫科技,3.41,3.49,3.23,3.25,3.26,0.15,4.6012,7.2171,103001492,344221829.19,4866728130.0,4866728130.0
2019-03-05,'002447,晨鑫科技,3.26,3.26,3.11,3.14,3.13,0.13,4.1534,5.3652,76572290,244911892.43,4652649180.0,4652649180.0
2019-03-04,'002447,晨鑫科技,3.13,3.21,3.12,3.14,3.14,-0.01,-0.3185,4.3576,62190722,196679302.49,4467114090.0,4467114090.0
2019-03-01,'002447,晨鑫科技,3.14,3.23,3.07,3.21,3.21,-0.07,-2.1807,3.9053,55736193,173704367.86,4481386020.0,4481386020.0
2019-02-28,'002447,晨鑫科技,3.21,3.35,3.09,3.13,3.13,0.08,2.5559,5.3898,76922733,245826238.67,4581289530.0,4581289530.0
2019-02-27,'002447,晨鑫科技,3.13,3.24,3.06,3.1,3.15,-0.02,-0.6349,4.9028,69972300,219419904.78,4467114090.0,4467114090.0
2019-02-26,'002447,晨鑫科技,3.15,3.25,3.03,3.1,3.08,0.07,2.2727,5.4428,77678711,243919976.75,4495657950.0,4495657950.0
2019-02-25,'002447,晨鑫科技,3.08,3.1,2.94,2.96,2.94,0.14,4.7619,4.4157,63021207,190499403.65,4395754440.0,4395754440.0
2019-02-22,'002447,晨鑫科技,2.94,2.96,2.84,2.86,2.89,0.05,1.7301,2.6362,37624040,109507417.0,4195947420.0,4195947420.0
2019-02-21,'002447,晨鑫科技,2.89,2.94,2.81,2.82,2.88,0.01,0.3472,2.4353,34756914,100036679.91,4124587770.0,4124587770.0
2019-02-20,'002447,晨鑫科技,2.88,3.04,2.81,2.91,2.9,-0.02,-0.6897,2.7576,39356884,114969389.61,4110315840.0,4110315840.0
