»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'300442,∆’¿ˆ ¢,15.84,15.84,14.33,14.43,14.4,1.44,10.0,4.1008,2991769,45626615.08,1584000000.0,1155607200.0
2019-04-25,'300442,∆’¿ˆ ¢,14.4,15.41,14.38,15.25,15.18,-0.78,-5.1383,2.7032,1972123,29612388.35,1440000000.0,1050552000.0
2019-04-24,'300442,∆’¿ˆ ¢,15.18,15.22,14.8,15.17,15.03,0.15,0.998,1.7627,1285974,19385872.47,1518000000.0,1107456900.0
2019-04-23,'300442,∆’¿ˆ ¢,15.03,15.62,14.91,15.62,15.54,-0.51,-3.2819,1.915,1397104,21297327.59,1503000000.0,1096513650.0
2019-04-22,'300442,∆’¿ˆ ¢,15.54,16.09,15.51,16.0,16.03,-0.49,-3.0568,1.7104,1247841,19738747.51,1554000000.0,1133720700.0
2019-04-19,'300442,∆’¿ˆ ¢,16.03,16.1,15.68,15.68,15.85,0.18,1.1356,1.8909,1379541,21968526.8,1603000000.0,1169468650.0
2019-04-18,'300442,∆’¿ˆ ¢,15.85,16.17,15.7,15.76,15.84,0.01,0.0631,1.6343,1192314,19009917.86,1585000000.0,1156336750.0
2019-04-17,'300442,∆’¿ˆ ¢,15.84,15.93,15.65,15.85,15.7,0.14,0.8917,1.4827,1081678,17110546.74,1584000000.0,1155607200.0
2019-04-16,'300442,∆’¿ˆ ¢,15.7,15.75,15.0,15.37,15.39,0.31,2.0143,1.4614,1066181,16385110.1,1570000000.0,1145393500.0
2019-04-15,'300442,∆’¿ˆ ¢,15.39,16.14,15.32,15.95,15.9,-0.51,-3.2075,1.6116,1175730,18639222.18,1539000000.0,1122777450.0
2019-04-12,'300442,∆’¿ˆ ¢,15.9,15.96,15.6,15.68,15.6,0.3,1.9231,2.3039,1680795,26564386.72,1590000000.0,1159984500.0
2019-04-11,'300442,∆’¿ˆ ¢,15.6,16.36,15.59,16.36,16.23,-0.63,-3.8817,2.255,1645141,26005052.77,1560000000.0,1138098000.0
2019-04-10,'300442,∆’¿ˆ ¢,16.23,16.54,15.8,15.8,15.79,0.44,2.7866,2.7957,2039568,33106554.16,1623000000.0,1184059650.0
2019-04-09,'300442,∆’¿ˆ ¢,15.79,15.95,15.49,15.61,15.6,0.19,1.2179,1.5193,1108410,17483236.29,1579000000.0,1151959450.0
2019-04-08,'300442,∆’¿ˆ ¢,15.6,16.08,15.38,15.73,15.7,-0.1,-0.6369,2.0283,1479735,23265543.83,1560000000.0,1138098000.0
2019-04-04,'300442,∆’¿ˆ ¢,15.7,16.16,15.58,15.93,15.95,-0.25,-1.5674,1.8695,1363900,21591299.0,1570000000.0,1145393500.0
2019-04-03,'300442,∆’¿ˆ ¢,15.95,15.96,15.46,15.55,15.59,0.36,2.3092,2.5259,1842797,29175812.45,1595000000.0,1163632250.0
2019-04-02,'300442,∆’¿ˆ ¢,15.59,15.8,15.35,15.57,15.41,0.18,1.1681,1.9464,1419988,22096335.92,1559000000.0,1137368450.0
2019-04-01,'300442,∆’¿ˆ ¢,15.41,15.5,14.71,14.95,14.89,0.52,3.4923,2.2393,1633666,24878699.32,1541000000.0,1124236550.0
2019-03-29,'300442,∆’¿ˆ ¢,14.89,14.95,14.05,14.78,14.85,0.04,0.2694,2.8794,2100680,30728704.18,1489000000.0,1086299950.0
2019-03-28,'300442,∆’¿ˆ ¢,14.85,15.99,14.83,14.86,15.05,-0.2,-1.3289,2.7214,1985363,30233234.85,1485000000.0,1083381750.0
2019-03-27,'300442,∆’¿ˆ ¢,15.05,15.08,14.7,14.9,14.91,0.14,0.939,0.9685,706597,10505389.91,1505000000.0,1097972750.0
2019-03-26,'300442,∆’¿ˆ ¢,14.91,15.49,14.8,15.28,15.37,-0.46,-2.9928,1.4358,1047471,15794060.05,1491000000.0,1087759050.0
2019-03-25,'300442,∆’¿ˆ ¢,15.37,15.63,15.2,15.43,15.43,-0.06,-0.3889,1.028,750011,11579593.9,1537000000.0,1121318350.0
2019-03-22,'300442,∆’¿ˆ ¢,15.43,15.98,15.17,15.51,15.59,-0.16,-1.0263,1.1536,841597,12964422.2,1543000000.0,1125695650.0
2019-03-21,'300442,∆’¿ˆ ¢,15.59,15.71,15.2,15.25,15.23,0.36,2.3638,1.7139,1250408,19395118.74,1559000000.0,1137368450.0
2019-03-20,'300442,∆’¿ˆ ¢,15.23,15.68,14.84,15.45,15.24,-0.01,-0.0656,1.3312,971165,14848659.15,1523000000.0,1111104650.0
2019-03-19,'300442,∆’¿ˆ ¢,15.24,15.47,15.07,15.2,15.27,-0.03,-0.1965,1.0235,746702,11377551.2,1524000000.0,1111834200.0
2019-03-18,'300442,∆’¿ˆ ¢,15.27,15.27,14.69,14.95,14.88,0.39,2.621,1.2135,885287,13295619.99,1527000000.0,1114022850.0
2019-03-15,'300442,∆’¿ˆ ¢,14.88,15.08,14.75,14.75,14.6,0.28,1.9178,1.077,785727,11710965.37,1488000000.0,1085570400.0
2019-03-14,'300442,∆’¿ˆ ¢,14.6,15.19,14.38,15.01,15.12,-0.52,-3.4392,1.4912,1087900,16126676.0,1460000000.0,1065143000.0
2019-03-13,'300442,∆’¿ˆ ¢,15.12,15.65,14.99,15.23,15.37,-0.25,-1.6265,1.9036,1388767,21217279.66,1512000000.0,1103079600.0
2019-03-12,'300442,∆’¿ˆ ¢,15.37,15.78,15.1,15.23,15.21,0.16,1.0519,2.4329,1774905,27352203.4,1537000000.0,1121318350.0
2019-03-11,'300442,∆’¿ˆ ¢,15.21,15.25,14.53,14.79,14.67,0.54,3.681,2.6029,1898969,28246855.28,1521000000.0,1109645550.0
2019-03-08,'300442,∆’¿ˆ ¢,14.67,15.36,14.66,15.36,15.48,-0.81,-5.2326,3.2708,2386190,35735992.31,1467000000.0,1070249850.0
2019-03-07,'300442,∆’¿ˆ ¢,15.48,15.59,14.83,15.06,14.96,0.52,3.4759,2.3222,1694189,25928855.4,1548000000.0,1129343400.0
2019-03-06,'300442,∆’¿ˆ ¢,14.96,15.09,14.68,14.75,14.68,0.28,1.9074,1.5004,1094620,16291040.37,1496000000.0,1091406800.0
2019-03-05,'300442,∆’¿ˆ ¢,14.68,14.71,14.04,14.18,14.26,0.42,2.9453,1.6744,1221568,17756948.04,1468000000.0,1070979400.0
2019-03-04,'300442,∆’¿ˆ ¢,14.26,14.59,14.15,14.15,14.15,0.11,0.7774,1.546,1127882,16184894.12,1426000000.0,1040338300.0
2019-03-01,'300442,∆’¿ˆ ¢,14.15,14.31,13.99,14.3,14.3,-0.15,-1.049,1.0875,793400,11210811.0,1415000000.0,1032313250.0
2019-02-28,'300442,∆’¿ˆ ¢,14.3,14.3,13.98,14.01,14.0,0.3,2.1429,1.2923,942830,13372746.76,1430000000.0,1043256500.0
2019-02-27,'300442,∆’¿ˆ ¢,14.0,14.42,13.86,13.9,14.0,0.0,0.0,1.4875,1085242,15328349.23,1400000000.0,1021370000.0
2019-02-26,'300442,∆’¿ˆ ¢,14.0,14.25,13.65,14.01,14.07,-0.07,-0.4975,1.7658,1288273,17978090.86,1400000000.0,1021370000.0
2019-02-25,'300442,∆’¿ˆ ¢,14.07,14.15,13.37,13.4,13.39,0.68,5.0784,2.2746,1659399,22864443.33,1407000000.0,1026476850.0
2019-02-22,'300442,∆’¿ˆ ¢,13.39,13.43,13.13,13.34,13.4,-0.01,-0.0746,1.2206,890515,11810819.3,1339000000.0,976867450.0
2019-02-21,'300442,∆’¿ˆ ¢,13.4,13.65,13.01,13.16,13.21,0.19,1.4383,2.1197,1546430,20711375.01,1340000000.0,977597000.0
2019-02-20,'300442,∆’¿ˆ ¢,13.21,13.27,12.92,13.1,13.11,0.1,0.7628,1.2111,883560,11589503.5,1321000000.0,963735550.0
2019-02-19,'300442,∆’¿ˆ ¢,13.11,13.38,12.93,13.16,13.14,-0.03,-0.2283,0.9326,680358,8942975.34,1311000000.0,956440050.0
2019-02-18,'300442,∆’¿ˆ ¢,13.14,13.15,12.75,12.75,12.68,0.46,3.6278,0.9094,663473,8636655.11,1314000000.0,958628700.0
2019-02-15,'300442,∆’¿ˆ ¢,12.68,12.88,12.65,12.74,12.74,-0.06,-0.471,0.553,403419,5153541.54,1268000000.0,925069400.0
2019-02-14,'300442,∆’¿ˆ ¢,12.74,12.85,12.63,12.66,12.66,0.08,0.6319,0.6527,476201,6057648.67,1274000000.0,929446700.0
2019-02-13,'300442,∆’¿ˆ ¢,12.66,12.74,12.33,12.47,12.4,0.26,2.0968,0.6859,500371,6300488.28,1266000000.0,923610300.0
2019-02-12,'300442,∆’¿ˆ ¢,12.4,12.43,12.17,12.36,12.22,0.18,1.473,0.6657,485680,5978713.6,1240000000.0,904642000.0
2019-02-11,'300442,∆’¿ˆ ¢,12.22,12.28,11.83,11.99,11.9,0.32,2.6891,0.6704,489097,5931605.42,1222000000.0,891510100.0
2019-02-01,'300442,∆’¿ˆ ¢,11.9,11.97,11.42,11.51,11.45,0.45,3.9301,0.9316,679626,7995917.59,1190000000.0,868164500.0
