ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'300474,¾°¼ÎÎ¢,39.75,40.98,39.55,40.51,41.0,-1.25,-3.0488,0.8896,2384170,96341185.35,11980859641.5,10652830267.5
2019-04-25,'300474,¾°¼ÎÎ¢,41.0,42.95,40.58,42.1,42.11,-1.11,-2.636,1.241,3325716,138445431.22,12357616234.0,10987824930.0
2019-04-24,'300474,¾°¼ÎÎ¢,42.11,42.32,40.9,41.98,41.94,0.17,0.4053,1.1357,3043506,126759216.44,12692176088.1,11285300190.3
2019-04-23,'300474,¾°¼ÎÎ¢,41.94,42.98,41.33,42.98,42.7,-0.76,-1.7799,0.7506,2011448,84618376.96,12640937191.6,11239740916.2
2019-04-22,'300474,¾°¼ÎÎ¢,42.7,44.0,42.5,43.54,43.59,-0.89,-2.0418,0.8238,2207801,95602908.49,12870005199.8,11443417671.0
2019-04-19,'300474,¾°¼ÎÎ¢,43.59,43.92,43.08,43.3,42.93,0.66,1.5374,0.8597,2304003,100354546.16,13138255893.7,11681933870.7
2019-04-18,'300474,¾°¼ÎÎ¢,42.93,43.67,42.71,42.99,43.08,-0.15,-0.3482,0.9523,2552012,110420644.44,12939328412.8,11505056688.9
2019-04-17,'300474,¾°¼ÎÎ¢,43.08,43.5,42.06,42.7,42.69,0.39,0.9136,1.3666,3662408,156948455.34,12984539203.9,11545256048.4
2019-04-16,'300474,¾°¼ÎÎ¢,42.69,43.0,40.88,42.5,45.42,-2.73,-6.0106,3.05,8173745,338892554.19,12866991147.1,11440737713.7
2019-04-15,'300474,¾°¼ÎÎ¢,45.42,46.76,45.41,46.64,46.04,-0.62,-1.3467,0.9162,2455455,113322397.43,13689827545.1,12172366056.6
2019-04-12,'300474,¾°¼ÎÎ¢,46.04,46.2,44.92,45.02,45.02,1.02,2.2657,0.9217,2470111,113011391.09,13876698815.0,12338523409.2
2019-04-11,'300474,¾°¼ÎÎ¢,45.02,46.37,44.92,46.07,46.22,-1.2,-2.5963,0.8706,2333075,106238914.45,13569265435.5,12065167764.6
2019-04-10,'300474,¾°¼ÎÎ¢,46.22,46.61,45.46,46.06,46.08,0.14,0.3038,0.7945,2129284,98290305.49,13930951764.3,12386762640.6
2019-04-09,'300474,¾°¼ÎÎ¢,46.08,46.74,45.2,45.69,45.6,0.48,1.0526,0.8761,2347971,108217041.16,13888755025.9,12349243238.4
2019-04-08,'300474,¾°¼ÎÎ¢,45.6,47.18,45.23,47.01,46.79,-1.19,-2.5433,1.3713,3675093,169569059.42,13744080494.4,12220605288.0
2019-04-04,'300474,¾°¼ÎÎ¢,46.79,48.58,46.73,48.33,48.07,-1.28,-2.6628,1.4504,3887011,183951619.64,14102752770.5,12539520206.7
2019-04-03,'300474,¾°¼ÎÎ¢,48.07,49.07,47.77,49.0,49.45,-1.38,-2.7907,1.314,3521421,169983948.58,14488551521.2,12882554741.1
2019-04-02,'300474,¾°¼ÎÎ¢,49.45,50.63,47.01,48.5,48.25,1.2,2.487,2.1182,5676770,279017337.97,14904490799.3,13252388848.5
2019-04-01,'300474,¾°¼ÎÎ¢,48.25,48.56,46.62,46.65,46.51,1.74,3.7411,1.3954,3739692,178602724.07,14542804470.5,12930793972.5
2019-03-29,'300474,¾°¼ÎÎ¢,46.51,46.7,43.7,45.17,45.72,0.79,1.7279,5.7311,3896893,176845184.86,14018359293.7,3162481402.3
2019-03-28,'300474,¾°¼ÎÎ¢,45.72,47.58,45.51,46.01,46.1,-0.38,-0.8243,3.6307,2468749,114990904.79,13780249127.3,3108764775.6
2019-03-27,'300474,¾°¼ÎÎ¢,46.1,47.59,45.16,46.77,46.65,-0.55,-1.179,4.3542,2960693,136566383.58,13894783131.4,3134603153.0
2019-03-26,'300474,¾°¼ÎÎ¢,46.65,49.98,46.55,49.61,49.61,-2.96,-5.9665,5.1146,3477691,166078239.53,14060556032.1,3172000804.5
2019-03-25,'300474,¾°¼ÎÎ¢,49.61,50.59,47.32,47.69,48.3,1.31,2.7122,6.3864,4342501,214299136.99,14952715643.1,3373268165.3
2019-03-22,'300474,¾°¼ÎÎ¢,48.3,49.49,47.6,48.6,48.69,-0.39,-0.801,4.2302,2876361,139409868.29,14557874734.2,3284193759.0
2019-03-21,'300474,¾°¼ÎÎ¢,48.69,49.5,47.01,48.89,48.37,0.32,0.6616,4.2411,2883763,140490569.61,14675422791.1,3310712093.7
2019-03-20,'300474,¾°¼ÎÎ¢,48.37,49.96,47.0,49.8,49.72,-1.35,-2.7152,5.564,3783300,183028181.0,14578973103.4,3288953460.1
2019-03-19,'300474,¾°¼ÎÎ¢,49.72,50.95,47.94,48.6,48.63,1.09,2.2414,5.7254,3893023,193439521.39,14985870223.3,3380747695.6
2019-03-18,'300474,¾°¼ÎÎ¢,48.63,48.84,47.16,47.63,46.53,2.1,4.5132,4.5984,3126743,150080852.2,14657338474.6,3306632349.9
2019-03-15,'300474,¾°¼ÎÎ¢,46.53,47.58,45.99,47.3,46.78,-0.25,-0.5344,3.9962,2717233,127156642.17,14024387399.2,3163841316.9
2019-03-14,'300474,¾°¼ÎÎ¢,46.78,49.05,45.8,48.2,48.9,-2.12,-4.3354,7.1879,4887480,230030641.21,14099738717.7,3180840249.4
2019-03-13,'300474,¾°¼ÎÎ¢,48.9,53.39,48.5,53.2,53.71,-4.81,-8.9555,9.4191,6404582,327469366.95,14738717898.6,3324991197.0
2019-03-12,'300474,¾°¼ÎÎ¢,53.71,54.49,51.77,53.0,54.0,-0.29,-0.537,9.998,6798193,360981710.99,16188477266.5,3652050658.3
2019-03-11,'300474,¾°¼ÎÎ¢,54.0,59.0,50.81,55.3,53.66,0.34,0.6336,11.0929,7542688,410511077.92,16275884796.0,3671769420.0
2019-03-08,'300474,¾°¼ÎÎ¢,53.66,54.18,46.9,49.2,49.25,4.41,8.9543,15.4759,10522924,554077963.7,16173407002.8,3648650871.8
2019-03-07,'300474,¾°¼ÎÎ¢,49.25,52.03,47.65,48.01,48.5,0.75,1.5464,8.4321,5733484,288165216.26,14844209744.5,3348789702.5
2019-03-06,'300474,¾°¼ÎÎ¢,48.5,49.5,46.08,46.41,46.35,2.15,4.6386,8.8664,6028770,289043163.92,14618155789.0,3297792905.0
2019-03-05,'300474,¾°¼ÎÎ¢,46.35,46.35,43.45,43.56,43.47,2.88,6.6253,7.6047,5170880,232203268.73,13970134449.9,3151602085.5
2019-03-04,'300474,¾°¼ÎÎ¢,43.47,45.23,43.22,44.89,43.41,0.06,0.1382,6.3199,4297265,190035981.05,13102087260.8,2955774383.1
2019-03-01,'300474,¾°¼ÎÎ¢,43.41,44.25,42.75,43.0,42.78,0.63,1.4727,4.4526,3027581,131470440.85,13084002944.3,2951694639.3
2019-02-28,'300474,¾°¼ÎÎ¢,42.78,43.5,42.0,42.5,41.3,1.48,3.5835,5.6273,3826341,162822102.31,12894117621.7,2908857329.4
2019-02-27,'300474,¾°¼ÎÎ¢,41.3,43.03,40.68,40.96,41.49,-0.19,-0.4579,6.6862,4546303,191616916.37,12448037816.2,2808223649.0
2019-02-26,'300474,¾°¼ÎÎ¢,41.49,42.96,40.42,41.11,41.45,0.04,0.0965,6.5999,4487665,186385891.99,12505304818.3,2821142837.7
2019-02-25,'300474,¾°¼ÎÎ¢,41.45,41.59,39.1,39.1,38.48,2.97,7.7183,7.4438,5061442,204769124.42,12493248607.3,2818423008.5
2019-02-22,'300474,¾°¼ÎÎ¢,38.48,38.6,37.47,37.8,37.6,0.88,2.3404,3.358,2283287,86908425.96,11598074943.5,2616475690.4
2019-02-21,'300474,¾°¼ÎÎ¢,37.6,39.0,37.5,38.35,38.34,-0.74,-1.9301,4.2882,2915777,111792216.49,11332838302.4,2556639448.0
2019-02-20,'300474,¾°¼ÎÎ¢,38.34,38.57,37.82,38.34,38.34,0.0,0.0,2.7818,1891479,72122394.26,11555878205.2,2606956288.2
2019-02-19,'300474,¾°¼ÎÎ¢,38.34,39.75,37.8,38.4,38.35,-0.01,-0.0261,5.6911,3869716,149956821.8,11555878205.2,2606956288.2
2019-02-18,'300474,¾°¼ÎÎ¢,38.35,38.5,37.1,37.28,36.91,1.44,3.9014,4.0219,2734737,104109229.69,11558892257.9,2607636245.5
2019-02-15,'300474,¾°¼ÎÎ¢,36.91,37.6,36.88,37.2,37.11,-0.2,-0.5389,2.5644,1743667,64837410.75,11124868663.3,2509722394.3
2019-02-14,'300474,¾°¼ÎÎ¢,37.11,37.6,37.01,37.6,37.73,-0.62,-1.6433,3.0201,2053516,76389573.03,11185149718.1,2523321540.3
2019-02-13,'300474,¾°¼ÎÎ¢,37.73,38.02,36.02,36.02,36.03,1.7,4.7183,5.081,3454832,128706612.27,11372020988.0,2565478892.9
2019-02-12,'300474,¾°¼ÎÎ¢,36.03,36.3,35.61,35.92,35.93,0.1,0.2783,2.0625,1402400,50524930.35,10859632022.2,2449886151.9
2019-02-11,'300474,¾°¼ÎÎ¢,35.93,35.98,34.9,34.93,34.89,1.04,2.9808,2.2123,1504277,53614373.14,10829491494.8,2443086578.9
2019-02-01,'300474,¾°¼ÎÎ¢,34.89,34.9,33.4,33.4,33.35,1.54,4.6177,2.4518,1667135,57291552.6,10516030009.9,2372371019.7
2019-01-31,'300474,¾°¼ÎÎ¢,33.35,34.38,33.05,34.0,33.95,-0.6,-1.7673,2.4571,1670749,56308132.75,10051865887.9,2267657595.5
2019-01-30,'300474,¾°¼ÎÎ¢,33.95,35.45,33.86,34.99,35.13,-1.18,-3.359,2.1621,1470124,50889364.43,10232709052.3,2308455033.5
2019-01-29,'300474,¾°¼ÎÎ¢,35.13,35.78,34.5,35.7,35.6,-0.47,-1.3202,2.1226,1443267,50584483.99,10588367275.6,2388689994.9
2019-01-28,'300474,¾°¼ÎÎ¢,35.6,36.81,35.58,36.81,36.59,-0.99,-2.7057,2.3164,1575084,56926990.68,10730027754.4,2420647988.0
2019-01-25,'300474,¾°¼ÎÎ¢,36.59,37.2,36.05,36.8,37.0,-0.41,-1.1081,3.3659,2288638,83855049.29,11028418975.7,2487963760.7
2019-01-24,'300474,¾°¼ÎÎ¢,37.0,37.38,35.23,35.32,35.32,1.68,4.7565,6.2035,4218109,154816461.58,11151995138.0,2515842010.0
2019-01-23,'300474,¾°¼ÎÎ¢,35.32,35.7,34.79,34.8,34.95,0.37,1.0587,2.3804,1618578,57116423.07,10645634277.7,2401609183.6
2019-01-22,'300474,¾°¼ÎÎ¢,34.95,35.43,34.8,35.0,35.2,-0.25,-0.7102,1.8233,1239761,43357826.05,10534114326.3,2376450763.5
2019-01-21,'300474,¾°¼ÎÎ¢,35.2,35.85,34.29,34.35,34.29,0.91,2.6538,3.5615,2421642,85094061.37,10609465644.8,2393449696.0
2019-01-18,'300474,¾°¼ÎÎ¢,34.29,34.47,33.78,33.93,33.84,0.45,1.3298,1.5114,1027669,35052656.38,10335186845.5,2331573581.7
2019-01-17,'300474,¾°¼ÎÎ¢,33.84,34.84,33.7,34.7,34.79,-0.95,-2.7307,1.6724,1137139,38944219.95,10199554472.2,2300975503.2
2019-01-16,'300474,¾°¼ÎÎ¢,34.79,35.32,34.57,34.7,34.63,0.16,0.462,1.7229,1171488,40992328.82,10485889482.5,2365571446.7
2019-01-15,'300474,¾°¼ÎÎ¢,34.63,34.66,33.93,33.93,33.92,0.71,2.0932,1.593,1083170,37340230.21,10437664638.6,2354692129.9
2019-01-14,'300474,¾°¼ÎÎ¢,33.92,35.02,33.75,35.02,35.06,-1.14,-3.2516,1.963,1334781,45891604.39,10223666894.1,2306415161.6
