»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-26,'000908,æ∞∑Â“Ω“©,5.42,5.54,5.42,5.54,5.49,-0.07,-1.275,0.7503,6601204,36160258.16,4768376982.42,4768376982.42
2019-04-25,'000908,æ∞∑Â“Ω“©,5.49,5.74,5.47,5.72,5.78,-0.29,-5.0173,1.5256,13422224,74992527.18,4829961186.99,4829961186.99
2019-04-24,'000908,æ∞∑Â“Ω“©,5.78,5.8,5.64,5.74,5.71,0.07,1.2259,0.6427,5654251,32396984.0,5085095748.78,5085095748.78
2019-04-23,'000908,æ∞∑Â“Ω“©,5.71,5.92,5.7,5.87,5.87,-0.16,-2.7257,0.9913,8720870,50425835.3,5023511544.21,5023511544.21
2019-04-22,'000908,æ∞∑Â“Ω“©,5.87,6.1,5.83,5.99,5.96,-0.09,-1.5101,0.9831,8648883,51623907.41,5164275440.37,5164275440.37
2019-04-19,'000908,æ∞∑Â“Ω“©,5.96,5.96,5.8,5.92,5.92,0.04,0.6757,0.9655,8493791,50069520.93,5243455131.96,5243455131.96
2019-04-18,'000908,æ∞∑Â“Ω“©,5.92,6.05,5.91,6.03,6.02,-0.1,-1.6611,0.8356,7351780,43858182.2,5208264157.92,5208264157.92
2019-04-17,'000908,æ∞∑Â“Ω“©,6.02,6.1,5.96,6.06,6.05,-0.03,-0.4959,0.9598,8443924,50900013.44,5296241593.02,5296241593.02
2019-04-16,'000908,æ∞∑Â“Ω“©,6.05,6.08,5.82,5.84,5.89,0.16,2.7165,1.0123,8906249,53039545.73,5322634823.55,5322634823.55
2019-04-15,'000908,æ∞∑Â“Ω“©,5.89,6.17,5.89,6.1,5.99,-0.1,-1.6694,1.2957,11399304,68805406.87,5181870927.39,5181870927.39
2019-04-12,'000908,æ∞∑Â“Ω“©,5.99,6.27,5.9,6.14,6.18,-0.19,-3.0744,1.7767,15630525,94634663.97,5269848362.49,5269848362.49
2019-04-11,'000908,æ∞∑Â“Ω“©,6.18,6.61,6.18,6.61,6.61,-0.43,-6.5053,2.9581,26024654,164796486.92,5437005489.18,5437005489.18
2019-04-10,'000908,æ∞∑Â“Ω“©,6.61,6.65,6.05,6.18,6.24,0.37,5.9295,3.215,28284348,181318506.42,5815308460.11,5815308460.11
