日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300478,杭州高新,17.5,17.69,16.67,16.67,16.87,0.63,3.7344,3.0699,3888778,67634741.28,2216777500.0,2216777500.0
2019-04-25,'300478,杭州高新,16.87,17.69,16.75,16.9,16.87,0.0,0.0,3.036,3845769,66428072.13,2136973510.0,2136973510.0
2019-04-24,'300478,杭州高新,16.87,16.93,16.36,16.56,16.56,0.31,1.872,1.2149,1538998,25820137.5,2136973510.0,2136973510.0
2019-04-23,'300478,杭州高新,16.56,17.07,16.56,16.74,16.89,-0.33,-1.9538,1.0805,1368645,22989897.43,2097704880.0,2097704880.0
2019-04-22,'300478,杭州高新,16.89,17.09,16.69,17.0,17.19,-0.3,-1.7452,1.7006,2154145,36368002.75,2139506970.0,2139506970.0
2019-04-19,'300478,杭州高新,17.19,17.66,16.81,17.29,17.07,0.12,0.703,2.0098,2545880,43767542.3,2177508870.0,2177508870.0
2019-04-18,'300478,杭州高新,17.07,17.33,16.55,17.13,17.13,-0.06,-0.3503,2.0658,2616848,43955572.32,2162308110.0,2162308110.0
2019-04-17,'300478,杭州高新,17.13,17.9,17.02,17.42,17.43,-0.3,-1.7212,2.1635,2740585,47895961.3,2169908490.0,2169908490.0
2019-04-16,'300478,杭州高新,17.43,17.43,16.81,17.35,17.2,0.23,1.3372,1.9966,2529090,43303492.81,2207910390.0,2207910390.0
2019-04-15,'300478,杭州高新,17.2,17.54,16.61,16.61,16.63,0.57,3.4275,3.3481,4241130,72944258.4,2178775600.0,2178775600.0
2019-04-12,'300478,杭州高新,16.63,16.9,16.3,16.8,17.01,-0.38,-2.234,2.1472,2719900,45223479.0,2106571990.0,2106571990.0
2019-04-11,'300478,杭州高新,17.01,17.46,16.0,16.2,16.03,0.98,6.1135,3.7903,4801304,80471551.74,2154707730.0,2154707730.0
2019-04-10,'300478,杭州高新,16.03,16.16,15.62,16.16,16.17,-0.14,-0.8658,1.5435,1955180,31064758.5,2030568190.0,2030568190.0
2019-04-09,'300478,杭州高新,16.17,16.17,15.06,15.73,15.6,0.57,3.6538,2.0098,2545830,39816260.7,2048302410.0,2048302410.0
2019-04-08,'300478,杭州高新,15.6,15.98,15.3,15.93,15.81,-0.21,-1.3283,1.3082,1657120,26080804.3,1976098800.0,1976098800.0
2019-04-04,'300478,杭州高新,15.81,16.09,15.66,16.06,15.88,-0.07,-0.4408,1.0551,1336520,21187199.4,2002700130.0,2002700130.0
2019-04-03,'300478,杭州高新,15.88,16.04,15.69,15.85,15.85,0.03,0.1893,1.0696,1354860,21508461.7,2011567240.0,2011567240.0
2019-04-02,'300478,杭州高新,15.85,16.19,15.72,16.12,15.94,-0.09,-0.5646,1.2211,1546764,24511979.96,2007767050.0,2007767050.0
2019-04-01,'300478,杭州高新,15.94,15.94,15.24,15.24,15.19,0.75,4.9375,1.6545,2095754,32781951.66,2019167620.0,2019167620.0
2019-03-29,'300478,杭州高新,15.19,15.34,14.51,15.26,15.06,0.13,0.8632,1.6902,2140994,31993437.29,1924162870.0,1924162870.0
2019-03-28,'300478,杭州高新,15.06,15.76,15.05,15.51,15.76,-0.7,-4.4416,0.8556,1083790,16695616.6,1907695380.0,1907695380.0
2019-03-27,'300478,杭州高新,15.76,16.37,15.59,16.08,16.0,-0.24,-1.5,0.7369,933500,14807634.0,1996366480.0,1996366480.0
2019-03-26,'300478,杭州高新,16.0,16.69,15.84,16.69,16.32,-0.32,-1.9608,0.6988,885180,14312598.3,2026768000.0,2026768000.0
2019-03-25,'300478,杭州高新,16.32,16.56,16.0,16.0,16.55,-0.23,-1.3897,0.5249,664910,10896233.4,2067303360.0,2067303360.0
2019-03-22,'300478,杭州高新,16.55,16.84,16.39,16.84,16.78,-0.23,-1.3707,0.634,803170,13271572.8,2096438150.0,2096438150.0
2019-03-21,'300478,杭州高新,16.78,16.85,16.5,16.51,16.65,0.13,0.7808,1.0449,1323590,22137656.8,2125572940.0,2125572940.0
2019-03-20,'300478,杭州高新,16.65,16.94,16.4,16.88,16.91,-0.26,-1.5376,0.8627,1092780,18177710.2,2109105450.0,2109105450.0
2019-03-19,'300478,杭州高新,16.91,17.39,16.88,17.16,17.23,-0.32,-1.8572,1.0416,1319370,22461138.8,2142040430.0,2142040430.0
2019-03-18,'300478,杭州高新,17.23,17.28,16.02,16.5,16.73,0.5,2.9886,1.9096,2418953,40368004.34,2182575790.0,2182575790.0
2019-03-15,'300478,杭州高新,16.73,17.77,16.69,17.08,16.9,-0.17,-1.0059,2.6809,3396025,58599098.4,2119239290.0,2119239290.0
2019-03-14,'300478,杭州高新,16.9,16.96,15.8,15.97,16.09,0.81,5.0342,2.9076,3683126,61158308.83,2140773700.0,2140773700.0
2019-03-13,'300478,杭州高新,16.09,16.83,16.09,16.67,16.84,-0.75,-4.4537,1.1653,1476138,24331117.07,2038168570.0,2038168570.0
2019-03-12,'300478,杭州高新,16.84,16.99,16.58,16.83,16.77,0.07,0.4174,1.7451,2210533,37186992.59,2133173320.0,2133173320.0
2019-03-11,'300478,杭州高新,16.77,16.78,16.08,16.34,16.48,0.29,1.7597,1.4485,1834865,30277894.1,2124306210.0,2124306210.0
2019-03-08,'300478,杭州高新,16.48,16.93,16.07,16.6,16.81,-0.33,-1.9631,2.2381,2835047,47060291.91,2087571040.0,2087571040.0
2019-03-07,'300478,杭州高新,16.81,16.95,16.61,16.8,16.81,0.0,0.0,2.7035,3424601,57574879.67,2129373130.0,2129373130.0
2019-03-06,'300478,杭州高新,16.81,17.04,16.62,17.04,17.18,-0.37,-2.1537,3.1774,4024873,67480134.88,2129373130.0,2129373130.0
2019-03-05,'300478,杭州高新,17.18,17.4,16.4,17.4,17.22,-0.04,-0.2323,3.9972,5063400,84507107.7,2176242140.0,2176242140.0
2019-03-04,'300478,杭州高新,17.22,17.92,16.88,16.99,16.99,0.23,1.3537,4.9692,6294673,109799135.78,2181309060.0,2181309060.0
