日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002454,松芝股份,6.14,6.2,5.87,5.9,6.0,0.14,2.3333,2.0015,12580872,76465201.97,3859491024.0,3859491024.0
2019-04-25,'002454,松芝股份,6.0,6.24,6.0,6.16,6.15,-0.15,-2.439,1.86,11691656,71485521.93,3771489600.0,3771489600.0
2019-04-24,'002454,松芝股份,6.15,6.17,5.93,5.93,5.92,0.23,3.8851,1.849,11622545,70547693.23,3865776840.0,3865776840.0
2019-04-23,'002454,松芝股份,5.92,6.14,5.85,6.07,6.09,-0.17,-2.7915,1.8175,11424751,68391470.42,3721203072.0,3721203072.0
2019-04-22,'002454,松芝股份,6.09,6.27,6.06,6.27,6.28,-0.19,-3.0255,1.7565,11041217,67802227.03,3828061944.0,3828061944.0
2019-04-19,'002454,松芝股份,6.28,6.33,6.04,6.19,6.29,-0.01,-0.159,2.5601,16092375,99485288.48,3947492448.0,3947492448.0
2019-04-18,'002454,松芝股份,6.29,6.52,6.25,6.41,6.59,-0.3,-4.5524,4.5621,28676453,182479392.18,3953778264.0,3953778264.0
2019-04-17,'002454,松芝股份,6.59,6.8,6.14,6.14,6.18,0.41,6.6343,8.3618,52560923,342933656.75,4142352744.0,4142352744.0
2019-04-16,'002454,松芝股份,6.18,6.47,5.96,6.47,6.35,-0.17,-2.6772,5.5107,34639000,212576325.65,3884634288.0,3884634288.0
2019-04-15,'002454,松芝股份,6.35,6.78,6.22,6.78,6.16,0.19,3.0844,8.8073,55361108,364753518.8,3991493160.0,3991493160.0
2019-04-12,'002454,松芝股份,6.16,6.16,5.66,5.74,5.6,0.56,10.0,1.2407,7798745,47575585.79,3872062656.0,3872062656.0
2019-04-11,'002454,松芝股份,5.6,5.78,5.58,5.67,5.67,-0.07,-1.2346,1.4097,8861158,50329748.74,3520056960.0,3520056960.0
2019-04-10,'002454,松芝股份,5.67,5.71,5.5,5.55,5.61,0.06,1.0695,1.5029,9447003,53220515.05,3564057672.0,3564057672.0
2019-04-09,'002454,松芝股份,5.61,5.62,5.51,5.59,5.63,-0.02,-0.3552,1.0553,6633211,36921867.59,3526342776.0,3526342776.0
2019-04-08,'002454,松芝股份,5.63,5.8,5.5,5.79,5.74,-0.11,-1.9164,2.5231,15859694,89303784.25,3538914408.0,3538914408.0
2019-04-04,'002454,松芝股份,5.74,5.85,5.51,5.57,5.54,0.2,3.6101,3.0564,19212012,109752677.6,3608058384.0,3608058384.0
2019-04-03,'002454,松芝股份,5.54,5.55,5.45,5.48,5.48,0.06,1.0949,1.3618,8560166,47213229.9,3482342064.0,3482342064.0
2019-04-02,'002454,松芝股份,5.48,5.54,5.43,5.54,5.41,0.07,1.2939,1.4829,9321412,51081275.9,3444627168.0,3444627168.0
2019-04-01,'002454,松芝股份,5.41,5.43,5.2,5.25,5.17,0.24,4.6422,1.8518,11639973,62272731.73,3400626456.0,3400626456.0
2019-03-29,'002454,松芝股份,5.17,5.21,5.04,5.1,5.04,0.13,2.5794,1.1776,7402421,38032317.76,3249766872.0,3249766872.0
2019-03-28,'002454,松芝股份,5.04,5.16,5.03,5.11,5.12,-0.08,-1.5625,0.8827,5548278,28222382.69,3168051264.0,3168051264.0
2019-03-27,'002454,松芝股份,5.12,5.25,5.06,5.24,5.19,-0.07,-1.3487,1.3708,8616336,44178798.93,3218337792.0,3218337792.0
2019-03-26,'002454,松芝股份,5.19,5.6,5.16,5.52,5.48,-0.29,-5.292,1.6626,10451107,55766994.83,3262338504.0,3262338504.0
2019-03-25,'002454,松芝股份,5.48,5.56,5.26,5.3,5.42,0.06,1.107,1.7255,10846148,59098421.81,3444627168.0,3444627168.0
2019-03-22,'002454,松芝股份,5.42,5.44,5.25,5.39,5.41,0.01,0.1848,1.255,7888734,42325410.6,3406912272.0,3406912272.0
2019-03-21,'002454,松芝股份,5.41,5.48,5.33,5.35,5.34,0.07,1.3109,1.4226,8942145,48301558.13,3400626456.0,3400626456.0
2019-03-20,'002454,松芝股份,5.34,5.37,5.22,5.35,5.35,-0.01,-0.1869,1.1649,7322321,38781803.75,3356625744.0,3356625744.0
2019-03-19,'002454,松芝股份,5.35,5.43,5.29,5.39,5.37,-0.02,-0.3724,1.0653,6696046,35838615.64,3362911560.0,3362911560.0
2019-03-18,'002454,松芝股份,5.37,5.38,5.22,5.34,5.27,0.1,1.8975,1.117,7021507,37258092.4,3375483192.0,3375483192.0
2019-03-15,'002454,松芝股份,5.27,5.37,5.2,5.28,5.26,0.01,0.1901,1.4408,9056574,47899125.54,3312625032.0,3312625032.0
2019-03-14,'002454,松芝股份,5.26,5.43,5.15,5.35,5.42,-0.16,-2.952,1.638,10295959,54213797.47,3306339216.0,3306339216.0
2019-03-13,'002454,松芝股份,5.42,5.67,5.39,5.46,5.47,-0.05,-0.9141,2.7077,17020170,94278446.67,3406912272.0,3406912272.0
2019-03-12,'002454,松芝股份,5.47,5.54,5.32,5.5,5.44,0.03,0.5515,2.243,14099007,76630537.11,3438341352.0,3438341352.0
2019-03-11,'002454,松芝股份,5.44,5.45,5.1,5.12,5.12,0.32,6.25,2.0601,12949308,68691545.98,3419483904.0,3419483904.0
2019-03-08,'002454,松芝股份,5.12,5.55,5.1,5.29,5.43,-0.31,-5.709,2.4261,15249823,81148152.44,3218337792.0,3218337792.0
2019-03-07,'002454,松芝股份,5.43,5.5,5.21,5.26,5.28,0.15,2.8409,3.024,19008029,101899480.32,3413198088.0,3413198088.0
2019-03-06,'002454,松芝股份,5.28,5.28,5.08,5.2,5.15,0.13,2.5243,2.5363,15943021,82787011.99,3318910848.0,3318910848.0
2019-03-05,'002454,松芝股份,5.15,5.15,4.93,4.95,4.98,0.17,3.4137,2.1942,13792136,69764169.99,3237195240.0,3237195240.0
2019-03-04,'002454,松芝股份,4.98,5.06,4.91,4.92,4.89,0.09,1.8405,2.3383,14698264,73384281.56,3130336368.0,3130336368.0
2019-03-01,'002454,松芝股份,4.89,4.96,4.81,4.94,4.94,-0.05,-1.0121,1.5595,9802641,47831556.87,3073764024.0,3073764024.0
2019-02-28,'002454,松芝股份,4.94,5.01,4.88,4.91,4.96,-0.02,-0.4032,1.6225,10198657,50282557.1,3105193104.0,3105193104.0
2019-02-27,'002454,松芝股份,4.96,5.04,4.9,4.97,4.98,-0.02,-0.4016,1.9599,12319368,61338240.92,3117764736.0,3117764736.0
2019-02-26,'002454,松芝股份,4.98,5.1,4.92,5.0,4.99,-0.01,-0.2004,2.3596,14831712,74522061.3,3130336368.0,3130336368.0
2019-02-25,'002454,松芝股份,4.99,5.04,4.75,4.82,4.78,0.21,4.3933,2.7488,17278302,84854109.84,3136622184.0,3136622184.0
