日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600302,标准股份,5.63,5.88,5.61,5.74,5.77,-0.14,-2.4263,0.8808,3047734,17393450.0,1948035196.52,1948035196.52
2019-04-25,'600302,标准股份,5.77,6.17,5.76,6.14,6.21,-0.44,-7.0853,1.5748,5448907,32467568.0,1996476569.08,1996476569.08
2019-04-24,'600302,标准股份,6.21,6.31,6.05,6.16,6.18,0.03,0.4854,0.7234,2503180,15460258.0,2148720882.84,2148720882.84
2019-04-23,'600302,标准股份,6.18,6.31,6.15,6.27,6.28,-0.1,-1.5924,0.6276,2171502,13507534.0,2138340588.72,2138340588.72
2019-04-22,'600302,标准股份,6.28,6.39,6.23,6.38,6.37,-0.09,-1.4129,1.092,3778380,23752112.0,2172941569.12,2172941569.12
2019-04-19,'600302,标准股份,6.37,6.43,6.3,6.35,6.36,0.01,0.1572,0.8234,2849205,18144631.0,2204082451.48,2204082451.48
2019-04-18,'600302,标准股份,6.36,6.53,6.32,6.45,6.44,-0.08,-1.2422,0.8971,3104105,19926902.0,2200622353.44,2200622353.44
2019-04-17,'600302,标准股份,6.44,6.59,6.33,6.5,6.5,-0.06,-0.9231,1.3792,4772300,30652163.0,2228303137.76,2228303137.76
2019-04-16,'600302,标准股份,6.5,6.57,6.06,6.43,6.43,0.07,1.0886,1.5396,5327151,33755877.0,2249063726.0,2249063726.0
2019-04-15,'600302,标准股份,6.43,6.75,6.38,6.54,6.51,-0.08,-1.2289,1.179,4079311,26768814.0,2224843039.72,2224843039.72
2019-04-12,'600302,标准股份,6.51,6.79,6.39,6.75,6.76,-0.25,-3.6982,1.7068,5905595,38678954.0,2252523824.04,2252523824.04
2019-04-11,'600302,标准股份,6.76,6.93,6.63,6.7,6.8,-0.04,-0.5882,1.7687,6119800,41481229.0,2339026275.04,2339026275.04
2019-04-10,'600302,标准股份,6.8,7.0,6.55,6.55,6.47,0.33,5.1005,2.9021,10041718,68336490.0,2352866667.2,2352866667.2
2019-04-09,'600302,标准股份,6.47,6.65,6.45,6.57,6.58,-0.11,-1.6717,0.9627,3331003,21742166.0,2238683431.88,2238683431.88
2019-04-08,'600302,标准股份,6.58,6.7,6.35,6.47,6.41,0.17,2.6521,2.2979,7951046,51874919.0,2276744510.32,2276744510.32
2019-04-04,'600302,标准股份,6.41,6.48,6.22,6.38,6.34,0.07,1.1041,1.5674,5423425,34485813.0,2217922843.64,2217922843.64
2019-04-03,'600302,标准股份,6.34,6.37,6.09,6.23,6.27,0.07,1.1164,1.379,4771609,29890641.0,2193702157.36,2193702157.36
2019-04-02,'600302,标准股份,6.27,6.27,6.0,6.08,6.06,0.21,3.4653,1.6341,5654045,34829601.0,2169481471.08,2169481471.08
2019-04-01,'600302,标准股份,6.06,6.15,5.92,5.92,5.91,0.15,2.5381,1.8932,6550692,39800092.0,2096819412.24,2096819412.24
2019-03-29,'600302,标准股份,5.91,5.99,5.76,5.9,5.9,0.01,0.1695,1.8202,6298202,37034138.0,2044917941.64,2044917941.64
2019-03-28,'600302,标准股份,5.9,6.35,5.84,6.3,6.25,-0.35,-5.6,3.2291,11172890,67302163.0,2041457843.6,2041457843.6
2019-03-27,'600302,标准股份,6.25,6.74,6.15,6.63,6.63,-0.38,-5.7315,4.6701,16159033,102774967.0,2162561275.0,2162561275.0
2019-03-26,'600302,标准股份,6.63,6.63,6.02,6.03,6.03,0.6,9.9502,2.7259,9431920,62192482.0,2294045000.52,2294045000.52
2019-03-25,'600302,标准股份,6.03,6.14,5.8,5.85,5.93,0.1,1.6863,1.8624,6444149,38888645.0,2086439118.12,2086439118.12
2019-03-22,'600302,标准股份,5.93,6.0,5.79,5.95,6.0,-0.07,-1.1667,1.2418,4296880,25166902.0,2051838137.72,2051838137.72
2019-03-21,'600302,标准股份,6.0,6.06,5.76,5.8,5.79,0.21,3.6269,1.83,6332133,37264605.0,2076058824.0,2076058824.0
2019-03-20,'600302,标准股份,5.79,5.99,5.6,5.99,5.99,-0.2,-3.3389,1.6988,5878178,34080096.0,2003396765.16,2003396765.16
2019-03-19,'600302,标准股份,5.99,6.07,5.78,5.86,5.86,0.13,2.2184,1.5353,5312192,31544123.0,2072598725.96,2072598725.96
2019-03-18,'600302,标准股份,5.86,5.9,5.79,5.84,5.83,0.03,0.5146,1.1078,3833016,22380833.0,2027617451.44,2027617451.44
2019-03-15,'600302,标准股份,5.83,5.96,5.76,5.83,5.83,0.0,0.0,1.1064,3828402,22442665.0,2017237157.32,2017237157.32
2019-03-14,'600302,标准股份,5.83,6.03,5.72,6.03,6.05,-0.22,-3.6364,1.4789,5116993,30034207.0,2017237157.32,2017237157.32
2019-03-13,'600302,标准股份,6.05,6.15,5.82,5.92,5.9,0.15,2.5424,1.6467,5697585,34506852.0,2093359314.2,2093359314.2
2019-03-12,'600302,标准股份,5.9,6.14,5.83,5.98,5.98,-0.08,-1.3378,1.9396,6711096,40131310.0,2041457843.6,2041457843.6
2019-03-11,'600302,标准股份,5.98,6.06,5.43,5.5,5.57,0.41,7.3609,2.0053,6938494,40753500.0,2069138627.92,2069138627.92
2019-03-08,'600302,标准股份,5.57,5.85,5.53,5.72,5.72,-0.15,-2.6224,1.7229,5961246,33761094.0,1927274608.28,1927274608.28
2019-03-07,'600302,标准股份,5.72,5.84,5.58,5.8,5.82,-0.1,-1.7182,2.0038,6933296,39660496.0,1979176078.88,1979176078.88
2019-03-06,'600302,标准股份,5.82,5.91,5.37,5.37,5.37,0.45,8.3799,3.3125,11461712,65465425.0,2013777059.28,2013777059.28
2019-03-05,'600302,标准股份,5.37,5.37,5.2,5.25,5.25,0.12,2.2857,1.1639,4027192,21308174.0,1858072647.48,1858072647.48
2019-03-04,'600302,标准股份,5.25,5.3,5.15,5.19,5.21,0.04,0.7678,1.5818,5473150,28673417.0,1816551471.0,1816551471.0
2019-03-01,'600302,标准股份,5.21,5.25,4.99,5.19,5.17,0.04,0.7737,1.1624,4022107,20661626.0,1802711078.84,1802711078.84
2019-02-28,'600302,标准股份,5.17,5.27,5.12,5.2,5.14,0.03,0.5837,1.1857,4102501,21277643.0,1788870686.68,1788870686.68
2019-02-27,'600302,标准股份,5.14,5.26,5.04,5.06,5.09,0.05,0.9823,1.3326,4611094,23746098.0,1778490392.56,1778490392.56
2019-02-26,'600302,标准股份,5.09,5.32,4.99,5.06,5.05,0.04,0.7921,2.0846,7212895,37098717.0,1761189902.36,1761189902.36
2019-02-25,'600302,标准股份,5.05,5.1,4.9,4.9,4.89,0.16,3.272,1.8073,6253370,31268284.0,1747349510.2,1747349510.2
2019-02-22,'600302,标准股份,4.89,4.91,4.74,4.82,4.87,0.02,0.4107,1.2256,4240776,20536253.0,1691987941.56,1691987941.56
2019-02-21,'600302,标准股份,4.87,4.98,4.82,4.91,4.94,-0.07,-1.417,1.1724,4056630,19934922.0,1685067745.48,1685067745.48
2019-02-20,'600302,标准股份,4.94,4.98,4.8,4.83,4.84,0.1,2.0661,1.327,4591535,22474068.0,1709288431.76,1709288431.76
2019-02-19,'600302,标准股份,4.84,4.86,4.74,4.83,4.82,0.02,0.4149,1.0094,3492490,16763986.0,1674687451.36,1674687451.36
2019-02-18,'600302,标准股份,4.82,4.83,4.62,4.68,4.65,0.17,3.6559,1.1976,4143700,19707943.0,1667767255.28,1667767255.28
2019-02-15,'600302,标准股份,4.65,4.7,4.6,4.63,4.65,0.0,0.0,0.7251,2508901,11670501.0,1608945588.6,1608945588.6
2019-02-14,'600302,标准股份,4.65,4.67,4.58,4.66,4.62,0.03,0.6494,0.8103,2803890,12983642.0,1608945588.6,1608945588.6
2019-02-13,'600302,标准股份,4.62,4.65,4.56,4.6,4.59,0.03,0.6536,0.6703,2319200,10703028.0,1598565294.48,1598565294.48
2019-02-12,'600302,标准股份,4.59,4.65,4.56,4.6,4.59,0.0,0.0,0.5444,1883728,8671225.0,1588185000.36,1588185000.36
2019-02-11,'600302,标准股份,4.59,4.61,4.41,4.44,4.38,0.21,4.7945,0.8821,3051991,13865806.0,1588185000.36,1588185000.36
2019-02-01,'600302,标准股份,4.38,4.4,4.2,4.21,4.18,0.2,4.7847,0.7281,2519209,10865771.0,1515522941.52,1515522941.52
2019-01-31,'600302,标准股份,4.18,4.54,4.04,4.5,4.49,-0.31,-6.9042,1.6406,5676625,24094893.0,1446320980.72,1446320980.72
2019-01-30,'600302,标准股份,4.49,4.64,4.49,4.62,4.63,-0.14,-3.0238,0.5773,1997584,9084415.0,1553584019.96,1553584019.96
2019-01-29,'600302,标准股份,4.63,4.85,4.44,4.8,4.8,-0.17,-3.5417,1.3186,4562601,21124673.0,1602025392.52,1602025392.52
2019-01-28,'600302,标准股份,4.8,4.86,4.65,4.65,4.65,0.15,3.2258,1.4266,4936169,23524964.0,1660847059.2,1660847059.2
2019-01-25,'600302,标准股份,4.65,4.7,4.63,4.65,4.68,-0.03,-0.641,0.6126,2119600,9872555.0,1608945588.6,1608945588.6
2019-01-24,'600302,标准股份,4.68,4.72,4.6,4.69,4.66,0.02,0.4292,0.5811,2010500,9374968.0,1619325882.72,1619325882.72
2019-01-23,'600302,标准股份,4.66,4.73,4.62,4.72,4.72,-0.06,-1.2712,0.7252,2509097,11726527.0,1612405686.64,1612405686.64
2019-01-22,'600302,标准股份,4.72,4.83,4.7,4.77,4.78,-0.06,-1.2552,0.922,3190300,15195681.0,1633166274.88,1633166274.88
2019-01-21,'600302,标准股份,4.78,4.83,4.72,4.75,4.77,0.01,0.2096,1.1287,3905565,18647541.0,1653926863.12,1653926863.12
2019-01-18,'600302,标准股份,4.77,4.93,4.74,4.84,4.83,-0.06,-1.2422,1.2988,4494080,21606664.0,1650466765.08,1650466765.08
2019-01-17,'600302,标准股份,4.83,4.84,4.72,4.8,4.78,0.05,1.046,1.7562,6076667,29123020.0,1671227353.32,1671227353.32
2019-01-16,'600302,标准股份,4.78,4.92,4.75,4.88,4.89,-0.11,-2.2495,2.4819,8587634,41348936.0,1653926863.12,1653926863.12
2019-01-15,'600302,标准股份,4.89,5.06,4.82,4.95,4.94,-0.05,-1.0121,3.1659,10954297,53834871.0,1691987941.56,1691987941.56
2019-01-14,'600302,标准股份,4.94,5.12,4.83,5.01,5.22,-0.28,-5.364,5.4494,18855518,93756570.0,1709288431.76,1709288431.76
2019-01-11,'600302,标准股份,5.22,6.0,5.18,5.65,5.45,-0.23,-4.2202,9.6617,33430362,192806476.0,1806171176.88,1806171176.88
2019-01-10,'600302,标准股份,5.45,5.45,4.87,4.95,4.95,0.5,10.101,5.2704,18236190,95503815.0,1885753431.8,1885753431.8
2019-01-09,'600302,标准股份,4.95,4.95,4.52,4.52,4.5,0.45,10.0,4.1887,14493219,70505110.0,1712748529.8,1712748529.8
2019-01-08,'600302,标准股份,4.5,4.55,4.48,4.55,4.55,-0.05,-1.0989,0.3853,1333200,6018308.0,1557044118.0,1557044118.0
2019-01-07,'600302,标准股份,4.55,4.6,4.47,4.6,4.47,0.08,1.7897,0.6093,2108100,9569560.0,1574344608.2,1574344608.2
2019-01-04,'600302,标准股份,4.47,4.49,4.31,4.31,4.31,0.16,3.7123,0.4754,1645083,7278140.0,1546663823.88,1546663823.88
2019-01-03,'600302,标准股份,4.31,4.41,4.29,4.33,4.35,-0.04,-0.9195,0.2521,872300,3777998.0,1491302255.24,1491302255.24
2019-01-02,'600302,标准股份,4.35,4.38,4.3,4.38,4.38,-0.03,-0.6849,0.2166,749400,3249159.0,1505142647.4,1505142647.4
2018-12-28,'600302,标准股份,4.38,4.43,4.27,4.4,4.39,-0.01,-0.2278,0.3821,1322273,5795004.0,1515522941.52,1515522941.52
2018-12-27,'600302,标准股份,4.39,4.55,4.39,4.51,4.47,-0.08,-1.7897,0.492,1702477,7567259.0,1518983039.56,1518983039.56
2018-12-26,'600302,标准股份,4.47,4.49,4.4,4.46,4.46,0.01,0.2242,0.3078,1065181,4747346.0,1546663823.88,1546663823.88
2018-12-25,'600302,标准股份,4.46,4.46,4.31,4.41,4.43,0.03,0.6772,0.5541,1917301,8375121.0,1543203725.84,1543203725.84
2018-12-24,'600302,标准股份,4.43,4.45,4.31,4.36,4.37,0.06,1.373,0.2855,987800,4365085.0,1532823431.72,1532823431.72
2018-12-21,'600302,标准股份,4.37,4.44,4.33,4.43,4.42,-0.05,-1.1312,0.2394,828400,3625142.0,1512062843.48,1512062843.48
2018-12-20,'600302,标准股份,4.42,4.45,4.35,4.42,4.42,0.0,0.0,0.349,1207700,5313055.0,1529363333.68,1529363333.68
2018-12-19,'600302,标准股份,4.42,4.46,4.36,4.37,4.4,0.02,0.4545,0.3382,1170300,5169697.0,1529363333.68,1529363333.68
