日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600533,栖霞建设,3.59,3.68,3.57,3.64,3.67,-0.08,-2.1798,1.3242,13904210,50386597.0,3769500000.0,3769500000.0
2019-04-25,'600533,栖霞建设,3.67,3.84,3.65,3.8,3.8,-0.13,-3.4211,1.3941,14638110,54986457.0,3853500000.0,3853500000.0
2019-04-24,'600533,栖霞建设,3.8,3.81,3.73,3.78,3.78,0.02,0.5291,1.1545,12122365,45829252.0,3990000000.0,3990000000.0
2019-04-23,'600533,栖霞建设,3.78,3.87,3.76,3.85,3.87,-0.09,-2.3256,1.2926,13572501,51657938.0,3969000000.0,3969000000.0
2019-04-22,'600533,栖霞建设,3.87,3.95,3.82,3.94,3.95,-0.08,-2.0253,1.7168,18026601,70202628.0,4063500000.0,4063500000.0
2019-04-19,'600533,栖霞建设,3.95,3.97,3.89,3.95,3.93,0.02,0.5089,1.6763,17600634,69312828.0,4147500000.0,4147500000.0
2019-04-18,'600533,栖霞建设,3.93,3.96,3.9,3.94,3.95,-0.02,-0.5063,2.1376,22444681,88265749.0,4126500000.0,4126500000.0
2019-04-17,'600533,栖霞建设,3.95,3.97,3.88,3.9,3.9,0.05,1.2821,2.1684,22768640,89483807.0,4147500000.0,4147500000.0
2019-04-16,'600533,栖霞建设,3.9,3.91,3.77,3.83,3.84,0.06,1.5625,1.8492,19416281,74490223.0,4095000000.0,4095000000.0
2019-04-15,'600533,栖霞建设,3.84,3.96,3.83,3.92,3.89,-0.05,-1.2853,2.2681,23814562,93276253.0,4032000000.0,4032000000.0
2019-04-12,'600533,栖霞建设,3.89,3.97,3.85,3.93,4.01,-0.12,-2.9925,2.9736,31222939,121856002.0,4084500000.0,4084500000.0
2019-04-11,'600533,栖霞建设,4.01,4.33,3.99,4.25,4.13,-0.12,-2.9056,5.9628,62609327,260727972.0,4210500000.0,4210500000.0
2019-04-10,'600533,栖霞建设,4.13,4.17,3.92,3.96,4.0,0.13,3.25,4.3607,45787633,184643149.0,4336500000.0,4336500000.0
2019-04-09,'600533,栖霞建设,4.0,4.0,3.9,3.96,3.95,0.05,1.2658,2.2313,23428190,92778046.0,4200000000.0,4200000000.0
