日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002340,格林美,4.98,5.04,4.96,4.98,4.99,-0.01,-0.2004,1.098,41744826,208696645.59,20671611843.5,18933922844.2
2019-04-25,'002340,格林美,4.99,5.26,4.99,5.26,5.27,-0.28,-5.3131,2.0206,76823990,393001033.08,20713121104.3,18971942769.6
2019-04-24,'002340,格林美,5.27,5.29,5.16,5.2,5.21,0.06,1.1516,1.1238,42726720,223559436.27,21875380404.7,20036500680.5
2019-04-23,'002340,格林美,5.21,5.36,5.18,5.34,5.37,-0.16,-2.9795,1.905,72427254,380578893.53,21626324840.3,19808381128.2
2019-04-22,'002340,格林美,5.37,5.57,5.34,5.55,5.53,-0.16,-2.8933,2.289,87027031,472797823.83,22290473012.0,20416699934.4
2019-04-19,'002340,格林美,5.53,5.65,5.31,5.39,5.41,0.12,2.2181,3.4564,131412221,721692415.36,22954621183.7,21025018740.7
2019-04-18,'002340,格林美,5.41,5.61,5.38,5.6,5.59,-0.18,-3.22,2.8325,107690831,588917636.62,22456510054.9,20568779636.0
2019-04-17,'002340,格林美,5.59,5.65,5.31,5.33,5.33,0.26,4.878,4.3984,167226463,916380838.24,23203676748.1,21253138293.0
2019-04-16,'002340,格林美,5.33,5.34,5.14,5.22,5.21,0.12,2.3033,1.7202,65402119,344395025.48,22124435969.1,20264620232.9
2019-04-15,'002340,格林美,5.21,5.43,5.18,5.38,5.31,-0.1,-1.8832,1.6256,61804088,329199842.68,21626324840.3,19808381128.2
2019-04-12,'002340,格林美,5.31,5.33,5.25,5.3,5.33,-0.02,-0.3752,1.2767,48539390,256755961.32,22041417447.6,20188580382.1
2019-04-11,'002340,格林美,5.33,5.51,5.3,5.41,5.43,-0.1,-1.8416,2.1424,81453277,440256906.61,22124435969.1,20264620232.9
2019-04-10,'002340,格林美,5.43,5.49,5.36,5.48,5.53,-0.1,-1.8083,2.1524,81833425,443908982.94,22539528576.4,20644819486.8
2019-04-09,'002340,格林美,5.53,5.69,5.46,5.68,5.64,-0.11,-1.9504,3.1383,119316851,660762356.18,22954621183.7,21025018740.7
2019-04-08,'002340,格林美,5.64,5.67,5.41,5.48,5.4,0.24,4.4444,5.7074,216995732,1206627363.03,23411223051.7,21443237920.0
2019-04-04,'002340,格林美,5.4,5.48,5.36,5.36,5.32,0.08,1.5038,3.6116,137312515,744052065.51,22415000794.2,20530759710.6
2019-04-03,'002340,格林美,5.32,5.35,5.25,5.31,5.36,-0.04,-0.7463,2.5032,95172719,504723481.63,22082926708.4,20226600307.5
2019-04-02,'002340,格林美,5.36,5.46,5.22,5.32,5.3,0.06,1.1321,4.4501,169190921,897822741.87,22248963751.3,20378680009.0
2019-04-01,'002340,格林美,5.3,5.31,5.01,5.04,5.04,0.26,5.1587,3.9198,149029462,775723569.42,21999908186.9,20150560456.7
2019-03-29,'002340,格林美,5.04,5.04,4.9,4.95,4.91,0.13,2.6477,1.6168,61470072,306776627.25,20920667407.9,19162042396.6
2019-03-28,'002340,格林美,4.91,5.04,4.91,5.0,5.02,-0.11,-2.1912,1.3011,49469026,245647389.47,20381047018.4,18667783366.5
2019-03-27,'002340,格林美,5.02,5.11,4.94,5.08,5.04,-0.02,-0.3968,1.5738,59834430,299380356.01,20837648886.5,19086002545.8
2019-03-26,'002340,格林美,5.04,5.3,5.04,5.28,5.26,-0.22,-4.1825,2.4173,91905493,471428670.86,20920667407.9,19162042396.6
2019-03-25,'002340,格林美,5.26,5.38,5.12,5.19,5.2,0.06,1.1538,3.6379,138312516,730921045.39,21833871144.0,19998480755.1
2019-03-22,'002340,格林美,5.2,5.25,5.11,5.23,5.23,-0.03,-0.5736,1.8677,71009460,367284850.99,21584815579.6,19770361202.8
2019-03-21,'002340,格林美,5.23,5.32,5.15,5.19,5.15,0.08,1.5534,3.0267,115075101,601097066.68,21709343361.8,19884420979.0
2019-03-20,'002340,格林美,5.15,5.23,5.07,5.19,5.2,-0.05,-0.9615,1.7105,65033176,334742060.48,21377269276.0,19580261575.8
