日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002397,梦洁股份,5.52,5.63,5.47,5.6,5.6,-0.08,-1.4286,0.3931,3000545,16665599.94,4304301475.2,4213221475.2
2019-04-25,'002397,梦洁股份,5.6,5.86,5.59,5.86,5.84,-0.24,-4.1096,0.5337,4073783,23375375.23,4366682656.0,4274282656.0
2019-04-24,'002397,梦洁股份,5.84,5.92,5.72,5.85,5.85,-0.01,-0.1709,0.6212,4741033,27491695.5,4553826198.4,4457466198.4
2019-04-23,'002397,梦洁股份,5.85,5.98,5.82,5.97,5.94,-0.09,-1.5152,0.5076,3874657,22880713.06,4561623846.0,4465098846.0
2019-04-22,'002397,梦洁股份,5.94,6.08,5.9,6.03,6.02,-0.08,-1.3289,0.7238,5524245,32968275.83,4631802674.4,4533792674.4
2019-04-19,'002397,梦洁股份,6.02,6.15,5.94,6.14,6.12,-0.1,-1.634,0.6417,4898203,29515888.82,4694183855.2,4594853855.2
2019-04-18,'002397,梦洁股份,6.12,6.2,6.03,6.12,6.12,0.0,0.0,0.5715,4361903,26635194.42,4772160331.2,4671180331.2
2019-04-17,'002397,梦洁股份,6.12,6.25,6.08,6.25,6.23,-0.11,-1.7657,0.685,5228100,32101441.0,4772160331.2,4671180331.2
2019-04-16,'002397,梦洁股份,6.23,6.29,6.0,6.02,6.1,0.13,2.1311,0.7235,5522394,33909233.52,4857934454.8,4755139454.8
2019-04-15,'002397,梦洁股份,6.1,6.44,6.09,6.15,6.12,-0.02,-0.3268,1.0824,8261800,51809583.19,4756565036.0,4655915036.0
2019-04-12,'002397,梦洁股份,6.12,6.18,5.92,6.06,6.01,0.11,1.8303,1.2139,9265540,55898739.27,4772160331.2,4671180331.2
2019-04-11,'002397,梦洁股份,6.01,6.27,5.98,6.2,6.2,-0.19,-3.0645,0.8819,6731282,40830643.42,4686386207.6,4587221207.6
2019-04-10,'002397,梦洁股份,6.2,6.27,6.05,6.1,6.08,0.12,1.9737,1.0363,7909594,48954819.51,4834541512.0,4732241512.0
2019-04-09,'002397,梦洁股份,6.08,6.12,5.81,5.91,5.89,0.19,3.2258,1.3308,10157240,60845787.18,4740969740.8,4640649740.8
2019-04-08,'002397,梦洁股份,5.89,5.95,5.66,5.7,5.71,0.18,3.1524,1.2125,9254908,53943191.7,4592814436.4,4495629436.4
2019-04-04,'002397,梦洁股份,5.71,5.78,5.67,5.71,5.72,-0.01,-0.1748,0.5486,4186918,23907422.64,4452456779.6,4358241779.6
2019-04-03,'002397,梦洁股份,5.72,5.77,5.63,5.63,5.66,0.06,1.0601,0.7144,5453012,31123725.88,4460254427.2,4365874427.2
