日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600255,梦舟股份,2.22,2.36,2.21,2.29,2.46,-0.24,-9.7561,5.2056,92118738,207641404.0,3928497692.1,3928497692.1
2019-04-25,'600255,梦舟股份,2.46,2.63,2.45,2.61,2.61,-0.15,-5.7471,2.3441,41481300,105087828.0,4353200145.3,4353200145.3
2019-04-24,'600255,梦舟股份,2.61,2.61,2.52,2.6,2.59,0.02,0.7722,2.0115,35596052,91327865.0,4618639178.55,4618639178.55
2019-04-23,'600255,梦舟股份,2.59,2.69,2.58,2.68,2.67,-0.08,-2.9963,2.2879,40487381,105787261.0,4583247307.45,4583247307.45
2019-04-22,'600255,梦舟股份,2.67,2.78,2.66,2.76,2.74,-0.07,-2.5547,2.5427,44995950,122150122.0,4724814791.85,4724814791.85
2019-04-19,'600255,梦舟股份,2.74,2.74,2.65,2.67,2.69,0.05,1.8587,2.5698,45474205,123004568.0,4848686340.7,4848686340.7
2019-04-18,'600255,梦舟股份,2.69,2.76,2.68,2.69,2.7,-0.01,-0.3704,2.6768,47369222,128695030.0,4760206662.95,4760206662.95
2019-04-17,'600255,梦舟股份,2.7,2.74,2.66,2.71,2.7,0.0,0.0,3.3654,59554059,160895745.0,4777902598.5,4777902598.5
2019-04-16,'600255,梦舟股份,2.7,2.7,2.58,2.59,2.61,0.09,3.4483,3.847,68076730,181263111.0,4777902598.5,4777902598.5
2019-04-15,'600255,梦舟股份,2.61,2.71,2.59,2.59,2.56,0.05,1.9531,3.8335,67837805,179868294.0,4618639178.55,4618639178.55
2019-04-12,'600255,梦舟股份,2.56,2.6,2.53,2.6,2.6,-0.04,-1.5385,1.8029,31904529,81766179.0,4530159500.8,4530159500.8
2019-04-11,'600255,梦舟股份,2.6,2.68,2.58,2.66,2.67,-0.07,-2.6217,2.211,39126502,102813959.0,4600943243.0,4600943243.0
2019-04-10,'600255,梦舟股份,2.67,2.69,2.57,2.61,2.65,0.02,0.7547,2.9535,52265002,137918647.0,4724814791.85,4724814791.85
2019-04-09,'600255,梦舟股份,2.65,2.67,2.61,2.67,2.67,-0.02,-0.7491,2.0102,35572946,93545731.0,4689422920.75,4689422920.75
2019-04-08,'600255,梦舟股份,2.67,2.73,2.6,2.65,2.62,0.05,1.9084,4.4001,77863316,207619849.0,4724814791.85,4724814791.85
2019-04-04,'600255,梦舟股份,2.62,2.66,2.59,2.62,2.62,0.0,0.0,2.6828,47475141,124701826.0,4636335114.1,4636335114.1
2019-04-03,'600255,梦舟股份,2.62,2.64,2.56,2.59,2.62,0.0,0.0,2.5763,45590865,118629030.0,4636335114.1,4636335114.1
2019-04-02,'600255,梦舟股份,2.62,2.68,2.56,2.61,2.59,0.03,1.1583,3.5077,62071548,161645429.0,4636335114.1,4636335114.1
2019-04-01,'600255,梦舟股份,2.59,2.62,2.49,2.5,2.46,0.13,5.2846,3.5411,62663134,161124161.0,4583247307.45,4583247307.45
2019-03-29,'600255,梦舟股份,2.46,2.47,2.32,2.33,2.39,0.07,2.9289,2.6517,46923433,112714624.0,4353200145.3,4353200145.3
2019-03-28,'600255,梦舟股份,2.39,2.48,2.38,2.47,2.47,-0.08,-3.2389,1.8972,33571870,81547596.0,4229328596.45,4229328596.45
2019-03-27,'600255,梦舟股份,2.47,2.47,2.37,2.44,2.44,0.03,1.2295,2.3362,41340844,100355286.0,4370896080.85,4370896080.85
2019-03-26,'600255,梦舟股份,2.44,2.6,2.41,2.57,2.56,-0.12,-4.6875,2.8421,50292900,125243768.0,4317808274.2,4317808274.2
