日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300641,正丹股份,5.77,5.9,5.76,5.88,5.92,-0.15,-2.5338,1.1004,2457962,14339453.22,2824992000.0,1288902600.0
2019-04-25,'300641,正丹股份,5.92,6.24,5.87,6.2,6.19,-0.27,-4.3619,1.4272,3188172,19313367.37,2898432000.0,1322409600.0
2019-04-24,'300641,正丹股份,6.19,6.19,6.07,6.1,6.11,0.08,1.3093,1.0201,2278786,13980626.08,3030624000.0,1382722200.0
2019-04-23,'300641,正丹股份,6.11,6.28,6.06,6.27,6.27,-0.16,-2.5518,1.3885,3101537,19116866.4,2991456000.0,1364851800.0
2019-04-22,'300641,正丹股份,6.27,6.45,6.26,6.45,6.41,-0.14,-2.1841,1.2759,2850060,18049140.9,3069792000.0,1400592600.0
2019-04-19,'300641,正丹股份,6.41,6.42,6.24,6.33,6.34,0.07,1.1041,1.2225,2730898,17274300.62,3138336000.0,1431865800.0
2019-04-18,'300641,正丹股份,6.34,6.47,6.3,6.41,6.41,-0.07,-1.092,1.3708,3062170,19594019.2,3104064000.0,1416229200.0
2019-04-17,'300641,正丹股份,6.41,6.44,6.34,6.38,6.38,0.03,0.4702,1.7085,3816357,24392560.23,3138336000.0,1431865800.0
2019-04-16,'300641,正丹股份,6.38,6.38,6.1,6.17,6.19,0.19,3.0695,1.6678,3725619,23280926.88,3123648000.0,1425164400.0
2019-04-15,'300641,正丹股份,6.19,6.42,6.19,6.36,6.24,-0.05,-0.8013,1.4569,3254429,20627937.9,3030624000.0,1382722200.0
2019-04-12,'300641,正丹股份,6.24,6.34,6.2,6.21,6.21,0.03,0.4831,1.1732,2620586,16396162.8,3055104000.0,1393891200.0
2019-04-11,'300641,正丹股份,6.21,6.4,6.21,6.34,6.35,-0.14,-2.2047,1.7023,3802650,24022858.44,3040416000.0,1387189800.0
2019-04-10,'300641,正丹股份,6.35,6.4,6.23,6.25,6.38,-0.03,-0.4702,2.2641,5057461,31883480.43,3108960000.0,1418463000.0
2019-04-09,'300641,正丹股份,6.38,6.55,6.3,6.46,6.6,-0.22,-3.3333,3.4114,7620341,48976648.86,3123648000.0,1425164400.0
2019-04-08,'300641,正丹股份,6.6,6.96,6.48,6.75,6.4,0.2,3.125,5.7801,12911483,86463075.13,3231360000.0,1474308000.0
2019-04-04,'300641,正丹股份,6.4,6.44,6.31,6.37,6.33,0.07,1.1058,2.8109,6279000,40003479.9,3133440000.0,1429632000.0
2019-04-03,'300641,正丹股份,6.33,6.42,6.21,6.26,6.28,0.05,0.7962,2.7437,6128973,38697634.16,3099168000.0,1413995400.0
2019-04-02,'300641,正丹股份,6.28,6.36,6.25,6.32,6.37,-0.09,-1.4129,3.1775,7097937,44680904.26,3074688000.0,1402826400.0
2019-04-01,'300641,正丹股份,6.37,6.45,5.97,5.97,5.96,0.41,6.8792,4.4563,9954450,62062065.16,3118752000.0,1422930600.0
2019-03-29,'300641,正丹股份,5.96,5.96,5.72,5.78,5.77,0.19,3.2929,1.4683,3279985,19282194.38,2918016000.0,1331344800.0
2019-03-28,'300641,正丹股份,5.77,5.93,5.77,5.88,5.88,-0.11,-1.8707,1.1302,2524541,14782285.51,2824992000.0,1288902600.0
2019-03-27,'300641,正丹股份,5.88,5.91,5.77,5.83,5.82,0.06,1.0309,1.3875,3099471,18116135.1,2878848000.0,1313474400.0
2019-03-26,'300641,正丹股份,5.82,6.08,5.82,6.08,6.01,-0.19,-3.1614,1.9323,4316338,25703931.04,2849472000.0,1300071600.0
2019-03-25,'300641,正丹股份,6.01,6.11,5.93,5.97,6.1,-0.09,-1.4754,2.2576,5042966,30522842.89,2942496000.0,1342513800.0
2019-03-22,'300641,正丹股份,6.1,6.14,5.99,6.13,6.12,-0.02,-0.3268,2.5059,5597680,33991122.05,2986560000.0,1362618000.0
2019-03-21,'300641,正丹股份,6.12,6.17,6.05,6.13,6.12,0.0,0.0,2.7793,6208300,38005423.71,2996352000.0,1367085600.0
2019-03-20,'300641,正丹股份,6.12,6.15,5.92,6.09,6.08,0.04,0.6579,2.7382,6116697,37006809.75,2996352000.0,1367085600.0
2019-03-19,'300641,正丹股份,6.08,6.21,6.01,6.12,6.04,0.04,0.6623,2.1151,4724600,28765079.24,2976768000.0,1358150400.0
2019-03-18,'300641,正丹股份,6.04,6.05,5.91,5.92,5.91,0.13,2.1997,1.8621,4159520,24995200.85,2957184000.0,1349215200.0
2019-03-15,'300641,正丹股份,5.91,5.94,5.85,5.88,5.81,0.1,1.7212,1.5368,3433010,20254868.0,2893536000.0,1320175800.0
2019-03-14,'300641,正丹股份,5.81,6.05,5.75,5.92,6.0,-0.19,-3.1667,1.8362,4101750,24047479.7,2844576000.0,1297837800.0
2019-03-13,'300641,正丹股份,6.0,6.15,5.96,6.13,6.09,-0.09,-1.4778,2.6388,5894575,35676358.75,2937600000.0,1340280000.0
2019-03-12,'300641,正丹股份,6.09,6.15,6.02,6.05,6.04,0.05,0.8278,3.8824,8672406,52803414.75,2981664000.0,1360384200.0
2019-03-11,'300641,正丹股份,6.04,6.04,5.75,5.75,5.73,0.31,5.4101,2.6808,5988319,35436933.05,2957184000.0,1349215200.0
2019-03-08,'300641,正丹股份,5.73,6.08,5.73,6.03,6.13,-0.4,-6.5253,3.2082,7166494,42555843.08,2805408000.0,1279967400.0
2019-03-07,'300641,正丹股份,6.13,6.22,5.98,6.02,6.05,0.08,1.3223,3.4789,7771080,47376940.15,3001248000.0,1369319400.0
2019-03-06,'300641,正丹股份,6.05,6.06,5.9,5.94,5.96,0.09,1.5101,3.3588,7502924,44917518.55,2962080000.0,1351449000.0
2019-03-05,'300641,正丹股份,5.96,5.96,5.76,5.8,5.82,0.14,2.4055,2.9372,6561143,38504689.47,2918016000.0,1331344800.0
2019-03-04,'300641,正丹股份,5.82,5.94,5.76,5.8,5.75,0.07,1.2174,3.2163,7184559,41949895.46,2849472000.0,1300071600.0
2019-03-01,'300641,正丹股份,5.75,5.78,5.7,5.76,5.77,-0.02,-0.3466,1.2688,2834320,16254728.3,2815200000.0,1284435000.0
2019-02-28,'300641,正丹股份,5.77,5.79,5.7,5.73,5.74,0.03,0.5226,1.6391,3661530,21029661.5,2824992000.0,1288902600.0
2019-02-27,'300641,正丹股份,5.74,5.85,5.68,5.7,5.72,0.02,0.3497,2.9077,6495113,37521151.86,2810304000.0,1282201200.0
2019-02-26,'300641,正丹股份,5.72,5.84,5.68,5.84,5.84,-0.12,-2.0548,3.6391,8128976,46867345.71,2800512000.0,1277733600.0
2019-02-25,'300641,正丹股份,5.84,5.84,5.6,5.64,5.61,0.23,4.0998,4.745,10599465,60632500.35,2859264000.0,1304539200.0
2019-02-22,'300641,正丹股份,5.61,5.63,5.46,5.5,5.52,0.09,1.6304,2.9273,6538979,36504271.54,2746656000.0,1253161800.0
2019-02-21,'300641,正丹股份,5.52,5.68,5.51,5.62,5.68,-0.16,-2.8169,3.925,8767684,49081388.15,2702592000.0,1233057600.0
