日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'601877,正泰电器,24.9,26.6,24.57,26.55,27.09,-2.19,-8.0842,1.9341,33599626,849783091.0,53565873908.4,43255879110.0
2019-04-25,'601877,正泰电器,27.09,27.59,26.88,27.47,27.57,-0.48,-1.741,0.2775,4820869,131551653.0,58277089324.4,47060311851.0
2019-04-24,'601877,正泰电器,27.57,27.62,26.98,27.3,27.09,0.48,1.7719,0.4195,7287515,199298259.0,59309684484.1,47894160123.0
2019-04-23,'601877,正泰电器,27.09,27.69,26.93,27.68,27.6,-0.51,-1.8478,0.5661,9833659,268557378.0,58277089324.4,47060311851.0
2019-04-22,'601877,正泰电器,27.6,28.59,27.35,28.49,28.28,-0.68,-2.4045,0.6042,10495937,291773973.0,59374221681.6,47946275640.0
2019-04-19,'601877,正泰电器,28.28,28.35,27.71,27.9,27.8,0.48,1.7266,0.3946,6854371,192479679.0,60837064824.5,49127560692.0
2019-04-18,'601877,正泰电器,27.8,28.4,27.52,28.24,28.17,-0.37,-1.3135,0.6596,11458253,318523069.0,59804469664.8,48293712420.0
2019-04-17,'601877,正泰电器,28.17,28.84,28.15,28.4,28.36,-0.19,-0.67,0.5208,9047119,256911244.0,60600428433.7,48936470463.0
2019-04-16,'601877,正泰电器,28.36,28.47,27.45,27.8,27.8,0.56,2.0144,0.5193,9021157,253084286.0,61013945513.8,49266535404.0
2019-04-15,'601877,正泰电器,27.8,29.08,27.69,28.2,27.97,-0.17,-0.6078,0.7729,13427027,381763304.0,59809156744.8,48293712420.0
2019-04-12,'601877,正泰电器,27.97,28.38,27.66,28.15,28.2,-0.23,-0.8156,0.5731,9956660,279507216.0,60174896192.5,48589033683.0
2019-04-11,'601877,正泰电器,28.2,28.98,28.19,28.73,28.73,-0.53,-1.8448,0.5329,9258053,263772609.0,60669720151.2,48988585980.0
2019-04-10,'601877,正泰电器,28.73,29.15,28.37,29.0,29.19,-0.46,-1.5759,0.6889,11968284,343378420.0,61809966664.7,49909293447.0
2019-04-09,'601877,正泰电器,29.19,29.48,27.77,27.79,27.89,1.3,4.6612,1.2423,21580797,625099655.0,62799614582.0,50708398041.0
2019-04-08,'601877,正泰电器,27.89,28.68,27.75,28.16,28.12,-0.23,-0.8179,0.7591,13186539,371440183.0,60002783511.2,48450058971.0
