日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300653,正海生物,55.6,57.3,51.73,52.0,53.0,2.6,4.9057,8.2287,3561363,195893583.41,4448000000.0,2406368000.0
2019-04-25,'300653,正海生物,53.0,53.0,50.52,50.69,50.69,2.31,4.5571,5.1612,2233786,116812923.21,4240000000.0,2293840000.0
2019-04-24,'300653,正海生物,50.69,50.98,50.0,50.51,50.51,0.18,0.3564,1.4683,635465,32043110.67,4055200000.0,2193863200.0
2019-04-23,'300653,正海生物,50.51,51.28,49.98,51.25,51.29,-0.78,-1.5208,1.4105,610480,30955904.6,4040800000.0,2186072800.0
2019-04-22,'300653,正海生物,51.29,52.15,50.94,51.86,51.78,-0.49,-0.9463,1.7055,738141,37875933.36,4103200000.0,2219831200.0
2019-04-19,'300653,正海生物,51.78,52.55,51.5,52.11,52.1,-0.32,-0.6142,1.5691,679100,35263960.5,4142400000.0,2241038400.0
2019-04-18,'300653,正海生物,52.1,52.47,51.8,52.12,52.14,-0.04,-0.0767,1.3175,570200,29737665.0,4168000000.0,2254888000.0
2019-04-17,'300653,正海生物,52.14,52.6,51.64,51.84,51.84,0.3,0.5787,1.8454,798710,41621759.58,4171200000.0,2256619200.0
2019-04-16,'300653,正海生物,51.84,51.88,50.64,51.4,51.31,0.53,1.0329,1.8914,818579,41938224.7,4147200000.0,2243635200.0
2019-04-15,'300653,正海生物,51.31,52.88,51.22,52.0,51.88,-0.57,-1.0987,2.1524,931543,48414246.57,4104800000.0,2220696800.0
2019-04-12,'300653,正海生物,51.88,53.8,51.66,53.8,53.08,-1.2,-2.2607,2.5242,1092460,57091231.0,4150400000.0,2245366400.0
2019-04-11,'300653,正海生物,53.08,55.5,53.0,54.99,54.99,-1.91,-3.4734,2.2981,994600,53390073.0,4246400000.0,2297302400.0
2019-04-10,'300653,正海生物,54.99,55.27,54.03,54.6,54.46,0.53,0.9732,2.3706,1025979,56195931.69,4399200000.0,2379967200.0
2019-04-09,'300653,正海生物,54.46,54.76,52.91,52.91,53.87,0.59,1.0952,2.0687,895319,48412755.62,4356800000.0,2357028800.0
2019-04-08,'300653,正海生物,53.87,55.39,53.5,55.24,55.13,-1.26,-2.2855,2.6266,1136800,61697222.04,4309600000.0,2331493600.0
2019-04-04,'300653,正海生物,55.13,55.77,54.6,55.41,55.49,-0.36,-0.6488,3.3908,1467517,80736166.64,4410400000.0,2386026400.0
2019-04-03,'300653,正海生物,55.49,55.95,54.77,55.2,55.25,0.24,0.4344,2.6295,1138026,63195949.34,4439200000.0,2401607200.0
2019-04-02,'300653,正海生物,55.25,57.08,54.9,56.9,56.49,-1.24,-2.1951,4.7633,2061574,114673127.76,4420000000.0,2391220000.0
2019-04-01,'300653,正海生物,56.49,57.0,54.51,56.33,55.21,1.28,2.3184,5.4377,2353441,131773540.2,4519200000.0,2444887200.0
2019-03-29,'300653,正海生物,55.21,56.03,53.03,56.03,56.0,-0.79,-1.4107,4.9658,2149204,117255514.11,4416800000.0,2389488800.0
2019-03-28,'300653,正海生物,56.0,57.3,55.7,56.0,56.14,-0.14,-0.2494,2.1844,945400,53376795.96,4480000000.0,2423680000.0
2019-03-27,'300653,正海生物,56.14,57.06,55.56,55.7,55.75,0.39,0.6996,2.1688,938650,52855356.65,4491200000.0,2429739200.0
2019-03-26,'300653,正海生物,55.75,57.48,55.47,57.28,57.16,-1.41,-2.4668,2.6089,1129140,63390411.36,4460000000.0,2412860000.0
2019-03-25,'300653,正海生物,57.16,58.59,57.11,57.53,58.32,-1.16,-1.989,2.9977,1297414,74858469.33,4572800000.0,2473884800.0
2019-03-22,'300653,正海生物,58.32,58.9,57.31,58.09,57.87,0.45,0.7776,2.5488,1103134,63871309.34,4665600000.0,2524089600.0
2019-03-21,'300653,正海生物,57.87,59.29,57.02,58.0,57.75,0.12,0.2078,3.9973,1730039,100482278.1,4629600000.0,2504613600.0
2019-03-20,'300653,正海生物,57.75,59.49,56.71,58.81,58.74,-0.99,-1.6854,3.4707,1502122,87207824.01,4620000000.0,2499420000.0
2019-03-19,'300653,正海生物,58.74,61.0,57.88,60.3,60.01,-1.27,-2.1163,3.8523,1667291,98465571.35,4699200000.0,2542267200.0
2019-03-18,'300653,正海生物,60.01,60.01,57.7,59.38,59.13,0.88,1.4882,5.9305,2566716,151481080.34,4800800000.0,2597232800.0
2019-03-15,'300653,正海生物,59.13,60.4,55.15,55.15,54.99,4.14,7.5286,7.9892,3457724,200411594.98,4730400000.0,2559146400.0
2019-03-14,'300653,正海生物,54.99,57.2,54.2,55.1,54.91,0.08,0.1457,4.6831,2026836,112809104.93,4399200000.0,2379967200.0
2019-03-13,'300653,正海生物,54.91,58.88,54.91,56.2,56.12,-1.21,-2.1561,5.7433,2485688,142081554.71,4392800000.0,2376504800.0
2019-03-12,'300653,正海生物,56.12,58.37,55.31,56.69,54.91,1.21,2.2036,5.1392,2224246,126483742.56,4489600000.0,2428873600.0
2019-03-11,'300653,正海生物,54.91,55.67,53.35,53.35,53.1,1.81,3.4087,4.2684,1847357,101004946.6,4392800000.0,2376504800.0
2019-03-08,'300653,正海生物,53.1,56.79,53.1,56.41,56.71,-3.61,-6.3657,4.0513,1753381,96960305.33,4248000000.0,2298168000.0
2019-03-07,'300653,正海生物,56.71,57.97,56.0,57.67,56.67,0.04,0.0706,4.2296,1830569,104263261.1,4536800000.0,2454408800.0
2019-03-06,'300653,正海生物,56.67,58.66,55.5,58.12,56.34,0.33,0.5857,4.1189,1782658,101694069.88,4533600000.0,2452677600.0
