日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000785,武汉中商,10.16,10.31,10.12,10.22,10.27,-0.11,-1.0711,1.7127,4300528,43833151.04,2552412451.68,2551111971.68
2019-04-25,'000785,武汉中商,10.27,10.78,10.27,10.71,10.71,-0.44,-4.1083,2.0027,5028710,52990402.0,2580046838.46,2578732278.46
2019-04-24,'000785,武汉中商,10.71,10.82,10.55,10.55,10.56,0.15,1.4205,1.5307,3843500,41091537.0,2690584385.58,2689213505.58
2019-04-23,'000785,武汉中商,10.56,10.72,10.47,10.6,10.63,-0.07,-0.6585,1.8485,4641392,49131295.26,2652901130.88,2651549450.88
2019-04-22,'000785,武汉中商,10.63,10.96,10.53,10.83,10.9,-0.27,-2.4771,3.0513,7661614,82087914.21,2670486649.74,2669126009.74
2019-04-19,'000785,武汉中商,10.9,11.5,10.72,10.73,10.78,0.12,1.1132,7.202,18083859,200769380.06,2738316508.2,2736921308.2
2019-04-18,'000785,武汉中商,10.78,10.97,10.74,10.96,10.9,-0.12,-1.1009,2.0178,5066548,54829215.88,2708169904.44,2706790064.44
2019-04-17,'000785,武汉中商,10.9,11.02,10.75,10.81,10.85,0.05,0.4608,2.2479,5644392,61518247.39,2738316508.2,2736921308.2
2019-04-16,'000785,武汉中商,10.85,10.9,10.53,10.9,11.04,-0.19,-1.721,3.037,7625597,81758070.59,2725755423.3,2724366623.3
2019-04-15,'000785,武汉中商,11.04,11.47,11.0,11.36,11.29,-0.25,-2.2143,2.4491,6149448,68891241.16,2773487545.92,2772074425.92
2019-04-12,'000785,武汉中商,11.29,11.33,11.01,11.03,11.12,0.17,1.5288,2.7029,6786910,76150259.97,2836292970.42,2834847850.42
2019-04-11,'000785,武汉中商,11.12,11.58,11.06,11.42,11.39,-0.27,-2.3705,3.5965,9030604,102197981.99,2793585281.76,2792161921.76
2019-04-10,'000785,武汉中商,11.39,11.39,10.76,10.98,10.99,0.4,3.6397,4.3593,10945908,122092811.27,2861415140.22,2859957220.22
2019-04-09,'000785,武汉中商,10.99,11.01,10.79,10.79,10.89,0.1,0.9183,1.8137,4554055,49761707.03,2760926461.02,2759519741.02
2019-04-08,'000785,武汉中商,10.89,11.25,10.8,11.15,11.16,-0.27,-2.4194,3.1169,7826223,86170338.15,2735804291.22,2734410371.22
2019-04-04,'000785,武汉中商,11.16,11.26,11.06,11.14,11.22,-0.06,-0.5348,4.0062,10059351,112126510.85,2803634149.68,2802205669.68
2019-04-03,'000785,武汉中商,11.22,11.39,10.84,10.84,10.95,0.27,2.4658,5.7595,14461685,161380687.07,2818707451.56,2817271291.56
2019-04-02,'000785,武汉中商,10.95,11.17,10.84,11.13,11.15,-0.2,-1.7937,4.8232,12110841,133105654.75,2750877593.1,2749475993.1
2019-04-01,'000785,武汉中商,11.15,11.21,10.91,11.07,11.02,0.13,1.1797,4.9683,12475036,138570791.86,2801121932.7,2799694732.7
2019-03-29,'000785,武汉中商,11.02,11.08,10.5,10.67,10.64,0.38,3.5714,4.9764,12495460,136251994.95,2768463111.96,2767052551.96
2019-03-28,'000785,武汉中商,10.64,11.07,10.28,10.35,10.45,0.19,1.8182,3.6622,9195600,98254075.0,2672998866.72,2671636946.72
