日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603776,永安行,23.86,24.97,23.67,24.82,25.12,-1.26,-5.0159,4.0031,3448114,83223110.0,3206784000.0,2055227746.3
2019-04-25,'603776,永安行,25.12,26.69,24.95,25.96,26.16,-1.04,-3.9755,4.0651,3501561,90909918.0,3376128000.0,2163760309.6
2019-04-24,'603776,永安行,26.16,26.3,25.11,25.44,25.48,0.68,2.6688,4.4831,3861633,100050146.0,3515904000.0,2253342742.8
2019-04-23,'603776,永安行,25.48,25.98,24.65,25.4,25.18,0.3,1.1914,3.0975,2668105,67265671.0,3424512000.0,2194769613.4
2019-04-22,'603776,永安行,25.18,25.94,25.18,25.71,25.83,-0.65,-2.5165,2.4172,2082120,52988518.0,3384192000.0,2168928526.9
2019-04-19,'603776,永安行,25.83,26.18,25.03,25.03,25.13,0.7,2.7855,3.3186,2858569,73446601.0,3471552000.0,2224917547.65
2019-04-18,'603776,永安行,25.13,25.68,25.0,25.56,25.56,-0.43,-1.6823,1.773,1527249,38524995.0,3377472000.0,2164621679.15
2019-04-17,'603776,永安行,25.56,25.8,25.17,25.39,25.34,0.22,0.8682,2.4404,2102120,53731889.0,3435264000.0,2201660569.8
2019-04-16,'603776,永安行,25.34,25.38,24.62,25.3,25.14,0.2,0.7955,2.5148,2166154,54106198.0,3405696000.0,2182710439.7
2019-04-15,'603776,永安行,25.14,26.1,25.02,25.49,25.2,-0.06,-0.2381,2.1475,1849759,47339684.0,3378816000.0,2165483048.7
2019-04-12,'603776,永安行,25.2,25.58,24.83,25.55,25.38,-0.18,-0.7092,1.9604,1688620,42550709.0,3386880000.0,2170651266.0
2019-04-11,'603776,永安行,25.38,26.64,25.37,26.5,26.07,-0.69,-2.6467,2.787,2400605,62363122.0,3411072000.0,2186155917.9
2019-04-10,'603776,永安行,26.07,26.37,25.73,25.81,26.2,-0.13,-0.4962,2.466,2124140,55261479.0,3503808000.0,2245590416.85
2019-04-09,'603776,永安行,26.2,26.2,24.75,25.24,25.27,0.93,3.6803,3.0085,2591400,66193967.0,3521280000.0,2256788221.0
2019-04-08,'603776,永安行,25.27,25.9,24.96,25.78,26.14,-0.87,-3.3282,3.3543,2889280,73491416.0,3396288000.0,2176680852.85
2019-04-04,'603776,永安行,26.14,26.68,25.87,26.41,26.46,-0.32,-1.2094,3.3952,2924505,76417735.0,3513216000.0,2251620003.7
2019-04-03,'603776,永安行,26.46,27.29,25.32,25.75,25.78,0.68,2.6377,5.5069,4743470,125263337.0,3556224000.0,2279183829.3
2019-04-02,'603776,永安行,25.78,26.37,25.61,26.0,25.73,0.05,0.1943,2.9648,2553820,66250137.0,3464832000.0,2220610699.9
2019-04-01,'603776,永安行,25.73,25.95,25.15,25.15,25.0,0.73,2.92,2.482,2137935,54867880.0,3458112000.0,2216303852.15
2019-03-29,'603776,永安行,25.0,25.18,24.16,24.6,24.45,0.55,2.2495,1.9232,1656599,41009768.0,3360000000.0,2153423875.0
2019-03-28,'603776,永安行,24.45,25.09,24.33,24.66,24.79,-0.34,-1.3715,1.3876,1195240,29465222.0,3286080000.0,2106048549.75
2019-03-27,'603776,永安行,24.79,25.4,24.45,25.4,25.12,-0.33,-1.3137,1.9697,1696680,41998022.0,3331776000.0,2135335114.45
2019-03-26,'603776,永安行,25.12,26.0,24.76,25.99,25.75,-0.63,-2.4466,2.6355,2270160,57326504.0,3376128000.0,2163760309.6
2019-03-25,'603776,永安行,25.75,26.46,25.6,26.0,26.69,-0.94,-3.5219,2.7142,2337900,60607062.0,3460800000.0,2218026591.25
2019-03-22,'603776,永安行,26.69,27.49,25.63,26.02,25.92,0.77,2.9707,4.1169,3546134,94012864.0,3587136000.0,2298995328.95
2019-03-21,'603776,永安行,25.92,26.46,25.24,25.58,25.37,0.55,2.1679,3.4456,2967959,76557234.0,3483648000.0,2232669873.6
2019-03-20,'603776,永安行,25.37,25.8,24.71,25.73,25.62,-0.25,-0.9758,1.9898,1713986,43254815.0,3409728000.0,2185294548.35
2019-03-19,'603776,永安行,25.62,25.99,25.23,25.58,25.52,0.1,0.3918,2.7799,2394553,61314620.0,3443328000.0,2206828787.1
2019-03-18,'603776,永安行,25.52,25.67,24.87,25.6,25.5,0.02,0.0784,2.8488,2453879,61889292.0,3429888000.0,2198215091.6
2019-03-15,'603776,永安行,25.5,25.96,24.8,25.8,26.34,-0.84,-3.1891,6.463,5567008,140435973.0,3427200000.0,2196492352.5
2019-03-14,'603776,永安行,26.34,27.25,25.78,26.35,25.91,0.43,1.6596,4.0851,3518784,92831529.0,3540096000.0,2268847394.7
2019-03-13,'603776,永安行,25.91,27.78,25.62,27.0,26.62,-0.71,-2.6672,5.7817,4980195,134331631.0,3482304000.0,2231808504.05
2019-03-12,'603776,永安行,26.62,27.28,26.0,26.64,26.49,0.13,0.4908,4.4011,3790933,101491696.0,3577728000.0,2292965742.1
