日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600157,永泰能源,2.22,2.27,2.18,2.21,2.23,-0.01,-0.4484,2.1042,261462254,581034080.0,27585265623.7,27585265623.7
2019-04-25,'600157,永泰能源,2.23,2.46,2.21,2.42,2.46,-0.23,-9.3496,4.0887,508054701,1182346130.0,27709523577.0,27709523577.0
2019-04-24,'600157,永泰能源,2.46,2.48,2.32,2.37,2.4,0.06,2.5,3.4614,430101608,1034970059.0,30567456502.0,30567456502.0
2019-04-23,'600157,永泰能源,2.4,2.53,2.37,2.39,2.43,-0.03,-1.2346,4.021,499641600,1222686849.0,29821908782.4,29821908782.4
2019-04-22,'600157,永泰能源,2.43,2.63,2.42,2.58,2.56,-0.13,-5.0781,6.1596,765377744,1910557340.0,30194682642.2,30194682642.2
2019-04-19,'600157,永泰能源,2.56,2.56,2.29,2.31,2.33,0.23,9.8712,7.5832,942269227,2315076992.0,31810036034.6,31810036034.6
2019-04-18,'600157,永泰能源,2.33,2.38,2.24,2.28,2.32,0.01,0.431,3.405,423103208,970803009.0,28952103109.6,28952103109.6
2019-04-17,'600157,永泰能源,2.32,2.4,2.2,2.22,2.22,0.1,4.5045,4.0291,500653218,1153500142.0,28827845156.3,28827845156.3
2019-04-16,'600157,永泰能源,2.22,2.23,2.13,2.19,2.21,0.01,0.4525,1.7518,217680636,475512598.0,27585265623.7,27585265623.7
2019-04-15,'600157,永泰能源,2.21,2.29,2.21,2.28,2.25,-0.04,-1.7778,1.6376,203483652,458643239.0,27461007670.5,27461007670.5
2019-04-12,'600157,永泰能源,2.25,2.28,2.22,2.22,2.23,0.02,0.8969,1.4793,183810882,413630274.0,27958039483.5,27958039483.5
2019-04-11,'600157,永泰能源,2.23,2.3,2.22,2.24,2.27,-0.04,-1.7621,1.7881,222187384,499931649.0,27709523577.0,27709523577.0
2019-04-10,'600157,永泰能源,2.27,2.33,2.22,2.25,2.27,0.0,0.0,2.5092,311789292,711388520.0,28206555390.0,28206555390.0
2019-04-09,'600157,永泰能源,2.27,2.28,2.22,2.26,2.27,0.0,0.0,1.8679,232101936,522123280.0,28206555390.0,28206555390.0
2019-04-08,'600157,永泰能源,2.27,2.37,2.24,2.32,2.33,-0.06,-2.5751,2.8558,354854737,816063623.0,28206555390.0,28206555390.0
2019-04-04,'600157,永泰能源,2.33,2.4,2.31,2.33,2.34,-0.01,-0.4274,2.3784,295533467,693294448.0,28952103109.6,28952103109.6
2019-04-03,'600157,永泰能源,2.34,2.42,2.3,2.4,2.37,-0.03,-1.2658,3.1017,385407645,903675959.0,29076361062.8,29076361062.8
2019-04-02,'600157,永泰能源,2.37,2.38,2.22,2.28,2.27,0.1,4.4053,4.382,544499102,1254502365.0,29449134922.6,29449134922.6
2019-04-01,'600157,永泰能源,2.27,2.29,2.18,2.2,2.18,0.09,4.1284,2.7226,338300656,760476609.0,28206555390.0,28206555390.0
