日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'603192,汇得科技,29.38,30.04,29.18,30.0,29.86,-0.48,-1.6075,5.8407,1557517,46202270.0,3133866676.46,783466676.46
2019-04-25,'603192,汇得科技,29.86,31.55,29.86,31.55,31.52,-1.66,-5.2665,9.3105,2482807,76056070.0,3185066676.62,796266676.62
2019-04-24,'603192,汇得科技,31.52,31.72,31.12,31.42,31.41,0.11,0.3502,4.9088,1309003,41150592.0,3362133343.84,840533343.84
2019-04-23,'603192,汇得科技,31.41,32.5,31.14,32.39,32.39,-0.98,-3.0256,9.12,2432000,77122721.0,3350400010.47,837600010.47
2019-04-22,'603192,汇得科技,32.39,33.99,32.35,33.99,34.9,-2.51,-7.192,15.8348,4222607,139237190.0,3454933344.13,863733344.13
2019-04-19,'603192,汇得科技,34.9,35.6,34.6,35.35,35.57,-0.67,-1.8836,8.0092,2135800,74760189.0,3722666678.3,930666678.3
2019-04-18,'603192,汇得科技,35.57,35.8,34.2,34.65,34.5,1.07,3.1014,14.1252,3766708,132505535.0,3794133345.19,948533345.19
2019-04-17,'603192,汇得科技,34.5,34.9,33.81,33.96,34.0,0.5,1.4706,8.208,2188809,75415026.0,3680000011.5,920000011.5
2019-04-16,'603192,汇得科技,34.0,34.04,32.35,33.71,33.87,0.13,0.3838,6.2217,1659119,55450990.0,3626666678.0,906666678.0
2019-04-15,'603192,汇得科技,33.87,34.57,33.77,34.04,33.7,0.17,0.5045,5.4026,1440693,49149475.0,3612800011.29,903200011.29
2019-04-12,'603192,汇得科技,33.7,33.87,33.39,33.39,33.52,0.18,0.537,4.0122,1069927,35956486.0,3594666677.9,898666677.9
2019-04-11,'603192,汇得科技,33.52,34.43,33.52,33.87,34.02,-0.5,-1.4697,5.3096,1415893,48040921.0,3575466677.84,893866677.84
2019-04-10,'603192,汇得科技,34.02,34.36,33.55,34.35,34.45,-0.43,-1.2482,7.3646,1963900,66499166.0,3628800011.34,907200011.34
2019-04-09,'603192,汇得科技,34.45,35.18,34.14,35.0,35.46,-1.01,-2.8483,10.3414,2757699,94996588.0,3674666678.15,918666678.15
2019-04-08,'603192,汇得科技,35.46,36.5,35.01,35.98,35.08,0.38,1.0832,16.1057,4294843,153638028.0,3782400011.82,945600011.82
2019-04-04,'603192,汇得科技,35.08,35.95,34.92,35.0,34.99,0.09,0.2572,12.5263,3340351,118032138.0,3741866678.36,935466678.36
2019-04-03,'603192,汇得科技,34.99,35.46,34.68,35.33,35.3,-0.31,-0.8782,11.1449,2971968,103959251.0,3732266678.33,933066678.33
2019-04-02,'603192,汇得科技,35.3,36.77,35.24,35.86,35.71,-0.41,-1.1481,19.3053,5148069,184404063.0,3765333345.1,941333345.1
2019-04-01,'603192,汇得科技,35.71,35.71,34.33,34.65,34.6,1.11,3.2081,20.4807,5461509,192584163.0,3809066678.57,952266678.57
2019-03-29,'603192,汇得科技,34.6,34.8,33.2,34.63,34.6,0.0,0.0,13.9399,3717300,126822695.0,3690666678.2,922666678.2
2019-03-28,'603192,汇得科技,34.6,35.7,34.44,34.6,34.99,-0.39,-1.1146,21.6188,5765007,202160852.0,3690666678.2,922666678.2
2019-03-27,'603192,汇得科技,34.99,35.14,32.61,33.36,33.2,1.79,5.3916,22.3968,5972488,205103154.0,3732266678.33,933066678.33
2019-03-26,'603192,汇得科技,33.2,33.8,33.15,33.63,33.35,-0.15,-0.4498,8.1916,2184416,73032970.0,3541333344.4,885333344.4
2019-03-25,'603192,汇得科技,33.35,33.89,33.2,33.59,34.16,-0.81,-2.3712,8.2028,2187402,73201941.0,3557333344.45,889333344.45
2019-03-22,'603192,汇得科技,34.16,34.64,33.25,33.29,33.32,0.84,2.521,13.2881,3543484,120217257.0,3643733344.72,910933344.72
2019-03-21,'603192,汇得科技,33.32,33.48,32.93,33.22,33.11,0.21,0.6342,8.0929,2158100,71852769.0,3554133344.44,888533344.44
2019-03-20,'603192,汇得科技,33.11,33.51,32.71,33.49,33.54,-0.43,-1.2821,6.4719,1725836,57110076.0,3531733344.37,882933344.37
2019-03-19,'603192,汇得科技,33.54,33.54,32.92,33.3,33.3,0.24,0.7207,8.405,2241322,74494363.0,3577600011.18,894400011.18
2019-03-18,'603192,汇得科技,33.3,33.37,32.2,32.38,32.29,1.01,3.1279,9.1787,2447650,80746364.0,3552000011.1,888000011.1
2019-03-15,'603192,汇得科技,32.29,32.67,31.91,32.25,32.1,0.19,0.5919,7.2727,1939375,62716488.0,3444266677.43,861066677.43
2019-03-14,'603192,汇得科技,32.1,33.54,31.8,33.2,33.27,-1.17,-3.5167,10.1861,2716292,88244864.0,3424000010.7,856000010.7
2019-03-13,'603192,汇得科技,33.27,34.72,32.66,34.65,34.82,-1.55,-4.4515,13.2564,3535048,120460700.0,3548800011.09,887200011.09
2019-03-12,'603192,汇得科技,34.82,35.21,33.79,33.89,33.84,0.98,2.896,21.1182,5631533,194661937.0,3714133344.94,928533344.94
2019-03-11,'603192,汇得科技,33.84,33.87,33.0,33.0,33.12,0.72,2.1739,11.0749,2953314,98779593.0,3609600011.28,902400011.28
2019-03-08,'603192,汇得科技,33.12,34.74,33.12,33.95,34.58,-1.46,-4.2221,19.5681,5218163,176439650.0,3532800011.04,883200011.04
2019-03-07,'603192,汇得科技,34.58,35.48,32.93,33.51,33.86,0.72,2.1264,27.0567,7215116,247692765.0,3688533344.86,922133344.86
2019-03-06,'603192,汇得科技,33.86,34.25,33.11,33.5,33.42,0.44,1.3166,18.1689,4845052,163367865.0,3611733344.62,902933344.62
