日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000586,汇源通信,11.16,11.56,10.62,10.75,10.88,0.28,2.5735,8.0431,15558663,174646229.5,2158790400.0,2158790400.0
2019-04-25,'000586,汇源通信,10.88,12.03,10.85,11.9,12.05,-1.17,-9.7095,8.941,17295538,197447520.8,2104627200.0,2104627200.0
2019-04-24,'000586,汇源通信,12.05,12.09,11.51,11.59,11.67,0.38,3.2562,7.1252,13783008,163896655.22,2330952000.0,2330952000.0
2019-04-23,'000586,汇源通信,11.67,12.15,11.38,12.04,12.01,-0.34,-2.831,7.3913,14297740,166941481.12,2257444800.0,2257444800.0
2019-04-22,'000586,汇源通信,12.01,12.91,11.77,12.78,12.86,-0.85,-6.6096,12.1734,23548231,293827775.24,2323214400.0,2323214400.0
2019-04-19,'000586,汇源通信,12.86,13.18,12.05,12.21,12.45,0.41,3.2932,16.1378,31216926,395883551.62,2487638400.0,2487638400.0
2019-04-18,'000586,汇源通信,12.45,12.62,11.69,11.85,11.9,0.55,4.6218,13.6341,26373819,322388199.56,2408328000.0,2408328000.0
2019-04-17,'000586,汇源通信,11.9,12.18,11.79,12.07,12.2,-0.3,-2.459,10.0353,19412227,231894763.69,2301936000.0,2301936000.0
2019-04-16,'000586,汇源通信,12.2,12.38,10.88,11.2,11.47,0.73,6.3644,13.7043,26509524,316005317.73,2359968000.0,2359968000.0
2019-04-15,'000586,汇源通信,11.47,12.19,11.41,11.55,11.5,-0.03,-0.2609,8.5032,16448590,193241772.94,2218756800.0,2218756800.0
2019-04-12,'000586,汇源通信,11.5,11.58,10.71,10.9,11.01,0.49,4.4505,8.3098,16074453,179388649.76,2224560000.0,2224560000.0
2019-04-11,'000586,汇源通信,11.01,11.6,11.0,11.49,11.71,-0.7,-5.9778,8.7181,16864232,189689623.06,2129774400.0,2129774400.0
2019-04-10,'000586,汇源通信,11.71,12.4,11.14,11.33,11.28,0.43,3.8121,15.8026,30568548,361350574.88,2265182400.0,2265182400.0
2019-04-09,'000586,汇源通信,11.28,11.28,10.7,10.77,10.82,0.46,4.2514,6.0812,11763473,130121022.6,2182003200.0,2182003200.0
2019-04-08,'000586,汇源通信,10.82,11.22,10.6,11.14,11.06,-0.24,-2.17,4.8361,9354901,102490205.08,2093020800.0,2093020800.0
2019-04-04,'000586,汇源通信,11.06,11.14,10.85,11.04,10.99,0.07,0.6369,5.1375,9937903,109291534.85,2139446400.0,2139446400.0
2019-04-03,'000586,汇源通信,10.99,11.06,10.6,10.75,10.8,0.19,1.7593,4.8446,9371300,102179763.97,2125905600.0,2125905600.0
2019-04-02,'000586,汇源通信,10.8,11.2,10.75,11.2,10.82,-0.02,-0.1848,6.0053,11616558,127922807.12,2089152000.0,2089152000.0
2019-04-01,'000586,汇源通信,10.82,11.11,10.69,10.78,10.6,0.22,2.0755,6.4432,12463694,135771741.86,2093020800.0,2093020800.0
2019-03-29,'000586,汇源通信,10.6,10.63,10.01,10.37,10.46,0.14,1.3384,4.2083,8140620,84721644.08,2050464000.0,2050464000.0
2019-03-28,'000586,汇源通信,10.46,10.85,10.28,10.34,10.45,0.01,0.0957,3.8991,7542512,80252278.4,2023382400.0,2023382400.0
2019-03-27,'000586,汇源通信,10.45,10.71,10.21,10.6,10.5,-0.05,-0.4762,3.1166,6028712,62872671.72,2021448000.0,2021448000.0
2019-03-26,'000586,汇源通信,10.5,11.36,10.3,11.26,11.27,-0.77,-6.8323,5.3837,10414302,112921870.65,2031120000.0,2031120000.0
2019-03-25,'000586,汇源通信,11.27,11.47,10.92,11.05,11.23,0.04,0.3562,4.5586,8818100,98968230.59,2180068800.0,2180068800.0
2019-03-22,'000586,汇源通信,11.23,11.46,11.01,11.39,11.4,-0.17,-1.4912,5.1389,9940743,111499100.59,2172331200.0,2172331200.0
2019-03-21,'000586,汇源通信,11.4,11.62,11.33,11.42,11.43,-0.03,-0.2625,5.9401,11490603,131907243.06,2205216000.0,2205216000.0
2019-03-20,'000586,汇源通信,11.43,11.51,11.02,11.31,11.27,0.16,1.4197,6.5979,12763071,144869951.34,2211019200.0,2211019200.0
2019-03-19,'000586,汇源通信,11.27,11.47,11.15,11.3,11.28,-0.01,-0.0887,4.7052,9101704,102638920.0,2180068800.0,2180068800.0
2019-03-18,'000586,汇源通信,11.28,11.28,10.7,10.96,10.87,0.41,3.7718,5.286,10225204,112413305.55,2182003200.0,2182003200.0
2019-03-15,'000586,汇源通信,10.87,10.99,10.7,10.87,10.76,0.11,1.0223,4.0498,7833904,85062313.16,2102692800.0,2102692800.0
2019-03-14,'000586,汇源通信,10.76,11.36,10.41,11.15,11.1,-0.34,-3.0631,4.9661,9606444,104405331.5,2081414400.0,2081414400.0
2019-03-13,'000586,汇源通信,11.1,11.93,11.01,11.93,11.94,-0.84,-7.0352,7.0364,13611294,156176550.19,2147184000.0,2147184000.0
2019-03-12,'000586,汇源通信,11.94,12.3,11.73,11.86,11.83,0.11,0.9298,9.0728,17550480,209279671.8,2309673600.0,2309673600.0
2019-03-11,'000586,汇源通信,11.83,11.84,11.17,11.4,11.57,0.26,2.2472,6.8317,13215247,154341253.6,2288395200.0,2288395200.0
2019-03-08,'000586,汇源通信,11.57,12.44,11.57,11.7,12.85,-1.28,-9.9611,9.8606,19074380,228803770.98,2238100800.0,2238100800.0
2019-03-07,'000586,汇源通信,12.85,13.43,11.8,12.05,12.21,0.64,5.2416,15.977,30905982,386700654.45,2485704000.0,2485704000.0
2019-03-06,'000586,汇源通信,12.21,12.55,11.93,12.27,12.32,-0.11,-0.8929,10.4714,20255967,245917375.16,2361902400.0,2361902400.0
2019-03-05,'000586,汇源通信,12.32,12.32,11.61,11.82,11.95,0.37,3.0962,12.1039,23413847,282090510.27,2383180800.0,2383180800.0
2019-03-04,'000586,汇源通信,11.95,12.22,11.67,11.7,11.64,0.31,2.6632,10.7184,20733659,248529251.35,2311608000.0,2311608000.0
2019-03-01,'000586,汇源通信,11.64,11.9,11.45,11.77,11.67,-0.03,-0.2571,5.0594,9787000,113480622.0,2251641600.0,2251641600.0
