ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'300589,½­Áú´¬Í§,12.97,13.5,12.82,13.37,13.56,-0.59,-4.351,5.1035,4490400,58661287.02,2630417166.0,1141198004.7
2019-04-25,'300589,½­Áú´¬Í§,13.56,14.24,13.56,14.03,13.82,-0.26,-1.8813,6.0986,5366047,75210607.86,2750073768.0,1193110635.6
2019-04-24,'300589,½­Áú´¬Í§,13.82,13.89,13.53,13.73,13.82,0.0,0.0,4.3044,3787342,52113060.43,2802803796.0,1215987388.2
2019-04-23,'300589,½­Áú´¬Í§,13.82,14.47,13.6,14.32,14.45,-0.63,-4.3599,7.0199,6176614,86074383.7,2802803796.0,1215987388.2
2019-04-22,'300589,½­Áú´¬Í§,14.45,15.23,14.43,15.17,15.17,-0.72,-4.7462,6.8756,6049640,89152131.9,2930572710.0,1271419519.5
2019-04-19,'300589,½­Áú´¬Í§,15.17,15.49,14.79,15.47,15.45,-0.28,-1.8123,7.7642,6831500,102821400.02,3076594326.0,1334770526.7
2019-04-18,'300589,½­Áú´¬Í§,15.45,16.0,15.2,15.27,15.27,0.18,1.1788,12.3547,10870608,169644398.16,3133380510.0,1359407029.5
2019-04-17,'300589,½­Áú´¬Í§,15.27,15.54,15.15,15.24,15.37,-0.1,-0.6506,8.2283,7239852,111069081.68,3096875106.0,1343569277.7
2019-04-16,'300589,½­Áú´¬Í§,15.37,15.4,14.53,14.53,14.71,0.66,4.4867,8.3697,7364270,110870701.0,3117155886.0,1352368028.7
2019-04-15,'300589,½­Áú´¬Í§,14.71,15.19,14.6,14.86,14.59,0.12,0.8225,5.5956,4923406,73385547.16,2983302738.0,1294296272.1
2019-04-12,'300589,½­Áú´¬Í§,14.59,15.04,14.4,15.0,14.92,-0.33,-2.2118,6.5207,5737428,83831581.84,2958965802.0,1283737770.9
2019-04-11,'300589,½­Áú´¬Í§,14.92,15.52,14.86,15.15,15.22,-0.3,-1.9711,6.2598,5507872,83573919.08,3025892376.0,1312773649.2
2019-04-10,'300589,½­Áú´¬Í§,15.22,15.57,15.05,15.2,15.4,-0.18,-1.1688,6.6334,5836586,89550329.34,3086734716.0,1339169902.2
2019-04-09,'300589,½­Áú´¬Í§,15.4,15.62,15.2,15.4,15.43,-0.03,-0.1944,6.7569,5945218,91634968.21,3123240120.0,1355007654.0
2019-04-08,'300589,½­Áú´¬Í§,15.43,15.99,15.2,15.74,15.55,-0.12,-0.7717,9.4229,8290963,128202435.08,3129324354.0,1357647279.3
2019-04-04,'300589,½­Áú´¬Í§,15.55,16.05,15.4,15.9,15.91,-0.36,-2.2627,11.3596,9995012,156548845.14,3153661290.0,1368205780.5
2019-04-03,'300589,½­Áú´¬Í§,15.91,16.16,15.2,15.47,15.6,0.31,1.9872,14.9106,13119447,203778945.48,3226672098.0,1399881284.1
2019-04-02,'300589,½­Áú´¬Í§,15.6,16.88,15.48,15.88,15.79,-0.19,-1.2033,20.4167,17964186,291163277.7,3163801680.0,1372605156.0
2019-04-01,'300589,½­Áú´¬Í§,15.79,16.42,14.89,14.9,15.19,0.6,3.95,18.1854,16000886,251107079.66,3202335162.0,1389322782.9
2019-03-29,'300589,½­Áú´¬Í§,15.19,15.5,14.54,14.7,14.4,0.79,5.4861,16.7931,14775824,222280862.44,3080650482.0,1336530276.9
2019-03-28,'300589,½­Áú´¬Í§,14.4,14.8,13.8,13.8,14.28,0.12,0.8403,10.6736,9391440,135161838.2,2920432320.0,1267020144.0
2019-03-27,'300589,½­Áú´¬Í§,14.28,14.29,13.51,13.88,13.9,0.38,2.7338,9.593,8440600,117680533.84,2896095384.0,1256461642.8
2019-03-26,'300589,½­Áú´¬Í§,13.9,14.87,13.76,14.71,15.0,-1.1,-7.3333,14.0478,12360314,175480870.48,2819028420.0,1223026389.0
2019-03-25,'300589,½­Áú´¬Í§,15.0,15.61,14.16,14.16,14.34,0.66,4.6025,20.5417,18074105,271076161.08,3042117000.0,1319812650.0
