ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-26,'002927,Ì©ÓÀ³¤Õ÷,29.3,30.8,29.3,30.8,31.16,-1.86,-5.9692,5.6683,2912170,86681725.0,3572842000.0,1505316800.0
2019-04-25,'002927,Ì©ÓÀ³¤Õ÷,31.16,33.1,31.16,32.58,32.68,-1.52,-4.6512,4.1526,2133430,68695742.36,3799650400.0,1600876160.0
2019-04-24,'002927,Ì©ÓÀ³¤Õ÷,32.68,32.82,31.98,31.98,31.83,0.85,2.6704,3.8254,1965313,63909553.97,3984999200.0,1678967680.0
2019-04-23,'002927,Ì©ÓÀ³¤Õ÷,31.83,32.88,31.83,32.87,32.96,-1.13,-3.4284,4.0947,2103683,67679821.34,3881350200.0,1635298080.0
2019-04-22,'002927,Ì©ÓÀ³¤Õ÷,32.96,33.94,32.9,33.2,33.23,-0.27,-0.8125,3.9667,2037910,68116247.4,4019142400.0,1693352960.0
2019-04-19,'002927,Ì©ÓÀ³¤Õ÷,33.23,33.55,32.35,33.2,33.61,-0.38,-1.1306,4.831,2481992,81644886.21,4052066200.0,1707224480.0
2019-04-18,'002927,Ì©ÓÀ³¤Õ÷,33.61,34.37,33.59,34.1,33.95,-0.34,-1.0015,4.4354,2278750,77532063.6,4098403400.0,1726747360.0
2019-04-17,'002927,Ì©ÓÀ³¤Õ÷,33.95,34.28,33.35,33.92,33.9,0.05,0.1475,5.5868,2870271,97147538.51,4139863000.0,1744215200.0
2019-04-16,'002927,Ì©ÓÀ³¤Õ÷,33.9,33.9,31.5,32.85,32.99,0.91,2.7584,5.9134,3038075,100610509.9,4133766000.0,1741646400.0
2019-04-15,'002927,Ì©ÓÀ³¤Õ÷,32.99,33.59,32.9,33.0,32.63,0.36,1.1033,3.7364,1919630,63783788.1,4022800600.0,1694894240.0
2019-04-12,'002927,Ì©ÓÀ³¤Õ÷,32.63,33.1,32.23,32.23,32.5,0.13,0.4,2.7956,1436268,46953505.14,3978902200.0,1676398880.0
2019-04-11,'002927,Ì©ÓÀ³¤Õ÷,32.5,33.89,32.5,33.85,33.73,-1.23,-3.6466,4.5143,2319290,76441944.8,3963050000.0,1669720000.0
2019-04-10,'002927,Ì©ÓÀ³¤Õ÷,33.73,34.39,33.38,34.39,34.41,-0.68,-1.9762,4.7894,2460609,82893868.96,4113036200.0,1732912480.0
2019-04-09,'002927,Ì©ÓÀ³¤Õ÷,34.41,34.58,33.82,34.47,34.26,0.15,0.4378,4.0091,2059728,70597941.28,4195955400.0,1767848160.0
2019-04-08,'002927,Ì©ÓÀ³¤Õ÷,34.26,35.32,33.6,34.95,34.9,-0.64,-1.8338,6.1528,3161053,108451217.0,4177664400.0,1760141760.0
2019-04-04,'002927,Ì©ÓÀ³¤Õ÷,34.9,35.85,34.82,35.85,35.52,-0.62,-1.7455,5.4465,2798194,98711988.46,4255706000.0,1793022400.0
2019-04-03,'002927,Ì©ÓÀ³¤Õ÷,35.52,36.0,34.71,34.82,35.37,0.15,0.4241,4.2908,2204423,78104729.71,4331308800.0,1824875520.0
2019-04-02,'002927,Ì©ÓÀ³¤Õ÷,35.37,36.19,35.07,35.33,35.25,0.12,0.3404,5.627,2890909,102956769.13,4313017800.0,1817169120.0
2019-04-01,'002927,Ì©ÓÀ³¤Õ÷,35.25,35.39,34.09,34.49,33.89,1.36,4.013,6.0343,3100173,108097632.62,4298385000.0,1811004000.0
2019-03-29,'002927,Ì©ÓÀ³¤Õ÷,33.89,34.05,32.61,32.88,33.43,0.46,1.376,5.3074,2726738,91328103.7,4132546600.0,1741132640.0
2019-03-28,'002927,Ì©ÓÀ³¤Õ÷,33.43,35.19,31.82,35.13,35.35,-1.92,-5.4314,6.9563,3573853,120447918.41,4076454200.0,1717499680.0
2019-03-27,'002927,Ì©ÓÀ³¤Õ÷,35.35,36.53,35.21,36.37,35.9,-0.55,-1.532,5.8292,2994820,107574177.44,4310579000.0,1816141600.0
2019-03-26,'002927,Ì©ÓÀ³¤Õ÷,35.9,36.54,35.35,35.8,35.54,0.36,1.0129,6.4821,3330255,119916047.19,4377646000.0,1844398400.0
2019-03-25,'002927,Ì©ÓÀ³¤Õ÷,35.54,36.14,35.11,35.47,36.21,-0.67,-1.8503,4.706,2417749,86317235.36,4333747600.0,1825903040.0
2019-03-22,'002927,Ì©ÓÀ³¤Õ÷,36.21,36.6,35.51,36.5,36.37,-0.16,-0.4399,5.6352,2895118,104245062.69,4415447400.0,1860324960.0
2019-03-21,'002927,Ì©ÓÀ³¤Õ÷,36.37,36.97,36.28,36.38,36.63,-0.26,-0.7098,6.5026,3340760,122204564.3,4434957800.0,1868545120.0
2019-03-20,'002927,Ì©ÓÀ³¤Õ÷,36.63,37.8,35.86,37.55,37.54,-0.91,-2.4241,7.7781,3996095,146523707.39,4466662200.0,1881902880.0
2019-03-19,'002927,Ì©ÓÀ³¤Õ÷,37.54,38.83,37.28,38.83,38.67,-1.13,-2.9222,10.1857,5233020,197463986.47,4577627600.0,1928655040.0
2019-03-18,'002927,Ì©ÓÀ³¤Õ÷,38.67,38.8,36.86,36.89,36.75,1.92,5.2245,11.8635,6094991,232373563.95,4715419800.0,1986709920.0
2019-03-15,'002927,Ì©ÓÀ³¤Õ÷,36.75,37.5,36.4,37.2,36.93,-0.18,-0.4874,6.7661,3476138,128755262.7,4481295000.0,1888068000.0
2019-03-14,'002927,Ì©ÓÀ³¤Õ÷,36.93,37.1,35.56,36.2,35.88,1.05,2.9264,8.323,4276044,155847234.26,4503244200.0,1897315680.0
2019-03-13,'002927,Ì©ÓÀ³¤Õ÷,35.88,37.95,34.77,37.68,38.03,-2.15,-5.6534,10.9083,5604247,205497471.13,4375207200.0,1843370880.0
2019-03-12,'002927,Ì©ÓÀ³¤Õ÷,38.03,39.38,37.41,38.12,38.08,-0.05,-0.1313,12.8507,6602153,253240334.28,4637378200.0,1953829280.0
2019-03-11,'002927,Ì©ÓÀ³¤Õ÷,38.08,38.58,36.01,36.01,36.9,1.18,3.1978,11.8173,6071264,229796554.53,4643475200.0,1956398080.0
2019-03-08,'002927,Ì©ÓÀ³¤Õ÷,36.9,40.45,36.9,39.7,41.0,-4.1,-10.0,17.2874,8881570,345958401.52,4499586000.0,1895774400.0
2019-03-07,'002927,Ì©ÓÀ³¤Õ÷,41.0,43.06,38.5,39.0,40.21,0.79,1.9647,25.8728,13292385,540017655.63,4999540000.0,2106416000.0
2019-03-06,'002927,Ì©ÓÀ³¤Õ÷,40.21,41.49,36.71,37.93,37.81,2.4,6.3475,26.8884,13814202,538018896.06,4903207400.0,2065828960.0
2019-03-05,'002927,Ì©ÓÀ³¤Õ÷,37.81,37.9,36.4,37.0,37.19,0.62,1.6671,17.6546,9070220,338471722.84,4610551400.0,1942526560.0
2019-03-04,'002927,Ì©ÓÀ³¤Õ÷,37.19,38.38,36.0,37.0,36.78,0.41,1.1147,25.5424,13122638,489144957.39,4534948600.0,1910673440.0
2019-03-01,'002927,Ì©ÓÀ³¤Õ÷,36.78,37.3,33.91,33.93,34.14,2.64,7.7329,25.6287,13167016,473668684.27,4484953200.0,1889609280.0
2019-02-28,'002927,Ì©ÓÀ³¤Õ÷,34.14,34.5,33.55,33.95,34.1,0.04,0.1173,7.9671,4093174,139132080.14,4163031600.0,1753976640.0
2019-02-27,'002927,Ì©ÓÀ³¤Õ÷,34.1,35.35,32.49,35.03,35.21,-1.11,-3.1525,16.088,8265381,281162505.26,4158154000.0,1751921600.0
2019-02-26,'002927,Ì©ÓÀ³¤Õ÷,35.21,36.48,34.77,35.31,36.76,-1.55,-4.2165,21.6489,11122314,394645798.05,4293507400.0,1808948960.0
2019-02-25,'002927,Ì©ÓÀ³¤Õ÷,36.76,37.3,34.98,35.28,34.98,1.78,5.0886,22.4068,11511727,416493345.97,4482514400.0,1888581760.0
