日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000897,*ST津滨,2.5,2.55,2.5,2.53,2.55,-0.05,-1.9608,1.0082,16304742,41040589.81,4043180585.0,4043180585.0
2019-04-25,'000897,*ST津滨,2.55,2.64,2.54,2.6,2.6,-0.05,-1.9231,1.4553,23535588,60929239.2,4124044196.7,4124044196.7
2019-04-24,'000897,*ST津滨,2.6,2.65,2.56,2.61,2.63,-0.03,-1.1407,1.5003,24263248,63005043.96,4204907808.4,4204907808.4
2019-04-23,'000897,*ST津滨,2.63,2.73,2.61,2.72,2.7,-0.07,-2.5926,1.7036,27552264,73049488.35,4253425975.42,4253425975.42
2019-04-22,'000897,*ST津滨,2.7,2.77,2.69,2.73,2.71,-0.01,-0.369,1.5292,24730686,67551422.69,4366635031.8,4366635031.8
2019-04-19,'000897,*ST津滨,2.71,2.75,2.65,2.72,2.73,-0.02,-0.7326,1.8364,29698816,80081432.14,4382807754.14,4382807754.14
2019-04-18,'000897,*ST津滨,2.73,2.82,2.73,2.82,2.83,-0.1,-3.5336,1.9423,31412731,87211933.84,4415153198.82,4415153198.82
2019-04-17,'000897,*ST津滨,2.83,2.89,2.77,2.8,2.81,0.02,0.7117,2.3344,37754301,106665752.95,4576880422.22,4576880422.22
2019-04-16,'000897,*ST津滨,2.81,2.85,2.73,2.77,2.81,0.0,0.0,2.9694,48023738,133770876.35,4544534977.54,4544534977.54
2019-04-15,'000897,*ST津滨,2.81,2.82,2.68,2.7,2.69,0.12,4.461,4.4404,71813421,200038194.81,4544534977.54,4544534977.54
2019-04-12,'000897,*ST津滨,2.69,2.73,2.6,2.62,2.6,0.09,3.4615,2.8788,46558581,124760793.46,4350462309.46,4350462309.46
2019-04-11,'000897,*ST津滨,2.6,2.64,2.6,2.63,2.64,-0.04,-1.5152,1.6332,26413204,69082295.15,4204907808.4,4204907808.4
2019-04-10,'000897,*ST津滨,2.64,2.65,2.59,2.61,2.62,0.02,0.7634,1.7128,27700524,72594580.82,4269598697.76,4269598697.76
2019-04-09,'000897,*ST津滨,2.62,2.63,2.56,2.59,2.59,0.03,1.1583,1.7453,28226219,73502218.81,4237253253.08,4237253253.08
2019-04-08,'000897,*ST津滨,2.59,2.66,2.55,2.65,2.63,-0.04,-1.5209,2.55,41240794,107049384.62,4188735086.06,4188735086.06
2019-04-04,'000897,*ST津滨,2.63,2.67,2.58,2.62,2.62,0.01,0.3817,2.4185,39113697,102773246.19,4253425975.42,4253425975.42
2019-04-03,'000897,*ST津滨,2.62,2.62,2.53,2.54,2.56,0.06,2.3438,2.4595,39777479,103100890.51,4237253253.08,4237253253.08
2019-04-02,'000897,*ST津滨,2.56,2.6,2.54,2.56,2.57,-0.01,-0.3891,2.8639,46316906,119021785.45,4140216919.04,4140216919.04
2019-04-01,'000897,*ST津滨,2.57,2.59,2.49,2.5,2.52,0.05,1.9841,3.7195,60154188,152886724.05,4156389641.38,4156389641.38
