日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'300334,津膜科技,8.34,8.54,8.31,8.42,8.49,-0.15,-1.7668,1.3382,3923799,33020761.85,2534711031.24,2445340433.58
2019-04-25,'300334,津膜科技,8.49,9.43,8.49,8.89,8.94,-0.45,-5.0336,2.0676,6062400,53700671.28,2580299359.14,2489321376.63
2019-04-24,'300334,津膜科技,8.94,8.98,8.77,8.87,8.73,0.21,2.4055,1.2359,3623674,32272261.2,2717064342.84,2621264205.78
2019-04-23,'300334,津膜科技,8.73,9.03,8.68,8.96,8.99,-0.26,-2.8921,1.4215,4167824,36812768.96,2653240683.78,2559690885.51
2019-04-22,'300334,津膜科技,8.99,9.29,8.95,9.22,9.2,-0.21,-2.2826,1.309,3838212,34928726.04,2732260452.14,2635924520.13
2019-04-19,'300334,津膜科技,9.2,9.22,9.01,9.08,9.12,0.08,0.8772,1.4495,4249950,38752891.0,2796084111.2,2697497840.4
2019-04-18,'300334,津膜科技,9.12,9.23,9.06,9.15,9.19,-0.07,-0.7617,1.1559,3389300,30953037.0,2771770336.32,2674041337.44
2019-04-17,'300334,津膜科技,9.19,9.27,9.02,9.08,9.1,0.09,0.989,1.4931,4377950,40190089.5,2793044889.34,2694565777.53
2019-04-16,'300334,津膜科技,9.1,9.11,8.75,8.83,8.86,0.24,2.7088,1.8008,5280181,47282533.68,2765691892.6,2668177211.7
2019-04-15,'300334,津膜科技,8.86,9.36,8.82,9.28,9.16,-0.3,-3.2751,2.3806,6980100,63691261.0,2692750567.96,2597807702.82
2019-04-12,'300334,津膜科技,9.16,9.22,9.04,9.08,9.14,0.02,0.2188,1.1061,3243300,29609942.0,2783927223.76,2685769588.92
2019-04-11,'300334,津膜科技,9.14,9.34,9.12,9.34,9.34,-0.2,-2.1413,2.1349,6259600,57655353.88,2777848780.04,2679905463.18
2019-04-10,'300334,津膜科技,9.34,9.57,9.19,9.56,9.79,-0.45,-4.5965,4.0666,11923574,111454692.48,2838633217.24,2738546720.58
2019-04-09,'300334,津膜科技,9.79,9.9,9.65,9.68,9.78,0.01,0.1022,2.6121,7658949,74943655.56,2975398200.94,2870489549.73
2019-04-08,'300334,津膜科技,9.78,9.82,9.42,9.65,9.6,0.18,1.875,3.3408,9795305,94273141.12,2972358979.08,2867557486.86
2019-04-04,'300334,津膜科技,9.6,9.83,9.6,9.81,9.8,-0.2,-2.0408,3.063,8980892,87066958.44,2917652985.6,2814780355.2
2019-04-03,'300334,津膜科技,9.8,9.86,9.63,9.78,9.9,-0.1,-1.0101,3.4446,10099770,98409394.08,2978437422.8,2873421612.6
2019-04-02,'300334,津膜科技,9.9,10.1,9.82,9.99,10.03,-0.13,-1.2961,4.9657,14559665,144541167.19,3008829641.4,2902742241.3
2019-04-01,'300334,津膜科技,10.03,10.19,9.81,10.19,9.96,0.07,0.7028,6.6701,19557100,195512709.1,3048339525.58,2940859058.61
2019-03-29,'300334,津膜科技,9.96,10.11,9.1,9.1,9.23,0.73,7.909,7.3675,21601831,207475126.02,3027064972.56,2920334618.52
2019-03-28,'300334,津膜科技,9.23,9.58,9.18,9.35,9.38,-0.15,-1.5991,4.4775,13128415,123407809.77,2805201776.78,2706294029.01
2019-03-27,'300334,津膜科技,9.38,9.63,9.12,9.6,9.53,-0.15,-1.574,4.7884,14039816,131715323.7,2850790104.68,2750274972.06
2019-03-26,'300334,津膜科技,9.53,10.29,9.37,10.01,10.19,-0.66,-6.4769,8.669,25417936,248901290.99,2896378432.58,2794255915.11
