日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000861,海印股份,2.78,2.85,2.77,2.85,2.85,-0.07,-2.4561,0.6594,13518298,37763117.44,6061506323.24,5698917003.1
2019-04-25,'000861,海印股份,2.85,2.98,2.85,2.98,2.98,-0.13,-4.3624,0.6363,13043143,38039518.53,6214134180.3,5842414913.25
2019-04-24,'000861,海印股份,2.98,3.0,2.95,2.99,2.97,0.01,0.3367,0.4784,9806386,29116896.56,6497585914.84,6108911032.1
2019-04-23,'000861,海印股份,2.97,3.03,2.97,3.03,3.03,-0.06,-1.9802,0.5894,12081685,36272702.9,6475781935.26,6088411330.65
2019-04-22,'000861,海印股份,3.03,3.09,3.02,3.09,3.08,-0.05,-1.6234,0.4253,8717611,26559153.74,6606605812.74,6211409539.35
2019-04-19,'000861,海印股份,3.08,3.1,3.04,3.04,3.06,0.02,0.6536,0.5911,12117125,37244261.53,6715625710.64,6313908046.6
2019-04-18,'000861,海印股份,3.06,3.08,3.04,3.08,3.09,-0.03,-0.9709,0.5401,11072641,33838987.64,6672017751.48,6272908643.7
2019-04-17,'000861,海印股份,3.09,3.09,3.0,3.02,3.04,0.05,1.6447,0.9859,20210652,61598265.82,6737429690.22,6334407748.05
2019-04-16,'000861,海印股份,3.04,3.05,2.95,3.02,3.02,0.02,0.6623,1.2379,25375557,75493174.53,6628409792.32,6231909240.8
2019-04-15,'000861,海印股份,3.02,3.1,3.01,3.1,3.06,-0.04,-1.3072,0.6046,12394370,38047923.4,6584801833.16,6190909837.9
2019-04-12,'000861,海印股份,3.06,3.11,3.04,3.08,3.09,-0.03,-0.9709,0.556,11398312,34980009.8,6672017751.48,6272908643.7
2019-04-11,'000861,海印股份,3.09,3.16,3.09,3.16,3.14,-0.05,-1.5924,0.5577,11432472,35663394.4,6737429690.22,6334407748.05
2019-04-10,'000861,海印股份,3.14,3.18,3.13,3.17,3.19,-0.05,-1.5674,0.8633,17697760,55747492.22,6846449588.12,6436906255.3
2019-04-09,'000861,海印股份,3.19,3.22,3.14,3.18,3.19,0.0,0.0,0.7985,16369875,52032616.67,6955469486.02,6539404762.55
2019-04-08,'000861,海印股份,3.19,3.26,3.13,3.24,3.21,-0.02,-0.6231,0.8149,16705503,53431801.54,6955469486.02,6539404762.55
2019-04-04,'000861,海印股份,3.21,3.31,3.17,3.27,3.28,-0.07,-2.1341,1.1215,22990240,74150538.02,6999077445.18,6580404165.45
2019-04-03,'000861,海印股份,3.28,3.29,3.2,3.21,3.24,0.04,1.2346,0.9982,20462714,66508352.45,7151705302.24,6723902075.6
2019-04-02,'000861,海印股份,3.24,3.32,3.18,3.18,3.19,0.05,1.5674,1.8307,37529046,122308873.74,7064489383.92,6641903269.8
2019-04-01,'000861,海印股份,3.19,3.24,3.11,3.17,3.15,0.04,1.2698,1.6236,33282483,105904682.32,6955450808.57,6539386085.1
2019-03-29,'000861,海印股份,3.15,3.28,2.97,2.98,2.99,0.16,5.3512,2.1835,44761498,140197463.52,6868235124.45,6457387513.5
2019-03-28,'000861,海印股份,2.99,3.03,2.96,2.98,2.99,0.0,0.0,0.5257,10776877,32180859.1,6519372387.97,6129393227.1
2019-03-27,'000861,海印股份,2.99,3.03,2.98,3.01,3.0,-0.01,-0.3333,0.3996,8191171,24538515.52,6519372387.97,6129393227.1
2019-03-26,'000861,海印股份,3.0,3.1,2.99,3.07,3.09,-0.09,-2.9126,0.7054,14460902,43749785.4,6541176309.0,6149892870.0
2019-03-25,'000861,海印股份,3.09,3.14,2.98,3.0,3.05,0.04,1.3115,1.2995,26639052,81708209.3,6737411598.27,6334389656.1
2019-03-22,'000861,海印股份,3.05,3.05,2.98,3.02,3.02,0.03,0.9934,0.7337,15040472,45437269.19,6650195914.15,6252391084.5
2019-03-21,'000861,海印股份,3.02,3.04,2.97,2.98,2.97,0.05,1.6835,0.8854,18149409,54683667.69,6584784151.06,6190892155.8
2019-03-20,'000861,海印股份,2.97,3.0,2.93,2.99,3.0,-0.03,-1.0,0.7491,15356047,45544220.85,6475764545.91,6088393941.3
2019-03-19,'000861,海印股份,3.0,3.04,2.98,3.03,3.02,-0.02,-0.6623,0.5411,11091611,33367157.81,6541176309.0,6149892870.0
2019-03-18,'000861,海印股份,3.02,3.02,2.93,2.96,2.95,0.07,2.3729,0.7034,14418514,42961262.04,6584784151.06,6190892155.8
2019-03-15,'000861,海印股份,2.95,2.97,2.91,2.91,2.91,0.04,1.3746,0.5403,11075340,32611406.06,6432156703.85,6047394655.5
2019-03-14,'000861,海印股份,2.91,3.02,2.88,2.99,2.99,-0.08,-2.6756,0.9293,19049370,55934691.3,6344941019.73,5965396083.9
2019-03-13,'000861,海印股份,2.99,3.07,2.98,3.05,3.05,-0.06,-1.9672,0.9576,19629967,59231030.63,6519372387.97,6129393227.1
2019-03-12,'000861,海印股份,3.05,3.1,2.99,3.06,3.04,0.01,0.3289,1.3197,27054333,82739201.03,6650195914.15,6252391084.5
2019-03-11,'000861,海印股份,3.04,3.05,2.93,2.95,2.94,0.1,3.4014,0.9544,19565065,58399753.93,6628391993.12,6231891441.6
2019-03-08,'000861,海印股份,2.94,3.15,2.93,3.1,3.19,-0.25,-7.837,1.781,36509444,111519102.84,6410352782.82,6026895012.6
2019-03-07,'000861,海印股份,3.19,3.28,3.05,3.1,3.11,0.08,2.5723,2.2147,45400137,144162512.86,6955450808.57,6539386085.1
2019-03-06,'000861,海印股份,3.11,3.11,2.97,3.02,3.02,0.09,2.9801,2.117,43398005,131731560.37,6781019440.33,6375388941.9
2019-03-05,'000861,海印股份,3.02,3.03,2.93,2.96,2.97,0.05,1.6835,1.4048,28797645,85733877.81,6584784151.06,6190892155.8
2019-03-04,'000861,海印股份,2.97,3.03,2.93,2.97,2.95,0.02,0.678,1.8244,37398862,111699413.26,6475764545.91,6088393941.3
2019-03-01,'000861,海印股份,2.95,3.03,2.88,2.9,2.93,0.02,0.6826,1.4938,30622416,90045481.36,6432156703.85,6047394655.5
