日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'002724,海洋王,6.55,6.64,6.46,6.47,6.46,0.09,1.3932,0.3044,2191820,14369586.8,4716000000.0,4716000000.0
2019-04-25,'002724,海洋王,6.46,6.8,6.45,6.78,6.77,-0.31,-4.579,0.4532,3262860,21516655.6,4651200000.0,4651200000.0
2019-04-24,'002724,海洋王,6.77,6.83,6.63,6.68,6.66,0.11,1.6517,0.4065,2927135,19756250.5,4874400000.0,4874400000.0
2019-04-23,'002724,海洋王,6.66,6.96,6.62,6.96,6.94,-0.28,-4.0346,0.6594,4747632,31968768.32,4795200000.0,4795200000.0
2019-04-22,'002724,海洋王,6.94,7.39,6.9,7.3,7.29,-0.35,-4.8011,1.2796,9212784,65776863.48,4996800000.0,4996800000.0
2019-04-19,'002724,海洋王,7.29,7.46,6.88,6.95,6.92,0.37,5.3468,1.5778,11360420,81823779.6,5248800000.0,5248800000.0
2019-04-18,'002724,海洋王,6.92,6.99,6.84,6.93,6.94,-0.02,-0.2882,0.3678,2648348,18334445.76,4982400000.0,4982400000.0
2019-04-17,'002724,海洋王,6.94,7.0,6.8,6.83,6.82,0.12,1.7595,0.5169,3721469,25809701.82,4996800000.0,4996800000.0
2019-04-16,'002724,海洋王,6.82,6.84,6.57,6.68,6.74,0.08,1.1869,0.3219,2317697,15545130.58,4910400000.0,4910400000.0
2019-04-15,'002724,海洋王,6.74,6.92,6.72,6.88,6.78,-0.04,-0.59,0.2607,1877292,12842743.04,4852800000.0,4852800000.0
2019-04-12,'002724,海洋王,6.78,6.86,6.71,6.79,6.79,-0.01,-0.1473,0.3082,2219248,15044621.25,4881600000.0,4881600000.0
2019-04-11,'002724,海洋王,6.79,6.97,6.78,6.85,6.84,-0.05,-0.731,0.4856,3496170,24071361.78,4888800000.0,4888800000.0
2019-04-10,'002724,海洋王,6.84,6.95,6.74,6.95,6.93,-0.09,-1.2987,0.4018,2892735,19737062.79,4924800000.0,4924800000.0
2019-04-09,'002724,海洋王,6.93,7.0,6.83,6.88,6.89,0.04,0.5806,0.3336,2402269,16646460.97,4989600000.0,4989600000.0
2019-04-08,'002724,海洋王,6.89,7.07,6.82,7.07,6.97,-0.08,-1.1478,0.4398,3166826,21914041.34,4960800000.0,4960800000.0
2019-04-04,'002724,海洋王,6.97,7.1,6.95,7.06,7.0,-0.03,-0.4286,0.4731,3405960,23841248.73,5018400000.0,5018400000.0
2019-04-03,'002724,海洋王,7.0,7.05,6.92,6.98,7.02,-0.02,-0.2849,0.4418,3181060,22200205.7,5040000000.0,5040000000.0
2019-04-02,'002724,海洋王,7.02,7.04,6.88,6.99,6.93,0.09,1.2987,0.6699,4823415,33640252.35,5054400000.0,5054400000.0
2019-04-01,'002724,海洋王,6.93,6.97,6.77,6.78,6.75,0.18,2.6667,0.6897,4965551,34223371.51,4989600000.0,4989600000.0
2019-03-29,'002724,海洋王,6.75,6.75,6.5,6.63,6.63,0.12,1.81,0.4807,3461099,23095485.8,4860000000.0,4860000000.0
2019-03-28,'002724,海洋王,6.63,6.7,6.51,6.62,6.56,0.07,1.0671,0.3963,2853142,18861214.4,4773600000.0,4773600000.0
2019-03-27,'002724,海洋王,6.56,6.63,6.48,6.52,6.48,0.08,1.2346,0.3582,2579398,16913450.27,4723200000.0,4723200000.0
2019-03-26,'002724,海洋王,6.48,6.81,6.46,6.73,6.75,-0.27,-4.0,0.4852,3493429,23159410.15,4665600000.0,4665600000.0
2019-03-25,'002724,海洋王,6.75,6.86,6.62,6.62,6.72,0.03,0.4464,0.582,4190209,28439497.82,4860000000.0,4860000000.0
2019-03-22,'002724,海洋王,6.72,6.78,6.61,6.75,6.74,-0.02,-0.2967,0.4048,2914874,19491209.2,4838400000.0,4838400000.0
2019-03-21,'002724,海洋王,6.74,6.79,6.63,6.63,6.63,0.11,1.6591,0.6071,4371412,29380550.39,4852800000.0,4852800000.0
2019-03-20,'002724,海洋王,6.63,6.7,6.53,6.64,6.64,-0.01,-0.1506,0.3482,2507105,16593203.4,4773600000.0,4773600000.0
2019-03-19,'002724,海洋王,6.64,6.71,6.55,6.6,6.63,0.01,0.1508,0.4886,3517608,23387713.96,4780800000.0,4780800000.0
2019-03-18,'002724,海洋王,6.63,6.65,6.46,6.46,6.51,0.12,1.8433,0.4281,3082257,20241424.28,4773600000.0,4773600000.0
2019-03-15,'002724,海洋王,6.51,6.6,6.46,6.47,6.47,0.04,0.6182,0.4481,3226537,21054913.98,4687200000.0,4687200000.0
2019-03-14,'002724,海洋王,6.47,6.75,6.37,6.7,6.81,-0.34,-4.9927,0.9374,6749414,43942286.59,4658400000.0,4658400000.0
2019-03-13,'002724,海洋王,6.81,7.05,6.76,6.97,7.03,-0.22,-3.1294,0.7392,5322320,36813782.15,4903200000.0,4903200000.0
2019-03-12,'002724,海洋王,7.03,7.25,6.85,7.25,7.06,-0.03,-0.4249,1.1221,8079026,56724391.03,5061600000.0,5061600000.0
2019-03-11,'002724,海洋王,7.06,7.09,6.65,6.72,6.7,0.36,5.3731,1.3579,9776720,67642685.41,5083200000.0,5083200000.0
2019-03-08,'002724,海洋王,6.7,7.26,6.59,6.71,6.78,-0.08,-1.1799,1.5329,11037186,75804363.8,4824000000.0,4824000000.0
2019-03-07,'002724,海洋王,6.78,6.84,6.65,6.72,6.71,0.07,1.0432,1.1241,8093380,54576057.29,4881600000.0,4881600000.0
