日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000078,海王生物,4.28,4.35,4.27,4.31,4.3,-0.02,-0.4651,1.1302,21086801,90899274.96,11823856340.0,7985697346.36
2019-04-25,'000078,海王生物,4.3,4.49,4.3,4.48,4.49,-0.19,-4.2316,1.5563,29036803,127695102.0,11879108005.1,8023013689.1
2019-04-24,'000078,海王生物,4.49,4.51,4.4,4.47,4.49,0.0,0.0,1.2926,24117939,107358850.87,12403998823.9,8377518945.13
2019-04-23,'000078,海王生物,4.49,4.55,4.42,4.51,4.51,-0.02,-0.4435,1.5784,29449175,132074076.52,12403998823.9,8377518945.13
2019-04-22,'000078,海王生物,4.51,4.64,4.5,4.62,4.59,-0.08,-1.7429,1.7571,32784490,148656314.94,12459250489.1,8414835287.87
2019-04-19,'000078,海王生物,4.59,4.64,4.53,4.54,4.53,0.06,1.3245,1.7023,31762581,145711212.22,12680257149.6,8564100658.83
2019-04-18,'000078,海王生物,4.53,4.62,4.51,4.62,4.62,-0.09,-1.9481,2.0585,38407245,174583178.73,12514502154.2,8452151630.61
2019-04-17,'000078,海王生物,4.62,4.67,4.57,4.65,4.64,-0.02,-0.431,2.6088,48676266,224260323.29,12763134647.3,8620075172.94
2019-04-16,'000078,海王生物,4.64,4.65,4.45,4.58,4.6,0.04,0.8696,3.085,57560029,260933718.69,12818386312.5,8657391515.68
2019-04-15,'000078,海王生物,4.6,4.86,4.6,4.83,4.78,-0.18,-3.7657,4.0204,75012505,352409337.29,12707882982.2,8582758830.2
2019-04-12,'000078,海王生物,4.78,4.98,4.71,4.81,5.23,-0.45,-8.6042,6.8681,128145946,618833926.32,13205147968.5,8918605914.86
2019-04-11,'000078,海王生物,5.23,5.55,5.1,5.17,5.07,0.16,3.1558,13.0467,243427391,1298882955.86,14448310434.1,9758223626.51
2019-04-10,'000078,海王生物,5.07,5.07,4.71,4.76,4.61,0.46,9.9783,8.2181,153335061,764763140.34,14006297113.0,9459692884.59
2019-04-09,'000078,海王生物,4.61,4.68,4.53,4.68,4.68,-0.07,-1.4957,1.7527,32702339,150485971.59,12735508814.8,8601417001.57
2019-04-08,'000078,海王生物,4.68,4.73,4.5,4.57,4.57,0.11,2.407,3.5392,66034847,305945805.27,12928889642.8,8732024201.16
2019-04-04,'000078,海王生物,4.57,4.61,4.51,4.57,4.57,0.0,0.0,2.0319,37910854,172955815.05,12625005484.5,8526784316.09
2019-04-03,'000078,海王生物,4.57,4.58,4.49,4.52,4.52,0.05,1.1062,2.0954,39097057,177366439.12,12625005484.5,8526784316.09
2019-04-02,'000078,海王生物,4.52,4.66,4.49,4.58,4.58,-0.06,-1.31,2.3317,43504655,198485625.41,12486876321.6,8433493459.24
2019-04-01,'000078,海王生物,4.58,4.58,4.43,4.43,4.41,0.17,3.8549,2.8399,52987091,240575864.06,12652631317.1,8545442487.46
2019-03-29,'000078,海王生物,4.41,4.42,4.22,4.25,4.25,0.16,3.7647,2.0385,38034878,164939038.28,12182992163.4,8228253574.17
2019-03-28,'000078,海王生物,4.25,4.35,4.22,4.32,4.35,-0.1,-2.2989,1.3933,25997146,111574700.03,11740978842.2,7929722832.25
2019-03-27,'000078,海王生物,4.35,4.38,4.25,4.28,4.25,0.1,2.3529,1.618,30188732,130399009.38,12017237168.0,8116304545.95
2019-03-26,'000078,海王生物,4.25,4.51,4.21,4.49,4.46,-0.21,-4.7085,2.402,44816133,193804571.73,11740978842.2,7929722832.25
2019-03-25,'000078,海王生物,4.46,4.56,4.41,4.45,4.56,-0.1,-2.193,1.8909,35279935,158277361.33,12321121326.2,8321544431.02
2019-03-22,'000078,海王生物,4.56,4.59,4.43,4.58,4.61,-0.05,-1.0846,2.3801,44408524,200211261.72,12597379651.9,8508126144.72
2019-03-21,'000078,海王生物,4.61,4.67,4.44,4.44,4.48,0.13,2.9018,3.3458,62426207,284779122.62,12735508814.8,8601417001.57
2019-03-20,'000078,海王生物,4.48,4.53,4.38,4.53,4.53,-0.05,-1.1038,1.8416,34360827,152852068.04,12376372991.4,8358860773.76
2019-03-19,'000078,海王生物,4.53,4.63,4.48,4.58,4.59,-0.06,-1.3072,2.0568,38376967,173966053.1,12514502154.2,8452151630.61
2019-03-18,'000078,海王生物,4.59,4.6,4.34,4.43,4.4,0.19,4.3182,2.7405,51132365,229873371.84,12680257149.6,8564100658.83
2019-03-15,'000078,海王生物,4.4,4.46,4.3,4.35,4.31,0.09,2.0882,2.39,44593349,195854560.85,12155366330.8,8209595402.8
2019-03-14,'000078,海王生物,4.31,4.52,4.18,4.46,4.52,-0.21,-4.646,2.9421,54893983,237974798.36,11906733837.7,8041671860.47
2019-03-13,'000078,海王生物,4.52,4.79,4.49,4.79,4.7,-0.18,-3.8298,2.8758,53656900,246660294.79,12486876321.6,8433493459.24
2019-03-12,'000078,海王生物,4.7,4.85,4.55,4.8,4.69,0.01,0.2132,3.9134,73017201,344126933.85,12984141307.9,8769340543.9
2019-03-11,'000078,海王生物,4.69,4.69,4.5,4.55,4.49,0.2,4.4543,3.273,61068836,280956399.5,12956515475.3,8750682372.53
2019-03-08,'000078,海王生物,4.49,4.84,4.42,4.73,4.9,-0.41,-8.3673,5.5117,102838682,478716469.04,12403998823.9,8377518945.13
2019-03-07,'000078,海王生物,4.9,4.96,4.77,4.88,4.98,-0.08,-1.6064,6.4029,119466564,581859070.98,13536657959.3,9142503971.3
2019-03-06,'000078,海王生物,4.98,5.18,4.73,5.06,4.74,0.24,5.0633,10.4716,195381072,965053551.07,13757664619.9,9291769342.26
