日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'600837,海通证券,14.3,14.66,13.9,13.9,13.83,0.47,3.3984,2.6312,212921055,3050470441.0,1.6447431e+11,1.15717475874e+11
2019-04-25,'600837,海通证券,13.83,14.4,13.81,14.13,14.19,-0.36,-2.537,1.3127,106223315,1502161912.0,1.59068511e+11,1.11914174219e+11
2019-04-24,'600837,海通证券,14.19,14.33,13.92,14.04,14.05,0.14,0.9964,1.1214,90747196,1282218823.0,1.63209123e+11,1.14827341444e+11
2019-04-23,'600837,海通证券,14.05,14.42,13.85,13.9,13.9,0.15,1.0791,1.4415,116644987,1646284586.0,1.61598885e+11,1.13694443079e+11
2019-04-22,'600837,海通证券,13.9,14.76,13.87,14.69,14.52,-0.62,-4.27,2.0995,169895958,2405947458.0,1.5987363e+11,1.12480623402e+11
2019-04-19,'600837,海通证券,14.52,14.72,14.34,14.42,14.36,0.16,1.1142,1.124,90958266,1320029234.0,1.67004684e+11,1.17497744734e+11
2019-04-18,'600837,海通证券,14.36,14.55,14.31,14.44,14.45,-0.09,-0.6228,0.9733,78760269,1134843884.0,1.65164412e+11,1.16203003745e+11
2019-04-17,'600837,海通证券,14.45,14.62,14.33,14.56,14.7,-0.25,-1.7007,1.3807,111727701,1616451396.0,1.66199565e+11,1.16931295551e+11
2019-04-16,'600837,海通证券,14.7,14.75,13.8,14.18,14.3,0.4,2.7972,2.4079,194849856,2775294329.0,1.6907499e+11,1.18954328346e+11
2019-04-15,'600837,海通证券,14.3,15.08,14.28,15.0,14.61,-0.31,-2.1218,1.8901,152951032,2249165655.0,1.6447431e+11,1.15717475874e+11
2019-04-12,'600837,海通证券,14.61,14.87,14.46,14.47,14.49,0.12,0.8282,1.4295,115673118,1694458094.0,1.68039837e+11,1.1822603654e+11
2019-04-11,'600837,海通证券,14.49,14.81,14.38,14.7,14.83,-0.34,-2.2927,1.6267,131632318,1914909050.0,1.66659633e+11,1.17254980798e+11
2019-04-10,'600837,海通证券,14.83,15.15,14.41,14.96,15.22,-0.39,-2.5624,2.7451,222140136,3265252225.0,1.70570211e+11,1.20006305399e+11
2019-04-09,'600837,海通证券,15.22,15.58,14.85,15.3,15.41,-0.19,-1.233,2.0387,164973052,2501937250.0,1.75055874e+11,1.2316223656e+11
2019-04-08,'600837,海通证券,15.41,16.1,14.96,16.0,15.82,-0.41,-2.5917,2.6533,214705464,3325697297.0,1.77241197e+11,1.24699741484e+11
2019-04-04,'600837,海通证券,15.82,16.05,15.48,15.9,15.98,-0.16,-1.0013,2.9411,237993647,3750674816.0,1.81956894e+11,1.28017515268e+11
2019-04-03,'600837,海通证券,15.98,15.98,14.3,14.41,14.53,1.45,9.9794,4.1563,336332009,5111002920.0,1.83797166e+11,1.29312256256e+11
2019-04-02,'600837,海通证券,14.53,14.98,14.35,14.45,14.41,0.12,0.8328,2.5506,206401846,3023537256.0,1.67119701e+11,1.17578666045e+11
2019-04-01,'600837,海通证券,14.41,14.7,13.93,14.28,14.03,0.38,2.7085,3.5596,288044584,4117432976.0,1.65739497e+11,1.16607610304e+11
2019-03-29,'600837,海通证券,14.03,14.03,12.81,12.83,12.75,1.28,10.0392,3.5968,291054105,3988432910.0,1.61368851e+11,1.13532600455e+11
2019-03-28,'600837,海通证券,12.75,13.08,12.63,12.84,12.91,-0.16,-1.2393,1.1561,93550683,1200786500.0,1.46646675e+11,1.03174672545e+11
2019-03-27,'600837,海通证券,12.91,13.15,12.71,12.95,12.84,0.07,0.5452,1.3895,112440679,1454525353.0,1.48486947e+11,1.04469413534e+11
2019-03-26,'600837,海通证券,12.84,13.48,12.73,13.45,13.33,-0.49,-3.6759,1.4815,119885825,1567976423.0,1.47681828e+11,1.03902964351e+11
2019-03-25,'600837,海通证券,13.33,13.81,13.24,13.61,13.97,-0.64,-4.5812,1.7039,137885471,1865463900.0,1.53317661e+11,1.07868108629e+11
2019-03-22,'600837,海通证券,13.97,14.29,13.73,14.14,14.21,-0.24,-1.689,1.6443,133062108,1859966806.0,1.60678749e+11,1.13047072585e+11
2019-03-21,'600837,海通证券,14.21,14.56,13.76,13.95,13.92,0.29,2.0833,2.886,233536131,3317976722.0,1.63439157e+11,1.14989184068e+11
2019-03-20,'600837,海通证券,13.92,14.16,13.63,13.7,13.7,0.22,1.6058,1.8644,150871914,2096868900.0,1.60103664e+11,1.12642466026e+11
2019-03-19,'600837,海通证券,13.7,14.01,13.55,13.95,13.97,-0.27,-1.9327,1.4823,119949201,1651016253.0,1.5757329e+11,1.10862197166e+11
2019-03-18,'600837,海通证券,13.97,14.05,13.45,13.6,13.76,0.21,1.5262,2.1519,174136410,2397444683.0,1.60678749e+11,1.13047072585e+11
2019-03-15,'600837,海通证券,13.76,14.12,13.38,13.38,13.29,0.47,3.5365,2.0448,165465006,2265291811.0,1.58263392e+11,1.11347725037e+11
2019-03-14,'600837,海通证券,13.29,13.78,13.15,13.52,13.72,-0.43,-3.1341,1.5379,124452725,1672418058.0,1.52857593e+11,1.07544423382e+11
2019-03-13,'600837,海通证券,13.72,14.2,13.55,14.15,14.15,-0.43,-3.0389,2.5548,206738203,2860127934.0,1.57803324e+11,1.1102403979e+11
2019-03-12,'600837,海通证券,14.15,14.84,13.98,14.52,14.37,-0.22,-1.531,3.9317,318156429,4590704473.0,1.62749055e+11,1.14503656197e+11
2019-03-11,'600837,海通证券,14.37,15.1,13.98,14.56,14.31,0.06,0.4193,4.0626,328750190,4753575513.0,1.65279429e+11,1.16283925057e+11
2019-03-08,'600837,海通证券,14.31,15.13,14.04,14.27,14.81,-0.5,-3.3761,5.5491,449039867,6555393440.0,1.64589327e+11,1.15798397186e+11
2019-03-07,'600837,海通证券,14.81,14.81,13.75,14.1,13.46,1.35,10.0297,6.3969,517645952,7482787886.0,1.70340177e+11,1.19844462776e+11
2019-03-06,'600837,海通证券,13.46,13.8,12.8,13.08,13.03,0.43,3.3001,3.2548,263380311,3476009484.0,1.54812882e+11,1.08920085683e+11
2019-03-05,'600837,海通证券,13.03,13.11,12.78,12.92,13.07,-0.04,-0.306,1.4553,117763909,1522739708.0,1.49867151e+11,1.05440469275e+11
2019-03-04,'600837,海通证券,13.07,13.8,12.9,13.14,13.02,0.05,0.384,2.6099,211194844,2797538023.0,1.50327219e+11,1.05764154523e+11
2019-03-01,'600837,海通证券,13.02,13.2,12.63,12.85,12.71,0.31,2.439,1.6127,130499419,1684072101.0,1.49752134e+11,1.05359547964e+11
2019-02-28,'600837,海通证券,12.71,13.08,12.54,13.08,13.18,-0.47,-3.566,1.5374,124406572,1590032468.0,1.46186607e+11,1.02850987298e+11
2019-02-27,'600837,海通证券,13.18,13.7,12.79,13.34,13.47,-0.29,-2.1529,2.4952,201916115,2671880715.0,1.51592406e+11,1.06654288952e+11
2019-02-26,'600837,海通证券,13.47,14.48,13.43,14.12,13.98,-0.51,-3.6481,3.0922,250221104,3487332582.0,1.54927899e+11,1.09001006995e+11
2019-02-25,'600837,海通证券,13.98,13.98,12.81,13.16,12.71,1.27,9.9921,3.3548,271474508,3665906331.0,1.60793766e+11,1.13127993896e+11
2019-02-22,'600837,海通证券,12.71,12.78,11.55,11.79,11.64,1.07,9.1924,2.1972,177802262,2160396841.0,1.46186607e+11,1.02850987298e+11
2019-02-21,'600837,海通证券,11.64,12.31,11.41,11.49,11.57,0.07,0.605,1.2647,102337636,1202792555.0,1.33879788e+11,94192406935.2
2019-02-20,'600837,海通证券,11.57,11.7,11.39,11.55,11.56,0.01,0.0865,0.7346,59444700,684873803.0,1.33074669e+11,93625957752.6
2019-02-19,'600837,海通证券,11.56,11.94,11.34,11.47,11.41,0.15,1.3146,1.301,105279294,1222522076.0,1.32959652e+11,93545036440.8
2019-02-18,'600837,海通证券,11.41,11.51,10.9,10.92,10.82,0.59,5.4529,1.2984,105067066,1178273589.0,1.31234397e+11,92331216763.8
2019-02-15,'600837,海通证券,10.82,11.15,10.77,11.1,11.16,-0.34,-3.0466,0.7732,62572347,685108001.0,1.24448394e+11,87556859367.6
2019-02-14,'600837,海通证券,11.16,11.29,11.0,11.16,11.23,-0.07,-0.6233,0.6573,53185840,593363385.0,1.28358972e+11,90308183968.8
2019-02-13,'600837,海通证券,11.23,11.31,10.74,10.86,10.86,0.37,3.407,1.0566,85504161,948153838.0,1.29164091e+11,90874633151.4
2019-02-12,'600837,海通证券,10.86,10.96,10.52,10.62,10.64,0.22,2.0677,0.7941,64261730,692422865.0,1.24908462e+11,87880544614.8
2019-02-11,'600837,海通证券,10.64,10.66,10.2,10.23,10.29,0.35,3.4014,0.7136,57743971,605302197.0,1.22378088e+11,86100275755.2
2019-02-01,'600837,海通证券,10.29,10.31,10.09,10.24,10.08,0.21,2.0833,0.7902,63942644,653001483.0,1.18352493e+11,83268029842.2
2019-01-31,'600837,海通证券,10.08,10.14,9.86,9.9,9.86,0.22,2.2312,0.5769,46679696,468575091.0,1.15937136e+11,81568682294.4
2019-01-30,'600837,海通证券,9.86,10.04,9.8,9.91,9.99,-0.13,-1.3013,0.3986,32255163,320167777.0,1.13406762e+11,79788413434.8
2019-01-29,'600837,海通证券,9.99,10.15,9.8,9.92,10.03,-0.04,-0.3988,0.5302,42906200,427599407.0,1.14901983e+11,80840390488.2
2019-01-28,'600837,海通证券,10.03,10.4,9.93,10.16,10.06,-0.03,-0.2982,0.6533,52864713,536706892.0,1.15362051e+11,81164075735.4
2019-01-25,'600837,海通证券,10.06,10.2,9.91,9.91,9.91,0.15,1.5136,0.8681,70251398,707933812.0,1.15707102e+11,81406839670.8
2019-01-24,'600837,海通证券,9.91,10.05,9.72,9.72,9.7,0.21,2.1649,0.6076,49168432,487057838.0,1.13981847e+11,80193019993.8
2019-01-23,'600837,海通证券,9.7,9.76,9.62,9.62,9.65,0.05,0.5181,0.2093,16939679,164273827.0,1.1156649e+11,78493672446.0
2019-01-22,'600837,海通证券,9.65,9.87,9.65,9.85,9.86,-0.21,-2.1298,0.4072,32953751,321242964.0,1.10991405e+11,78089065887.0
