日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000572,*ST 海马,2.44,2.47,2.44,2.44,2.57,-0.13,-5.0584,4.7274,77631300,189532034.65,4012912879.44,4006858746.56
2019-04-25,'000572,*ST 海马,2.57,2.67,2.57,2.57,2.7,-0.13,-4.8148,5.1077,83876820,216002337.34,4226715614.82,4220338925.68
2019-04-24,'000572,*ST 海马,2.7,2.7,2.7,2.7,2.84,-0.14,-4.9296,0.2107,3459600,9340920.0,4440518350.2,4433819104.8
2019-04-23,'000572,海马汽车,0.0,0.0,0.0,0.0,2.84,None,None,0.0,0,0.0,4670767449.84,4663720836.16
2019-04-22,'000572,海马汽车,2.84,2.92,2.83,2.86,2.98,-0.14,-4.698,4.1942,68875790,197609550.12,4670767449.84,4663720836.16
2019-04-19,'000572,海马汽车,2.98,3.08,2.82,2.86,2.92,0.06,2.0548,6.2563,102737513,304924153.74,4901016549.48,4893622567.52
2019-04-18,'000572,海马汽车,2.92,3.08,2.89,3.06,3.03,-0.11,-3.6304,5.6154,92212811,274268278.98,4802338363.92,4795093254.08
2019-04-17,'000572,海马汽车,3.03,3.1,2.79,2.85,2.86,0.17,5.9441,7.3169,120155155,355328817.43,4983248370.78,4975730328.72
2019-04-16,'000572,海马汽车,2.86,2.89,2.76,2.86,2.83,0.03,1.0601,3.0457,50015240,141379628.2,4703660178.36,4696563940.64
2019-04-15,'000572,海马汽车,2.83,2.94,2.81,2.91,2.97,-0.14,-4.7138,4.2001,68972894,198280460.2,4654321085.58,4647299283.92
2019-04-12,'000572,海马汽车,2.97,3.02,2.79,2.89,2.89,0.08,2.7682,6.4636,106141834,311822882.08,4884570185.22,4877201015.28
2019-04-11,'000572,海马汽车,2.89,3.03,2.81,2.83,2.83,0.06,2.1201,6.1889,101631082,298100536.43,4752999271.14,4745828597.36
2019-04-10,'000572,海马汽车,2.83,2.95,2.69,2.73,2.77,0.06,2.1661,4.585,75293494,212057702.28,4654321085.58,4647299283.92
2019-04-09,'000572,海马汽车,2.77,2.78,2.63,2.7,2.72,0.05,1.8382,2.8963,47561961,129663160.02,4555642900.02,4548769970.48
2019-04-08,'000572,海马汽车,2.72,2.82,2.68,2.79,2.79,-0.07,-2.509,3.032,49789961,136468168.15,4473411078.72,4466662209.28
2019-04-04,'000572,海马汽车,2.79,2.8,2.71,2.72,2.74,0.05,1.8248,3.2557,53463449,147786326.41,4588535628.54,4581613074.96
2019-04-03,'000572,海马汽车,2.74,2.75,2.67,2.71,2.72,0.02,0.7353,2.5166,41327110,111915656.88,4506303807.24,4499505313.76
2019-04-02,'000572,海马汽车,2.72,2.75,2.69,2.73,2.71,0.01,0.369,2.8264,46414494,125989131.66,4473411078.72,4466662209.28
2019-04-01,'000572,海马汽车,2.71,2.73,2.62,2.63,2.63,0.08,3.0418,3.0153,49515481,133436506.82,4456964714.46,4450240657.04
2019-03-29,'000572,海马汽车,2.63,2.65,2.52,2.57,2.6,0.03,1.1538,2.793,45865978,119266973.99,4325393800.38,4318868239.12
2019-03-28,'000572,海马汽车,2.6,2.73,2.59,2.7,2.79,-0.19,-6.81,3.6207,59457030,158206760.4,4276054707.6,4269603582.4
2019-03-27,'000572,海马汽车,2.79,2.83,2.58,2.7,2.7,0.09,3.3333,5.2586,86355063,233445213.4,4588535628.54,4581613074.96
2019-03-26,'000572,海马汽车,2.7,2.92,2.68,2.86,2.9,-0.2,-6.8966,4.8615,79832633,221687461.07,4440518350.2,4433819104.8
2019-03-25,'000572,海马汽车,2.9,3.04,2.9,2.94,3.07,-0.17,-5.5375,5.1977,85354935,251972565.92,4769445635.4,4762250149.6
2019-03-22,'000572,海马汽车,3.07,3.27,2.88,2.99,3.12,-0.05,-1.6026,9.2113,151264535,457743171.68,5049033827.82,5041416537.68
