日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'200020,深华发Ｂ,4.8,4.84,4.74,4.79,4.8,0.0,0.0,0.0197,20100,96512.0,1166211972.49,420074338.383
2019-04-25,'200020,深华发Ｂ,4.8,4.86,4.7,4.82,4.82,-0.02,-0.4149,0.035,35700,170224.0,1166755642.05,420270170.388
2019-04-24,'200020,深华发Ｂ,4.82,5.04,4.8,5.04,4.82,0.0,0.0,0.0155,15800,76407.0,1169760945.42,421352692.994
2019-04-23,'200020,深华发Ｂ,4.82,4.86,4.75,4.86,4.89,-0.07,-1.4315,0.0344,35100,168923.0,1167031271.19,420369453.135
2019-04-22,'200020,深华发Ｂ,4.89,4.89,4.82,4.83,4.91,-0.02,-0.4073,0.0161,16400,79329.0,1183065983.57,426145222.338
2019-04-19,'200020,深华发Ｂ,4.91,4.92,4.85,4.92,4.92,-0.01,-0.2033,0.0173,17600,85648.0,1188141053.92,427973283.507
2019-04-18,'200020,深华发Ｂ,4.92,4.95,4.85,4.95,4.91,0.01,0.2037,0.0023,2300,11334.0,1188067148.85,427946662.594
2019-04-17,'200020,深华发Ｂ,4.91,4.91,4.84,4.89,4.89,0.02,0.409,0.0801,81700,399634.0,1189475762.68,428454051.079
2019-04-16,'200020,深华发Ｂ,4.89,4.89,4.82,4.82,4.91,-0.02,-0.4073,0.069,70400,340918.0,1185350669.93,426968175.741
2019-04-15,'200020,深华发Ｂ,4.91,4.98,4.84,4.87,4.96,-0.05,-1.0081,0.08,81636,399072.24,1189656504.5,428519155.021
2019-04-12,'200020,深华发Ｂ,4.96,5.0,4.92,5.0,4.93,0.03,0.6085,0.0383,39100,194099.0,1203456508.47,433489973.087
2019-04-11,'200020,深华发Ｂ,4.93,4.98,4.91,4.91,4.99,-0.06,-1.2024,0.0364,37100,183992.0,1194851352.05,430390360.429
2019-04-10,'200020,深华发Ｂ,4.99,4.99,4.9,4.97,4.98,0.01,0.2008,0.0518,52800,260672.0,1209732267.38,435750527.199
2019-04-09,'200020,深华发Ｂ,4.98,4.99,4.92,4.95,4.99,-0.01,-0.2004,0.0608,62000,307492.0,1206899012.78,434729977.263
2019-04-08,'200020,深华发Ｂ,4.99,5.04,4.9,5.04,5.04,-0.05,-0.9921,0.1178,120200,596297.0,1209689878.14,435735258.423
2019-04-04,'200020,深华发Ｂ,5.04,5.06,5.0,5.06,5.04,0.0,0.0,0.169,172400,867343.3,1219170823.93,439150334.002
2019-04-03,'200020,深华发Ｂ,5.04,5.05,4.96,5.04,5.04,0.0,0.0,0.0678,69200,346398.0,1221696848.6,440060218.455
2019-04-02,'200020,深华发Ｂ,5.04,5.09,4.95,5.07,5.07,-0.03,-0.5917,0.1349,137600,687637.0,1221083181.59,439839173.08
2019-04-01,'200020,深华发Ｂ,5.07,5.07,4.96,5.0,5.0,0.07,1.4,0.1009,102900,515264.0,1228897072.28,442653768.573
2019-03-29,'200020,深华发Ｂ,5.0,5.02,4.89,4.89,4.9,0.1,2.0408,0.11,112200,556798.0,1214464344.54,437455040.812
2019-03-28,'200020,深华发Ｂ,4.9,5.02,4.82,4.82,5.02,-0.12,-2.3904,0.0538,54900,270357.0,1188926316.64,428256138.359
2019-03-27,'200020,深华发Ｂ,5.02,5.03,4.9,5.03,5.02,0.0,0.0,0.0847,86400,428977.0,1215953319.54,437991375.716
2019-03-26,'200020,深华发Ｂ,5.02,5.23,4.96,5.23,5.27,-0.25,-4.7438,0.2023,206300,1039154.0,1214204912.22,437361592.227
2019-03-25,'200020,深华发Ｂ,5.27,5.4,4.92,4.92,5.06,0.21,4.1502,0.3972,405100,2102003.0,1276105853.63,459658565.349
2019-03-22,'200020,深华发Ｂ,5.06,5.07,4.96,5.0,5.1,-0.04,-0.7843,0.1253,127800,638704.0,1222432728.0,440325285.234
2019-03-21,'200020,深华发Ｂ,5.1,5.2,5.0,5.11,5.1,0.0,0.0,0.1861,189800,961932.0,1229944485.66,443031051.17
2019-03-20,'200020,深华发Ｂ,5.1,5.11,5.0,5.11,5.1,0.0,0.0,0.0674,68700,345821.0,1234450147.11,444654008.913
2019-03-19,'200020,深华发Ｂ,5.1,5.19,5.04,5.19,5.16,-0.06,-1.1628,0.0829,84600,429056.0,1233756968.42,444404323.106
2019-03-18,'200020,深华发Ｂ,5.16,5.18,4.95,5.1,5.11,0.05,0.9785,0.2674,272700,1373948.0,1248768534.34,449811550.755
2019-03-15,'200020,深华发Ｂ,5.11,5.13,4.97,5.04,5.04,0.07,1.3889,0.2029,207000,1050186.8,1238100548.38,445968898.432
2019-03-14,'200020,深华发Ｂ,5.04,5.1,4.94,5.1,5.16,-0.12,-2.3256,0.0655,66800,335031.0,1218286001.73,438831617.413
2019-03-13,'200020,深华发Ｂ,5.16,5.24,5.11,5.18,5.19,-0.03,-0.578,0.1779,181400,941123.0,1249221479.04,449974703.295
2019-03-12,'200020,深华发Ｂ,5.19,5.26,5.06,5.06,5.09,0.1,1.9646,0.2558,260862,1357497.4,1256748923.83,452686119.8
2019-03-11,'200020,深华发Ｂ,5.09,5.1,4.85,4.93,4.98,0.11,2.2088,0.1395,142262,718379.72,1233874508.65,444446661.578
2019-03-08,'200020,深华发Ｂ,4.98,5.01,4.93,4.93,5.12,-0.14,-2.7344,0.1546,157700,783705.0,1207815605.67,435060137.785
2019-03-07,'200020,深华发Ｂ,5.12,5.13,4.96,5.0,5.0,0.12,2.4,0.2713,276700,1393466.0,1239479600.19,446465638.553
2019-03-06,'200020,深华发Ｂ,5.0,5.04,4.88,4.93,4.93,0.07,1.4199,0.1469,149810,739390.5,1209395758.58,435629315.348
2019-03-05,'200020,深华发Ｂ,4.93,4.94,4.86,4.86,4.93,0.0,0.0,0.1069,109000,534322.0,1191528908.11,429193602.487
2019-03-04,'200020,深华发Ｂ,4.93,4.95,4.87,4.87,4.89,0.04,0.818,0.1974,201310,989914.7,1192534017.2,429555646.907
2019-03-01,'200020,深华发Ｂ,4.89,4.89,4.74,4.83,4.9,-0.01,-0.2041,0.1021,104110,501055.7,1181072075.47,425427008.459
2019-02-28,'200020,深华发Ｂ,4.9,4.94,4.84,4.93,4.9,0.0,0.0,0.0863,88000,431204.0,1182571612.38,425967147.808
