日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000062,深圳华强,21.5,21.86,20.99,21.0,20.96,0.54,2.5763,0.605,4364237,93751806.06,15508310641.0,15508310641.0
2019-04-25,'000062,深圳华强,20.96,22.5,20.9,22.01,22.33,-1.37,-6.1352,0.6377,4599926,99509659.29,15118799583.0,15118799583.0
2019-04-24,'000062,深圳华强,22.33,22.5,21.93,22.1,22.28,0.05,0.2244,0.5229,3771627,83726726.68,16107003563.4,16107003563.4
2019-04-23,'000062,深圳华强,22.28,23.0,22.16,22.77,22.56,-0.28,-1.2411,0.5213,3760230,84730839.85,16070937724.7,16070937724.7
2019-04-22,'000062,深圳华强,22.56,23.44,22.52,23.2,23.15,-0.59,-2.5486,0.5285,3811879,87253941.3,16272906421.4,16272906421.4
2019-04-19,'000062,深圳华强,23.15,23.48,22.8,23.26,23.26,-0.11,-0.4729,0.462,3332812,76943087.51,16698483318.1,16698483318.1
2019-04-18,'000062,深圳华强,23.26,23.59,23.15,23.43,23.48,-0.22,-0.937,0.3207,2313100,53899827.28,16777828163.2,16777828163.2
2019-04-17,'000062,深圳华强,23.48,23.95,23.44,23.65,23.41,0.07,0.299,0.5674,4092508,96987992.31,16936517853.5,16936517853.5
2019-04-16,'000062,深圳华强,23.41,23.58,22.87,22.95,22.97,0.44,1.9155,0.5982,4314673,99902090.98,16886025679.3,16886025679.3
2019-04-15,'000062,深圳华强,22.97,24.14,22.83,23.95,23.72,-0.75,-3.1619,0.688,4962460,117200907.62,16568646298.8,16568646298.8
2019-04-12,'000062,深圳华强,23.72,23.82,23.34,23.51,23.51,0.21,0.8932,0.4903,3536269,83728081.2,17109633879.3,17109633879.3
2019-04-11,'000062,深圳华强,23.51,23.77,23.08,23.57,23.51,0.0,0.0,0.5907,4260838,99991441.18,16958157356.7,16958157356.7
2019-04-10,'000062,深圳华强,23.51,23.94,23.2,23.78,23.72,-0.21,-0.8853,0.6046,4361142,102846748.44,16958157356.7,16958157356.7
2019-04-09,'000062,深圳华强,23.72,24.26,23.2,23.4,23.74,-0.02,-0.0842,0.5938,4283004,101689391.57,17109633879.3,17109633879.3
2019-04-08,'000062,深圳华强,23.74,24.78,23.1,24.07,24.06,-0.32,-1.33,1.0303,7432023,178770419.11,17124060214.8,17124060214.8
