日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-26,'000023,深天地Ａ,14.1,14.47,13.8,14.03,14.08,0.02,0.142,1.8107,2512500,35511123.0,1956462984.0,1956462984.0
2019-04-25,'000023,深天地Ａ,14.08,15.03,13.97,15.03,14.99,-0.91,-6.0707,2.3438,3252135,46974812.65,1953687859.2,1953687859.2
2019-04-24,'000023,深天地Ａ,14.99,15.14,14.63,14.88,14.93,0.06,0.4019,1.8778,2605501,38760836.9,2079956037.6,2079956037.6
2019-04-23,'000023,深天地Ａ,14.93,15.6,14.9,15.56,15.54,-0.61,-3.9254,2.5611,3553704,53895566.33,2071630663.2,2071630663.2
2019-04-22,'000023,深天地Ａ,15.54,16.05,15.5,15.83,16.13,-0.59,-3.6578,2.7115,3762391,58944479.58,2156271969.6,2156271969.6
2019-04-19,'000023,深天地Ａ,16.13,16.25,15.81,16.15,16.03,0.1,0.6238,2.1656,3004901,48067817.99,2238138151.2,2238138151.2
2019-04-18,'000023,深天地Ａ,16.03,16.37,16.02,16.37,16.27,-0.24,-1.4751,2.81,3899000,63068911.0,2224262527.2,2224262527.2
2019-04-17,'000023,深天地Ａ,16.27,16.56,15.77,15.9,15.9,0.37,2.327,4.8566,6738878,109940030.33,2257564024.8,2257564024.8
2019-04-16,'000023,深天地Ａ,15.9,15.93,15.23,15.79,15.94,-0.04,-0.2509,2.9008,4024999,62624878.35,2206224216.0,2206224216.0
2019-04-15,'000023,深天地Ａ,15.94,16.3,15.83,15.96,15.74,0.2,1.2706,3.4361,4767799,76715776.0,2211774465.6,2211774465.6
2019-04-12,'000023,深天地Ａ,15.74,15.91,15.56,15.61,15.72,0.02,0.1272,1.6577,2300176,36123511.24,2184023217.6,2184023217.6
2019-04-11,'000023,深天地Ａ,15.72,16.16,15.72,16.16,16.16,-0.44,-2.7228,2.6082,3619100,57540788.0,2181248092.8,2181248092.8
2019-04-10,'000023,深天地Ａ,16.16,16.23,16.02,16.1,16.09,0.07,0.4351,1.9856,2755100,44404051.0,2242300838.4,2242300838.4
